job_title,company,date_posted,location,remote_status,employment_type,schedule,license_requirements,salary_range,job_description,apply_link,specialties,source_site,scraped_at
CASE MANAGER RN,Somatus,2026-03-26,Remote,Remote,Full-time,"Days, Evenings",Must Be Licensed In: State Of Residency,,"This position is responsible for ensuring the continuity of care in both the inpatient and outpatient setting utilizing the appropriate resources within the parameters of established contracts and patients' health plan benefits. Facilitates continuum of patients' care utilizing basic nursing knowledge, experience and skills to ensure appropriate utilization of resources and patient quality outcomes. Performs care management functions on-site or telephonically as the need arises. This is a fully remote role where compact licensure is strongly preferred. **The schedule for this position includes some evening hours where you will be expected to work until approximately 8pm, based on member availability. For example: 11am-8pm OR a split shift 8am-12pm and then 4pm-8pm** Responsibilities Consistently exhibits behavior and communication skills that demonstrate our company's commitment to superior customer service, including quality, care and concern with each and every internal and external customer. Prioritizes patient care needs upon initial visit and addresses emerging issues. Virtually meets with patients, patients' family and caregivers as needed to discuss care and treatment plan telephonically. Virtually identifies and assists with the follow-up of high-risk patients in acute care settings, skilled nursing facilities, custodial and ambulatory settings. Consults with physician and other team members to ensure that care plan is successfully implemented. Coordinates treatment plans with the care team and triages interventions appropriate to the skill set of the team members. Uses protocols and pathways in line with established disease management and care management programs and approved by medical management in order to optimize clinical outcomes. Monitors and coaches patients using techniques of motivational interviewing and behavioral change to maximize self-management. Oversees provisions for discharge from facilities including follow-up appointments, ho",https://app.nursefern.com,Case Management (CM),NurseFern,2026-03-27T09:56:59.608748
FEP CASE MANAGER,BlueCross BlueShield of Tennessee,2026-03-26,Remote,Remote,Full-time,Days,"Must Be Licensed In: Compact, Tennessee",$0 - $0 Salary,"BlueCross BlueShield of Tennessee (BCBST) is seeking a skilled and compassionate Registered Nurse with a strong background in case management to join our fastpaced, highperforming team. This role focuses on supporting members with acute care needs and chronic health conditions, ensuring they receive timely, coordinated, and effective care. Preferred candidates will bring prior experience in health insurance and telephonic member engagement, along with FEP experience as a valuable plus, enabling them to confidently navigate complex member situations while building strong, supportive connections over the phone. Our ideal candidate is energized by engaging and supporting members through empathetic listening, clear communication, and proactive problemsolving. Whether guiding someone through a challenging situation or offering a reassuring voice, our team members thrive on making meaningful connections and delivering exceptional service. A Certified Case Manager (CCM) credential is highly preferred, and successful candidates will be adaptable, proactive, and experienced in managing complex patient needs. This is an opportunity to make a meaningful impact every day by helping individuals lead healthier, more fulfilling lives through comprehensive care management. Note: RN Case Managers must be available for occasional lateshift rotation (9 am-6 pm Central / 10 am-7 pm Eastern). Although we are based in Chattanooga, TN, this is a fully remote role. Job Responsibilities Supporting utilization management functions for more complex and non-routine cases as needed. Serving as a liaison between members, providers and internal/external customers in coordination of health care delivery and benefits programs. Overseeing highly complex cases identified through various mechanisms to ensure effective implementation of interventions, and to ensure efficient utilization of benefits Performing the essential activities of case management: assessment: planning, implementation,",https://app.nursefern.com,Case Management (CM),NurseFern,2026-03-27T09:57:03.872335
PRIOR AUTHORIZATION NURSE,GlobalHealth,2026-03-26,Remote,Remote,PRN/Per Diem,Days,"Must Be Licensed In: Compact, Oklahoma, Texas",$0 - $0 Salary,"This position performs utilization management review. This position determines appropriateness of services, medical necessity, and location of services required to encourage effective, high-quality care and cost-efficient outcomes through. This position requires excellent verbal and written communication, organization and time management skills. ESSENTIAL JOB FUNCTIONS: Reviews preservice requests, appropriateness of services, and ensure timely determination Communicates with customers, both internal and external, regarding status of referral/referral process. Utilizes NCDs, LCDs, MCG, and additional guidelines to assist in determining coverage of the request. Maintains current knowledge of managed care issues (benefits, contracted providers, health plan guidelines, MCG, NCD, LCD and community standards of practice and regulatory developments, and new and experimental procedures). Collaboration with internal team to support member needs, including but not limited to discharge planning, provider relations, and care management. Adheres to company and department policies and procedures. Performs other duties as assigned Qualifications EDUCATION AND EXPERIENCE: Current active LPN license in Oklahoma/Texas or compact Experience in managed care/utilization management preferred Minimum of 3-5 years of clinical experience required KNOWLEDGE, SKILLS AND ABILITIES: Working knowledge of ICD-10/CPT codes preferred Working knowledge of Microsoft software programs Excellent organizational skills Strong communication skills Proven ability to work independently and as a member of a team WORK ENVIRONMENT: Current work environment is remote; however, some state exclusions apply. Must have access to a reliable and secured internet connection source. Work environment must maintain confidentiality of business information, including Protected Health Information (PHI), as required by HIPAA and company policy. This position will also be required to use reasonable and necessa",https://app.nursefern.com,Prior Authorization (PA),NurseFern,2026-03-27T09:57:05.977826
REGISTERED NURSE-ACCESS CARE-UMC-REMOTE WORK-36 HOURS-AFTERNOONS - DETROIT,Henry Ford Health,2026-03-26,Remote,Remote,Full-time,"Days, 12hr shifts",Must Be Licensed In: Michigan,$0 - $0 Salary,"* Position: 36 hours per week * Shift: Afternoons 12 Hour Shifts * Every other weekend and Holiday Rotations * Benefits: Full time benefit package MUST be within driving distance of Elijah McCoy building in downtown Detroit for purposes of ongoing training and if internet is down at remote location GENERAL SUMMARY: Within the System Capacity Command Center (SC3) at Henry Ford Health, the Access Management Nurse operates under minimal supervision, to review and screen recommended admission cases at Henry Ford Health System Emergency Departments (ED). Utilizes clinical and regulatory knowledge and skills to reduce financial risk and exposure due to inappropriate admissions. Collaborates with ED physicians, attending physicians, and third-party payers regarding initial screening reviews. Facilitates throughput in the most cost-effective manner, through continuous assessments, problem identification, and education. EDUCATION/EXPERIENCE REQUIRED: Bachelor's degree in nursing. Three (3) years of clinical experience. Experience facilitating InterQual reviews, admission process preferred. Experience with systems that support patient flow, admission, and transfer preferred. Ability to prioritize, meet deadlines and produce detailed and accurate work. Excellent clinical knowledge and assessment skills to evaluate and prioritize care issues. Ability to assess and handle highly sensitive and confidential matters with considerable discretion and independent judgment. Demonstrated positive work ethic and strong sense of teamwork/problem solving with co-workers. Understanding of Henry Ford Health policies and procedures preferred. CERTIFICATIONS/LICENSURES REQUIRED: Licensed as a Registered Nurse in the State of Michigan. Additional Information Organization: Corporate Services Department: System Command Center Shift: Evening Job Union Code: Not Applicable",https://app.nursefern.com,Utilization Review & Management (UR/UM),NurseFern,2026-03-27T09:57:08.135028
RN UTILIZATION MANAGEMENT - DAY SHIFT,ChristianaCare,2026-03-26,Remote,On-site,Full-time,Days,Must Be Licensed In: Delaware,"$85,862.4 - $137,384 Salary","Registered Nurse (RN) - Utilization Management FT Day Shift (Hrs.: 8a-4:30p) - On-site Newark, DE ChristianaCare Hospital in Newark, DE, is seeking a Utilization Management Nurse (RN) with experience with insurance providers such as Aetna and Cigna, along with a background in an acute care hospital. RN will work on-site at the Newark Hospital. PRIMARY FUNCTION: Responsible for ensuring the delivery of efficient and effective health care while evaluating the medical necessity, appropriateness, and efficiency of the use of health care services, procedures, and facilities under the provision of the applicable health benefits plan. UTILIZATION MANAGEMENT Performs admission and concurrent review to identify medical necessity, level of care, and appropriateness of setting using established criteria and clinical guidelines within 24 hours of admission. Reviews the admission assessment and collaborates with primary nurse and other health care providers to ensure a multidisciplinary plan-of-care is in place to meet identified patient care needs and desired outcomes. Manages observation level of care and works with the attending physician and/or clinical provider caring for the patient to ensure observation status does not exceed 48 hours. Identifies system issues that serve as barriers to care. Participates in the development and implementation of strategies to remove barriers and facilitate performance improvement measures. Monitors efficiencies in scheduling diagnostic procedures and coordination of treatments to facilitate the achievement of effective clinical, fiscal, quality, and patient satisfaction goals. Reports information generated from the utilization management referral process for LOS data and physician profile database. Collaborates with the unit medical director and/or physician advisor to facilitate achievement of clinical, quality, financial, and patient satisfaction goals. Notifies physician when a patient does not meet criteria for acute care hospit",https://app.nursefern.com,Utilization Review & Management (UR/UM),NurseFern,2026-03-27T09:57:10.251973
"TEAM LEAD, REGISTERED NURSE, EXPERT MEDICAL OPINION",Accolade/Transcarent,2026-03-26,Remote,Remote,Full-time,Days,Must Be Licensed In: State Of Residency,"$106,000 - $106,000 Salary","Transcarent's Expert Medical Opinion is Recruiting for a Full Time Medical/Surgical/Musculoskeletal (MSK) Team Lead, Registered Nurse. This position is Remote. Applicants will be required to work 9am to 6pm CST. Applicants with Medical/Surgical experience, Post Anesthesia Care Unit (PACU), and Pediatric experience with are encouraged to apply. The Hiring Manager is will to train applicants who may not have Musculoskeletal experience. About this role The Team Lead, Registered Nurse, reporting to the Clinical Manager, is responsible for supporting the daily operations of the telehealth clinical staff and delivering high quality member care, while fostering a collaborative and supportive work environment. This role involves both clinical and administrative responsibilities, including direct member care, staff oversight, quality & accreditation documentation resources, and participation in policy development. The Lead Nurse will act as a key liaison between nursing staff, clinical leaders, and other cross-functional departments, promoting effective communication and coordination. What you'll do Serve as a first-line resource for team support. Act as a culture and change champion with a growth mindset. Manage a caseload and deliver exemplary member-centric care as part of the interdisciplinary team. In partnership with leaders, identify solutions to resolve gaps and barriers within process and/or member care; such as, escalation resolution, service recovery, etc. Function as a subject matter expert (SME) for interdisciplinary departments. Provide support for the onboarding of new team members. Deliver coaching and mentoring for quality improvement, best practices, and help drive performance. Utilize metrics and data to shape daily activities. Support and motivate a team of nurses to adhere to standards of practice and operational processes. Ability to present to internal and external customer-facing stakeholders. What we're looking for Educa",https://app.nursefern.com,Triage,NurseFern,2026-03-27T09:57:12.367737
RN CLINICAL NAVIGATOR,Hone,2026-03-26,Remote,Remote,Full-time,Days,"Must Be Licensed In: Compact, State Of Residency","$65,000 - $75,000 Salary","Our ideal candidate is a mission-driven, motivated multi-tasker who is invested in work that is fulfilling and impactful. They embrace change and tackle challenges with enthusiasm. They have an ""all-in"" disposition towards work, understanding that we are a fast-paced, high-growth organization with evolving priorities. They can excel at both independent tasks and collaborative work, leading with clear and candid communication. They exhibit humble leadership-the ability to drive initiatives forward while remaining excited about continuous learning and development opportunities. They feel strongly about being part of a team that advocates for people to live longer and better lives. The Role Hone is looking for a RN Clinical Navigator to join our team. As someone with a clinical background, you are responsible for supporting doctors and their patients with their medical care. You will review, triage, and escalate physician and patient issues in collaboration with the customer service, clinical, and operations teams so that patients have the best experience with Hone. You must thrive in a fast-paced environment that requires excelling in an unstructured setting and using clinical judgment to make decisions. We are currently seeking a compassionate and reliable weekend nurse to join our clinical team. Hone offers virtual care for both men and women seeking support for hormone replacement therapy, weight loss, thyroid concerns, and longevity medicine. Clinical experience in these areas is not required, however we are seeking candidates who are passionate about helping patients live long, healthy lives. Primary Responsibilities Key responsibilities for this role include (but are not limited to) the following: Manage communications between patients and doctors and associated documentation as required, e.g. FSA-related letters, medical referrals, etc. Work with the clinical and operations team to make sure the patient receives fast resolution to any concerns. Collab",https://app.nursefern.com,Case Management (CM),NurseFern,2026-03-27T09:57:14.456134
HEALTH INFORMATION LINE NURSE - REMOTE,Cigna,2026-03-26,Remote,Remote,Full-time,Days,Must Be Licensed In: State Of Residency,"$77,500 - $129,100 Salary","The Health Information Line Nurse is a Registered Nurse responsible for providing telephonic and chat-based clinical triage and health guidance to plan participants. This role supports callers across the full spectrum of care needs from emergent situations to self-care guidance while promoting appropriate healthcare utilization and informed decision-making. The nurse utilizes evidence-based clinical guidelines and online resources to assess symptoms, provide clinical counsel, and direct members to the most appropriate providers or facilities. Additional responsibilities may include proactive patient outreach, benefits education, and health and wellness support. Key Responsibilities Provide telephonic and chat-based clinical triage for symptom-related inquiries, including emergent, urgent, and self-care outcomes Assess medical symptoms using established clinical protocols and decision-support tools Deliver accurate, relevant health and wellness education tailored to member needs Direct callers to appropriate healthcare providers, facilities, and services Educate members on available online tools and the Audio Health Resource Library to enhance access to healthcare and wellness information Maintain clear, concise, and accurate clinical documentation in accordance with standard operating procedures and medical/legal guidelines Identify and refer members to appropriate programs such as Case Management, Chronic Condition Management, and Health Advisor services Participate in proactive outreach initiatives to support population health and care management goals Work Schedule & Availability Operating hours are Monday through Friday, 8:00 a.m. to 9:00 p.m. with shifts scheduled based on operational needs (10 hour shifts) Mandatory participation in overnight, weekend, and holiday on-call coverage, including rotating on-call schedules, based on operational needs Minimum Qualifications Active, unrestricted Registered Nurse (RN) license Minimum of three (3) years",https://app.nursefern.com,Triage,NurseFern,2026-03-27T09:57:18.656516
"Urgent Care Nurse Practitioner (Full Time, Weekend Only)",Teladoc Health,2026-03-20,,Remote,Regular | Perm Employee,Regular | Perm Employee,Remote,,"About the jobJoin the team leading the next evolution of virtual care.At Teladoc Health, you are empowered to bring your true self to work while helping millions of people live their healthiest lives.Here you will be part of a high-performance culture where colleagues embrace challenges, drive transformative solutions, and create opportunities for growth. Together, we're transforming how better health happens.Summary Of PositionAre you passionate about delivering high-quality, compassionate care-and ready to do it from the comfort of your home? JoinTeladoc Health, a pioneer in virtual healthcare, as afull-time,General Medicine Nurse Practitioner (NP), where you'll be on the front lines of accessible, patient-first care.We're seeking experienced, independently licensed NPs who are energized by innovation, technology, and the opportunity to transform the way care is delivered. You'll provide personalized medical care to patients across the country, while collaborating with a supportive and dynamic clinical team.This is a weekend only option which consists of Friday, Saturday and Sunday 12 hour shifts per day.This position supports hiring 100% remote within the U.S.Essential Duties And ResponsibilitiesConduct thorough virtual assessments and diagnose common acute conditions.Develop individualized treatment plans and prescribe medications.Educate patients on preventive care, wellness, and treatment adherence.Document visits efficiently in our intuitive electronic health record system.Collaborate with cross-functional care teams to ensure comprehensive care delivery.Participate in clinical improvement initiatives that shape the future of virtual care.Required QualificationsAdvanced Practice Registered Nurse with either a Master of Science in Nursing (MSN) or Doctor of Nursing Practice (DNP)5+ years of clinical experience as a Nurse Practitioner.Must hold four active state license with full practice and prescriptive authority, including at least one in New York, Virginia, Maryland, Arizona, Illinois, Nevada, Colorado, Washington or Florida prior to interview.Must be willing to obtain additional licenses in the futureMust be nationally NP board certified: FNP-BC or FNP-CExperience providing care across the lifespan, starting from infancy (age 0 and up) as a NP.Must have a minimum of 1 year experience working in an Urgent Care or Emergency Room (ER) setting.Previous Telehealth experience preferred.Must not be excluded from participating in any state or federal healthcare programs.Must have a clean professional record with no board disciplinary actions.Strong clinical decision-making skills and confidence in practicing independently.Tech-savvy and adaptable to telehealth platforms and evolving virtual care protocols.Passion for creating meaningful patient relationships in a digital environmentOur Commitment to You100% remote position - practice from any of the 50 U.S. statesBe part of a mission-driven organization changing healthcare for the better.No need to source your own patients - we take care of scheduling and support.Work alongside a team of experienced clinicians, care navigators, and medical directors.Focus on clinical care - we handle the admin.Access to cutting-edge virtual tools and ongoing professional development.Great benefits including CME Credits, Malpractice Coverage and additional LicensurePhysical RequirementsTo perform this job successfully, an individual must be able to perform each essential job duty satisfactorily. Reasonable accommodations may be made to enable qualified individuals with disabilities to perform essential job functions. Teladoc Health will make reasonable accommodations for the known physical or mental limitations of an otherwise qualified individual in line with company policy.The base salary for this position is$100,000.In addition to a base salary, this position is eligible for productivity pay as well as a performance bonus and benefits (subject to eligibility requirements) listed here:Teladoc Health Benefits 2026. Total compensation is based on several factors including, but not limited to, type of position, location, education level, work experience, and certifications. This information is applicable for all full-time positions.#THMGYou will accrue 8 hours of PTO per semi-monthly pay period. You will also receive 80 hours of Paid Sick, Safe, and Caregiver Leave annually. This applies to full-time positions only. If you are applying for a part-time role, your recruiter can provide additional details.As part of our hiring process, we verify identity and credentials, conduct interviews (live or video), and screen for fraud or misrepresentation. Applicants who falsify information will be disqualified.Teladoc Health will not sponsor or transfer employment work visas for this position. Applicants must be currently authorized to work in the United States without the need for visa sponsorship now or in the future.Why join Teladoc Health?Teladoc Health is transforming how better...",https://teladoc.wd503.myworkdayjobs.com/en-US/teladochealth_is_hiring/job/USA---NY-New-York-City/Urgent-Care-Nurse-Practitioner--Weekend-Only-_JR19705,"Advanced Practice Nurse, Emergency Medicine | Urgent Care",Remote Nurse Connection,2026-03-27T09:56:19.151328
RN Clinical Nurse II - Nurse Connect,UNC Health,2026-03-20,,Remote,Regular | Perm Employee,Regular | Perm Employee,Remote,$33.88 - $47,"About the jobDescriptionBecome part of an inclusive organization with over 40,000 teammates, whose mission is to improve the health and well-being of the unique communities we serve.Prefer candidates with 10+ years of RN experience; critical care or ED experience a plus or equivalent direct bedside med-surge experience.SummaryProvides competent clinical nursing care consistent with professional standards. Reporting and accountable to the Nurse Manager/Director, the Clinical Nurse is responsible for coordinating and delivering patient care utilizing the nursing process in a hospital setting.ResponsibilitiesEducation - Participates in identifying and meeting learning needs of self. Attends education programs based on identified learning needs. With assistance, uses patient education materials relevant to patient population. Assesses readiness to learn of the patient/family/caregivers. Assesses developmental level of patient and factors affecting ability to learn.Evaluation of Care - Identifies expected patient outcomes. Seeks guidance as needed in revision of plan of care. Participates in discussion with members of the interdisciplinary team in evaluation of patient care. Communicates relevant information to promote continuity of care.Implementation - Demonstrates competence in care of patients with complex problems, including population-appropriate physical, psychosocial, educational and safety aspects of care. Performs bedside point of care testing as required for patient care plan. Utilizes healthcare organization and nursing standards, policies and procedures in delivery of care. Organizes and prioritizes care according to patient/family needs. Consults with appropriate resources in a timely fashion regarding patients with complex care issues, unusual teaching needs and/or those at high risk for discharge planning.Leadership - With assistance, develops goals to promote professional growth or minimize limitations. Achieves goals and objectives within identified time frame or renegotiates with supervisor. Is knowledgeable about activities which facilitate intra/interdepartmental collaboration. Participates in development and achievement of unit goals and performance improvement activities. Effectively uses communication systems. Participates in promoting cost-effective care. Gives feedback to co-workers. Is aware of public policy and regulatory guidelines affecting the health care environment. Promotes a safe, clean and secure hospital environment for all.Patient Assessment - Recognizes data from complex situations to determine priorities for care. Includes appropriate physical, psychosocial, education and safety needs. Synthesizes assessment data into meaningful whole prior to communication to others. Assesses and anticipates discharge needs of individual patients and families. Develops relationships with families that promote their ability to advocate for the patient and their own needs.Planning - Collaborates with patient/family to prepare or update the plan of care. Makes use of available multidisciplinary resources in planning care. Begins to use full range of communication as a means to convey planning. Identifies and addresses cultural and ethnic issues in planning patient care. Demonstrates ability to prioritize tasks for patients with complex problems.Research - Reads journals that contain studies or articles that may be applicable to practice. Brings ideas and questions to the staff at large for assessment of applicability.Other InformationOther InformationEducation Requirements:Graduation from a school of professional nursing.If hired after January 6, 2014, must be enrolled within four years of employment, and obtain a Bachelor's degree with a major in Nursing or a Master's degree with a major in Nursing within seven years of employment date.Licensure/Certification RequirementsLicensed to practice as a Registered Nurse in the state of North Carolina.Basic Life Support (BLS) for Healthcare Provider certificationProfessional Experience RequirementsOne (1) year of nursing experience.Knowledge/Skills/and Abilities RequirementsJob DetailsLegal Employer: NCHEALTHEntity: Shared ServicesOrganization Unit: Nurse ConnectWork Type: Full TimeStandard Hours Per Week: 30.00Salary Range: $33.88 - $47.91 per hour (Hiring Range)Pay offers are determined by experience and internal equityWork Assignment Type: RemoteWork Schedule: VariableLocation of Job: US:NC:Chapel HillExempt From Overtime: Exempt: NoThis position is employed by NC Health (Rex Healthcare, Inc., d/b/a NC Health), a private, fully owned subsidiary of UNC Heath Care System. This is not a State employed position.Qualified applicants will be considered without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, genetic information, disability, status as a protected veteran or political affiliation.UNC Health makes reasonable accommodations for applicants' and employees' religious practices and beliefs, as w...",https://jobs.unchealthcare.org/jobs/17499981-rn-clinical-nurse-ii-nurse-connect,"Critical Care, Emergency Medicine | Urgent Care, Entry Level, Registered Nurse | RN, Triage | Telehealth",Remote Nurse Connection,2026-03-27T09:56:19.251141
