job_title,company,date_posted,location,remote_status,employment_type,schedule,license_requirements,salary_range,job_description,apply_link,specialties,source_site,scraped_at
(RN) SENIOR MEDICAL REVIEWER (REMOTE IN SC),BlueCross BlueShield of South Carolina,2026-06-26,Remote,Remote,Full-time,Days,Must Be Licensed In: South Carolina,,"Acts as Team Lead for specialty programs, medical review, utilization management, and case management areas by providing assistance and support to unit supervisor/manager by giving direction/guidance/training to staff. Ensures appropriate levels of healthcare services are provided. **This position is apart of the End-Stage Renal Disease QIP Contract.*** Description Logistics: Palmetto GBA - one of BlueCross BlueShield's South Carolina subsidiary companies. Functions as a team leader/senior-level Medical Reviewer. Provides leadership/guidance/direction/training to staff. Maintains a working knowledge of unit functions and the ability to interpret to new hires, department interworking, and workflow. Acts as a resource for staff/external entities troubleshooting as well as resolving issues. Keeps manager informed of any problems/issues that need resolving. Assists management with monitoring workflow and workloads (including reassignment of work to meet timelines, redirecting work intake source to balance workloads), reporting, and addressing aging issues. Participates in departmental quality reviews. Follows a process to ensure quality plan is adhered to and communicated to all parties. Gives/receives feedback regarding medical review decision making and technical claims processing issues. Ensures that quality work instructions/forms/documents are developed/revised as needed. Provides quality service and communicates effectively with external/internal customers in response to inquiries. Obtains information from internal departments, providers, government, and/or private agencies, etc. to resolve discrepancies/problems. Participates in compliance initiatives and other directed activities. Participates/oversees special projects as requested by management. Required Education: Associate Degree - Nursing OR Graduate of Accredited School of Nursing. Required Work Experience: Four years of clinical, OR Two years of clinical and two years of medical review/utilization",https://app.nursefern.com,Case Management (CM),NurseFern,2026-06-26T11:44:56.081241
CALL CENTER RN - EVENING PART-TIME - REMOTE,UnitedHealth Group,2026-06-26,Remote,Remote,Part-time,Evenings,Must Be Licensed In: Compact,$29 - $52 Hourly,"Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find a culture guided by inclusion, talented peers, comprehensive benefits and career development opportunities. Come make an impact on the communities we serve as you help us advance health optimization on a global scale. Join us to start Caring. Connecting. Growing together. This RN Call Center position supports Optum's Women's Health program, providing telephonic clinical support for high-risk obstetric patients enrolled in case management services. The role focuses on remotely monitoring pregnant patients with complex medical needs, including diabetic pregnancies and other high-risk conditions, while serving as a critical bridge between patients, case managers, and field-based nursing teams. Through proactive outreach, assessment, triage, and care coordination, the nurse helps ensure timely intervention and positive maternal and fetal outcomes. This position is part-time (20 hours/week) and the schedule and hours are 7:30 PM - 12:30 AM EST on the days listed below. Week 1: Sunday, Tuesday, Thursday and Friday Week 2: Monday, Tuesday, Thursday, Saturday You'll enjoy the flexibility to work remotely * from anywhere within the U.S. as you take on some tough challenges. Primary Responsibilities: Monitor high-risk obstetric patients through remote patient monitoring systems, including blood glucose and blood pressure tracking Review clinical alerts and conduct outbound outreach to patients when elevated blood sugar levels, blood pressure readings, or other concerns are identified Assess patients' health status and recommend appropriate care based on clinical judgment, established protocols, and evidence-based guidelines Assess and triage immediate health",https://app.nursefern.com,Triage,NurseFern,2026-06-26T11:44:58.203406
CASE MANAGER - REGISTERED NURSE - REMOTE,UnitedHealth Group,2026-06-26,Remote,Remote,Full-time,Days,"Must Be Licensed In: State Of Residency, California","$60,200 - $107,400 Salary","Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find a culture guided by inclusion, talented peers, comprehensive benefits and career development opportunities. Come make an impact on the communities we serve as you help us advance health optimization on a global scale. Join us to start Caring. Connecting. Growing together. The Care Manager - Registered Nurse provides ongoing support and expertise through comprehensive assessment, planning, implementation, and overall evaluation of individual member needs. The goal of this position is to enhance the quality of member management and satisfaction, to promote continuity of care and cost effectiveness through the integration and functions of care management and discharge planning. It is the purpose of the Care Manager - Registered Nurse to ensure that the psychosocial and educational needs of the members are met. This position assists members and their families/significant others in making appropriate choices regarding the use of health care services. Care management services may be provided telephonically, in a provider office, or at the members' home. You'll enjoy the flexibility to work remotely * from anywhere within the U.S. as you take on some tough challenges. Primary Responsibilities: Develop a comprehensive care management plan that will address members' individual needs which include specific objectives, goals, and actions Prioritizes member care needs upon initial interaction/assessment and address emerging issues Assist members in the management of illness and treatment, monitor adherence, and proactively investigate and address problems that may contribute to non-adherence with the members and other members of the multidisciplinary team Asse",https://app.nursefern.com,Case Management (CM),NurseFern,2026-06-26T11:45:00.298598
QUALITY MANAGEMENT RN PER DIEM- REMOTE OPPORTUNITY,,2026-06-25,Remote,Remote,PRN/Per Diem,Days,Must Be Licensed In: New Jersey,$47.12 - $47.12 Salary,"Capital Health is the region's leader in providing progressive, quality patient care with significant investments in our exceptional physicians, nurses and staff, as well as advanced technology. Capital Health is a dynamic health care resource accredited by the DNV that includes two hospitals, an outpatient center, satellite ED, and an expansive network of primary and specialty care. Capital Health Medical Group is made up of more than 600 physicians and other providers who offer primary and specialty care, as well as hospital-based services, to patients throughout the region. Capital Health recognizes that attracting the best talent is key to our strategy and success as an organization. As a result, we aim for flexibility in structuring competitive compensation offers to ensure we can attract the best candidates. The listed pay range or pay rate reflects compensation for a full-time equivalent (1.0 FTE) position. Actual compensation may differ depending on assigned hours and position status (e.g., part-time). Pay Range: $47.12 - $47.12 Position Overview SUMMARY (Basic Purpose of the Job) Assists with the facilitation of the performance improvement and patient safety activities for the department in accordance with accreditation, regulatory and public reporting/quality measures. Responsible to perform initial screening and analysis of reported events, conduct data abstraction, and facilitate meaningful case review and documentation. MINIMUM REQUIREMENTS Education: Associate's degree or graduate from an accredited school of nursing. Bachelors of Science in Nursing (BSN) preferred. Experience: Three years acute hospital care with understanding of performance improvement. Other Credentials: Registered Nurse - NJ Knowledge and Skills: Possesses excellent organizational, interpersonal, conflict resolution, and verbal and written communication skills. Ability to effectively manage multiple projects simultaneously and ability to respond quickly in a fast-paced envi",https://app.nursefern.com,Quality,NurseFern,2026-06-26T11:45:06.638283
NURSE MEDICAL CODER,Humana,2026-06-25,Remote,Remote,Full-time,Days,"Must Be Licensed In: State Of Residency, Any State, United States","$86,300 - $118,700 Salary","The Senior Market Consultation / Partnership Professional (Nurse Medical Coder) supports Clinical Support Team (CST) initiatives by promoting accurate, compliant, and complete documentation and coding practices that enhance the quality and measurement of programs across risk adjustment. Work assignments involve moderately complex to complex issues where analysis of clinical documentation, coding accuracy, and risk adjustment data requires evaluation of multiple variable factors. Key Responsibilities Perform detailed medical record reviews to ensure accurate ICD-10-CM coding, risk adjustment capture, and alignment with CMS-HCC (e.g., V24/V28) models Validate diagnosis coding and ensure documentation meets compliance standards Identify and escalate coding trends and documentation gaps Serve as a coding subject matter expert supporting CST workflows, including PDV, chart review prioritization, and provider outreach Partner with clinical and operational teams to drive coding accuracy Engage and partner with physicians, physician groups, and market leadership to improve documentation and coding practices Deliver targeted coder education focused on compliance, coding specificity and accuracy Analyze coding trends, audit findings, and performance metrics to identify opportunities for improvement Develop actionable insights and recommendations to improve coding accuracy Support continuous quality improvement processes across CST and stakeholders Exercise judgment in selecting methodologies and approaches to meet program objectives Use your skills to make an impact Required Qualifications Active RN license (BSN preferred) or equivalent clinical licensure Certified Professional Coder (CPC), CRC, CCS Strong knowledge of ICD-10-CM coding guidelines, risk adjustment methodologies, and documentation standards Experience with medical record review, coding validation, and audit processes Proficiency in analyzing and interpreting data trends and applying continuous quality im",https://app.nursefern.com,"Data Abstraction, Quality",NurseFern,2026-06-26T11:45:08.731429
BILINGUAL NURSE NAVIGATOR,Pager Health,2026-06-25,Remote,Remote,Full-time,Days,Must Be Licensed In: Puerto Rico,$0 - $0 Salary,"This position is for a full-time, fully-remote, Registered Nurse who is willing to think creatively and utilize their clinical skills in the field of Telehealth! We are seeking motivated Registered Nurses with 2+ years of clinical hospital experience to work in Pager Health's Command Center where our nurseline serves our members 24/7. This person must be based in Puerto Rico, and have an active, unencumbered RN license in Puerto Rico. In addition, licensure in one or more US states is a HUGE plus. This position entails working 4 - 5 days per week, with mandatory alternating weekends. The core objective of the Triage RN, Nurse Navigator is to use technology to build trust and triage patients to the right care at the right time while providing an exceptional virtual care experience. Responsibilities for the Triage RN, Nurse Navigator: Provide exceptional customer service and virtual care by communicating with patients via phone, live messaging, video, and/or email Document within EMR Follow and apply clinically validated triage protocols Ensure the highest quality customer service for patients and providers Complete basic nursing responsibilities, outpatient testing, medications, etc Troubleshoot technology with patients Work to ensure a seamless patient call center experience Coordinate lab orders, prescription orders, radiology tests, and any aspect of patient care Work on projects that will optimize operational efficiency and improve the patient's telemedicine experience Assist in identifying technology needs that improve patient experience Additional projects as assigned Candidate Profile for the Triage RN, Nurse Navigator: Passionate about patient care and triage Enjoy helping others Ability to use critical thinking when presented with new and challenging situations Relish solving problems, seeking out answers, and trying new things Kind, empathetic and possess a strong social perceptiveness Positive, energetic, and fun! Outstanding multitasking skills Enth",https://app.nursefern.com,"Case Management (CM), Telehealth",NurseFern,2026-06-26T11:45:10.834773
Care Coordinator - Davita IKC - Per Diem,DAVITA,2026-06-20,"California, United States",Remote,Regular | Perm Employee,Regular | Perm Employee,Remote,$24.00 - $27,"Posting Date06/19/2026601 Hawaii St, El Segundo, California, 90245-4814, United States of AmericaJoin DaVita Integrated Kidney Care (IKC) as a Care CoordinatorIt takes a village to care for our patients, and as aCare Coordinator (CC), you'll be at the heart of that Village. You'll be a key player on our care team, helping some of our most complex patients navigate their chronic conditions while ensuring they receive thehighest quality care. You'll work closely with Nurse Practitioners and RN Case Managers to coordinate care, facilitate resources, and keep the patient journey moving smoothly.Position Details:Must be located in CAFully remotePer Diem schedule - 20 hours per week4 hours, 5 days per week or 5 hours, 4 days per weekDaily start time between 7:00-8:00 AMHome work environment must include a quiet, private space with high-speed internetResponsibilities:Coordinate care for patients by ensuring access to eligible resources/programs and assisting with referrals and provider appointmentsPerform outbound calls and respond to inbound calls from patients, providers, and Village resourcesComplete non-clinical screenings and pathways under the guidance of the Manager; escalate to Integrated Care Nurse as neededAssist the clinical team with moving patients through the continuum of care by completing tasks as directedIdentify eligible resources for members and collaborate with Integrated Care Nurses, dialysis clinics, health plans, and other stakeholders to help members enroll in programsCommunicate directly with patients in a timely and professional mannerMaintain accurate, complete, and confidential documentationDemonstrate exceptional two-way communication, both oral and writtenAct in alignment with DaVita's mission and values to deliverhigh-quality patient careQualifications:High school diploma or GED required2+ years of experience in a professional office environmentAbility to handle confidential information with discretion and sound judgmentStrong verbal communication skillsProficiency in Microsoft Office, Excel, and OutlookPrior experience with Electronic Medical Records preferredCommitment to service excellence and patient satisfactionAbility to work autonomously while collaborating effectively with the teamHome workspace must provide a quiet, private environment with reliable high-speed internetPreferred Qualifications:1-3 years clinical medical office experienceCNA or MA experience is a plusExperience coordinating care (referrals, care management, etc.)Familiarity navigating insurance payersExperience in direct patient care or supportPrior medical office environment experienceWhy You'll Love Working Here:Make adirect impacton the lives of patients with complex chronic conditionsBe part of a mission-driven, collaborative care teamFlexible hybrid schedule with opportunity for professional growth#LI-TS2At DaVita, we strive to be a community first and a company second. We want all teammates to experience DaVita as ""a place where I belong."" Our goal is to embed belonging into everything we do in our Village, so that it becomes part of who we are. We are proud to be an equal opportunity workplace and comply with state and federal affirmative action requirements. Individuals are recruited, hired, assigned and promoted without regard to race, national origin, religion, age, color, sex, sexual orientation, gender identity, disability, protected veteran status, or any other protected characteristic.This position will be open for a minimum of three days.The Wage Range for the role is $24.00 - $27.50 per hour.For location-specific minimum wage details, see thefollowing link:DaVita.jobs/WageRatesCompensation for the role will depend on a number of factors, including a candidate's qualifications, skills, competencies and experience. DaVita offers a competitive total rewards package, which includes a 401k match, healthcare coverage and a broad range of other benefits. Learn more atColorado Residents: Please do not respond to any questions in this initial application that may seek age-identifying information such as age, date of birth, or dates of school attendance or graduation. You may also redact this information from any materials you submit during the application process. You will not be penalized for redacting or removing this information.",https://careers.davita.com/job/R0458939/Care-Coordinator-Davita-IKC-Per-Diem?utm_source=remotenurseconnection&utm_medium=jobboard,"Clinical Coordinator | Navigator, Entry Level, Potential for New Grad Nurse (No nursing license required)",Remote Nurse Connection,2026-06-26T11:44:30.912010
"1099 Telehealth Family Nurse Practitioner (FNP) or WHNP PCOS Treatment: IL, WA, OR, FL, TX licenses",PCOS Sisters Telehealth Clinic & Wellness Center,2026-06-20,,Remote,Contract,Contract Employee,Remote,,"This is a remote position.Telehealth Family Nurse Practitioner (FNP) or WHNP PCOS Treatment: WA, OR, TX or (FL & IL autonomous) licenseAny 2 of 3: Active IL, FL, WA, OR, or TX state license as a Family Nurse Practitioner or women's health nurse practitionerAbility to work independently and remotelyExcellent written and verbal communication skillsProficient in technological devices and telehealth platformsExperience in managing PCOS patientsMinimum 2 years experience as a Nurse PractitionerSupervising MD and malpractice insurance providedNo DEA license requiredCover letter/email describing your interest/experience***We will not review applications without a cover letter/email/direct message describing your interest/experience with PCOS***Company DescriptionPCOS Sisters Telehealth & Wellness Center provides healthcare for women with PCOS (Polycystic Ovarian Syndrome) designed, delivered, and founded by Nurse Practitioners. We service FL, GA, NY, TX, AZ, IL, VA, WA, OR, IL, UT, NM via telehealth only. We launched in 3/2022 and are expanding rapidly. PCOS affects between 10-20% of all women globally. We are looking for a passionate, motivated Family Nurse Practitioner who wants to be part of a revolution in women's healthcare. Any experience or familiarity with PCOS patients or start ups is a plus! This position provides an opportunity for continual growth with the company as we expand.*Remote Workers Policy Summary: This position requires availability to our providers, patients, and staff by phone during working hours (excluding lunch break) and is not conducive to juggling multiple jobs and outside distractions. This position requires full exclusivity to the Company during working hours. Must have reliable computer and internet connection. Child care must be utilized during working hours. This is not a position that is conducive to child care and working simultaneously as we require video on for meetings and patient visits.Check us out below[www.pcossisters.com](http://www.pcossisters.com)Role DescriptionThis is a Nurse Practitioner remote role for a 3-month 1099 probationary contract with option to apply for a full time position after 3 months as a 1099 contractor. Current average patients: 5 per day, goal of 10 per day, max 15 per day for full time.The Family Nurse Practitioner will be responsible for providing primary care, medicine, and urgent care consultations to women struggling with Polyendocrine Metabolic Ovarian Syndrome (PMOS) formerly known as Polycystic Ovarian Syndrome (PCOS). Daily tasks will include taking patient histories, interpreting medical histories, performing physical examinations, diagnosis and treatment of illnesses, and developing treatment plans. The FNP must be comfortable with telehealth services and possess a reliable computer with video capabilities and high-speed internet connection.You will have a virtual assistant as well. Our workflow is very streamlined as we are a tech savvy company. We don't accept insurance, as a DPC practice model therefore no credentialing required.Compensation:3 month 1099 Contract period: $58 per hour. Flexible work schedule 20-40 hours per week.Qualifications:IL, WA, OR, FL, TX (Autonomous IL & FL), active FNP or WHNP license.Please send resumes and cover letter/email describing your interest/experience.[www.pcossisters.com](http://www.pcossisters.com)IndustryMedical PracticesEmployment TypeContractorRequirementsMust-have qualificationsDo you have experience with PCOS?Ideal answer: YesDo you have an active state licenses in either WA, FL, TX, OR, or IL?Ideal answer: YesAre you certified as an FNP or WHNP?Ideal answer: YesDo you feel comfortable treating primary care conditions such as diabetes and hypertension?Ideal answer: Yes",https://pcossisters.zohorecruit.com/jobs/Careers/780295000000593001/1099-Telehealth-Family-Nurse-Practitioner-FNP-or-WHNP-PCOS-Treatment-IL-WA-OR-FL-TX-licenses?utm_source=remotenurseconnection&utm_medium=jobboard,"Advanced Practice Nurse, Endocrinology, Entry Level, Featured, Triage | Telehealth, Women's Health",Remote Nurse Connection,2026-06-26T11:44:30.987039
Case Manager Registered Nurse (Illinois),CVS Health,2026-06-20,"Illinois, United States",Remote,Regular | Perm Employee,Regular | Perm Employee,Remote,"$66,575.00 - $142,576","We're building a world of health around every individual - shaping a more connected, convenient and compassionate health experience. At CVS Health, you'll be surrounded by passionate colleagues who care deeply, innovate with purpose, holdourselves accountableand prioritize safety and quality in everything we do. Join us and be part of something bigger - helping to simplify health care one person, one family and one community at a time.Position Summary*Must reside in Illinois and possess IL RN License**Program OverviewHelp us elevate our patient care to a whole new level! Join our Aetna team as an industry leader in serving dual eligible populations by utilizing best-in-class operating and clinical models. You can have life-changing impact on our members who are enrolled in Medicare and Medicaid and present with a wide range of complex health and social challenges. With compassionate attention and excellent communication, we collaborate with members, providers, and community organizations to address the full continuum of our members' health care and social determinant needs. Join us in this exciting opportunity as we grow and expand to change lives in new markets across the country.Our Case Managers use a collaborative process of assessment, planning, facilitation, care coordination, evaluation, and advocacy for options and services to meet an individual's and family's comprehensive health needs through communication and available resources to promote quality, cost effective outcomes.Our Care Managers are frontline advocates for members who cannot advocate for themselves. They are responsible for assessing, planning, implementing, and coordinating all case management activities with members to evaluate the medical needs of the member to facilitate the member's overall wellness.* Develops a proactive plan of care to address identified issues to enhance the short and long-term outcomes as well as opportunities to enhance a member's overall wellness.* Uses clinical tools and information/data review to conduct an evaluation of member's needs and benefits.* Applies clinical judgment to incorporate strategies designed to reduce risk factors and barriers and address complex health and social indicators which impact care planning.*Conducts assessments that consider information from various sources, such as claims, to address all conditions including co-morbid and multiple diagnoses that impact functionality.*Uses a holistic approach to assess the need for a referral to clinical resources and other interdisciplinary team members.*Collaborates with supervisor and other key stakeholders in the member's healthcare in overcoming barriers in meeting goals and objectives, presents cases at interdisciplinary case conferences*Utilizes case management processes in compliance with regulatory and company policies and procedures. Utilizes motivational interviewing skills to ensure maximum member engagement and discern their health status and health needs based on key questions and conversationA Brief OverviewAdministers processes to coordinate and facilitate comprehensive care for individuals by assessing their needs, developing personalized care plans, and coordinating services across healthcare providers. Serves as advocate for patients, ensuring effective communication, resource utilization, and continuous monitoring of their progress to promote positive outcomes and enhance overall well-being.What you will doAdministers the care coordination plan to assess patient needs and ensure seamless transitions between different care settings.Analyzes complex patient data from medical history, diagnostic test results, and treatment plans, to understand the current health status of the patient.Applies in-depth knowledge of case management to organize patient files in an orderly manner for easy retrieval.Communicates through internal platforms to securely exchange messages, conduct video conferences, share files, and collaborate on patient care plans.Conducts routine utilization reviews to ensure patients have access to appropriate cost-effective care.Configures the case management system to organize cases dealing with disease management and utilization review; tracks patient progress and manages specific conditions.Coordinates analytics projects to enable case managers to analyze data and generate reports on key performance health indicators.Designs complex processes to coordinate discharge planning in a safe and timely transition from the hospital to home.Develops resource management to help case managers optimize healthcare with community resources.Required Qualifications* 3-5 years of direct clinical practice experience e.g., hospital setting or alternative care setting such as ambulatory care or outpatient clinic/facility* Confidence working at home/independent thinker, using tools to collaborate and connect with teams virtually* Excellent analytical and problem-solving skills* Effective communications, organizational, and interpe...",https://cvshealth.wd1.myworkdayjobs.com/CVS_Health_Careers/job/IL---Work-from-home/Case-Manager-Registered-Nurse--Illinois-_R0935245?utm_source=remotenurseconnection&utm_medium=jobboard,"Case Management | Care Management, Entry Level, Registered Nurse | RN",Remote Nurse Connection,2026-06-26T11:44:33.104688
RN-Clinical Documentation Improvement Specialist,Mary Lanning Healthcare,2026-06-20,"Nebraska, United States",Remote,Regular | Perm Employee,Regular | Perm Employee,Remote,,"Job Description:TheRN-Clinical Documentation Improvement Specialistposition is responsible for providing improvement in the overall quality and completeness of medical record documentation. This position will obtain appropriate clinical documentation through extensive interaction with physicians, nursing staff, other patient caregivers, and coding staff to ensure that appropriate reimbursement is received for the level of service rendered to patients and the clinical information utilized in profiling and reporting outcomes is complete and accurate and provides education to members of the organization on documentation guidelines and improvement efforts.Position can be remote, on-site or hybrid depending upon candidate selected.Position Requirements:Education-Associate Degree in Nursing required. Bachelors Degree in Nursing preferred.Experience-Clinical Documentation Improvement Specialist (CDIS) experience and/or training preferred.Certifications-Current registered nurse (RN) license or temporary permit from the State of Nebraska required.We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability status, protected veteran status, or any other characteristic protected by law.",https://marylanning.wd1.myworkdayjobs.com/marylanningcareers/job/Remote---US---Nebraska/RN-Clinical-Documentation-Improvement-Specialist_REQ-2026-1276-1?utm_source=remotenurseconnection&utm_medium=jobboard,"CDI | Clinical Documentation Integrity Specialist, Coding, Entry Level, Registered Nurse | RN",Remote Nurse Connection,2026-06-26T11:44:33.172664
