job_title,company,date_posted,location,remote_status,employment_type,schedule,license_requirements,salary_range,job_description,apply_link,specialties,source_site,scraped_at
"PRN CLINICAL TRIAGE NURSE, RN ( FLEX)",HarmonyCares,2026-09-10,Remote,Remote,PRN/Per Diem,"Days, Evenings","Must Be Licensed In: Compact, Florida, Georgia, Illinois, New Jersey, New York, Ohio, Michigan, Pennsylvania, Texas, Virginia, Washington, Wisconsin",$35.14 - $38.28 Hourly,"HarmonyCares is a leading national value-based provider of in-home primary care services for people with complex healthcare needs. Headquartered out of Troy, Michigan, HarmonyCares operates home-based primary care practices in 14 states. HarmonyCares employs more than 200+ primary care providers to deliver patient-centered care under an integrated, team-based, physician-driven model. Our Mission- To bring personalized, quality-based healthcare to the home of patients who have difficult accessing care. Our Shared Vision- Every patient deserves access to quality healthcare. Our Values- The way we care is our legacy. Every interaction counts. Go the extra mile. Empower and support each other. Why You Should Want to Work with Us - Health, Dental, Vision, Disability & Life Insurance, and much more - 401K Retirement Plan (with company match) - Tuition, Professional License and Certification Reimbursement - Paid Time Off, Holidays and Volunteer Time Paid - Established in 11 states - Largest home-based primary care practice in the US for over 28 years, making a huge impact in healthcare today! Responsibilities The Clinical Triage Nurse, RN assists with triage of inbound sick calls from Medical Group patients. The primary responsibility will be to assess patient symptoms, provide appropriate medical advice, determine the level of care required and coordinate care with a care team. The Clinical Triage Nurse, RN also reviews clinical test results, utilizing clinical judgement to summarize results to assist providers in their review process. This position requires strong clinical knowledge, excellent communication skills, and the ability to work remotely, providing critical healthcare guidance to patients in need. Essential Duties and Responsibilities Prioritizes and responds promptly to each inbound phone call and voicemail received Adheres to daily availability expectations based on schedule Demonstrates exceptional customer service by addressing all inquiries",https://app.nursefern.com,Triage,NurseFern,2026-09-11T13:19:46.485028
BILINGUAL REMOTE TRIAGE NURSE | COLORADO RESIDENTS ONLY,,2026-09-10,Remote,Remote,Full-time,,Must Be Licensed In: Colorado,$34.7 - $43.95 Hourly,"*Must be bilingual in Spanish and English.* **Candidates must live within one hour of our clinics to be considered.** The Triage Nurse is part of the Clinica Family Health & Wellness nursing team, responsible for using decision-making skills to assess patient needs. You will apply clinical knowledge and judgment and use decision-making skills to analyze and act on patient care issues. You may provide support in assessment of symptoms, determination of symptom acuity, offering information related to symptom management, patient education and care coordination. While answering calls, you demonstrate the ability to initiate appropriate nursing interventions in prompt, precise and a professional manner. Assists patients and family members or other clients with concern and empathy. ESSENTIAL DUTIES AND RESPONSIBILITIES: Assess patients' medical problems and complaints by phone. Obtain history and gather triage information to determine appropriate avenue for care, such as emergency room, urgent care, clinic appointment, or home advice. Assist in the management of patient utilization of health care system and provide patient education relative to health care needs, use of community resources and responsibilities of membership in managed care. Provide telephone advice according to established guidelines and protocols. Arrange for evaluation by a provider when indicated either by scheduling an appointment or telephone follow-up. Educate patients and families by phone about minor illnesses, medication usage, health maintenance needs, blood sugar monitoring, nebulizer usage and other prescribed health care regimens, operational procedures, and specialist referrals. When necessary, secure appropriate interpreting services to handle communication with patients. Participate in Quality Assurance activities as directed. Work collaboratively with other Clinica Family Health staff in meeting HRSA, AAAHC, OSHA and other regulatory and/or funding requirements. Accurately document pa",https://app.nursefern.com,Triage,NurseFern,2026-09-11T13:19:48.597111
CLINICAL DOCUMENTATION INTEGRITY SPECIALIST,WakeMed,2026-09-10,Remote,Remote,Full-time,Days,Must Be Licensed In: State Of Residency,$0 - $0 Salary,"The Clinical Documentation Integrity Specialist is responsible for maintaining accurate, complete, concise documentation for improvement and integrity of the healthcare system. Serves as a resource to physicians and other members of the healthcare team in matters relating to DRGs, SOI/ROM, ICD-10 CM/ PCS, HCCs, APCs, and CPT information. Maintains a level of knowledge and understanding of AHIMA guidelines and knowledge of compliance and regulatory agency expectations of compliant queries. Communicates with coding team, senior coding team and outside departments regarding documentation clarification and accurate coding. **Eligible remote states include NC, FL, GA, SC, SD, TN, TX and VA.** Department Description Serving the community since 1961, WakeMed Health & Hospitals is the leading provider of health services in Wake County. With a mission to improve the health and well-being of our community, we are committed to providing outstanding and compassionate care. For more information, visit www.wakemed.org. EOE Licensure Licensed Physician Assistant Preferred Registered Health Information Administrator Preferred Registered Health Information Technician Preferred Certified Documentation Improvement Practitioner Preferred Certified Coding Specialist Preferred Certified Clinical Documentation Specialist Preferred Education Associate's Degree Required Bachelor's Degree Preferred Master's Degree Physician Assistant Preferred Experience 2 Years Clinical - Acute Care Or Coding - Inpatient Or Diagnosis-Related Group Analysis Required 2 Years Clinical - Cardiology Or Clinical - Critical Care (ICU/CCU)",https://app.nursefern.com,Clinical Documentation Integrity (CDI),NurseFern,2026-09-11T13:19:50.682851
"ADVANCED PRACTICE CLINICIAN (NP-MNA/PA) - ADULT TELEHEALTH, AFTER HOURS",UnitedHealth Group,2026-09-10,Remote,Remote,Full-time,Days,Must Be Licensed In: Massachusetts,"$109,500 - $164,000 Salary","Atrius Health, part of the Optum family of businesses, is seeking an Adult Tele-Health Advanced Practice Clinician (NP or PA) to join our team in Boston, MA. Optum is a clinician-led care organization that is changing the way clinicians work and live. As a member of the Optum Care Delivery team, you'll be an integral part of our vision to make healthcare better for everyone. At Optum, you'll have the clinical resources, data and support of a global organization behind you so you can help your patients live healthier lives. We believe you deserve an exceptional career, and will empower you to live your best life at work and at home. Experience the fulfillment of advancing the health of your community with the excitement of contributing new practice ideas and initiatives that could help improve care for millions of patients across the country. Because together, we have the power to make health care better for everyone. Join us and discover how rewarding medicine can be while Caring. Connecting. Growing together. Position Highlights & Primary Responsibilities: Clinical Care Evaluate and manage patient concerns through telephone and virtual encounters. Assess symptoms, determine acuity, and provide clinical recommendations using evidence-based guidelines. Facilitate appropriate disposition, including home care, urgent care evaluation, emergency department referral, or provider follow-up. Manage urgent, high-priority, and routine patient calls in accordance with department policies. Review and address abnormal laboratory and diagnostic results when assigned. Provide medication management, prescription renewals, and treatment recommendations within scope of practice and organizational protocols. Document all patient interactions accurately and timely within the electronic medical record. Operational Responsibilities Participate in evening, overnight, weekend, and holiday coverage schedules. Maintain awareness of call volume and support workflow management du",https://app.nursefern.com,Telehealth,NurseFern,2026-09-11T13:19:52.795829
INPATIENT CARE MANAGEMENT NURSE RN - REMOTE PST MST OR CST,UnitedHealth Group,2026-09-10,Remote,Remote,Full-time,Days,Must Be Licensed In: State Of Residency,"$60,200 - $107,400 Salary","As an Inpatient Care Management Nurse, you will be responsible for ensuring proper utilization of our health services. This means you will be tasked with assessing and interpreting member needs and identifying solutions that will help our members live healthier lives. This is an inspiring job at a truly inspired organization. What makes your nursing career greater with UnitedHealth Group? You can improve the health of others and help heal the health care system. You will work within an incredible team culture; a clinical and business collaboration that is learning and evolving every day. And, when you contribute, you'll open doors for yourself that simply do not exist in any other organization, anywhere. You'll enjoy the flexibility to work remotely * from the Pacific, Mountain, or Central Time Zone regions within the U.S. as you take on some tough challenges. Primary Responsibilities: Perform initial and concurrent review of inpatient cases applying evidenced-based criteria (i.e. MCG/Interqual criteria) Discuss cases with facility healthcare professionals to obtain plans-of-care Collaborate with Optum Enterprise Clinical Services Medical Directors on performing utilization management Participation in discussions with the Clinical Services team to improve the progression of care to the most appropriate level Consult with the Medical Director, as needed, for complex cases and make appropriate referrals to downstream partners Apply clinical expertise when discussing case with internal and external Case Managers and Physicians Identify delays in care or services and manage with MD Follow all Standard Operating Procedures in end to end management of cases Obtain clinical information to assess and expedite alternate levels of care Facilitate timely and appropriate care and effective discharge planning Participate in team meetings, education, discussions, and related activities Maintain compliance with Federal, State and accreditation organizations Identify opportu",https://app.nursefern.com,Case Management (CM),NurseFern,2026-09-11T13:19:54.880773
REGISTERED NURSE- TELEHEALTH TRIAGE-TEMPORARY,,2026-09-10,Remote,Remote,Contract,Days,Must Be Licensed In: California,$50.09 - $75.09 Hourly,"*Schedule: Monday - Friday from 8:00 am-5:00 pm. This is a full-time, temporary role with an anticipated end date of 12/31/2026. While this position is primarily remote, candidates must be located in San Diego County or Inland Empire and must be willing to travel to our Escondido or Moreno Valley Headquarters for training as needed.* ROLE OVERVIEW and PURPOSE The Telehealth Registered Nurse will work to support the mission and vision of Neighborhood Healthcare by providing excellent patient-centered care and services within a dynamic team environment. This role will triage patients by evaluating and assessing their responses to determine care options. Additionally, this role will refer patients to a provider or recommend other treatment plans. RESPONSIBILITIES Answers patient calls on a wide range of healthcare topics during normal clinic hours Assesses patients understanding of their condition and identify potential care and/or provider gaps Evaluates, assesses, and triages immediate health concerns and documents outcomes; including determining if the concern requires emergency care or an appointment to see a provider Searches a database of conditions and treatments for patients Clinical Administration: Provides patient advice and education on handling their situation Provides ongoing training and support to Call Center Representatives (CCR) and others to assure effective and appropriate patient services through the Call Center Patient Education: Serves as a clinical resource to the Call Center and across the continuum of care to influence organizational standards related to patient safety and care delivery Serves as a resource for patients by providing education and guidance to support positive health outcomes Initiate patient education plan according to individualized needs, including patient and family instructions Educates and instructs patients regarding lab tests, results, medication functions, and expectations to gain cooperation and allay apprehensio",https://app.nursefern.com,Triage,NurseFern,2026-09-11T13:19:56.976186
"CLINICAL CARE SPECIALIST, REGISTERED NURSE (1099)",9amHealth,2026-09-10,Remote,Remote,Full-time,Days,"Must Be Licensed In: Compact, State Of Residency",$0 - $0 Salary,"9amHealth is seeking experienced Registered Nurses (RNs) to provide virtual nursing services to members living with chronic cardiometabolic conditions. This is an independent contractor engagement. RNs use their professional nursing judgment and expertise to conduct virtual nursing visits, perform clinical intake and assessments, triage messages, provide member education and coaching, and identify concerns requiring escalation to the appropriate clinical provider. Services are provided within the RN's professional scope of practice and in accordance with applicable laws, regulations, clinical standards, and established care protocols. Services You'll Provide Virtual Nursing Visits Conduct scheduled telehealth nursing visits with members managing chronic cardiometabolic conditions, including obesity, diabetes, hypertension, and dyslipidemia. Visits may include structured clinical intake and assessment, medication reconciliation, symptom and side-effect review, and identification of clinical concerns requiring escalation. Member Messaging Provide nursing support to members through messaging. Review and respond to member questions related to symptoms, medications, side effects, chronic disease management, and established care plans within the RN scope of practice. Gather relevant clinical information, provide appropriate education and guidance, and identify messages requiring escalation to a provider. Member Education and Support Provide evidence-based education within the RN scope of practice, including medication support, side-effect education, lifestyle guidance, and chronic disease self-management. Care Coordination and Clinical Escalation Identify and communicate acute clinical findings, medication-related concerns, changes in member status, or other issues requiring review by the appropriate provider or care team. Coordinate follow-up information as necessary to support continuity of member care. Clinical Documentation Ensure accurate and timely documenta",https://app.nursefern.com,Telehealth,NurseFern,2026-09-11T13:19:59.064376
VIRTUALLY INTEGRATED CARE RN,CommonSpirit,2026-09-10,Remote,Remote,PRN/Per Diem,"Days, 12hr shifts",Must Be Licensed In: Arizona,$35 - $58.63 Hourly,"As our Virtually Integrated Care RN, you will be a pivotal provider, empowering patients toward optimal health through comprehensive remote support and collaborative care coordination. You will be instrumental in bridging care gaps and enhancing engagement in a dynamic virtual environment.Every day you will meticulously assess patient needs, develop personalized care plans, and provide direct clinical coaching. You will proactively monitor progress, coordinate diverse services, and leverage telehealth, diligently tracking compliance, documenting interactions, and contributing to quality improvement.To be successful in this vital role, you will leverage advanced clinical expertise, communication, and technological proficiency for high-quality virtual care. You will collaborate seamlessly with providers and teams, optimizing complex pathways. Collaborates virtually with physicians, nurses and other health care team members in the provision of clinical patient care. Including virtual assessment of the medical, physical and psychological status of patients and responding to routine, urgent and emergent patient issues. Proactively oversees the patient care plan to implement preventive measures that improve patient safety and the quality of care delivered via telemedicine technology, and surveillance of physiological trends. Drives risk reduction through participation in root cause analysis (RCA's), quality surveillance, as well as compiling and interpreting large data sets of patient information. Collaborates with unit leadership and provides oversight of unit quality programs and metrics. Ensures evidence based practices are being followed by team members to provide the highest quality care and safety for patients. Supports management to ensure all aspects of clinical operations are conducted and documented in compliance with relevant internal policies, standards/procedures, and applicable regulatory requirements. Assesses on a continuous basis, services, patient outco",https://app.nursefern.com,"Telehealth, Virtual Care",NurseFern,2026-09-11T13:20:01.142259
"REGISTERED NURSE, AFTER HOURS TRIAGE",,2026-09-10,Remote,Remote,Part-time,Evenings,Must Be Licensed In: Minnesota,$36.37 - $54.55 Hourly,"Park Nicollet is looking to hire a Registered Nurse to join our After-Hours Triage team! Come join us as a Partner for Good and help us make an impact on the care and experience that our patients and their families receive every day. Position Summary: The Nurse Line Triage nurse works off clinic hours including weekends and holidays, independently providing professional and appropriate telehealth nursing services to patients and/or family members for all Primary Care, Ob/Gyn, and other Specialty departments as assigned. This is done utilizing a systematic approach to nursing practice incorporating assessment, planning, nursing diagnosis, implementation and evaluation in accordance with the Nurse Practice Act and its recognized professional standards. Uses Park Nicollet and other approved Triage Guidelines and Protocols to support assessment and plan of care, will implement population based standing orders to treat patients when appropriate based on Park Nicollet Health Services standing orders and policies. Functions as a liaison between physicians and patients, in the delivery of complex or multi-specialty telephone care. The individual must be flexible and have strong interpersonal skills. The nurse must be a patient advocate, maintaining the patient's confidentiality and patient rights. The nurse resolves patient concerns or complaints while maintaining a positive, personalized and friendly attitude, addressing patient needs in a timely and appropriate manner. Functions as a mentor to other team members and works collaboratively with team to identify and resolve department and/or guideline issues through established procedures. Supports a team environment which allows clear communication, positive support and creative thinking. Rotates as ""Charge Nurse"" once appropriate skills are developed. Work Schedule: Monday - Friday 5:00pm to 11:00pm Every other Saturday, Sunday evening Every other holiday 20 hours per pay week/.5 FTE Full time training is required fo",https://app.nursefern.com,Triage,NurseFern,2026-09-11T13:20:03.230642
RN TRIAGE - OBGYN,Endeavor Health,2026-09-10,Remote,On-site,Full-time,Days,Must Be Licensed In: Illinois,$35.15 - $52.64 Hourly,"$33.96 - $52.64 - The hourly pay rate offered is determined by a candidate's expertise and years of experience, among other factors. Endeavor Health is currently conducting a comprehensive review of our compensation structure. The new minimum for this role will be adjusted to $35.15 base pay hourly rate beginning with the second paycheck in October. Position Highlights: Position: RN Triage - OBGYN Location: 1220 Hobson Road, Naperville Part time 24 hours Hours: M-W-F 8:30-5 Required Travel: No What you will do: Reviews patient voicemails and talks directly to patients on the telephone or via Mychart and directs patients to appropriate level of care (emergency department, urgent care centers, physician office) per protocol or provides appropriate home medical advice. Conducts patient telephone assessment utilizing nursing skills to determine problems, intervening according to the patients need and gives instructions to patient/caregiver. Evaluates patient's and caregiver's understanding of instructions using teach-back methodology and conveys related information and issues to appropriate clinical staff by telephone or by utilizing the EMR. Sends patients with high-risk chief complaints such as chest pain, abdominal pain, or severe headaches, signs and symptoms of stroke to emergency department immediately, Arranges appointments for patients who do not need to go to emergency department but need to see a physician. Escorts patients to examination rooms, obtains and electronically records vital signs, reason for visit and other patient data. Makes patient comfortable while waiting for provider. Prepares patient for exam and/or procedure. Sets up room with necessary equipment. Performs all immunizations and assists with diagnostic and other in office procedures (i.e., colposcopy, LEEP, ESSURE, ablation, lab tests, venipuncture, specimen collection, etc.). What you will need: Bachelors Degree Science - Preferred 1 Year of telephone triage experience",https://app.nursefern.com,Triage,NurseFern,2026-09-11T13:20:05.323938
