job_title,company,date_posted,location,remote_status,employment_type,schedule,license_requirements,salary_range,job_description,apply_link,specialties,source_site,scraped_at
REMOTE CLINICAL NURSE IVF COORDINATOR (RN),,2026-08-18,Remote,Remote,Full-time,Days,Must Be Licensed In: Massachusetts,$38 - $42 Hourly,"With more than 150,000 babies born since 1986, Boston IVF is one of the most experienced fertility centers in the world. We proudly offer the most innovative fertility treatments, groundbreaking reproductive technologies - and so much more. We diagnose the most difficult cases. We instill hope. We offer advice and a shoulder to lean on when our patients need it most. Our sole mission is to provide individuals and couples with the best chance for a successful pregnancy - and each day we cherish the bonds we form with our patients. Schedule: Monday-Friday, 9:00am - 5:00pm EST *2 weekend shift a month requirement, with 3 holidays per year At Boston IVF | IVIRMA North America, we have a deep commitment to diversity, equality, and inclusion. We are dedicated to building a diverse team, fostering an inclusive culture for every employee, and upholding an environment where everyone is treated with compassion and respect. Essential Duties and Responsibilities: Provide primary nursing care to patients undergoing advanced reproductive technology (ART) and ovulation induction (O.I.). Work in conjunction with other nurses, medical assistants, advanced practice providers, physicians, laboratory personnel, O.R./PACU staff, administrative assistants and receptionists to ensure the smooth daily flow of the clinical practice. Job Requirements and Skills: Nursing Diploma and current MA license required Minimum two years of nursing experience required Women's health experience strongly preferred Infertility practice background a strong plus Experience: Nursing: 2 years (Required) Infertility: 1 year (Required) IVI-RMA offers a comprehensive benefits package to all employees who work a minimum of 30 hours per week. Medical, Dental, Vision Insurance Options Retirement 401K Plan Paid Time Off & Paid Holidays Company Paid: Life Insurance & Long-Term Disability & AD&D Flexible Spending Accounts Employee Assistance Program Tuition Reimbursement EEO ""IVIRMA is an Equal Oppo",https://app.nursefern.com,"Case Management (CM), Triage, Nurse Consultant",NurseFern,2026-08-19T09:34:58.362520
FREELANCE CLINICIANS,,2026-08-18,Remote,Remote,Contract,,"Must Be Licensed In: State Of Residency, Any State, United States",$0 - $0 Salary,"League is one of the fastest-growing technology companies in Canada and the leading healthcare experience platform. Getting healthcare is often the easy part - finishing it is where things fall apart: people book the appointment and skip the follow-up, fill the prescription and stop taking it, get the referral and never make the call. That gap costs health plans and health systems money, and it costs people their health. League closes that gap - identifying what each person needs to do next, clearing what's in their way, and getting it done, for the 70 million+ people whose care already runs through our platform. Health plans and health systems trust us to do this at scale. Organizations like Manulife, SCAN, Geisinger, and Medibank on the payer side, and Baptist and Shoppers Drug Mart on the provider side. Position Summary: We're building a network of experienced clinicians and experts to support a range of digital health projects. The through-line is clinical and expert judgment: the situational, real-world reasoning that shapes the reasoning of League's products being safe and trustworthy. We are building a pipeline of clinicians to be pulled from our roster into project-centric engagements. This is a great fit for clinicians who are looking for flexible, remote work - and who want their expertise to shape health-centric products that are built. The kind of work that you might do: Engagements vary, but could include: AI agent evaluation - supporting the development and validation of rubrics, reviewing AI-generated health responses against structured rubrics, flagging where guidance. oversteps scope or crosses into unsafe territory, providing written feedback on how agent responses can be improved for safety and utility. Subject-matter input - providing an expert perspective to the design of care pathways and other clinically-focused solutions that League is building. Clinical review - validating that League's capabilities, programs, and content reflect cur",https://app.nursefern.com,Nurse Consultant,NurseFern,2026-08-19T09:35:00.475941
REGISTERED NURSE TRIAGE AND TRANSITIONS TEAM,Intermountain Health,2026-08-18,Remote,Remote,Full-time,,"Must Be Licensed In: Colorado, Montana",$35.22 - $53.29 Hourly,"The RN Transition and Triage Care Manager offers comprehensive, time-limited services to patients and their families, ensuring continuity of care as they move across healthcare settings and clinicians. This role aims to prevent health complications, connect patients to resources, and guide them to the appropriate level of care. Utilizing clinical expertise, technology, and evidence-based practices, the manager assesses, plans, implements, and evaluates patient care through telephone or digital communication methods. Effective collaboration with patients, families, healthcare providers, payers, community-based providers, and other involved parties is essential to deliver efficient, effective, and patient-centered care management services. The manager operates in various settings, including triage, transitions of care, clinics, communities, and post-acute care environments. Position Details: The RN Triage and Transition is a remote position; however the caregiver must reside in Colorado or Montana and be within close proximity to an Intermountain Health Facility (preferably under an hour). Shift: This position will alternate between two shifts: 0700-1630 and 0800-1730 with one 4 hours shift per week 0930-1330 and 1330-1730 and 4 nine hour shifts. Essential Functions Patient Identification and Assessment: Identifies patients for proactive interventions using specific screening criteria, medical record review, payor models, medical risk scores, or referrals. Assesses patients' medical, functional, and social conditions per department policy/guidelines to develop individualized care plans, care recommendations, or referrals as appropriate. Care Plan Management: Coordinates with internal and external services for social determinants of health (SDoH) needs and care in the community. Evaluates the effectiveness of the patient's care plan and outcomes. Modifies the plan of care or specific interventions, as appropriate. Acute Symptom Triage: Conducts remote nursing asse",https://app.nursefern.com,Triage,NurseFern,2026-08-19T09:35:02.608607
CASE MANAGEMENT NURSE I (REMOTE ELIGIBLE),Wellmark,2026-08-18,Remote,Remote,Full-time,Days,"Must Be Licensed In: State Of Residency, Iowa, South Dakota",$0 - $0 Salary,"About the role: As a Case Management Nurse I, you will serve as a key advisor who actively engages with members through a variety of channels to foster a caring and trusting level of connection in order to support their chronic and/or complex health care needs and concerns. You will create and manage unique, individualized care plans that ensure the best possible health care goals and complex health needs are reasonably met. You will partner with members, members' families, health care providers and community resources to coordinate and facilitate care and services. About you: You are a dedicated, caring health care professional motivated and inspired by the opportunity to provide ongoing personalized support and education to our members. You thrive in a fast-paced work environment where your time management, prioritization, and multi-tasking skills are critical to success. You see yourself as being resourceful, collaborative and adaptable with a keen ability to influence. Technology savviness, such as experience in utilizing and troubleshooting Microsoft Office products (Outlook, Excel, Teams, etc), is a must. Candidates located in Iowa or South Dakota preferred. Top candidates will have prior health plan experience along with a diverse clinical background, including behavioral health experience. In this position, you will be required to obtain a Certified Case Manager (CCM) certification within 24 months from date of hire and maintain throughout time served in position. This role is remote eligible and will require candidates to provide high-speed internet at their work location. Qualifications Preferred Qualifications - Great to have: Certified Case Manager (CCM). Care navigation/care coordination experience strongly preferred. Behavioral health experience. Required Qualifications - Must have: Completion of an accredited nursing program. Active and unrestricted RN License in Iowa or South Dakota. Individual must be licensed in the state in which they r",https://app.nursefern.com,Utilization Review & Management (UR/UM),NurseFern,2026-08-19T09:35:04.717659
UTILIZATION MGMT NURSE,Blue Cross and Blue Shield of Nebraska,2026-08-18,Remote,Remote,Full-time,Days,"Must Be Licensed In: Compact, Nebraska",$0 - $0 Salary,"At Blue Cross and Blue Shield of Nebraska, we are a mission-driven organization dedicated to championing the health and well-being of our members and the communities we serve. Our team is the power behind that promise. And, as the industry rapidly evolves and we seek ways to optimize business processes and customer experiences, there's no greater time for forward-thinking professionals like you to join us in delivering on it! As a member of Team Blue, you'll find purpose, opportunities and the support you need to build a meaningful career and make a powerful impact in our community. This position works collaboratively with health care providers and other team members, including Medical Directors and Pharmacists, to ensure members receive high quality, medically necessary care in a timely fashion in a setting that maximizes benefit coverage and health outcomes in accordance with company policies and procedures. Candidates applying to this remote nursing position can live in one of the following states: Florida, Iowa, Kansas, Missouri, Nebraska, North Dakota, and Texas. What you'll do: Conduct prospective, concurrent, retrospective, and post-service clinical claim certification and authorization reviews to assess the medical necessity of medical and/or behavioral health inpatient admissions, outpatient services, out-of-network services, and appropriateness of treatment setting by utilizing and accurately interpreting applicable medical policy, evidence based clinical criteria, standards of care, contract language, benefits, and member eligibility. Educate providers about member benefits, coverage, and provider networks, as well as utilization management processes and procedures. Facilitate appropriate and timely transitions of care utilizing member's contract language and clinical criteria coordinates discharge planning with providers for the appropriate level of care (SNF, ARU, LTAC, hospice) or discharge to home. Identify members appropriate for care management",https://app.nursefern.com,Utilization Review & Management (UR/UM),NurseFern,2026-08-19T09:35:06.845237
NURSE CASE MANAGER - NICU (NY RN),ProgenyHealth,2026-08-18,Remote,Remote,Full-time,Days,Must Be Licensed In: New York,$0 - $0 Salary,"The Case Manager will focus on empowering the members' family to support optimal wellness while advocating for the necessary medical services across the health care continuum. The Case Manager works in a telephonic managed care setting combining strong clinical knowledge and critical thinking to facilitate a plan of care that will ensure quality medical care for the high-risk member population serviced by ProgenyHealth based on the CMSA national standards for case management practice. Requirements Assesses the physical, functional, psychological, environmental, educational, and financial needs of members referred to the Case Management program. Completes needs assessments for all members in CM and develops care plans individualized to the needs of each member as per ProgenyHealth policies and procedures. Assigns risk stratification based on complexity of medical and social needs and determines ongoing frequency of calls to continually assess plan of care. Monitors the care plan to ensure effective, appropriate provision of services and adequacy of benefits. Interfaces with providers to assist with care coordination activities, which can include appointments, transportation, DME, etc. Provides education to members regarding condition, treatment plan, benefits, services, and how to access needed care. Monitors ongoing progress towards goal achievement and reassess changes in health status throughout continuum of care. Provides referrals to appropriate community resources; facilitates access and communication when multiple services are involved; monitors activities to ensure that services are actually being delivered and meeting the needs of the member. Participates in interdisciplinary and client rounds with pertinent health care team members to identify, clarify, and/or prevent risk, quality, or plan of care variances. Qualifications Preferred EST or CST time zone. Registered Nurse (RN) with a current, unrestricted license in NY State required. College degree is",https://app.nursefern.com,Case Management (CM),NurseFern,2026-08-19T09:35:08.954086
UTILIZATION MANAGEMENT NICU NURSE,ProgenyHealth,2026-08-18,Remote,Remote,Full-time,Days,Must Be Licensed In: State Of Residency,$0 - $0 Salary,"Clinical care (UM) nurses coordinate overall member care, from pre-admission, continued stay (concurrent review) and any outpatient services utilizing a pro-active, evidence-based decision-making process that is physician sensitive and attaining quality outcomes for the members. The clinical care nurse serves as a nurse reviewer for admissions, lengths of stay and a facilitator for discharge planning. This position functions as a liaison between the providers, hospitals and health plans. Responsible for the implementation of client-specific contracted polices, managed care policies and must be very knowledgeable about benefits, criteria and guidelines used for reviews. Must be adept at identifying and referring potential quality of care issues to the Medical Director, client and/or appropriate staff. Requirements Responsibilities: Initiating the continuum of care process for neonatal admissions. Interacting telephonically and in writing with hospital staff to collect clinical information for newborns in intensive care nurseries in order to facilitate medical necessity determinations. Coordinating discharge planning needs for newborns being discharged from intensive care nurseries. Authorization of all services requiring prior authorization, based upon health plan specific service agreements. Review of all services (readmissions and elective procedures) for first year of life. Documenting all activities in the electronic medical record. May include evening and/or weekend on call. Qualifications Registered Nurse (RN) with a current, unrestricted license is required Three or more years of clinical experience as a nurse in a Level III or Level IV NICU is required. Three or more years of experience working in a concurrent review or discharge planning role within a health plan or an acute facility is strongly preferred. Must be willing to provide weekend and holiday coverage occasionally. Experience with Interqual and/or MCG is preferred. Experience with URAC and/or",https://app.nursefern.com,Utilization Review & Management (UR/UM),NurseFern,2026-08-19T09:35:11.052399
REGISTERED NURSE,Thirty Madison,2026-08-18,Remote,Remote,Full-time,,Must Be Licensed In: Compact,$42.3 - $42.3 Hourly,"As a Registered Nurse, you will work closely with our providers and patients through many stages of their journey. You are both patient and provider-facing, from helping patients receive medical records, to assisting providers in coordinating treatment plans. You'll partner with and support the Customer Experience team, our medical network, and patients across all of our brands. Comp | Perks | Benefits The base pay range for this position is $42.30 per hour** Robust and affordable Medical, Dental, and Vision plan options Vacation time off policy - up to 10 vacation days accrued your first year. Vacation time begins accruing immediately **Base pay offered may vary depending on job-related knowledge, skills, and experience. What you get to do every day Review medical history with patients in preparation for prescriber review Provide patient counseling on the use, safety, and side effects of medications prescribed through our platform Counseling and treatment disposition for patients Complete and submit required public health reporting Collaborates in establishing the plan of care, coordinates and implements care delivery while anticipating patient care needs across the continuum of our platform Analyzes comprehensive information pertinent to the patient's care and management to determine nursing diagnosis Continually utilizes the nursing process to evaluate a patient's progress towards goals and applies appropriate interventions to ensure effective outcomes The registered nurse may also contribute to other areas of the business related to clinical care, such as development of counseling resources for patients, process improvement, and audits of clinical quality and operations Attending scheduled RN meetings; Staying up to date with process improvement or workflow change implementations Other duties as assigned What you bring to the role Registered Nurse in good standing with a compact license; compact license a must Primary care experience preferred Additiona",https://app.nursefern.com,"Triage, Telehealth",NurseFern,2026-08-19T09:35:15.293367
ACUTE CARE RN NAVIGATOR - CASE MANAGEMENT,Tufts,2026-08-18,Remote,On-site,Full-time,Days,Must Be Licensed In: Massachusetts,"$91,879.42 - $117,150.49 Salary","This role focuses on providing professional and nonprofessional nursing care services in accordance with physician orders. In addition, this role focuses on performing the following Nurse Navigator duties: Focuses on the patient's needs and helps guide the patient through the healthcare system and works to overcome obstacles that are in the way of the patient receiving the care and treatment they require. A professional individual contributor role that may direct the work of other lower level professionals or manage processes and programs. The majority of time is spent overseeing the design, implementation or delivery of processes, programs and policies using specialized knowledge and skills typically acquired through advanced education. A senior level role that requires advanced knowledge of job area typically obtained through advanced education and work experience. Typically responsible for: managing projects / processes, working independently with limited supervision, coaching and reviewing the work of lower level professionals, resolving difficult and sometimes complex problems. Job Overview The RN Navigator serves as a liaison between patients, community resources, and providers and supports a smooth transition from hospital to home with a goal of eliminating and/or reducing readmissions, patient satisfaction, and continuity of care across the continuum. Job Description Minimum Qualifications: 1. Massachusetts RN Licensure. 2. 3 Years of RN Experience. 3. Current Basic Life Support (BLS) Certification. Preferred Qualifications: 1. Bachelor of Science in Nursing (BSN). Hours: 40 hours/week, Day Shift Duties and Responsibilities: The duties and responsibilities listed below are intended to describe the general nature of work and are not intended to be an all-inclusive list. Other duties and responsibilities may be assigned. 1. Assesses and facilitates coordination of multidisciplinary care across the care continuum. 2. Provides communication,",https://app.nursefern.com,Case Management (CM),NurseFern,2026-08-19T09:35:17.411660
RN VIRTUAL ICU (ONSITE) NIGHTS,UCHealth,2026-08-18,Remote,On-site,Full-time,"12hr shifts, Nights",Must Be Licensed In: Colorado,$35.29 - $54.71 Hourly,"Description Location: UCHealth UCHlth Admin 2450 Peoria, US:CO:AuroraDepartment: UCHlth Virtual ICUWork Schedule: Full Time, 72.00 hours per pay period (2 weeks) Shift: NightsPay: $35.29 - $54.71 / hour. Pay is dependent on applicant's relevant experienceThis position is an onsite role and does not offer a hybrid or remote option Minimum Requirements: Graduate of an accredited or state board of nursing approved Registered/Professional Nursing program. State licensure as a Registered Nurse (RN). 6 months of ICU nursing (RN) experience or completion of the UCHealth Fellowship program. BLS and ACLS - BLS and ACLS through the American Heart Association or the American Red Cross CPR for the Professional Rescuer with card in-hand before start date. BLS and ACLS cards must be good through sixty days of hire. At UCHealth, We Improve LivesPicture yourself on a dynamic team improving lives in the following way(s): Provides top of scope practice in a virtual care environment utilizing the nursing process Values a multidisciplinary team approach to achieve exceptional outcomes Prioritizes wellness, a patient perspective and evidence-based practice Models proficiency through precepting those new to healthcare and/or UCHealth Welcomes new knowledge in a fast paced, innovative clinical environment Contributes to secure safety and quality at the point of care Virtual ICU: Provides patient monitoring from our virtual center in collaboration with onsite inpatient care team Monitors safety and quality of care measures to intervene and provide recommendations to the onsite clinical team Proactive communication will be require to share algorhythmic interventions with unit nurses, hospital supervisors and physicians to facilitate best care outcomes Clinical Educators support and guide individualized specialty education and training for competency validation throughout clinical orientation Employees are our number one asset.UCHealth promotes a culture that invests in professional succe",https://app.nursefern.com,Virtual Care,NurseFern,2026-08-19T09:35:19.515618
