job_title,company,date_posted,location,remote_status,employment_type,schedule,license_requirements,salary_range,job_description,apply_link,specialties,source_site,scraped_at
"Case Manager Utilization RN, 40/hr Day",Kaiser Permanente,2026-08-10,"San Diego, California, United States",On-site,Regular | Perm Employee,Regular | Perm Employee,ON-SITE,,"Job Summary:Works collaboratively with an MD to coordinate and screen for the appropriateness of admissions and Continued stays. Makes recommendations to the physicians for alternate levels of care when the patient does not meet the medical necessity for Inpatient hospitalization. Interacts with the family, patient and other disciplines to coordinate a safe and acceptable discharge plan. Functions as an indirect caregiver, patient advocate and manages patients in the most cost effective way without compromising quality. Transfers stable non-members to planned Health care facilities. Responsible for complying with AB 1203, Post Stabilization notification. Complies with other duties as described. Must be able to work collaboratively with the Multidisciplinary team, multitask and in a fast pace environment.Essential Responsibilities:Plans, develops, assesses and evaluates care provided to members.Collaborates with physicians, other members of the multidisciplinary health care team and patient/family in the development, implementation and documentation of appropriate, individualized plans of care to ensure continuity, quality and appropriate resource use.Recommends alternative levels of care and ensures compliance with federal, state and local requirements.Assesses high risk patients in need of post-hospital care planning.Develops and coordinates the implementation of a discharge plan to meet patients identified needs.Communicates the plan to physicians, patient, family/caregivers, staff and appropriate community agencies.Reviews, monitors, evaluates and coordinates the patients hospital stay to assure that all appropriate and essential services are delivered timely and efficiently.Participates in the Bed Huddles and carries out recommendations congruent with the patients needs.Coordinates the interdisciplinary approach to providing continuity of care, including Utilization management, Transfer coordination, Discharge planning, and obtaining all authorizations/approvals as needed for outside services for patients/families.Conducts daily clinical reviews for utilization/quality management activities based on guidelines/standards for patients in a variety of settings, including outpatient, emergency room, inpatient and non-KFH facilities.Acts as a liaison between in-patient facility and referral facilities/agencies and provides case management to patients referred.Refers patients to community resources to meet post hospital needs.Coordinates transfer of patients to appropriate facilities; maintains and provides required documentation.Adheres to internal and external regulatory and accreditation requirements and compliance guidelines including but not limited to: TJC, DHS, HCFA, CMS, DMHC, NCQA and DOL.Educates members of the healthcare team concerning their roles and responsibilities in the discharge planning process and appropriate use of resources.Provides patients with education to assist with their discharge and help them cope with psychological problems related to acute and chronic illness.Per established protocols, reports any incidence of unusual occurrences related to quality, risk and/or patient safety which are identified during case review or other activities.Reviews, analyses and identifies utilization patterns and trends, problems or inappropriate utilization of resources and participates in the collection and analysis of data for special studies, projects, planning, or for routine utilization monitoring activities.Coordinates, participates and or facilitates care planning rounds and patient family conferences as needed.Participates in committees, teams or other work projects/duties as assigned.Basic Qualifications:ExperienceTwo (2) years combined RN experience in an acute care setting or case management required.EducationCompletion of an accredited RN training program that allows graduates to take RN license exam.License, Certification, RegistrationRegistered Nurse License (California)Basic Life SupportAdditional Requirements:Demonstrated ability to utilize/apply the general and specialized principles, practices, techniques and methods of Utilization review/management, discharge planning or case management.Working knowledge of regulatory requirements and accreditation standards (TJC, Medicare, Medi-Cal, etc.).Demonstrated ability to utilize written and verbal communication, interpersonal, critical thinking and problem-solving skills.Demonstrated ability in planning, organizing, conflict resolution and negotiating skills.Computer literacy skills required.Preferred Qualifications:Bachelors degree in nursing or healthcare related field.Notes:Mon, Tue, Wed, Thu, Fri, Sat, Sun and required weekends and holidays per contractRotating weekends and holidays per CBA.",https://click.appcast.io/t/FJ0d9DtcvtBL0wwWHeIW3WMkMxzZjabC2yZsj-6p16Tm5luDGU6Sv8xeVFfJ-nyNWhDZr-CRxL59enwZ4snJlQ==,"Case Management | Care Management, Entry Level, Registered Nurse | RN, Sponsored, Utilization Management | Utilization Review",Remote Nurse Connection,2026-08-11T10:01:14.614482
APP - CERTIFIED NURSE PRACTITIONER | VIRTUAL CARE,Sanford,2026-08-10,Remote,Remote,Full-time,Days,Must Be Licensed In: Wisconsin,"$97,461 - $173,356 Salary","Capability to work fully remote with an engaged virtual care provider team with wrap around ancillary support staff. This is meaningful work making an impact on the lives of our patients via video visits providing whole person care, education, and referrals as needed. Job Summary The Nurse Practitioner (NP) provides service to patients in designated care settings, including: acute, short and long-term care, by assisting physicians, assessing patients, and treating injuries and ailments. Provides service to patients in acute, short and long term care settings by assisting physicians, assessing patients, and treating injuries and ailments. Obtains a thorough medical history from patient and dependent on patient population and setting will perform an examination and/or assessment to determine patient's needs. With other healthcare professionals, analyze and interpret information collected from patient, medical records, symptoms, physical findings, or diagnostic information, to develop and establish appropriate diagnosis. Acknowledges and demonstrates the importance of care coordination and navigation by rounding on patients when necessary. Works in collaboration with providers and independently to provide care. Formulates a plan for treatment of the patient and prescribes medications based on efficacy, safety, and cost as legally authorized if necessary, in order to aid recovery and manage pain. Maintain complete and detailed records of patients' health care plans and prognoses in a timely manner. Consult with or refer patients to appropriate specialists when conditions exceed the scope of practice or expertise. Provide patients with information needed to promote health, reduce risk factors, or prevent disease or disability. Counsels' patients and family members about self-management on prevention and treatment plan for health issues, tailoring instructions to patients' individual circumstances. May cover hospital consultations, rounding, and assist with patient proc",https://app.nursefern.com,Telehealth,NurseFern,2026-08-11T10:02:05.166168
POINTCLICKCARE - (US) SENIOR CLINICAL AI NURSE SME - 6 MONTHS CONTRACT,PointClickCare,2026-08-10,Remote,Remote,Part-time,8hr shifts,"Must Be Licensed In: State Of Residency, Any State",$85 - $90 Hourly,"At PointClickCare our mission is simple: to help providers deliver exceptional care. And that starts with our people. As a leading health tech company that's founder-led and privately held, we empower our employees to push boundaries, innovate, and shape the future of healthcare. With the largest long-term and post-acute care dataset and a Marketplace of 400+ integrated partners, our platform serves over 30,000 provider organizations, making a real difference in millions of lives. We also reinvest a significant percentage of our revenue back into research and development, ensuring our employees have the resources to innovate and make a lasting impact. Recognized by Forbes as a top private cloud company and honored as one of Canada's Most Admired Corporate Cultures, we offer flexibility, growth opportunities, and meaningful work. At PointClickCare, we empower our people to be the architects of a smarter healthcare future; one that is human-first and accelerated by AI to create meaningful and lasting change. Employees harness AI as a catalyst for creativity, productivity, and thoughtful decision-making. By integrating AI tools into our daily workflows, collaboration is enhanced, outcomes are improved, and every team member has the proficiency to maximize their impact. It all starts with our hiring practices where we uncover AI expertise that complements our mission, and we continue to invest in training and development to nurture innovation throughout the employee journey. Join us in redefining healthcare - so it doesn't just survive, it thrives. To learn more about PointClickCare, check out Life at PointClickCare and connect with us on Glassdoor and LinkedIn. This position follows a variable weekday schedule requiring 24 hours per week, worked as three 8-hour shifts. The employee's days of the week preferences will be taken into consideration; however, at times flexibility is required to meet business deadlines and needs. Key Responsibility: Review and label",https://app.nursefern.com,Nurse Consultant,NurseFern,2026-08-11T10:02:09.450993
ONCOLOGY NURSE CASE MANAGER - REMOTE,Cigna,2026-08-10,Remote,Remote,Full-time,Days,Must Be Licensed In: State Of Residency,"$77,500 - $129,100 Salary","The RN Case Manager plays a critical role in delivering Cigna's wholeperson health strategy by serving as a trusted advocate and clinical partner for customers, families, and caregivers. This role focuses on care coordination, customer engagement, and health navigation to improve outcomes and deliver exceptional customer experience. The Case Manager demonstrates Cigna's Care Solutions cultural beliefs, acting with accountability, collaboration, compassion, and innovation in support of both customer needs and business objectives. How You'll Make an Impact Partner with customers to assess needs, develop individualized care plans, and document interventions and outcomes in Cigna medical management systems. Collaborate with customers and providers to establish goals, interventions, and evidencebased plans of care. Apply motivational interviewing, behavior change strategies, and shared decisionmaking to drive engagement and improved health outcomes. Empower customers to effectively navigate the healthcare system and communicate with providers. Coordinate care across customers, caregivers, providers, and internal partners via phone and digital channels (email, text, chat). Collaborate with interdisciplinary teams-including pharmacists, nutritionists, behavioral clinicians, Medical Directors, and Medical Management programs-to support wholeperson health. Track, analyze, and document daily activity, volume, and outcomes to support performance and quality goals. Follow established policies, procedures, and Case Management performance measures. Efficiently navigate multiple systems and applications in a fastpaced, customerfocused environment. Complete required training and maintain clinical knowledge, licensure, and certifications. Required Qualifications Active, unrestricted Registered Nurse (RN) license in your state of residency. Minimum of two (2) years of fulltime direct patient care experience as an RN. Preferred Qualifications Specialty case man",https://app.nursefern.com,Case Management (CM),NurseFern,2026-08-11T10:02:11.605820
TRANSPLANT NURSE CASE MANAGER - REMOTE,Cigna,2026-08-10,Remote,Remote,Full-time,Days,Must Be Licensed In: State Of Residency,"$77,500 - $129,100 Salary","The RN Case Manager plays a critical role in delivering Cigna's wholeperson health strategy by serving as a trusted advocate and clinical partner for customers, families, and caregivers. This role focuses on care coordination, customer engagement, and health navigation to improve outcomes and deliver exceptional customer experience. The Case Manager demonstrates Cigna's Care Solutions cultural beliefs, acting with accountability, collaboration, compassion, and innovation in support of both customer needs and business objectives. How You'll Make an Impact Partner with customers to assess needs, develop individualized care plans, and document interventions and outcomes in Cigna medical management systems. Collaborate with customers and providers to establish goals, interventions, and evidencebased plans of care. Apply motivational interviewing, behavior change strategies, and shared decisionmaking to drive engagement and improved health outcomes. Empower customers to effectively navigate the healthcare system and communicate with providers. Coordinate care across customers, caregivers, providers, and internal partners via phone and digital channels (email, text, chat). Collaborate with interdisciplinary teams-including pharmacists, nutritionists, behavioral clinicians, Medical Directors, and Medical Management programs-to support wholeperson health. Track, analyze, and document daily activity, volume, and outcomes to support performance and quality goals. Follow established policies, procedures, and Case Management performance measures. Efficiently navigate multiple systems and applications in a fastpaced, customerfocused environment. Complete required training and maintain clinical knowledge, licensure, and certifications. Required Qualifications Active, unrestricted Registered Nurse (RN) license in your state of residency. Minimum of two (2) years of fulltime direct patient care experience as an RN. Preferred Qualifications Specialty case man",https://app.nursefern.com,Case Management (CM),NurseFern,2026-08-11T10:02:13.705603
COMPLEX NURSE CASE MANAGER - REMOTE,Cigna,2026-08-10,Remote,Remote,Full-time,Days,Must Be Licensed In: State Of Residency,"$77,500 - $129,100 Salary","The RN Case Manager plays a critical role in delivering Cigna's wholeperson health strategy by serving as a trusted advocate and clinical partner for customers, families, and caregivers. This role focuses on care coordination, customer engagement, and health navigation to improve outcomes and deliver exceptional customer experience. The Case Manager demonstrates Cigna's Care Solutions cultural beliefs, acting with accountability, collaboration, compassion, and innovation in support of both customer needs and business objectives. How You'll Make an Impact Partner with customers to assess needs, develop individualized care plans, and document interventions and outcomes in Cigna medical management systems. Collaborate with customers and providers to establish goals, interventions, and evidencebased plans of care. Apply motivational interviewing, behavior change strategies, and shared decisionmaking to drive engagement and improved health outcomes. Empower customers to effectively navigate the healthcare system and communicate with providers. Coordinate care across customers, caregivers, providers, and internal partners via phone and digital channels (email, text, chat). Collaborate with interdisciplinary teams-including pharmacists, nutritionists, behavioral clinicians, Medical Directors, and Medical Management programs-to support wholeperson health. Track, analyze, and document daily activity, volume, and outcomes to support performance and quality goals. Follow established policies, procedures, and Case Management performance measures. Efficiently navigate multiple systems and applications in a fastpaced, customerfocused environment. Complete required training and maintain clinical knowledge, licensure, and certifications. Required Qualifications Active, unrestricted Registered Nurse (RN) license in your state of residency. Minimum of two (2) years of fulltime direct patient care experience as an RN. Preferred Qualifications Specialty case man",https://app.nursefern.com,Case Management (CM),NurseFern,2026-08-11T10:02:15.800111
LEAD UTILIZATION REVIEW - RN,Personify Health,2026-08-10,Remote,Remote,Full-time,Days,Must Be Licensed In: State Of Residency,$38 - $44 Hourly,"Schedule: Monday-Friday, 8:00 AM-5:00 PM Pacific Time, with rotating Saturday coverage as required. What You'll Actually Do Set daily direction for your UM team: Establish priorities, reinforce expectations, and build a culture where clinical quality and accountability are the norm, not the exception. Coach reviewers on criteria application: Guide consistent use of medical-necessity criteria, medical policy, and benefit language, and step in with real-time answers when interpretations vary. Monitor workflow health daily: Track intake volume, aging cases, and turnaround risk; flag barriers to the UM Manager with a recommendation attached, not just a problem. Audit for documentation quality: Review reviewer work for completeness and audit readiness, then coach for sharper clinical rationale and tighter regulatory timeliness. Build reviewer capability: Run shadowing plans, job aids, and competency check-ins for new and existing staff; identify training gaps and propose solutions before they become bigger problems. Resolve cross-team barriers: Partner with providers, facilities, Case Management, Appeals, and Provider Relations to clear roadblocks and keep determinations moving. Protect member and company data: Maintain HIPAA compliance and company privacy standards, and model the ethical decision-making you expect from your team. Drive training completion: Complete required training and attestations on time, and keep your team on track to do the same. Qualifications What You Bring to Our Team What You Bring to Our Team Education & Experience: Active RN license Experience in utilization management, clinical review, or case management Background applying medical-necessity criteria and benefit plan interpretation in a healthcare payer or clinical review setting Technical Skills: Proficiency with UM platforms and standard office/productivity tools Working knowledge of medical terminology and coding concepts (ICD-10, CPT, HCPCS) sufficient to support accurate UM",https://app.nursefern.com,Utilization Review & Management (UR/UM),NurseFern,2026-08-11T10:02:17.896130
"Nurse Case Manager, Per Diem",Kaiser Permanente,2026-08-09,"Atlanta, Georgia, United States",On-site,Regular | Perm Employee,Regular | Perm Employee,ON-SITE,,"Job Summary:Provides case management services to a caseload of low- and medium-risk patients. Interviews patients and their caregivers to evaluate needs, goals, and current services. Determines initial eligibility, benefits, and education for all admissions, assessing medical necessity and required level of care to inform physicians. Reviews and enters authorization data. Develops a client-focused case management plan in collaboration with healthcare team, patient, and caregivers that is consistent with regulatory, accreditation, and regional guidelines. Assists patients with gaining access to care based on their needs, making referrals as appropriate. Coordinates resources and services to assure continuity and quality of care. Attends case management rounds with clinician and reviews authorizations and diagnoses as needed. Assesses patient progress toward treatment milestones and care plan goals. Identifies barriers to achieving goals and ensures that they are discussed with the patient and care team thoroughly. Verifies that all services remain consistent with established guidelines and standards. Documents the patients case in all medical files. Reviews benefits/services available to patients, caregivers, and other members of the community and assists with problem solving identified concerns. Identifies patients ready for disposition planning activities. Develops and communicates a comprehensive disposition plan in collaboration with the patient, caregivers, physician, nurses, social services, and other healthcare providers and agencies. Obtains authorizations as needed for patient services. Attends professional seminars, workshops, and approved educational programs and workshops. Monitors operational team data and key metrics applied to own work. Makes suggestions for change or improvement as needed. Ensures adherence to policies to meet regulatory requirements.Essential Responsibilities:Pursues effective relationships with others by proactively providing resources, information, advice, and expertise with coworkers and members. Listens to, seeks, and addresses performance feedback; provides mentoring to team members. Pursues self-development; creates plans and takes action to capitalize on strengths and develop weaknesses; influences others through technical explanations and examples. Adapts to and learns from change, challenges, and feedback; demonstrates flexibility in approaches to work; helps others adapt to new tasks and processes. Supports and responds to the needs of others to support a business outcome.Completes work assignments autonomously by applying up-to-date expertise in subject area to generate creative solutions; ensures all procedures and policies are followed; leverages an understanding of data and resources to support projects or initiatives. Collaborates cross-functionally to solve business problems; escalates issues or risks as appropriate; communicates progress and information. Supports, identifies, and monitors priorities, deadlines, and expectations. Identifies, speaks up, and implements ways to address improvement opportunities for team.Drives services related to the initial case assessment by: interviewing patients and their families to evaluate needs, goals, and current services with minimal day-to-day supervision; determining initial eligibility, benefits, and education for all admissions independently; reviewing and entering authorization data (e.g., authorization data regarding admitting/principle diagnoses, bed type(s), and disposition data for accuracy, after visit summary) and identifying and documenting inaccuracies; recommending research plans that identify new and/or existing options to assure that quality, cost-efficient care is provided; and leveraging comprehensive knowledge to assess medical necessity for hospital admission and required level of care to inform physician.Provides services related to monitoring and evaluating plan of care by: coordinating resources and services to assure continuity and quality of care, and sharing professional knowledge with team members doing the same; reviewing and updating authorizations, attending case management rounds with clinicians, and reviewing diagnoses as needed; contacting patients periodically to assess progress toward treatment milestones and care plan goals independently; identifying barriers to achieving goals and ensuring that they are discussed with the patient and care team thoroughly independently; verifying that all services remain consistent with established guidelines and standards independently; and documenting/updating the patients case in all medical files independently.Drives services related to the case-planning process by: creating a client-focused case management plan with treatment goals based on the patients and familys/caregivers needs under limited direction; collaborating with health-care team, patient, and caregivers to assure plan of care is safe, agreeable, and appropriate with minimal guidance...",https://click.appcast.io/t/i4TbxQTmIAXZG9MjTZn3-pE-0ySgZ5zs52MyprkfE5jzx4Mab-JeT7BTwBs0VFBf,"Case Management | Care Management, Entry Level, Registered Nurse | RN, Sponsored",Remote Nurse Connection,2026-08-11T10:01:16.168682
"Nurse Case Manager, Part Time",Kaiser Permanente,2026-08-09,"Atlanta, Georgia, United States",On-site,Regular | Perm Employee,Regular | Perm Employee,ON-SITE,,"Job Summary:Provides case management services to a caseload of low- and medium-risk patients. Interviews patients and their caregivers to evaluate needs, goals, and current services. Determines initial eligibility, benefits, and education for all admissions, assessing medical necessity and required level of care to inform physicians. Reviews and enters authorization data. Develops a client-focused case management plan in collaboration with healthcare team, patient, and caregivers that is consistent with regulatory, accreditation, and regional guidelines. Assists patients with gaining access to care based on their needs, making referrals as appropriate. Coordinates resources and services to assure continuity and quality of care. Attends case management rounds with clinician and reviews authorizations and diagnoses as needed. Assesses patient progress toward treatment milestones and care plan goals. Identifies barriers to achieving goals and ensures that they are discussed with the patient and care team thoroughly. Verifies that all services remain consistent with established guidelines and standards. Documents the patients case in all medical files. Reviews benefits/services available to patients, caregivers, and other members of the community and assists with problem solving identified concerns. Identifies patients ready for disposition planning activities. Develops and communicates a comprehensive disposition plan in collaboration with the patient, caregivers, physician, nurses, social services, and other healthcare providers and agencies. Obtains authorizations as needed for patient services. Attends professional seminars, workshops, and approved educational programs and workshops. Monitors operational team data and key metrics applied to own work. Makes suggestions for change or improvement as needed. Ensures adherence to policies to meet regulatory requirements.Essential Responsibilities:Pursues effective relationships with others by proactively providing resources, information, advice, and expertise with coworkers and members. Listens to, seeks, and addresses performance feedback; provides mentoring to team members. Pursues self-development; creates plans and takes action to capitalize on strengths and develop weaknesses; influences others through technical explanations and examples. Adapts to and learns from change, challenges, and feedback; demonstrates flexibility in approaches to work; helps others adapt to new tasks and processes. Supports and responds to the needs of others to support a business outcome.Completes work assignments autonomously by applying up-to-date expertise in subject area to generate creative solutions; ensures all procedures and policies are followed; leverages an understanding of data and resources to support projects or initiatives. Collaborates cross-functionally to solve business problems; escalates issues or risks as appropriate; communicates progress and information. Supports, identifies, and monitors priorities, deadlines, and expectations. Identifies, speaks up, and implements ways to address improvement opportunities for team.Drives services related to the initial case assessment by: interviewing patients and their families to evaluate needs, goals, and current services with minimal day-to-day supervision; determining initial eligibility, benefits, and education for all admissions independently; reviewing and entering authorization data (e.g., authorization data regarding admitting/principle diagnoses, bed type(s), and disposition data for accuracy, after visit summary) and identifying and documenting inaccuracies; recommending research plans that identify new and/or existing options to assure that quality, cost-efficient care is provided; and leveraging comprehensive knowledge to assess medical necessity for hospital admission and required level of care to inform physician.Provides services related to monitoring and evaluating plan of care by: coordinating resources and services to assure continuity and quality of care, and sharing professional knowledge with team members doing the same; reviewing and updating authorizations, attending case management rounds with clinicians, and reviewing diagnoses as needed; contacting patients periodically to assess progress toward treatment milestones and care plan goals independently; identifying barriers to achieving goals and ensuring that they are discussed with the patient and care team thoroughly independently; verifying that all services remain consistent with established guidelines and standards independently; and documenting/updating the patients case in all medical files independently.Drives services related to the case-planning process by: creating a client-focused case management plan with treatment goals based on the patients and familys/caregivers needs under limited direction; collaborating with health-care team, patient, and caregivers to assure plan of care is safe, agreeable, and appropriate with minimal guidance...",https://click.appcast.io/t/D7jAbo7A6esW_q1WVQW3ltVqmKpTkFWvyzBu2QEZvfK1gh1hurlJubK_UpM3cggU,"Case Management | Care Management, Entry Level, Registered Nurse | RN, Sponsored",Remote Nurse Connection,2026-08-11T10:01:18.849480
Remote - HEDIS Abstractors / HEDIS Reviewers (6600),Advantmed,2026-08-05,United States,Remote,Contract,Contract Employee,Remote,,"HEDIS Reviewers / AbstractorsJob Types:Seasonal / Part-timeThis is a remote position available to candidates located within the United States. Applicants must be eligible to work in the United States.Pay Structure:The training pay rate is$20/hourLive Season Pay Rate:$24/hourPrimary Purpose:Under the supervision of the Medical Record Review team, the HEDIS Abstractor conducts data collection and abstraction of medical records for HEDIS projects, HEDIS-like projects, and supplemental data collection. The abstraction team will meet chart abstraction productivity standards.Job Roles and ResponsibilitiesResponsible for reviewing medical records and transferring critical HEDIS data elements into a specified data entry portal to support HEDIS reporting and quality improvement.Data entry into Advantmed proprietary software.Maintain accuracy thresholds as set forth by Advantmed.Comply with HIPAA Laws and regulationsAttend self-paced recorded training within a defined timeframe for required measures.RequirementsExperienceMinimum of 2 years or 2 seasons of prior work experience in HEDIS abstraction/Review in any of these measures: BPD, CBP, GSD/HBD, COA, CIS, IMA, CCS, EED, LSC, COL, TRC, PPC or WCC.Specifically looking for expertise in all sub-measures of these full HEDIS measures: TRC, PPC, WCC measuresMedical Coder Certification:CPC, CCS, RHIT, RHIA through AAPC or AHIMAORLicensed Nurse:LPN, LVN, RN with an active licenseThe applicant must possess a Windows-based laptop or desktop computer and have access to a high-speed internet connection.Working Schedule:Candidates must complete a self-paced, recorded training program within a designated timeframe, covering key measures.Post-training, candidates must be available to work between 6:00 am EST and 6:00 pm EST, with a minimum commitment of 4 hours per day and a maximum of 8 hours per day.Chart reviews will follow on a first-come, first-served basis each day, with no option for split shifts.Weekend availability may be available, depending on upper management's decision as the live season progresses.",https://apply.workable.com/j/1F312C2896?utm_source=remotenurseconnection&utm_medium=jobboard,"Data Abstraction, HEDIS, Licensed Practical Nurse | LPN | LVN, Quality, Registered Nurse | RN",Remote Nurse Connection,2026-08-11T10:01:20.131610
