job_title,company,date_posted,location,remote_status,employment_type,schedule,license_requirements,salary_range,job_description,apply_link,specialties,source_site,scraped_at
CASE MANAGER RN,UnitedHealth Group,2026-09-15,Remote,Remote,Full-time,Days,Must Be Licensed In: State Of Residency,"$60,200 - $107,400 Salary","The Care Manager, RN provides leadership in the coordination of patient-centered care across the continuum, develops a safe discharge plan through collaboration with the patients/caregivers and multidisciplinary healthcare team to arrange appropriate post discharge services and optimal transitions in care. Facilitates appropriate LOS, patient experience, and reimbursement for all patients. Develops and maintains collaborative relationships with all members of the healthcare team. Through clinical care coordination drives efficient utilization of resources to reduce length of stay, improve patient flow and throughput, limits variation by applying innovative and evidence-based practice, and to reduce the risk of readmission. You'll enjoy the flexibility to telecommute* from anywhere within the U.S. as you take on some tough challenges. Primary Responsibilities: Effectively problem-solves and actively pursues resolution Directly communicates with staff, physicians, patients, and families Role models leadership behavior through courtesy, respect, and efficiency Coordinates patient care processes to achieve desired quality outcomes and identifies/controls inappropriate resource utilization Facilitates patient and family education and promotes continuity of care to achieve optimal patient outcomes. Assures patient rights by offering a choice when appropriate Reviews the patient plan of care with the multi-disciplinary team. Facilitates and participates in multi-disciplinary team care conferences for patients with complex problems. Communicates in the medical record and verbally with the team to coordinate interventions and facilitate continuity of care Daily communication and collaboration with the patient care staff to provide continuous assessment, evaluation, and continuum planning to assure the patient receives the appropriate level of care at the appropriate time. Facilitates the implementation of nursing interventions as indicated by the multi-disciplinary team",https://app.nursefern.com,Case Management (CM),NurseFern,2026-09-16T14:04:24.582002
PER DIEM UTILIZATION MANAGEMENT REGISTERED NURSE,UnitedHealth Group,2026-09-15,Remote,Remote,PRN/Per Diem,Days,Must Be Licensed In: State Of Residency,$29 - $52 Hourly,"The Utilization Management Nurse will accurately and efficiently review and extract pertinent case details from patient medical records; and craft strongly defensible appeal letters per process instructions and the department's/company's guidance. The nurse will complete their case within the time expectations while providing high quality reviews. The Utilization Management Nurse will perform their job functions, adhering to both Optum and OPAS policies and procedures, which include but are not limited to the following. Schedule: Per Diem as needed, flexible start times You will enjoy the flexibility to telecommute* from anywhere within the U.S. as you take on some tough challenges. Primary Responsibilities: Follows directive of composing appeal letters to include appropriate data extraction, construction of well-written appeals letters with proper grammar, utilization of appeal tools including pre-constructed templates, inclusion of appropriate medical literature references, and use of national criteria guidelines. Adheres to company policies and procedures as well as policies, procedures, and laws Understands and complies with HIPAA confidentiality requirements Support and promote OPAS, Optum, and the enterprise goals and mission Build relationships across Optum, OPAS, OGA and our clients Collaborate with peers to assure continuity of communication and execution of deliverables as needed Adheres to quality and productivity expectations Participate in and contribute to meetings as appropriate Maintains organization on the team and ensures everyone conducts themselves professionally Remains up to date with all learning modules, competencies, and state required licenses Performs other related duties, tasks, and processes as required by leadership Ability to establish priorities, be self-motivated, work independently, and follow instructions with supervision and structure Positive attitude and the ability to function as a collaborative team member You'll be reward",https://app.nursefern.com,Utilization Review & Management (UR/UM),NurseFern,2026-09-16T14:04:26.671225
"DIRECTOR, PSYCHIATRIC NURSE PRACTITIONER RESIDENCY PROGRAM",Blackbird Health,2026-09-15,Remote,Remote,Full-time,Days,"Must Be Licensed In: New Jersey, Maryland, Pennsylvania, Virginia","$140,000 - $160,000 Salary","As the Psychiatric Nurse Practitioner Residency Program Director at Blackbird Health, you'll play a pivotal role in shaping the next generation of pediatric psychiatric care providers. Reporting to the VP of Medical Services, you'll lead the development, implementation, and management of our PMHNP Residency Program; building a structured, accredited training pathway that prepares recent graduates to practice with confidence as specialists in child and adolescent mental health. You'll create the curriculum, mentor residents through their clinical journey, and ensure they're equipped with the skills and support needed to provide cutting-edge diagnosis and treatment in an interdisciplinary outpatient model. This is a unique opportunity to build a program from the ground up while directly impacting the quality of care thousands of children and families receive. This is a fully remote opportunity. What Makes You, You: Mission-Driven: You are passionate about transforming behavioral health for youth and committed to advancing the next generation of psychiatric nurse practitioners who will deliver high-quality, compassionate care. Clinically Excellent: You are an experienced PMHNP with at least 3 years in pediatric mental health and a deep understanding of evidence-based practices. You bring clinical expertise with a warm, patient-centered approach and have worked independently at the top of your scope. Educator & Mentor: You have experience in educational or leadership roles and excel at training, developing, and motivating medical professionals. You love watching residents grow into confident, skilled practitioners. Collaborative: You thrive in team-based environments and love working alongside clinical and administrative teams to promote a culture of exceptional patient care and integration. Growth-Oriented: You are committed to continuous learning and staying current on regulatory requirements, accreditation standards (especially CAPP), and best practices in psychia",https://app.nursefern.com,,NurseFern,2026-09-16T14:04:28.751836
"MANAGER, CLINICAL OPERATIONS",Daymark Health,2026-09-15,Remote,Remote,Full-time,Days,Must Be Licensed In:,"$120,000 - $140,000 Salary","We are seeking a highly capable operator to help scale Daymark's care delivery model across markets and service lines. This role sits at the center of how Daymark operates, translating strategy into execution across clinical operations, product, and market teams. You will work on a wide range of high-priority problems, from launching new markets to improving care delivery workflows to shaping how we scale as a company. You will partner closely with the VP of Clinical Operations to translate enterprise operating design into repeatable execution across teams, systems, and vendors. This role is ideal for someone who enjoys diagnosing messy operational problems and building systems that make care delivery more reliable and scalable, while closing the gap between how we design care and how it is actually delivered in the real world, especially as we scale into new markets. As a growing startup, we expect this role to evolve significantly over time based on both company needs and your strengths. You will ensure our model is well-designed, executable, repeatable, and reliable across teams and environments. WHAT YOU'LL DO Operational Readiness for New Markets and Service Lines. Design and operationalize the infrastructure required for new markets and service lines, including vendor setup, tooling, and operational workflows Translate care model standards into operational workflows and ensure that care delivery workflows, documentation standards, and operational processes are ready for launch. Support go-live stabilization and capture operational learnings to strengthen future launch playbooks. Help to translate operational design into real-world implementation across teams, systems, and vendors. Identify gaps beyond launch readiness and take ownership of solving them, even when they fall outside defined swim lanes. Care Delivery Workflow Design, Improvement & Enablement Translate the care model into scalable operational workflows and ensure they are reflected in the t",https://app.nursefern.com,,NurseFern,2026-09-16T14:04:30.833753
REGISTERED NURSE SUPERVISOR - ALERTS,Cadence,2026-09-15,Remote,Remote,Full-time,Days,Must Be Licensed In: Compact,"$80,000 - $100,000 Salary","We're hiring an RN Supervisor (Alerts) to lead the daily operations, clinical quality, and workflow performance of a remote team of nurses managing real-time patient alerts generated through Cadence's remote monitoring programs. You'll oversee a high-volume, queue-based triage environment where speed, clinical accuracy, and operational consistency directly impact patient outcomes and provider trust. This role sits at the center of Cadence's technology-enabled care delivery model, partnering closely with clinical leadership to coach frontline clinicians, manage throughput in real time, and strengthen the systems that support scalable chronic disease management between office visits. What You'll Do Lead the day-to-day operations of a remote team of RNs and LPNs responsible for reviewing and resolving real-time patient alerts across remote monitoring workflows. Monitor queue performance, alert resolution times, throughput, billable activity, and staffing coverage to ensure operational targets and clinical service levels are consistently met. Conduct clinical audits and chart reviews to evaluate triage quality, documentation accuracy, escalation appropriateness, and adherence to guideline-directed care protocols. Provide structured coaching, real-time feedback, and formal performance management to improve both clinical judgment and productivity in a fast-paced, metric-driven environment. Partner with RN Managers and clinical leadership on escalation pathways, staffing models, workflow optimization, and ongoing clinical education initiatives. Support hiring and onboarding efforts by evaluating candidates for triage readiness, clinical decision-making, communication skills, and operational fit within a queue-based care environment. Contribute directly to patient care as needed, supporting alert management workflows and ensuring continuity of care during periods of high volume or staffing constraints. These responsibilities are intended to describe the general nature and",https://app.nursefern.com,Triage,NurseFern,2026-09-16T14:04:32.916043
TRIAGE NURSE -UPMC YOUR CARE,UPMC,2026-09-15,Remote,Remote,Full-time,Nights,Must Be Licensed In: Pennsylvania,$27.89 - $48.21 Hourly,"UPMC Your Care is hiring two Triage Nurses to provide remote overnight coverage for patients located throughout Allegheny County. Schedule: This position offers scheduling flexibility, with shifts occurring from 7:00 PM to 7:00 AM. Coverage is required seven days per week, Monday through Sunday, including rotating weekends and holidays. As we are hiring for two identical positions, selected candidates will have the opportunity to collaborate and coordinate their schedules to ensure appropriate coverage while supporting work-life balance and individual scheduling preferences. Work Location: This is a remote position, with all patient care services provided to individuals residing in Allegheny County, Pennsylvania. Purpose: Provide triage services for UPMC Your Care program by conducting member and family assessments in accordance with protocol, researching clinical situations in order to educate the caller on the seriousness of the condition, and directing member care and care coordination in a defined period of time to be provided by the UPMC Your Care interdisciplinary team. Triage UPMC Your Care calls from members' primary care providers, specialty care teams, UPMC Health Plan, and community resources (UPMC Your Care Program Stakeholders), including providing programmatic education, as necessary. Support the information needs of the UPMC Your Care interdisciplinary team, who will be responsible for determining additional follow-up care after triage. Responsibilities: Ensure member safety by working collaboratively in addressing calls directed from UPMC Your Care Program Stakeholders, to triage members appropriately to ensure safe, quality patient care in the most appropriate setting, and to ensure notification to the UPMC Your Care interdisciplinary team by supplying timely notification and documentation on the member's disposition. Respond to calls from members/family members and UPMC Your Care Program Stakeholders, in a professional and timely manner. As",https://app.nursefern.com,Triage,NurseFern,2026-09-16T14:04:34.996799
RN INITIAL CLINICAL REVIEWER - REMOTE AZ,Blue Cross Blue Shield of Arizona,2026-09-15,Remote,Remote,Full-time,Days,Must Be Licensed In: Arizona,$0 - $0 Salary,"This remote work opportunity requires residency, and work to be performed, within the State of Arizona. PURPOSE OF THE JOB Responsible for identifying, researching, processing, resolving, and responding to inquiries from internal and external customers with emphasis on excellence, privacy, compliance and versatility within the health insurance industry. QUALIFICATIONS REQUIRED QUALIFICATIONS Required Work Experience 2 years of experience in clinical field of practice, health insurance, or other health care related field Required Education Associate's Degree in general field of study or Post High School Nursing Diploma or Certification (LPN only) from an approved program Required Licenses Active, current, and unrestricted license to practice in the State of Arizona (or an endorsement to work in Arizona) as a behavioral health professional such as LCSW, LPC, LISAC LMFT, or licensed psychologist (Psy.D. or Ph.D.), OR an active, current, and unrestricted license to practice nursing in either the State of Arizona or another state in the United States recognized by the Nursing Licensure Compact (NLC) as an RN, OR an active, current, and unrestricted license to practice in the State of Arizona as an LPN. Required Certifications N/A PREFERRED QUALIFICATIONS Preferred Work Experience 3 years of experience in clinical field of practice, health insurance, or other health care related field Preferred Education Bachelor's Degree in Nursing or related field of study Preferred Licenses Active, current, and unrestricted license to practice in the State of Arizona (a state in the United States) as a Registered Nurse Preferred Certifications N/A ESSENTIAL JOB FUNCTIONS AND RESPONSIBILITIES Identify, research, process, resolve and respond to customer inquiries and correspondence via telephone, written communication and/or in person. Answer a diverse and high volume of health insurance related customer calls or correspondence on a daily basis. Analyze medical records and app",https://app.nursefern.com,Utilization Review & Management (UR/UM),NurseFern,2026-09-16T14:04:37.084490
VIRTUAL TRIAGE NURSE SR.- REMOTE,Texas Oncology,2026-09-15,Remote,Remote,Full-time,Days,Must Be Licensed In: Texas,$0 - $0 Salary,"Texas Oncology is looking for a Virtual Triage Nurse (RN) to join our team! These positions will support the Virtual Care Program and will work remotely. We are only able to consider candidates across the state of Texas. Typical hours for this position are Mon-Fri from 8a-5p. Texas Oncology is the largest community oncology provider in the country and has approximately 600+ providers in 220+ sites across Texas and southeastern Oklahoma. Our founders pioneered community-based cancer care because they believed in making the best available cancer care accessible to all communities, allowing people to fight cancer at home with the critical support of family and friends nearby. Our mission is still the same today-at Texas Oncology, we use leading-edge technology and research to deliver high-quality, high-touch, evidence-based cancer care to help our patients achieve ""More breakthroughs. More victories.""  in their fight against cancer. Today, Texas Oncology treats half of all Texans diagnosed with cancer on an annual basis. Why work for us? Come join our team that is responsible for helping lead Texas Oncology in treating more patient diagnosed with cancer than any other provider in Texas. We offer our employees a competitive benefits package that includes Medical, Dental, Vision, Life Insurance, Short-term and Long-term disability coverage, a generous PTO program, a 401k plan that comes with a company match, a Wellness program that rewards you practicing a healthy lifestyle, and lots of other great perks such as Tuition Reimbursement, an Employee Assistance program and discounts on some of your favorite retailers. What does the Virtual Triage Nurse (RN) do? The telephone triage nurse assesses patient needs over the telephone, collaborates with a physician or qualified staff member to meet those needs, then documents all elements of care in the patient's medical record. The telephone triage nurse will accurately identify patients with high risk con",https://app.nursefern.com,Triage,NurseFern,2026-09-16T14:04:39.163324
RN TELEPHONIC CASE MANAGER,Sedgwick,2026-09-15,Remote,Remote,Full-time,Days,Must Be Licensed In: Compact,"$78,000 - $85,000 Salary","PRIMARY PURPOSE OF THE ROLE: While partnering with the injured worker, employer, and medical providers, create a case management strategy to facilitate medical recovery and a successful return to work through advocacy, communication and coordination of medical services. Prefer someone who lives in AZ or WA--but not a must. Must be an RN, have a compact license, and have 1.5 years of prior workers compensation experience. ARE YOU AN IDEAL CANDIDATE? We are looking for enthusiastic candidates who thrive in a collaborative environment, who are driven to deliver great work. Apply your medical/clinical or rehabilitation knowledge and experience to assist in the management of complex medical conditions, treatment planning and recovery from illness or injury. Work in the best of both worlds - a rewarding career making an impact on the health and lives of others, and a remote work environment. Enjoy flexibility and autonomy in your daily work, your location, and your career path while advocating for the most effective and efficient medical treatment for injured employees in a non-traditional setting. Enable our Caring counts mission supporting injured employees from some of the world's best brands and organizations. Be a part of a rapidly growing, industry-leading global company known for its excellence and customer service. Celebrate your career achievements and each other through professional development opportunities, continuing education credits, team building initiatives and more. Access diverse and comprehensive benefits to take care of your mental, physical, financial and professional needs. ESSENTIAL RESPONSIBLITIES MAY INCLUDE Performs initial and ongoing clinical assessment via telephone calls to evaluate the injured worker's injury, medical treatment, psychosocial needs, cultural implications and support systems. Effectively communicates and builds relationships with the claims' examiner, client, injured worker, attorney and supervisor. Identifies iss",https://app.nursefern.com,Case Management (CM),NurseFern,2026-09-16T14:04:41.248022
"UTILIZATION REVIEW RN (NICU, PEDS EXP)",Ensemble,2026-09-15,Remote,Remote,Full-time,10hr shifts,Must Be Licensed In: State Of Residency,"$63,100 - $94,650 Salary","*Must have current compact RN license, or be willing to obtain* NICU and/or Pediatric nursing experience is strongly preferred. We are specifically seeking nurses with experience caring for neonatal, infant, and pediatric patient populations. Candidates with clinical backgrounds in NICU, PICU, pediatric acute care, pediatric specialty care, or related settings are highly encouraged to apply. Schedule Information: Our Utilization Review team provides coverage seven days a week, operating between 8:00 a.m. and 10:00 p.m. To support our patients and partners, team members are scheduled within these hours, including weekends on a rotating basis. This role follows a 4x10 schedule, meaning you'll work four 10-hour shifts each week, providing an additional day off during the week. Team members are expected to work every other weekend as part of the regular rotation. Available shift options include: 10:00 a.m. - 8:00 p.m. 12:00 p.m. - 10:00 p.m. (eligible for a 10% shift differential) We are seeking candidates who are flexible and comfortable working either shift based on business needs. We value work-life balance and strive to create schedules that support both team collaboration and operational excellence. Benefits & Additional Compensation In addition to our comprehensive benefits package, this role offers premium pay opportunities: 10% weekend differential for hours worked on weekends. 10% shift differential for hours worked during the 12:00 p.m. - 10:00 p.m. shift. These differentials compound, meaning team members working the 12:00 p.m. - 10:00 p.m. shift on a weekend may receive a total 20% differential for eligible hours worked. Essential job function include: Resource Utilization Utilizes proactive triggers (diagnoses, cost criteria, and complications) to identify potential over/under utilization of services Initiates appropriate referral to physician advisor in a timely manner Understands proper utilization of health care resources and assists wit",https://app.nursefern.com,Utilization Review & Management (UR/UM),NurseFern,2026-09-16T14:04:45.400876
