job_title,company,date_posted,location,remote_status,employment_type,schedule,license_requirements,salary_range,job_description,apply_link,specialties,source_site,scraped_at
Skilled Nursing Facility (SNF) / Patient-Driven Payment Model (PDPM) Trainer,EXL,2026-08-24,United States,Remote,Regular | Perm Employee,Regular | Perm Employee,Remote,,"100% Remote in the USSalary for this role is $80k - $105kFor more information on benefits and what we offer please visit us atThe posted range is the hiring range for this role - a subset of the broader range available to employees over time - and reflects base salary across our national hiring scale. Final offers are based on several factors, including the candidate's skills and experience, internal pay equity, work location, market conditions for the role, and the specific scope and responsibilities of the position. The top of the range is reserved for candidates who notably exceed the requirements; the lower end applies to those with less experience or fewer preferred qualifications. For positions based in higher-cost zones (e.g., California, New York, New Jersey), actual compensation may exceed the posted range; your recruiter will share specifics during the process.EXL (NASDAQ: EXLS) is a leading data analytics and digital operations and solutions company. We partner with clients using a data and AI-led approach to reinvent business models, drive better business outcomes and unlock growth with speed. EXL harnesses the power of data, analytics, AI, and deep industry knowledge to transform operations for the world's leading corporations in industries including insurance, healthcare, banking and financial services, media and retail, among others. EXL was founded in 1999 with the core values of innovation, collaboration, excellence, integrity and respect. We are headquartered in New York and have more than 54,000 employees spanning six continents. For more information, visitEXL never requires or asks for fees/payments or credit card or bank details during any phase of the recruitment or hiring process and has not authorized any agencies or partners to collect any fee or payment from prospective candidates. EXL will only extend a job offer after a candidate has gone through a formal interview process with members of EXL's Human Resources team, as well as our hiring managers.",https://fa-ewjt-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2/job/19143?utm_source=remotenurseconnection&utm_medium=jobboard,"Data Analytics, Long Term Care, MDS | Minimum Data Set, Nurse Educator, Registered Nurse | RN",Remote Nurse Connection,2026-08-30T14:18:12.129212
Director of Clinical Education - Prelicensure Nursing,Herzing University,2026-08-24,United States,Remote,Regular | Perm Employee,Regular | Perm Employee,Remote,,"Current staff, faculty/adjunct at Herzing University: log into UKG and navigate to Menu > Myself > My Company > View Opportunities to apply using the internal application process.To participate in a remote work arrangement, employees must reside in the United States. No remote work arrangement will be considered for working from outside the United States.Overview:The Director of Clinical Education is responsible for leading the design, standardization, implementation, and continuous improvement of clinical education across all prelicensure nursing programs, locations, and modalities of educational delivery. It is responsible for the consistency, compliance, delivery, and quality of clinical education in prelicensure nursing.The Director of Clinical Education establishes and owns the standard processes, clinical experience frameworks, faculty expectations, and evaluation structures that govern prelicensure clinical education. This role does not oversee Intensives programming for online students. The Director of Clinical Education is a secondary/dotted line supervisor for location based Program Chair, who manages day-to-day clinical faculty oversight and student clinical experiences. The Director monitors compliance and quality across all clinical experiences and works collaboratively with, and through, prelicensure nursing Chairs to meet desired outcomes.REQUIREMENTS:An earned Doctorate in a nursing related field; or an earned doctorate (in a non-nursing specific field) with a graduate level nursing degree.Active, unencumbered Registered Nurse (RN) license in state of primary residency, with eligibility for licensure in additional states as needed.Minimum of five (5) years of professional nursing practice experience, with a preference of experience in clinical settings relevant to prelicensure nursing clinical education.Minimum of three (3) years of experience in nursing clinical education leadershipExperience developing or implementing system-wide clinical education standards, SOPs, or evaluation frameworks preferred.Experience with clinical education across multiple campuses, regions, or delivery modalities preferred.Experience supporting or leading an accreditation self-study or site visit preferred.Compensationis determined based on the qualifications, experience, and circumstances of each hire. It is uncommon for new employees to start near the top of the salary range. We offer a comprehensive benefits package, including a tuition waiver and reimbursement program, health insurance, paid time off, and a retirement savings plan.The salary range for this position is $119,000 to $161,000.RESPONSIBILITIES:Clinical Education Standards, Process, and Experience DesignDevelop, implement, and maintain system-wide standard operating procedures (SOPs) for prelicensure clinical education, including clinical placement processes, faculty assignment protocols, student orientation requirements, and clinical site expectations.Design and standardize the clinical experience framework for all prelicensure programs, ensuring alignment with program learning outcomes, accreditation standards (HLC, ACEN, or CCNE), and state board of nursing requirements across all operating jurisdictions.Establish clear, written expectations for clinical faculty performance, student supervision standards, patient safety protocols, and documentation requirements that are applied consistently across all clinical sites system-wide.Develop and maintain standardized clinical evaluation tools and rubrics for student clinical performance, clinical faculty effectiveness, and clinical site quality, ensuring alignment with accreditation evidence requirements.In collaboration, ensure clinical experiences satisfy program and course learning objectives, reinforce concepts introduced in the didactic portion of courses, and provide students the opportunity to observe and apply clinical skills in a hands-on setting.Ensure clinical education standards account for the variation across delivery modalities, campus regions, and partner program tracks, and that equivalent clinical quality is maintained regardless of site or modality.Develop and maintain internal definitions of appropriate clinical site types, settings, and experiences required for each prelicensure course and program level, mapping those definitions to curriculum objectives to ensure students receive the correct clinical experience at the correct point in their program.Ensure that site-to-course mapping is used as the basis for clinical placement decisions, affiliation agreement prioritization, and capacity planning across all regions.Clinical Site Support and Partnership ManagementPartner with clinical operations to support clinical experience development, needs assessments, and maintenance.Implement mechanisms to support partner education to optimize student clinical learning experiences.Collaborate with clinical operations and program leadership to resolve clinical placement challenges in a tim...",https://recruiting2.ultipro.com/HER1009HRZ/JobBoard/267d2e37-abff-4559-8a18-a754503d3749/OpportunityDetail?opportunityId=5d130837-bd79-44a4-9ebf-4d9a0d964220&utm_source=remotenurseconnection&utm_medium=jobboard,"Advanced Practice Nurse, Education | Academic, Management | Leadership",Remote Nurse Connection,2026-08-30T14:18:14.432161
Director of Curriculum - Prelicensure Nursing,Herzing University,2026-08-24,United States,Remote,Regular | Perm Employee,Regular | Perm Employee,"In Person Meetings, Remote",,"Current staff, faculty/adjunct at Herzing University: log into UKG and navigate to Menu > Myself > My Company > View Opportunities to apply using the internal application process.To participate in a remote work arrangement, employees must reside in the United States. No remote work arrangement will be considered for working from outside the United States.Overview:the Director of Curriculum leads the design, development, review, implementation, and continuous improvement of nursing curriculum across all Herzing University prelicensure nursing programs. The Director ensures that curriculum is academically rigorous, aligned with accreditation standards, reflective of current nursing practice and evidence, and consistently implemented across all delivery modalities.The Director of Curriculum provides direct supervision to assigned personnel, to support faculty driven curriculum and assessment at Herzing University. The Director coordinates curriculum strategy, ensures consistent implementation across programs, and maintains a consistent and continuous communication strategy with all stakeholders to advance faculty ownership of prelicensure nursing curriculum and assessment.REQUIREMENTS:An earned doctorate (DNP, DNE, or PhD).Active, unencumbered Registered Nurse (RN) licensure in the state of primary employment, with eligibility for licensure in additional states as required.Minimum of five (5) years of professional nursing practice experience.Minimum of three (3) years of experience in nursing education, curriculum development, or academic program leadership at the post-secondary level in a programmatically accredited prelicensure nursing program.Experience supervising or providing direction to curriculum or academic program staff preferred.Experience supporting or leading an accreditation self-study or site visit preferred.Experience with online nursing program curriculum design and the instructional design considerations specific to online delivery preferred.Compensationis determined based on the qualifications, experience, and circumstances of each hire. It is uncommon for new employees to start near the top of the salary range. We offer a comprehensive benefits package, including a tuition waiver and reimbursement program, health insurance, paid time off, and a retirement savings plan. The salary range for this position is $127,500 to $172,500.RESPONSIBILITIES:Oversight of Curricular OperationsDirectly supervise the Associate Director of PN Curriculum, Associate Director of ASN/BSN Curriculum, and Associate Director of MSNDE Curriculum, providing clear direction, performance expectations, and professional development.Set curriculum strategy for each program track and hold Associate Directors accountable for translating that strategy into consistent implementation across all delivery sites and modalities.Establish and maintain structured communication rhythms with Associate Directors to monitor curriculum implementation progress, surface issues, and ensure alignment across program tracks.Conduct regular performance evaluations for direct reports, providing constructive feedback that supports growth and development.Ensure communication aligns with execution of faculty recommendations and evaluation of curriculum performance.Collaboratively develop, review, and update policies and procedures governing curriculum development, review, and implementation across prelicensure nursing programs.Align with the AVP of Instructional Design and Delivery on course development structure, timelines, and quality assurance processes to meet desired outcomes.Align with the AVP of Instructional Design and Delivery on processes and timelines associated with exam proctoring to support successful execution and accountability measures.Collaborate with the Director of Simulation and Lab on the development and placement of simulated learning experiences within the curriculum.Ensure that curriculum policies and procedures align with the university's mission, vision, and operations.Collaborate with the VP of Academic Operations to ensure curriculum requirements are reflected in resource planning including faculty time, facilities, equipment, and technology.Represent Herzing University nursing curriculum with external partners, accrediting bodies, and advisory groups on curriculum-related matters.Oversee work with curriculum advisory committees, including industry experts, alumni, and community representatives, to gather insights and recommendations for curriculum development.Ensure student feedback is incorporated in curriculum development and revision processes through Associate Directors.Develop and maintain relationships with professional organizations and instructional design partners to keep the curriculum responsive to external demands.Design, Development, and Sustainability of Prelicensure Nursing CurriculumEstablish the strategic direction for prelicensure nursing curriculum, ensuring alignment with HLC, ACEN, or CCNE accredi...",https://recruiting2.ultipro.com/HER1009HRZ/JobBoard/267d2e37-abff-4559-8a18-a754503d3749/OpportunityDetail?opportunityId=1fde6545-b5cc-4bab-a343-1adaaff1c54a&utm_source=remotenurseconnection&utm_medium=jobboard,"Advanced Practice Nurse, Education | Academic, Management | Leadership",Remote Nurse Connection,2026-08-30T14:18:16.399559
Utilization Review RN III,Medica,2026-08-24,"Arkansas, United States, Arizona, United States, Florida, United States, Georgia, United States, Iowa, United States, Illinois, United States, Kansas, United States, Kentucky, United States, Michigan, United States, Minnesota, United States, Missouri, United States, North Dakota, United States, Nebraska, United States, Oklahoma, United States, South Dakota, United States, Tennessee, United States, Texas, United States, Virginia, United States, Wisconsin, United States",Remote,Regular | Perm Employee,Regular | Perm Employee,Remote,"$70,200 - $120,400","Medica is a nonprofit health plan with more than a million members that serves communities in Minnesota, Nebraska, Wisconsin, Missouri, and beyond. We deliver personalized health care experiences and partner closely with providers to ensure members are genuinely cared for.We're a team that owns our work with accountability, makes data-driven decisions, embraces continuous learning, and celebrates collaboration - because success is a team sport. It's our mission to be there in the moments that matter most for our members and employees. Join us in creating a community of connected care, where coordinated, quality service is the norm and every member feels valued.The Utilization Review RN will review and document member case history in compliance with policies and procedures for approval of member coverage. The role requires attention to detail and use of clinical judgment to determine clinical benefits. RN Required. Perform other duties assigned.Key Responsibilities:Medica's Utilization Review Nurses are responsible for reviewing and documenting prior authorization requests and member case history in compliance with policies and procedures for approval of member coverage.Medica's Utilization Review Nurses are also responsible for the analysis of trends through feedback, which may be identified through the review of cases, and for addressing these issues by recommending revision of medical policies and utilization management policies.Utilization review activities require interfacing with members, providers, clinics, medical directors, intake staff, case managers and other departments internally within Medica.Required Qualifications:Associate's or Bachelor's degree or equivalent experience in related field5 years of work experience beyond degreeRN licensePreferred Qualifications:Experience with appeals strongly preferredUtilization Management experienceKnowledge surrounding regulatory requirements (i.e. CMS and NCQA) specific to UM processesSelf-motivated, autonomous worker with the ability to work independently but also collaboratively within a team environmentDetail-oriented with strong organization skillsTechnology-savvy; ability to work within multiple computer applicationsDemonstrated clinical assessment skills with the ability to think critically and make evidence-based decisionsCertifications/LicensureActive, unrestricted RN license requiredThis position is a Remote role. To be eligible for consideration, candidates must have a primary home address located within any state where Medica is registered as an employer - AR, AZ, FL, GA, IA, IL, KS, KY, MI, MN, MO, ND, NE, OK, SD, TN, TX, VA, WIThe full salary grade for this position is $70,200 - $120,400. While the full salary grade is provided, the typical hiring salary range for this role is expected to be between $70,200 - $105,315. Annual salary range placement will depend on a variety of factors including, but not limited to, education, work experience, applicable certifications and/or licensure, the position's scope and responsibility, internal pay equity and external market salary data. In addition to compensation, Medica offers a generous total rewards package that includes competitive medical, dental, vision, PTO, Holidays, paid volunteer time off, 401K contributions, caregiver services and many other benefits to support our employees.The compensation and benefits information is provided as of the date of this posting. Medica's compensation and benefits are subject to change at any time, with or without notice, subject to applicable law.Eligibility to work in the US:Medica does not offer work visa sponsorship for this role. All candidates must be legally authorized to work in the United States at the time of application. Employment is contingent on verification of identity and eligibility to work in the United States.We are an Equal Opportunity employer, where all qualified candidates receive consideration for employment indiscriminate of race, religion, ethnicity, national origin, citizenship, gender, gender identity, sexual orientation, age, veteran status, disability, genetic information, or any other protected characteristic.",https://recruiting2.ultipro.com/MED1007MHP/JobBoard/ffa5492f-9175-4dab-891d-a6a5d6dced2f/OpportunityDetail?opportunityId=2bb409f2-cf2e-4e18-9ebf-719988a6ff38&utm_source=remotenurseconnection&utm_medium=jobboard,"Prior Authorization, Registered Nurse | RN, Utilization Management | Utilization Review",Remote Nurse Connection,2026-08-30T14:18:16.492559
Case Management Coordinator,CorVel Corporation,2026-08-24,United States,Remote,Regular | Perm Employee,Regular | Perm Employee,Remote,$16.74 - $26,"The Case Management Coordinator provides staff support services to facilitate high quality individualized treatment goals, including timely return-to-work, if appropriate, while supporting the goals of the Case Management department, and of CorVel.This position plays a key role in ensuring smooth communication between internal teams, clients, and external partners, helping to deliver high-quality, compliant managed care services.This is a remote position.ESSENTIAL FUNCTIONS & RESPONSIBILITIES:Provide day-to-day administrative support to Case Management nursesAssist nurses with clinic communications via telephonePrepare, proofread, and distribute correspondence to clients, providers, and other stakeholdersSupport coordination of care by ensuring timely and accurate documentation and communicationProvides customer support servicesMaintain organized client files and ensure all contacts and records are up to dateAssist in the preparation and distribution of reportsEnsure compliance with HIPAA, confidentiality standards, and organizational policiesAdditional duties as assignedKNOWLEDGE & SKILLS:Effective multi-tasking skills in a high-volume, fast-paced, team-oriented environmentExcellent written and verbal communication skillsAbility to meet designated deadlinesHigh attention to detail and accuracyComputer proficiency and technical aptitude with the ability to utilize Microsoft Office including Excel spreadsheetsStrong interpersonal, time management, and organizational skillsAbility to work both independently and within a team environmentEDUCATION & EXPERIENCE:High School diploma or equivalentClinical background preferredPAY RANGE:CorVel uses a market based approach to pay and our salary ranges may vary depending on your location. Pay rates are established taking into account the following factors: federal, state, and local minimum wage requirements, the geographic location differential, job-related skills, experience, qualifications, internal employee equity, and market conditions. Our ranges may be modified at any time.For leveled roles (I, II, III, Senior, Lead, etc.) new hires may be slotted into a different level, either up or down, based on assessment during interview process taking into consideration experience, qualifications, and overall fit for the role. The level may impact the salary range and these adjustments would be clarified during the offer process.Pay Range: $16.74 - $26.92 per hourA list of our benefit offerings can be found on our CorVel website:Company Job Link:https://recruiting2.ultipro.com/COR1025CVEL/JobBoard/661856a2-40b3-49f9-ab1e-9845cfac508d/OpportunityDetail?opportunityId=7f7c12c7-361a-4376-8644-14108ab838b1&utm_source=remotenurseconnection&utm_medium=jobboard",https://recruiting2.ultipro.com/COR1025CVEL/JobBoard/661856a2-40b3-49f9-ab1e-9845cfac508d/OpportunityDetail?opportunityId=7f7c12c7-361a-4376-8644-14108ab838b1&utm_source=remotenurseconnection&utm_medium=jobboard,"Case Management | Care Management, Entry Level, Licensed Practical Nurse | LPN | LVN, Potential for New Grad Nurse (No nursing license required), Workers Compensation",Remote Nurse Connection,2026-08-30T14:18:18.368769
Clinical Documentation Integrity (CDI) Specialist (Remote),University Hospitals,2026-08-24,"Ohio, United States",Remote,Regular | Perm Employee,Regular | Perm Employee,"In Person Meetings, Remote",,"A Brief OverviewThe Clinical Documentation Integrity Specialist is responsible for utilizing independent clinical judgement in facilitating the integrity, overall quality, accuracy and completeness of provider-based clinical documentation in the medical record. This position is responsible for collaborating with healthcare providers to ensure the documentation in the medical record accurately reflects the patient complexity and resource utilization. The CDI Specialist assesses the clinical documentation through extensive review of the medical record, interacts with multiple members of the healthcare team, educates and assists the clinical areas in effective and compliant documentation. The CDI Specialist provides guidance with processes in the clinical departments to support accurate, timely and complete documentation in agreement with company policies and procedures.What You Will DoEnsures documentation is accurate and complete by performing timely medical record review and determination of code assignment by applying clinical and/or coding expertise to identify opportunities for improved or clarified documentation that accurately reflects the patient complexity and resource utilization. Direct and timely follow-up with clinical providers to ensure requested clarification is provided.* Responsible and accountable for expanding CDI and coding knowledge (keeping up to date on latest research, technology, treatment modalities, etc.)* Utilizes critical thinking/problem solving processes* Appropriately utilizes and interprets professional association resource materials and regulatory agencies guidelines to enhance own skill sets: Coding Clinics, AHIMA, CMS guidelines* Identifies query opportunities for record integrity* Is proficient in query writing so that the question is easily understood by the physician* Query writing is AHIMA compliant per practice briefs* Escalates non-response to query by physicians immediately according to query escalation policy* Collaborates with the coding team* Demonstrates proficiency in reviewing increasingly complex cases.* Demonstrates proficiency and efficiency in cross covering for other units, specialties and hospitals as assigned.Actively engages in educating physicians and other clinical care providers regarding clinical documentation in a variety of formats including participation in clinical rounding, service line focused education sessions and one to one case specific feedback.* Consistently provides a collaborative relationship with healthcare team providers/members* Participates in service line rounding/touch-point routinely.* Provides ongoing service line directed education to provider teamsApplies knowledge of health care workflows in order to work collaboratively with medical staff and other health care team members to improve the overall accuracy and comprehensiveness of medical record documentation, with focus on ensuring accurate reporting of quality outcomes.* Seeks and provides feedback for improved CDI practice and integrity/quality of medical record documentation.* Identifies opportunity utilizing resources and follows department guidelines for processes* Comprehends the impact of accurate clinical documentation in the medical record: accurate billing, public reporting, research data, quality metrics, provider scorecards, etc.Meets established operational and productivity standards.* Consistently meets productivity, quality, and ethical standards.* Proficient and efficient use of the CDI business platform* Serves as a mentor to other Clinical Documentation Specialists, participates in committeesAdditional ResponsibilitiesAmendment for Inpatient Clinical Documentation Specialist * Performs review of facility inpatient encounters to ensure hospital case-mix index and severity profiles are accurate by performing timely medical record review, determination of working DRG assignment and applying clinical expertise to identify opportunities for improved or clarified documentation that accurately reflects the severity of illness and risk of mortality of the patient. Direct and timely follow-up with clinical providers to ensure requested clarification is provided. * Demonstrates proficiency in establishing and reconciling DRG processes compliant with departmental guidelines and CMS regulations. * Demonstrates proficiency in reviewing increasingly complex (SOI and ROM) cases. * Participates in service line rounding/touch-point routinely, based on facility needs. * Identifies HAC/PSI query opportunity utilizing resources and follows department guidelines for HAC/PSI query processes * Comprehends the impact of accurate clinical documentation in the medical record beyond establishing a working DRG: accurate billing, public reporting, research data, quality metrics, provider scorecards, accuracy of the UHDDS, Case Mix Index (CMI). * Demonstrates skills of high efficiency and accuracy to identify and reduce DRG downgrades/denial risks by assuring that clinical support is ...",https://uhhospitals.taleo.net/careersection/2/jobdetail.ftl?job=260007U2&lang=en&utm_source=remotenurseconnection&utm_medium=jobboard,"CDI | Clinical Documentation Integrity Specialist, Registered Nurse | RN",Remote Nurse Connection,2026-08-30T14:18:20.337218
Specialized Services Clinical Administrator,Professional Case Management,2026-08-24,United States,Remote,Regular | Perm Employee,Regular | Perm Employee,Remote,,"Put your talents to work at PCM!Whether you work in our Home Care, Clinical Research, Impairments, or Catastrophic Care division, you will support our mission to deliver care and other services that enhance the quality of life of our clients. Be a part of our dynamic client-focused team and make a difference in your career!Performs advisory activities to assist a Specialized Services Physician with all the tasks necessary to write medical opinion letters for PCM Home Care clients.QUALIFICATIONS:Registered NurseKnowledge of the EEOICPA program and key stakeholders' operating practices (e.g. DOL Resource Centers) is strongly preferred -. Demonstrates strong verbal, written and interpersonal communication skills.Strong computer skills.Speaks, reads, writes, and comprehends English. Written communication is particularly important in this role.Demonstrates time management, organizational skills, and ability to function with minimal direction.Experience with letter writing on behalf of claimants in the EEOICPA Program is highly desirable.Diligently maintains claimant contact records in SalesforceExtensive knowledge of conditions that are common to White Card holders/EEOICPA claimants.Offers subject matter expertise and creativity in helping claimants whose circumstances lie outside of established processesUtilize strong phone skills - this role requires extensive time on the phone, but is not considered a Call Center positionProvide exceptional customer service to claimantsBuild strong relationships with team members, physicians, and Case Managers.ESSENTIAL FUNCTIONS/AREAS OF ACCOUNTABILITYLiaising with PCM's Clinical Operations and Home Care clients regarding prospective new conditions that can potentially be added to a client's white cardWrite clinical summaries to assist the Specialized Services physicianEducate Home Care clients on the benefits to them of adding new covered conditionsDocument all steps in Salesforce and update as applicableWork directly with clients and Case Managers to guide them through the DOL processRequest records from treating physicians and providers in support of the claimFollow up with claimants at each step of their DOL authorization process to gauge progress and offer additional guidanceAnswer claimant questions regarding the DOL - processes and EEOICPA program and benefitsIndividual base pay depends on various factors, in addition to primary work location, complexity and responsibility of role, job duties/requirements, and relevant experience, skills and other market-based factors.Available Benefits IncludeMedicalDentalVision401(k)Company Paid Short Term DisabilityFlexible Spending Account (FSA)Health Savings Account (HSA)Paid Time OffVoluntary BenefitsPlease contact Tracie Fairman at or at[email protected]today to learn more about our opportunities where you can make a difference in your own career!Professional Case Management is an Equal Opportunity Employer.",https://procasemanagement.wd115.myworkdayjobs.com/PCM/job/Corporate---Remote-US/Specialized-Services-Clinical-Administrator_R8618?utm_source=remotenurseconnection&utm_medium=jobboard,"Home Health, Registered Nurse | RN",Remote Nurse Connection,2026-08-30T14:18:20.431847
