job_title,company,date_posted,location,remote_status,employment_type,schedule,license_requirements,salary_range,job_description,apply_link,specialties,source_site,scraped_at
REGISTERED NURSE CLINICAL DOCUMENTATION IMPROVEMENT,Ascension,2026-09-16,Remote,Remote,Full-time,Days,"Must Be Licensed In: Compact, Florida","$84,060.91 - $118,668.99 Salary","Your future role at a glance Location: Jacksonville, FL Facility: Ascension St Vincent's - Offsite Department: Total Quality Management Schedule: Day | Hybrid| Full-time | 8am - 5pm Salary: $84,060.91 - $118,668.99 per year Life at Ascension: Where purpose meets opportunity Ascension is a leading nonprofit Catholic health system with a culture and associate experience grounded in service, growth, care and connection. We empower our 97,000+ associates to bring their skills and expertise every day to reimagining healthcare, together. Recognized as one of the Best 150+ Places to Work in Healthcare and a Military-Friendly Gold Employer, you'll find an inclusive and supportive environment where your contributions truly matter. Benefits that help you thrive Comprehensive health coverage: medical, dental, vision, prescription coverage and HSA/FSA options Financial security & retirement: employer-matched 403(b), planning and hardship resources, disability and life insurance Time to recharge: pro-rated paid time off (PTO) and holidays Career growth: Ascension-paid tuition (Vocare), reimbursement, ongoing professional development and online learning Emotional well-being: Employee Assistance Program, counseling and peer support, spiritual care and stress management resources Family support: parental leave, adoption assistance and family benefits Other benefits: optional legal and pet insurance, transportation savings and more How you'll make an impact in this role Act as a trusted advisor to our physicians and advanced practice providers, proactively connecting with them to clarify details and capture the full scope of patient care. Conduct thorough admission reviews and collaborate directly with our coding experts to ensure assigned codes perfectly reflect the patient's real-time clinical status. Work hand-in-hand with the broader healthcare team to resolve documentation queries and address gaps before the patient is discharged. Serve as an ongoing subject matte",https://app.nursefern.com,Clinical Documentation Integrity (CDI),NurseFern,2026-09-17T14:09:18.163334
"OBSTETRIC BEHAVIORAL HEALTH NURSE - NIGHT SHIFT (7P-2A ET, M-TH)",Pomelo Care,2026-09-16,Remote,Remote,Full-time,Nights,Must Be Licensed In: Compact,"$54,600 - $58,100 Salary","Your North Star: Complete initial intake and crisis consultation to support the coordination of perinatal behavioral health care and support to improve patient outcomes.This role reports to the Behavioral Health Lead and is open to any candidates located in the continental US. Reporting to the Behavioral Health Lead, in this role you will have the following responsibilities: Conduct initial patient risk assessments and triage based on urgency and severity of mental health conditions. Collaborate with a multidisciplinary team of healthcare professionals, including, obstetricians, APPs, nurses, care coordinators and therapists. Develop and implement individualized care plans for patients, taking into account their unique needs and circumstances. Provide psychoeducation to patients and their families about perinatal mental health conditions and treatment options. Monitor patients' progress and adjust care plans as necessary. Advocate for patients' rights and ensure that care is delivered in a way that respects their autonomy and dignity. Participate in ongoing professional development and training to stay up-to-date with the latest research and best practices in perinatal mental health nursing. Qualifications: Registered Nurse with an unrestricted multi-state compact license and residence in a nursing compact state required 4+ years experience in a hospital and/or healthcare practice, serving maternal-child health populations Experience or advanced training in psychiatric nursing, perinatal mental health or a related field Experience working with pregnant and postpartum individuals and their families Strong communication and interpersonal skills. Ability to work in a fast-paced, metrics-driven environment Commitment to patient-centered care and a holistic approach to mental health. Who you are: An agile, adaptable thinker who embraces change Fully internet-connected and equipped to work remotely via video, phone, and text Understand the prevalence of and role that bir",https://app.nursefern.com,Triage,NurseFern,2026-09-17T14:09:20.317040
"OBSTETRIC BEHAVIORAL HEALTH NURSE - OVERNIGHT SHIFT (2A-9A ET, M-F)",Pomelo Care,2026-09-16,Remote,Remote,Full-time,Nights,Must Be Licensed In: Compact,"$68,250 - $72,625 Salary","Your North Star: Complete initial intake and crisis consultation to support the coordination of perinatal behavioral health care and support to improve patient outcomes.This role reports to the Behavioral Health Lead and is open to any candidates located in the continental US. Reporting to the Behavioral Health Lead, in this role you will have the following responsibilities: Conduct initial patient risk assessments and triage based on urgency and severity of mental health conditions. Collaborate with a multidisciplinary team of healthcare professionals, including, obstetricians, APPs, nurses, care coordinators and therapists. Develop and implement individualized care plans for patients, taking into account their unique needs and circumstances. Provide psychoeducation to patients and their families about perinatal mental health conditions and treatment options. Monitor patients' progress and adjust care plans as necessary. Advocate for patients' rights and ensure that care is delivered in a way that respects their autonomy and dignity. Participate in ongoing professional development and training to stay up-to-date with the latest research and best practices in perinatal mental health nursing. Qualifications: Registered Nurse with an unrestricted multi-state compact license and residence in a nursing compact state required 4+ years experience in a hospital and/or healthcare practice, serving maternal-child health populations Experience or advanced training in psychiatric nursing, perinatal mental health or a related field Experience working with pregnant and postpartum individuals and their families Strong communication and interpersonal skills. Ability to work in a fast-paced, metrics-driven environment Commitment to patient-centered care and a holistic approach to mental health. Who you are: An agile, adaptable thinker who embraces change Fully internet-connected and equipped to work remotely via video, phone, and text Understand the prevalence of and role that bir",https://app.nursefern.com,Triage,NurseFern,2026-09-17T14:09:22.416698
"OBSTETRIC BEHAVIORAL HEALTH NURSE (FRI 7P-2A ET, SAT/SUN 6P-2A ET)",Pomelo Care,2026-09-16,Remote,Remote,Part-time,"Evenings, Weekends, Nights",Must Be Licensed In: Compact,"$44,850 - $47,725 Salary","Your North Star: Complete initial intake and crisis consultation to support the coordination of perinatal behavioral health care and support to improve patient outcomes.This role reports to the Behavioral Health Lead and is open to any candidates located in the continental US. Reporting to the Behavioral Health Lead, in this role you will have the following responsibilities: Conduct initial patient risk assessments and triage based on urgency and severity of mental health conditions. Collaborate with a multidisciplinary team of healthcare professionals, including, obstetricians, APPs, nurses, care coordinators and therapists. Develop and implement individualized care plans for patients, taking into account their unique needs and circumstances. Provide psychoeducation to patients and their families about perinatal mental health conditions and treatment options. Monitor patients' progress and adjust care plans as necessary. Advocate for patients' rights and ensure that care is delivered in a way that respects their autonomy and dignity. Participate in ongoing professional development and training to stay up-to-date with the latest research and best practices in perinatal mental health nursing. Qualifications: Registered Nurse with an unrestricted multi-state compact license and residence in a nursing compact state required 4+ years experience in a hospital and/or healthcare practice, serving maternal-child health populations Experience or advanced training in psychiatric nursing, perinatal mental health or a related field Experience working with pregnant and postpartum individuals and their families Strong communication and interpersonal skills. Ability to work in a fast-paced, metrics-driven environment Commitment to patient-centered care and a holistic approach to mental health. Who you are: An agile, adaptable thinker who embraces change Fully internet-connected and equipped to work remotely via video, phone, and text Understand the prevalence of and role that bir",https://app.nursefern.com,Triage,NurseFern,2026-09-17T14:09:24.551084
"OBSTETRIC BEHAVIORAL HEALTH NURSE - PART-TIME WEEKEND (SAT AND SUN, 7A-7P ET)",Pomelo Care,2026-09-16,Remote,Remote,Part-time,"Days, Weekends, 12hr shifts",Must Be Licensed In: Compact,"$46,800 - $49,800 Salary","Your North Star: Complete initial intake and crisis consultation to support the coordination of perinatal behavioral health care and support to improve patient outcomes.This role reports to the Behavioral Health Lead and is open to any candidates located in the continental US. Reporting to the Behavioral Health Lead, in this role you will have the following responsibilities: Conduct initial patient risk assessments and triage based on urgency and severity of mental health conditions. Collaborate with a multidisciplinary team of healthcare professionals, including, obstetricians, APPs, nurses, care coordinators and therapists. Develop and implement individualized care plans for patients, taking into account their unique needs and circumstances. Provide psychoeducation to patients and their families about perinatal mental health conditions and treatment options. Monitor patients' progress and adjust care plans as necessary. Advocate for patients' rights and ensure that care is delivered in a way that respects their autonomy and dignity. Participate in ongoing professional development and training to stay up-to-date with the latest research and best practices in perinatal mental health nursing. Qualifications: Registered Nurse with an unrestricted multi-state compact license and residence in a nursing compact state required 4+ years experience in a hospital and/or healthcare practice, serving maternal-child health populations Experience or advanced training in psychiatric nursing, perinatal mental health or a related field Experience working with pregnant and postpartum individuals and their families Strong communication and interpersonal skills. Ability to work in a fast-paced, metrics-driven environment Commitment to patient-centered care and a holistic approach to mental health. Who you are: An agile, adaptable thinker who embraces change Fully internet-connected and equipped to work remotely via video, phone, and text Understand the prevalence of and role that bir",https://app.nursefern.com,Triage,NurseFern,2026-09-17T14:09:26.644796
REMOTE PSYCHIATRIC MENTAL HEALTH NURSE PRACTITIONER (PMHNP) - ARIZONA,Prosper Health,2026-09-16,Remote,Remote,Part-time,"Days, Evenings",Must Be Licensed In: Arizona,$0 - $0 Salary,"We're launching Prosper Health's Medication Management program by the end of 2026, and hiring Psychiatric Mental Health Nurse Practitioners in Arizona to provide psychiatric evaluation and medication management for autistic and neurodivergent adults via telehealth. Medication management is a natural extension of the individualized support we've always believed neurodivergent adults deserve. As we bring this care into Prosper, we're doing it the same way we've approached therapy and assessment - grounded in clinical data and shaped around the client. We're looking for providers to help treat the holistic mental health needs of our client population, whether that is newly diagnosed ADHD, co-occurring depression or anxiety, or other underlying conditions thoughtfully. Prescribing decisions are made in the full context of a client's mental and physical health history and goals. As one of our first PMHNPs, you won't just deliver care inside an existing structure - you'll help build it. Why PMHNPs Choose Prosper: Focus on what matters most: Provide exceptional client care while we manage administrative tasks, insurance billing, and client acquisition Enjoy scheduling flexibility: Design your work schedule to accommodate personal needs and maintain optimal work-life balance Your caseload is already waiting: Clients come to you directly from our assessment service, already evaluated for Autism and/or ADHD by a Prosper psychologist. Pick up where the evaluation left off: You'll receive the psychological evaluation as an input to your initial assessment, so you start with real diagnostic data instead of a blank chart. Purpose-built tools: Our engineering team is building technology specifically for medication management with neurodivergent adults No-show and late cancellation reimbursement: Receive 50% reimbursement for late cancellations and no-shows Connect with a supportive clinical community: Join weekly drop-ins and engage in a tight-knit clinical community that prev",https://app.nursefern.com,Telehealth,NurseFern,2026-09-17T14:09:32.928986
RN CASE MANAGER (REMOTE),Optima Medical Management Group,2026-09-16,Remote,Remote,Full-time,Days,Must Be Licensed In: California,"$90,000 - $110,000 Salary","The RN Clinical Care Manager (CCM) is the clinical anchor of a dedicated care pod within the Enhanced Care Management (ECM) program, holding full documentation and clinical oversight responsibility for a cohort of approximately 500 ECM members. Working as an integral, fully remote member of the pod's interdisciplinary Care Team, alongside Lead Care Managers, MAs, and Community Health Workers, the RN CCM ensures that every member's care plan, assessment, and clinical record reflects sound nursing judgment and meets payer and regulatory standards. This role combines the relational, member-engagement strengths of the Lead Care Manager with the clinical expertise, documentation rigor, and oversight responsibilities of an RN Case Manager. Under the general supervision of Enhanced Care Management Leadership, the RN Clinical Care Manager provides clinical oversight and documentation review for all care plans, assessments, and clinical notes generated within the pod, working remotely alongside the Lead Care Managers and Community Health Workers, a who conduct direct member engagement. Through collaboration with Primary Care Providers (PCPs), interdisciplinary Care Team members, and community partners, the CCM ensures that members receive the right care, at the right time, in the right place-supporting improved outcomes and health equity for diverse Medi-Cal populations across the assigned 500-member cohort. Key Responsibilities Pod Nursing, Documentation, and Clinical Oversight Serve as the RN of record for a cohort of approximately 500 ECM members, holding full responsibility for the accuracy, completeness, and clinical soundness of all documentation within the pod. Function as an integral, fully remote member of the pod Care Team, partnering closely with Lead Care Managers, MAs, and Community Health Workers who conduct direct member engagement. Review and provide clinical oversight of care plans, assessments, and progress notes entered by pod team members, ensuring cli",https://app.nursefern.com,Case Management (CM),NurseFern,2026-09-17T14:09:35.038399
QUALITY MANAGER (REMOTE | TELEHEALTH),CareTalk Health,2026-09-16,Remote,Remote,Full-time,Days,Must Be Licensed In: Compact,"$83,000 - $93,000 Salary","Job Title: Quality Manager (Remote | Telehealth) Location: Remote - United States Employment Type: FT W2 Salaried: $83,000 - $93,000 CareTalk Health CareTalk Health is a fully remote, nationwide virtual medical practice. We partner with Medicare Advantage plans to deliver Annual Wellness Visits and close care gaps, reaching members wherever they are. We believe virtual care isn't a compromise - it's care delivered the way patients actually want it. Our job is to make that experience simple, reliable, and human. About the Role The Quality Manager owns quality across the organization, from the quality of calls made by RNs, providers, and PSS Engagers to clinical quality outcomes at the population level. This role requires a Registered Nurse who combines strong clinical judgment with excellent computer skills and hands-on experience developing and analyzing quality data. The Quality Manager builds and leads a team of Quality Reviewers, sets the standards and methods they audit against, and turns their findings into measurable improvement across clinical and service quality. This role reports to the SVP of Clinical Services. What You'll Do Key Responsibilities Quality Program Oversight Own quality performance across all clinical tiers and channels, including RN, provider, PSS, and Engager call and documentation quality, and organization-wide clinical quality outcomes. Define and maintain quality standards, audit criteria, and scorecards used to evaluate calls, clinical interactions, and documentation. Set the quality strategy and roadmap in partnership with the SVP of Clinical Services, translating organizational goals into a concrete audit and improvement plan. Monitor clinical quality outcomes (e.g., HEDIS and other quality measures) and ensure quality review activity is aligned to closing gaps and improving results. Team Leadership Hire, supervise, and develop a team of Quality Reviewers; assign workload, set performance expectations, and manage d",https://app.nursefern.com,Quality,NurseFern,2026-09-17T14:09:37.404560
MATERNITY NURSE CARE MANAGER,Included Health,2026-09-16,Remote,Remote,Full-time,Days,Must Be Licensed In: Compact,"$74,810 - $104,730 Salary","We are seeking a Maternity Nurse Care Manager to join our Care and Case Management team. This role is ideal for a compassionate, patient-centered nurse who is passionate about supporting individuals through the full spectrum of their maternity journey-from preconception to postpartum-with evidence-based, holistic care. As a telephonic Maternity Nurse Care Manager, you will guide members through both routine and high-risk pregnancy experiences, working closely with a multidisciplinary team of providers, care coordinators, and support staff to deliver integrated remote care. You'll spend your day connecting directly with members, listening to their concerns, answering questions, and serving as a trusted advocate. This role requires strong clinical expertise in maternity care, as well as the ability to develop personalized care plans that support members through fertility planning, prenatal care, delivery preparation, and postpartum recovery. You'll also help members navigate their health benefits and connect them to appropriate resources, with a focus on delivering high-quality, coordinated care that leads to better health outcomes for parents and their growing families. Responsibilities Deliver coordinated, patient-centered virtual Care Management by telephone and/or messaging that improves members' health outcomes. Generate impactful care plans together with members and our multidisciplinary care team, and help members achieve their desired goals. Help members navigate complex medical conditions, treatment pathways, benefits, and the healthcare system in general. Partner with the members' local providers to ensure coordinated care. Provide compassionate, longitudinal follow-up care, building supportive relationships. Qualifications and Requirements: Bachelor of Science in Nursing (BSN). Must reside in a compact NLC state. Active Compact RN license (in state of residence) in good standing with the nursing board of their state Additional active Licensure a p",https://app.nursefern.com,Case Management (CM),NurseFern,2026-09-17T14:09:40.346218
"BILINGUAL CARE MANAGER, TELEPHONIC NURSE",Humana,2026-09-16,Remote,Remote,Full-time,Days,"Must Be Licensed In: State Of Residency, Illinois","$71,100 - $97,800 Salary","The Bilingual Care Manager, Telephonic Nurse 2, in a telephonic environment, assesses and evaluates members' needs and requirements to achieve and/or maintain optimal wellness state by guiding members/families toward and facilitate interaction with resources appropriate for the care and wellbeing of members. The Care Manager, Telephonic Nurse 2 work assignments are varied and frequently require interpretation and independent determination of the appropriate courses of action. The Bilingual Care Manager, Telephonic Nurse 2 employs a variety of strategies, approaches and techniques to manage a member's physical, environmental and psycho-social health issues. Identifies and resolves barriers that hinder effective care. Ensures patient is progressing towards desired outcomes by continuously monitoring patient care through use of assessment, data, conversations with member, and active care planning. Must be able to navigate multiple systems and use critical thinking skills. Use your skills to make an impact Required Qualifications Licensed Registered Nurse (RN) in the state of Illinois with no disciplinary action or ability to obtain IL RN licensure. Minimum of 3 years of clinical acute care experience as a licensed RN. Bachelor's degree in a health-related field. Bilingual in English/Spanish Must be able to speak, read, and write in both languages without limitations or assistance. See Additional Information on testing. Preferred Qualifications Bachelor's degree in Nursing (BSN). Experience with case management, discharge planning and patient education for adult acute care. Managed care experience. Certified Case Manager (CCM). Prior experience with Medicare & Medicaid recipients. Experience with health promotion, coaching and wellness. Knowledge of community health and social service agencies and additional community resources. Additional Information Workstyle: Remote, work from home. Work Location: Illinois preferred. Typical work days/hours: Monday - Friday, 8",https://app.nursefern.com,Case Management (CM),NurseFern,2026-09-17T14:09:42.434915
