job_title,company,date_posted,location,remote_status,employment_type,schedule,license_requirements,salary_range,job_description,apply_link,specialties,source_site,scraped_at
CERTIFIED SCHOOL NURSE (RN),,2026-04-01,Remote,On-site,Contract,Days,Must Be Licensed In: Illinois,$40 - $50 Hourly,"Onward Search Education is a specialized education staffing and talent solutions company that helps educators, therapists, and school health professionals find top jobs with the nation's top schools. We're partnering with a school in Cook County, IL to hire a dedicated School Registered Nurse. The School Registered Nurse supports the health, safety, and academic success of students by providing comprehensive nursing services, managing health plans, and collaborating with school teams to ensure students' medical needs are met in the school setting. Position Details: Start Date: 8/10/2026 End Date: 06/10/2027 Schedule: Monday-Friday, school hours Grade Levels: K-12 Location: In Person, 37.5 hours per week School Year: 2026/2027 Responsibilities: Provide direct nursing care to students, including medication administration, first aid, and management of acute and chronic health conditions. Develop, implement, and monitor Individualized Healthcare Plans (IHPs) and support IEP and evaluation processes for students with medical needs. Collaborate with teachers, administrators, related service providers, and families to support student health and learning. Maintain accurate health records and ensure compliance with state and district health regulations. Promote a safe and healthy school environment through health screenings, education, and preventive care. Provide nursing support across K-12 settings, including high school-specific health needs. Qualifications: Active Illinois Registered Nurse (RN) license required. Professional Educator License (PEL) required. Certification as a School Nurse preferred or required per district standards. Experience working in a school or pediatric setting strongly preferred. Knowledge of IEPs, evaluations, and special education processes. Strong communication, organization, and collaboration skills. What We Offer: Competitive pay and benefits package. Access to a wide network of schools and districts for diverse placement options. Stream",https://app.nursefern.com,,NurseFern,2026-04-01T10:07:18.001357
SCHOOL NURSE,,2026-04-01,Remote,On-site,Contract,Days,Must Be Licensed In: Massachusetts,$35 - $40 Hourly,"Onward Search Education is a specialized education staffing and talent solutions company that helps educators, therapists, and school health professionals find top jobs with the nation's top schools. We're partnering with a school district in Essex County, MA to hire a dedicated School Nurse (LPN). This role is a full-time assignment starting ASAP and involves supporting K-8 students in the school setting. The School Nurse plays a key role in promoting the health and safety of program participants by providing direct nursing care, ongoing health monitoring, medication administration, and contributing to interdisciplinary team planning. Position Details: Location: In-person, Essex County, MA Schedule: Monday - Friday, 8:00 am - 4:00 pm Caseload: K-8th grade Responsibilities: Provide direct nursing care, health care, and first aid to K-8 students. Administer medications and treatments according to prescribed care plans. Monitor and document health status, reporting any changes to the interdisciplinary team. Collaborate with program staff, therapists, and families to develop and implement individualized care plans. Communicate with parents/guardians, teachers, and administrators regarding student health needs. Qualifications: Current Massachusetts LPN License (Required) Experience working with pediatrics (highly preferred) Excellent written and verbal communication skills CPR/First Aid certification What We Offer: Competitive pay and benefits package Access to a wide network of schools and districts for diverse placement options Streamlined hiring process to get you started quickly Ongoing communication and advocacy throughout your placement Personalized support from dedicated recruiting professionals Opportunities for professional growth and development Why Apply? If you're passionate about pediatric nursing and making a direct impact on a student's daily safety and well-being, this role offers a rewarding opportunity to provide one-on-one care in",https://app.nursefern.com,,NurseFern,2026-04-01T10:07:20.099503
"CLINICAL NURSE COORDINATOR- MEDICAL PRACTICE ONCOLOGY DEPARTMENT- POUGHKEEPSIE, NY (BACKGROUND IN ONCOLOGY NURSING OR MEDICAL ONCOLOGY NURSING)",Nuvance Health,2026-04-01,Remote,On-site,Full-time,Days,Must Be Licensed In: New York,$41 - $76.16 Hourly,"Clinical Nurse Coordinator - Medical Oncology Poughkeepsie, NY | Full-Time | Monday-Friday | 40 hrs/week (8:30 AM - 5:00 PM, variable) Join a team dedicated to delivering compassionate, highquality cancer care. We are seeking a Clinical Nurse Coordinator (RN) to lead clinical operations within our Medical Oncology practice. In this dynamic leadership role, you will guide nursing staff, partner closely with the Practice Manager, and ensure exceptional care for a complex, highrisk patient population. If you're a proactive, missiondriven nurse leader who thrives in a collaborative outpatient environment, this is an opportunity to make a meaningful impact every day Summary: The Clinical Nurse Coordinator - Medical Oncology oversees both clinical and administrative workflows within the outpatient oncology practice. This role ensures the delivery of safe, patientcentered, evidencebased care for individuals facing complex oncologic diagnoses. The coordinator provides direct clinical support, leads and mentors the nursing team, and partners with the Practice Manager on operational decisionmaking. Responsibilities: Clinical Patient Care & Coordination Supports physicians during patient visits, including conducting assessments and obtaining health histories. Coordinates patient care among nurses, providers, and multidisciplinary team members. Manages and triages incoming patient calls, ensuring timely clinical responses and clear treatment instructions. Obtains, tracks, and reviews clinical data (labs, imaging, pathology) to ensure ordered tests are completed. Communicates abnormal findings to the primary physician and facilitate followup actions (additional testing, medication changes, referrals, etc.). Assists physicians with routine outpatient procedures. Leadership & Team Development Leads, supervises, and supports the nursing and medical assistant teams to ensure excellent clinical care. Trains newly hired nurses in oncology-specific assessment, tria",https://app.nursefern.com,Case Management (CM),NurseFern,2026-04-01T10:07:22.205989
HEALTHCARE PRIVACY & COMPLIANCE SPECIALIST,CopilotIQ+Biofourmis,2026-04-01,Remote,Remote,Full-time,Days,Must Be Licensed In: United States,"$90,000 - $110,000 Salary","Transcarent is seeking a Healthcare Privacy & Compliance Specialist with deep expertise in privacy regulations and health care compliance to support our rapidly expanding digital health and clinical services ecosystem. This role will play a critical part in ensuring Transcarent's solutions, workflows, and partnerships meet all applicable regulatory requirements, including HIPAA, HITECH, CMS, OCR, and state privacy laws. The ideal candidate is detail-oriented, proactive, and passionate about supporting a member-first experience while maintaining robust compliance safeguards. What you'll do Champion Privacy & Data Protection Support our Privacy Program with practical, easy-to-understand guidance grounded in HIPAA, HITECH, CCPA/CPRA and other state data privacy laws, GDPR (as applicable), and emerging privacy requirements. Review new products, features, data flows, and vendor relationships through a privacy lens-conducting Privacy Impact Assessments and recommending meaningful safeguards. Own and manage the Privacy email inbox, triaging incoming questions, identifying whether they relate to HIPAA, state data privacy laws, or other issues, and responding to inquiries and escalating complex or high-risk questions to the Privacy Officer. Assist with privacy and data incident investigations, helping gather facts, document findings, and coordinate follow-up actions under the direction of the Privacy Officer. Support Healthcare Compliance Excellence Support the Privacy Officer, Compliance Officer, and broader Legal & Compliance team with day-to-day healthcare compliance activities across digital health, virtual care, pharmacy, and surgical care services. Stay on top of regulatory changes that affect digital health, virtual care, pharmacy, and surgical care services. Assist with CMS, OCR, OIG, and state-level requirements to ensure our operations and clinical programs remain compliant. Prepare and support internal and external audits, pulling together documen",https://app.nursefern.com,Quality,NurseFern,2026-04-01T10:07:24.341535
RN NURSE ADVICE LINE - NIGHTS LOCAL REMOTE,Denver Health,2026-04-01,Remote,Remote,Full-time,"12hr shifts, Nights",Must Be Licensed In: Colorado,$33.79 - $52.37 Salary,"Local remote (within 1 hour of Denver) 3 12 hour shifts Sunday, Monday, Wednesday 2000 - 0830 Shifts and days do require flexibility Under general supervision, performs telephone triage under conditions that may be demanding, stressful and repetitious. Functions independently to collect data and make assessments, develop a working diagnosis, determine interventions and disposition per guidelines. Guides evaluation including instructing patient/caller how to evaluate normal/abnormal symptoms, effectiveness of treatment and when to call back. Documents symptoms/complaints, nursing assessment, advice and patient/caller response. Follows policies, procedures, and protocols to ensure consistency and departmental effectiveness as well as improve health care outcomes of patients/callers and their access to appropriate health care. Essential Functions: Collects patient health data in order to identify relevant and unique patient/caller needs. Performs initial assessment for neonatal, pediatric, adolescent, adult, and/or geriatric patients. Evaluates care advice for appropriateness for age of patient/caller. Differentiates normal from abnormal findings, including potential problems. Identifies patient needs and basic understanding of assessment findings as they relate to the practice of telephone triage. Acts appropriately in critical situations. Identifies unique learning needs of patient/caller and participates in their education through care advice and repeat by patient/caller of understanding. Assesses for signs of abuse and makes appropriate referrals. (35%) Reviews medications/drug dosages and allergies with health history and ensures immunizations are up to date as appropriate. Performs as team leader as assigned to monitor the safety of the call queue and acts as liaison for staffing or interdisciplinary issues. Acts as resource for other staff. Provides feedback to supervisors as appropriate. Analyzes assessment data to determine most appropriate guideline sel",https://app.nursefern.com,Triage,NurseFern,2026-04-01T10:07:28.536930
"ANALYST, CLINICAL QUALITY (NURSE PRACTITIONER)",hims & hers,2026-04-01,Remote,Remote,Full-time,Days,"Must Be Licensed In: State Of Residency, Any State, United States","$115,000 - $135,000 Salary","We are currently hiring an Analyst, Clinical Quality who will report into our Director, Clinical Quality to join our Clinical Quality team. This role will collaborate and contribute to the overall clinical quality program including chart audits, monitoring quality metrics, and continuous performance improvement for all clinical services and for the medical provider team. We are looking for a creative, dedicated and driven individual who ensures quality principles are applied in all duties, is passionate about healthcare quality, and loves solving problems through innovative solutions. You Will: Monitor clinical quality through evaluation of completed clinical visits against approved clinical guidelines Participate in ongoing quality improvement processes (i.e., reconsideration flow) Demonstrate expertise in correlating data trends to implementation of clinical practice behaviors Collaborate with key internal clinical and business operations team members for strategic direction and operational logistics of new clinical initiatives Maintain consistent communication with key internal stakeholders Maintain highly organized and accurate documentation on all quality metrics and performance improvement initiatives Perform research and documentation for service expansions Other duties as needed You Have: Nurse Practitioner with 5+ years of experience in healthcare field Working knowledge of clinical best practices and performance improvement Creative and practical operationalization of clinical services/care Familiarity with relevant tools and programs (i.e. Epocrates, Excel) Self-starter aptitude and ability to work independently: you'll be working in a fast-paced environment and managing competing priorities Willingness to grow, learn, and work as a member of a cross-functional team Past experience in Clinical Quality & Clinical Education is helpful but not required Bilingual (Spanish) a plus Our Benefits (there are more but here are some highlights): Co",https://app.nursefern.com,Quality,NurseFern,2026-04-01T10:07:30.629332
NICU CLINICAL REVIEW NURSE - CONCURRENT REVIEW,Centene,2026-04-01,Remote,Remote,Full-time,Days,Must Be Licensed In: Oklahoma,$27.02 - $48.55 Hourly,"You could be the one who changes everything for our 28 million members as a clinical professional on our Medical Management/Health Services team. Centene is a diversified, national organization offering competitive benefits including a fresh perspective on workplace flexibility. Remote Role: Seeking RN with NICU experience. Must reside in Oklahoma. Hours: Monday-Friday, 8AM to 5PM Position Purpose: Performs concurrent reviews, including determining member's overall health, reviewing the type of care being delivered, evaluating medical necessity, and contributing to discharge planning according to care policies and guidelines. Assists evaluating inpatient services to validate the necessity and setting of care being delivered to the member. Performs concurrent reviews of member for appropriate care and setting to determine overall health and appropriate level of care Reviews quality and continuity of care by reviewing acuity level, resource consumption, length of stay, and discharge planning of member Works with Medical Affairs and/or Medical Directors as needed to discuss member care being delivered Collects, documents, and maintains concurrent review findings, discharge plans, and actions taken on member medical records in health management systems according to utilization management policies and guidelines Works with healthcare providers to approve medical determinations or provide recommendations based on requested services and concurrent review findings Assists with providing education to providers on utilization processes to ensure high quality appropriate care to members Provides feedback to leadership on opportunities to improve appropriate level of care and medically necessity based on clinical policies and guidelines Reviews member's transfer or discharge plans to ensure a timely discharge between levels of care and facilities Collaborates with care management on referral of members as appropriate Performs other duties as assigned. Complies with all polic",https://app.nursefern.com,Utilization Review & Management (UR/UM),NurseFern,2026-04-01T10:07:32.731436
TEAM LEAD IN THE CHRONIC CARE MANAGEMENT (CCM),TapestryHealth,2026-04-01,Remote,Remote,Full-time,Days,"Must Be Licensed In: California, New Jersey, Texas","$130,000 - $135,000 Salary","As a Team Lead in the Chronic Care Management (CCM) department, you will provide assistance to a Clinical Manager. You will be responsible for chart reviews, onboarding process, supporting APPRs with clinical educations/auditing and RPMI assignments. This role shares a weekend rotation for coverage. PRIMARY RESPONSIBILITIES: Provide assistance with on-boarding newly hired APPRs Be a resource and provide ongoing clinical education specific to chronic care management Assure that the staff has the basic resources to get their work down in an efficient manner. Participate in committees that directly enhance the work of chronic care management. Conduct occasional chart reviews to assure that processes are followed. Be a liaison working with various departments for example Human Resources, IT and Credentialing department to assure that staff is appropriately trained and credentialed Monitor various chats/conversations and answer questions Assist with RPMI assignments and training Complete expected productivity for chart reviews Understand, promote, and adhere to our workplace values of accountability, integrity, growth mindset, innovation, compassion, and partnership MINIMUM REQUIREMENTS Must have an active and unrestricted license in TX, CA or NJ. MSN with National Board Certification (AANP or ANCC) FNP/AGNP At least 2 years of APP experience preferably in primary care, SNF/LTAC, chronic care management. Remote work experience beneficial. PCC, Teams, Microsoft office Detail oriented, fast-paced environment, exceptional communication skills, ability to work independently and in a team Schedule: M-F with biweekly weekend coverage The anticipated salary range for this role is $130-135K annualized. This remote position follows a location-based compensation structure. The posted salary range represents the potential pay range across various U.S. geographic markets. Actual compensation will be determined based on the candidate's primary work location, experience, quali",https://app.nursefern.com,Case Management (CM),NurseFern,2026-04-01T10:07:34.830359
ILLINOIS TELEPHONIC NURSE CASE MANAGER (REMOTE),Berkley Medical Management Solutions (BMMS),2026-04-01,Remote,Remote,Full-time,Days,Must Be Licensed In: Illinois,"$75,000 - $88,000 Salary","As a Telephonic Nurse Case Manager, you will assess, plan, coordinate, monitor, evaluate and implement options and services to facilitate timely medical care and return to work outcomes of injured workers. Coordinate and implement medical case management to facilitate case closure Timely and comprehensive communication with with employers, adjusters and the injured workers. Assess appropriate utilization of medical treatment and services available through contact with physicians and other specialist to ensure cost effective quality care Review and analyze medical records and assess data to ensure appropriate case management process occurs while providing recommendations to achieve case progress and movement to closure Responsible for assigned caseloads, which may vary in numbers, territory and/or by state jurisdiction Acquire and maintain nursing licensure for all jurisdictions as business needs require Coordinate services to include home services, durable medical equipment, IMEs, admissions, discharges, and vocational services when appropriate and evaluate cost effectiveness and quality of services Document activities and case progress using appropriate methods and tools following best practices for quality improvement Reviewing job analysis/job description with all providers to coordinate and implement disability case management. This includes coordinating job analysis with employer to facilitate return to work. Engage and participate in special projects as assigned by case management leadership team Occasionally attend on site meetings and professional programs Foster a teamwork environment Maintaining and updating evidence based medical guidelines (such as Official Disability Guidelines, MD Guidelines and all required state regulated guidelines) in reference to the injured worker treatment plan and work status. Obtain and maintain applicable state certifications and/or licensures in the state where job duties are performed. Obtain case management professional c",https://app.nursefern.com,Case Management (CM),NurseFern,2026-04-01T10:07:36.929426
INTAKE OPERATIONS SPECIALIST,PocketRN,2026-04-01,Remote,Remote,Full-time,Days,Must Be Licensed In:,"$50,000 - $67,000 Salary","The Intake Operations Specialist plays a critical role in ensuring patients move efficiently through the PocketRN intake and onboarding pipeline. This role supports the operational execution and data accuracy of the intake process, ensuring patient charts are complete, documentation is properly collected, and clinical teams receive fully prepared records prior to patient assessments. This position combines healthcare operations, intake coordination, documentation management, and data tracking. The Intake Operations Specialist manages referral intake workflows, coordinates medical record retrieval, supports medication list verification, and monitors patient movement through the intake funnel. The role works closely with Partner Relationship Managers, clinical teams, and external partners to gather documentation, track intake progress, and resolve issues that may delay patient onboarding or care delivery. A key component of this role is maintaining accurate intake data and identifying trends in documentation gaps or operational delays. The Intake Operations Specialist contributes to operational reporting and helps improve intake workflows by monitoring documentation trends, maintaining intake trackers, and ensuring service level agreements (SLAs) are met. Role Goals & Objectives The Intake Operations Specialist is responsible for ensuring the intake pipeline operates efficiently, accurately, and with full documentation readiness for clinical teams. Success in this role is measured by the ability to maintain a high-quality patient intake process while contributing operational insights that support both clinical teams and Partner Relationship Managers. Ensure Patient Intake Readiness Maintain accurate and complete patient records to ensure charts are clinically ready prior to nurse assessments. Ensure all required documentation, medical records, and medication lists are collected and uploaded before clinical handoff. Reduce delays in patient onboarding by proact",https://app.nursefern.com,,NurseFern,2026-04-01T10:07:39.032651
