job_title,company,date_posted,location,remote_status,employment_type,schedule,license_requirements,salary_range,job_description,apply_link,specialties,source_site,scraped_at
RN CALL US FIRST OVERNIGHT - REMOTE IN PST,UnitedHealth Group,2026-04-07,Remote,Remote,Full-time,Nights,Must Be Licensed In: Washington,$28.94 - $51.63 Hourly,"Requisition number: 2352912 Job category: Nursing Primary location: Everett, WA Date posted: 04/06/2026 Overtime status: Non-exempt Travel: No Share this job Facebook X LinkedIn Email Optum WA, (formerly The Everett Clinic) is seeking a RN Call Us First to join our team in Everett, WA. Optum is a clinician-led care organization that is changing the way clinicians work and live. As a member of the Optum Care Delivery team, you'll be an integral part of our vision to make healthcare better for everyone. At Optum, you'll have the clinical resources, data and support of a global organization behind you so you can help your patients live healthier lives. Here, you'll work alongside talented peers in a collaborative environment that is guided by diversity and inclusion while driving towards the Quadruple Aim. We believe you deserve an exceptional career, and will empower you to live your best life at work and at home. Experience the fulfillment of advancing the health of your community with the excitement of contributing new practice ideas and initiatives that could help improve care for millions of patients across the country. Because together, we have the power to make health care better for everyone. Join us and discover how rewarding medicine can be while Caring. Connecting. Growing together. Position in this function is under general supervision, the Staff RN/Consulting Nurse is responsible for providing telephone triage assessment to Primary Care patients by using state of the art telecommunications, information technology and approved protocols; to clients ensuring the efficient use of medical and nursing, facilities and equipment and to provide excellent customer service. Schedule: Week 1: Mon, Tues, Fri, Sat = 32 hours 10pm-7am PST and Week 2: Sun, Mon or Fri, Wed, Thurs = 32 hours 10pm-7am PST If you are located in the PST time zone, you will have the flexibility to work remotely* as you take on some tough challenges. Primary Responsibilities: Utilizes cl",https://app.nursefern.com,Triage,NurseFern,2026-04-08T10:09:38.302055
"LVN OR LPN, CASE MANAGER - REMOTE",UnitedHealth Group,2026-04-07,Remote,Remote,Full-time,Days,Must Be Licensed In: California,$20.38 - $36.44 Hourly,"Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find a culture guided by inclusion, talented peers, comprehensive benefits and career development opportunities. Come make an impact on the communities we serve as you help us advance health optimization on a global scale. Join us to start Caring. Connecting. Growing together. The After Hours Care Manager - LPN. provides inpatient care management services related to discharge planning/coordination; HLOC transfers; ED Diversion. The goal of this position is to enhance the quality of member management, through collaboration with Physicians, facility representatives, and inpatient care coordinators. Ensures compliance to contractual and service standards as identified by relevant health insurance plans. Adheres to policies, procedures, and regulations to ensure compliance. *Work Hours: Available to work evenings, weekends, holidays. (1) Evening shift with 3 weekends on and 1 weekend off totaling 40 hrs per week, 3pm PST - 11:30pm PST and (1) Morning shift with 3 weekends on and 1 weekend off totaling 40 hrs per week, 8am PST - 4:30pm PST. If you are located in California, you will have the flexibility to work remotely* as you take on some tough challenges. Primary Responsibilities: Performs job function telephonically Coordinates safe transfers, and discharge instructions as directed by the hospitalists and Care Management teams Delegates provisions for discharge including but not limited to follow-up appointments, home health, social services, transportation to care coordinators to ensure appropriate and timely movement of patients through the various levels of care Consistently and accurately completes required documentation Approves medically appropriat",https://app.nursefern.com,Case Management (CM),NurseFern,2026-04-08T10:09:40.394587
AMBULATORY NURSE TRIAGE,Orlando Health,2026-04-07,Remote,Remote,Full-time,Days,Must Be Licensed In: Florida,$0 - $0 Salary,"RN, AMBULATORY TRIAGE Orlando Health Jewett Orthopedic Institute (OHJOI) Full Time, work from home, remote position Monday through Friday, 8:30am to 5:00pm No weekends No on-call schedule Position Overview Working at desk, and computer with phone headset 8 hrs a day. No direct patient care. Preferred proficiency with Epic (charting system) and Microsoft Office. BSN Preferred. Orientation can take up to 3 months and it will be at a call center downtown Orlando. Licensure/Certification * Maintains current RN license in the State of Florida and BSN. * Maintains current BLS certifications. Experience * Three (3) years of clinical experience in area of specialty or five (5) years of clinical experience when covering multiple specialties/service lines. * Previous experience working with EPIC EMR required. Position is remote but must live within 3 hours of our office for training, meetings and if there's any issues with their computer/internet/power, they can come to the office to work. Essential Functions This role requires strong clinical experience to effectively triage incoming patient phone calls. The majority of calls involve acute pain concerns, wound care guidance, potential infections, symptom assessment, pre- and post-operative management, and evaluation for possible DVT. Due to the complexity of these concerns, at least one year of hospital-based experience is preferred. The clinician provides patient care exclusively by phone, offering detailed instruction, education, and clinical decision support. Although there is no direct physical contact, high-quality patient care and clinical judgment are essential. Proficiency with Epic electronic medical records and Microsoft Office is preferred. Orientation for this position may take up to three months and is conducted at a call-center location; however, early transition from orientation may occur based on performance and readiness.",https://app.nursefern.com,Triage,NurseFern,2026-04-08T10:09:42.559034
"NURSE, RX FULFILLMENT",Teladoc,2026-04-07,Remote,Remote,Full-time,,Must Be Licensed In: State Of Residency,"$80,000 - $88,000 Salary","At Teladoc Health, you are empowered to bring your true self to work while helping millions of people live their healthiest lives. Here you will be part of a high-performance culture where colleagues embrace challenges, drive transformative solutions, and create opportunities for growth. Together, we're transforming how better health happens. Summary of Position The Nurse - RX Fulfillment (N-RXF) plays an integral part in ensuring superior care of patients treated through Teladoc. The N-RXF will apply professional knowledge in processing prescriptions ordered by Teladoc providers (either via phone or electronically), support Teladoc providers as dictated by established policies and guidelines and provide member support by phone or electronic messages. Essential Duties and Responsibilities Deliver exceptional service to members, providers, care team members and external facilities representing Teladoc Health in a professional and courteous manner through a variety of communication channels including written, telephone, and video. (50%) Apply professional knowledge to ensure prescriptions are processed accurately and in a timely manner using established protocols, guidelines, and provider communication Communicate empathetically with members, using conflict resolution and service recovery skills as needed Conducts health coaching related to Tobacco Cessation Maintain detailed and accurate case documentation in the electronic health record Manage daily assignment to meet department-specific performance metrics by applying clinical knowledge to support members with post-Teladoc visit needs (50%) Works collaboratively and with appropriate clinical urgency to meet expected turnaround times Maintain knowledge of Teladoc policies and prescribing guidelines Analyze complex clinical situations and appropriately provide solutions based on established protocols and policies. Review laboratory results and use established processes to escalate as needed Maintain member",https://app.nursefern.com,"Case Management (CM), Triage",NurseFern,2026-04-08T10:09:44.671661
TRIAGE RN - COMMUNITY HOSPICE,,2026-04-07,Remote,Remote,Full-time,Days,Must Be Licensed In: New York,$38 - $50.18 Hourly,"Employment Type: Full time Shift: Day Shift Description: Full-Time Triage RN - Days Community Hospice The Community Hospice has a wonderful opportunity for an RN to work as part of our Hospice Care Team triaging symptom management calls for patients and families. Hours will vary but is 40 hours per week. This is a remote position ** but must have an employee who lives locally for training and in the event that working in the office is needed.** Here at St. Peter's Health Partner's, we care for more people in more places. Organization Highlights: Quality of Life: Where career opportunities and quality of life converge Advancement: Strong orientation program, generous tuition allowance and career development Work/Life: Positions and shifts to accommodate all schedules What you will do: As a Triage RN you will respond to phone calls from our patients and/or caregivers and coordinate with our on-call team to provide end-of-life care and support.  What you will need: A current license to practice as a Registered Nurse in the State of New York Associates Degree in Nursing, BSN preferred 1-2 years recent experience as an RN required. Homecare RN experience is strongly preferred Previous hospice experience preferred but NOT required. Ability to actively listen and respond appropriately to patients/families as well as to support patient/families through times of crisis. Community Hospice provides a thorough orientation, strong preceptors, and a supportive work environment. Training provided in end-of-life care. Apply today for more information. We can also arrange a time for you to shadow. Pay Range: $38.00-$50.18 Pay is based on experience, skills, and education. Exempt positions under the Fair Labor Standards Act (FLSA) will be paid within the base salary equivalent of the stated hourly rates. The pay range may also vary within the stated range based on location Our Commitment Rooted in our Mission and Core Values, we honor the dignity of every person and reco",https://app.nursefern.com,Triage,NurseFern,2026-04-08T10:09:46.763481
"CARE MANAGER, TELEPHONIC NURSE PART TIME",Humana,2026-04-07,Remote,Remote,Part-time,"Days, Weekends",Must Be Licensed In: Compact,"$71,100 - $97,800 Salary","Shift/Availability Requirements: This is a part time position, scheduled 20 hours per week. Days/Shift: Saturday & Sunday from 9am-7:30pm EST. Required to work a rotating holiday schedule. This is a work-from-home telephonic Registered Nurse position. As a Care Manager, Telephonic Nurse, you will report directly to the Manager, Care Management. You will help to ensure optimal continuity of care for patients transitioning into and out of our services. You will be responsible to be knowledgeable regarding post-acute levels of care, and an expert regarding CenterWell Home Health services including home health, hospice, and palliative care. You will communicate with the CenterWell Home Health clinical team and help facilitate patient follow-up for patients in need of (additional) services. Essential Functions: Be a CenterWell Home Health representative in supporting patients who have been discharged from service or for those who may need post-acute services. Navigate healthcare options; care services post-acute offerings, Medicare coverage, billing issues, and accessing healthcare resources. Use a variety of tools and methods to quickly provide patient options and education including but not limited to sites of service, specialty offerings, post-acute care, and other related questions. Handle a variety of customer issues including location lookup, directions, and complaints. Make clinical level of care determination based on discussion, medical records, and any other important clinical data. Match these needs to a service site location or, if not available, look up and provide alternative services. Be a customer advocate throughout the referral process to ensure timely response and to maximize referral to admission conversion rate. Follow-up and track referral and admission outcomes. Maintain awareness and orientation to department performance objectives, meets standards, and assures patient satisfaction goals are met. Assist in the admissions process by acti",https://app.nursefern.com,Case Management (CM),NurseFern,2026-04-08T10:09:53.063987
AMPLIFYHEALTH CASE MANAGER,BlueCross BlueShield of Tennessee,2026-04-07,Remote,Remote,Full-time,"Days, Evenings","Must Be Licensed In: Compact, State Of Residency, Tennessee",$0 - $0 Salary,"The AmplifyHealth Team at BCBST is seeking a caring and committed RN Case Manager to join our team. AmplifyHealth is the highest-tier medical management product available to BCBST's self-funded commercial group accounts, using an advocacy-focused approach to deliver cost-savings. In this role, you will manage members digitally/ telephonically with chronic and complex medical conditions including cancer and assist with various care coordination needs. To succeed in this role, you will bring a proven ability to manage high volumes of work while maintaining exceptional attention to detail. You will also bring strong digital and telephonic communication skills, solid technical proficiency, and high digital literacy are essential, along with an eagerness to leverage enterpriseapproved AI tools to enhance care delivery and improve workflow efficiency. Preferred candidates will have experience in Case Management, ICU, Med-Surg, Oncology, or Home Health Care. Note: RN Case Managers must be available for late shift rotation (10am-7pm EST) once a quarter and open to obtaining additional non-compact RN licenses as requested. Although we are based in Chattanooga, TN, this is a fully remote role. Sponsorship is not available for this position. Job Responsibilities Supporting utilization management functions for more complex and non-routine cases as needed. Serving as a liaison between members, providers and internal/external customers in coordination of health care delivery and benefits programs. Overseeing highly complex cases identified through various mechanisms to ensure effective implementation of interventions, and to ensure efficient utilization of benefits Performing the essential activities of case management: assessment: planning, implementation, coordinating, monitoring, outcomes and evaluation. Digital positions must have the ability to effectively communicate via digital channels and offer technical support. Effective 7/22/13: This Position requires an 18 mon",https://app.nursefern.com,Case Management (CM),NurseFern,2026-04-08T10:09:55.160568
CLINICAL OPERATIONS RESOURCE RN - QUALITY AND SAFETY,Hartford HealthCare,2026-04-07,Remote,On-site,Full-time,Days,Must Be Licensed In: Connecticut,$0 - $0,"Location Detail: 1290 Silas Deane Hwy Wethrsfld (10181) Shift Detail: Mon-Fri Start here at Hartford HealthCare and be part of something better! Every day, more than 40,000 Hartford HealthCare colleagues come to work with one thing in common: Pride in what we do. We invite you to become part of Connecticut's most comprehensive healthcare network. Hartford HealthCare Medical Group is one of the largest medical practices in New England with multiple locations throughout Connecticut and Rhode Island. We consist of a team of professionals ranging from Medical Assistants to Physician Assistants and everything in between. Our physician led medical group enjoys an excellent reputation with patients and the medical community, offering primary care, urgent care and more than 30 different specialties. At Hartford HealthCare Medical group we offer: Supportive environment to promote professional and interpersonal development and growth Tuition Reimbursement up to $5,250.00 after six months of employment and up to 40% tuition discounts with partnering institutions for colleague AND dependents Medical, dental and vision coverage options Generous PTO to promote work/life balance Employee assistance and wellness programs including a strong focus on promoting mental health Discounts on services, products and optional coverages - movie tickets, pet insurance, travel and more! JOB SUMMARY Under the supervision of Director of Nursing and the Director of Quality and Safety, the Clinical Operations Resource Nurse a Registered Nurse (RN) with previous clinical care experience in an ambulatory setting or hospital and is responsible for orientation, mentoring and evaluation of support staff members of clinical staff in primary and specialty care within HHC MG. Evaluation and education of skill performance and competency, knowledge validation and documentation of clinical practice in order to meet standards of practice in clinical care. Travel to HHC MG sites is necessary to comp",https://app.nursefern.com,Quality,NurseFern,2026-04-08T10:09:59.360406
QUALITY NURSE COORDINATOR,HCA,2026-04-07,Remote,On-site,Full-time,Days,Must Be Licensed In: Tennessee,$0 - $0,"Introduction Are you passionate about the patient experience? At HCA Healthcare, we are committed to caring for patients with purpose and integrity. We care like family! Jump-start your career as a Quality Nurse Coordinator today with TriStar Southern Hills Medical Center. Benefits TriStar Southern Hills Medical Center offers a total rewards package that supports the health, life, career and retirement of our colleagues. The available plans and programs include: Comprehensive medical coverage that covers many common services at no cost or for a low copay. Plans include prescription drug and behavioral health coverage as well as free telemedicine services and free AirMed medical transportation. Additional options for dental and vision benefits, life and disability coverage, flexible spending accounts, supplemental health protection plans (accident, critical illness, hospital indemnity), auto and home insurance, identity theft protection, legal counseling, long-term care coverage, moving assistance, pet insurance and more. Free counseling services and resources for emotional, physical and financial wellbeing 401(k) Plan with a 100% match on 3% to 9% of pay (based on years of service) Employee Stock Purchase Plan with 10% off HCA Healthcare stock Family support through fertility and family building benefits with Progyny and adoption assistance. Referral services for child, elder and pet care, home and auto repair, event planning and more Consumer discounts through Abenity and Consumer Discounts Retirement readiness, rollover assistance services and preferred banking partnerships Education assistance (tuition, student loan, certification support, dependent scholarships) Colleague recognition program Time Away From Work Program (paid time off, paid family leave, long- and short-term disability coverage and leaves of absence) Employee Health Assistance Fund that offers free employee-only coverage to full-time and part-time colleagues based on income. Learn",https://app.nursefern.com,Quality,NurseFern,2026-04-08T10:10:01.462746
REGULATORY QUALITY RN CLINICAL CARE-INTERMEDIATE,Presbyterian,2026-04-07,Remote,On-site,Full-time,Days,Must Be Licensed In: New Mexico,$0 - $0,"Location Address: 9521 San Mateo NE Albuquerque, NM 87113-2237 Compensation Pay Range: Minimum Offer $58,073.60 Maximum Offer $88,670.40 Summary: Build your Career. Make a Difference. Presbyterian is hiring a skilled Regulatory Quality RN Clinical Care-Intermediate How you grow, learn and thrive matters here. * Educational and career development options, including tuition and certification reimbursement, scholarship opportunities * Staff Safety (a wearable badge that allows nurses to quickly and discreetly call for help when safety is a concern) * Differentials for night/weekend shifts, higher education, certifications and various lead roles (for eligible positions) * Malpractice liability insurance * Loan forgiveness through the New Mexico Higher Education Department * EPIC electronic charting system Type of Opportunity: Full time FTE: 1.00 Job Exempt: Yes Work Shift: Days (United States of America) Responsibilities: Presbyterian is seeking a Regulatory Quality RN Clinical Care-Intermediate Responsible for PH Quality of Clinical Care (QOCC) activities. Investigates complaints alleging inappropriate Physical Health (PH) clinical care or alleged inappropriate behavior by a physician or other health care practitioner/provider. Applies the knowledge of a registered nurse to determine the key factors in each case and whether the standard of care has been met, documenting and summarizing findings for all parties regarding investigative findings. Collaborates on quality of clinical care work with PHP Business Partners including Medical Directors, Provider Network Operations, Credentialing, Care Coordination, Critical Incidents Team, and Legal counsel. Assists the provider peer review process which assesses and reviews the quality of patient and member care provided by practitioners and facilities. Some key responsibilities include: With guidance, reviews, responds to, and researches complaints related to quality of medical care utilizing a high level of knowl",https://app.nursefern.com,Quality,NurseFern,2026-04-08T10:10:03.559908
COORD REGULATORY STANDARDS RN,UCHealth,2026-04-07,Remote,On-site,Full-time,Days,Must Be Licensed In: Colorado,$38.91 - $60.31 Hourly,"Description Location: UCHealth UCHlth Leprino Building AMC, US:CO:Aurora Department: Regulatory Quality Work Schedule: Full Time, 80.00 hours per pay period (2 weeks) Shift: Days Pay: $38.91 - $60.31 / hour. Pay is dependent on applicant's relevant experience This position is an onsite role and does not offer a hybrid or remote option Summary: Develops and oversees activities designed to promote regulatory compliance and continual survey readiness. Responsibilities: Stays informed of regulatory/standards changes and interprets applicability of changes across patient care, ancillary, and general departments. Develops, implements, and maintains processes to manage the reporting, investigation, and resolution of regulatory issues. Guides action plan development, performance monitoring and reporting when deficiencies are identified to reduce the risk of noncompliance. Works collaboratively to identify best practices, ensure survey readiness, and prepare/deliver compliance communications and training throughout the organization. Within scope of job, requires critical thinking skills, decisive judgement and the ability to work with minimal supervision. Must be able to work in a fast-paced environment and take appropriate action. Requirements: Graduate of an accredited or state board of nursing approved Registered/Professional Nursing program. State licensure as a Registered Nurse (RN). 4 years' clinical experience in a hospital setting, including experience with regulatory requirements. BLS through the American Heart Association or the American Red Cross CPR for the Professional Rescuer with card in-hand before start date. BLS or CPR card must be good through sixty days of hire. Employees are our number one asset. UCHealth promotes a culture that invests in professional success and personal well-being through a comprehensive total rewards program. * Recognition Performance bonus: UCHealth offers a 3-Year Incentive Bonus to recognize employee contribution",https://app.nursefern.com,Quality,NurseFern,2026-04-08T10:10:05.657677
"NURSE CARE MANAGER, PDN, PART TIME, NOVA SERVICE AREA",Kaiser Permanente,2026-04-07,Remote,Hybrid,Part-time,Days,"Must Be Licensed In: District of Columbia, Maryland, Virginia",$45.43 - $58.89 Hourly,"Description: Job Summary: The nurse care manager is responsible for coordination of appropriate, cost-effective services that enhance a members quality of life, focus on a members optimal level of independence, and reduces inappropriate utilization of medical services. The nurse care manager collaborates with members and the health care team to achieve evidence based clinical objectives and goals specific to preventative health measures and improved disease self-management. Essential Responsibilities: In close collaboration with the member/members family, and members of the health care team, assesses the members health status, functional limitations, psychological status, social support systems, resources, environmental factors, and response to treatment. Uses motivational interviewing techniques to identify members readiness for change, creates appropriate care plan based on assessments, assists member with health system navigation and connection to community resources. Provides supportive counseling and education to members, families and caregivers, members of the health care team, and others including end-of-life issues and Advance Directives. Effectively manages and coordinates assigned caseload consistent with established criteria. Ensures consistent and reliable documentation of case management activities in compliance with all organization and department standards. Facilitates application process for accessing local, state, and federally funded programs (e.g., Medicaid, Medicare, Disability) and/or refers to appropriate community-based resources. Provides education and coaching to improve overall self-management, health, and wellness. Monitors chronic health conditions to achieve optimal self-management. Basic Qualifications: Experience Minimum two (2) years of experience in case management or three (3) years of clinical experience are required. For Virginia Medicaid: Minimum one (1) year of experience working directly with individuals who meet the Cardina",https://app.nursefern.com,Case Management (CM),NurseFern,2026-04-08T10:10:07.744147
