job_title,company,date_posted,location,remote_status,employment_type,schedule,license_requirements,salary_range,job_description,apply_link,specialties,source_site,scraped_at
CLIENT SERVICE ASSOCIATE - EDPLAN INNOVATIONS (REGISTERED NURSE),Public Consulting Group,2026-03-11,Remote,Remote,Full-time,Days,Must Be Licensed In: State Of Residency,"$55,000 - $75,000 Salary","Client Service Associates will be integral members of the EDPlan Innovations Team. This position will be responsible for engaging client stakeholders for EDPlan Innovation projects. Client Service Associates are responsible for managing, maintaining, and growing client relationships with state agency and/or local education agency stakeholders across multiple states/projects. This will be accomplished through direct client interaction, as well as collaboration with Regional Teams. This role must effectively integrate capabilities in client management and project management in addition to promote strong connectivity with the other Client Service Associates and the EDPlan Innovations team. The Client Service Associate role will focus on multiple products and services within EDPlan with a focus on EDPlan Health, an electronic health record documentation system for school nurses, within EDPlan. Responsibilities: Clients Focus on developing long-term client relationships - expand influence, increase retention, solve issues, and drive satisfaction Model best practices in terms of client, project, and change management Lead client engagements/interactions (e.g., status update meetings) Proactively identify problems and provide solutions to clients Build client excitement in terms of new features, functionality, and services Provide feedback regarding the evolving needs of our clients and how we can remain responsive, competitive, and good partners Provide training on use of the system for end users and administrators as needed Provide Tier 2 or 3 support via Zendesk (helpdesk) for EDPlan Innovations Ability to manage multiple projects and clients simultaneously with a keen attention to detail Collaboration & Coordination Contribute to a professional and respectful team dynamic with a culture of mutual accountability Deliver results in terms of client success metrics, both individually and collaboratively Collaborate and coordinate with Regional Teams and other fun",https://app.nursefern.com,,NurseFern,2026-03-11T09:44:07.623821
ON - DEMAND TRIAGE REGISTERED NURSE (RN),HealthBar,2026-03-10,Remote,Remote,Part-time,Days,Must Be Licensed In: Michigan,$35 - $40 Hourly,"Grand Rapids, MI | Remote 0.4 FTE | 16 hours/week $35-$40/hour Why This Role Is Different As an On-Demand Triage RN, you'll support employees and families across HealthBar's employer partnerships by helping them quickly understand what care they need - and where to get it. You'll assess symptoms, guide patients through next steps, and coordinate care with our Nurse Practitioner team when appropriate. The work is focused, thoughtful, and fully remote, allowing you to practice strong clinical judgment while helping patients navigate the healthcare system with confidence. Schedule Monday, 7:00 AM - 4:00 PM Tuesday, 7:00 AM - 4:00 PM 1 - hour lunch break 16 hours per week (0.4 FTE) This is a consistent schedule with no nights, weekends, or rotating shifts. What Your Days Look Like You'll provide clinical triage and care navigation support for HealthBar patients and employer partners, including: Answering incoming clinical calls and assessing symptoms using sound nursing judgment Providing guidance on next steps including supportive care, primary care follow-up, or urgent/emergent care Helping patients access the appropriate level of care through nurse navigation Collaborating with HealthBar Nurse Practitioners for acute needs or treatment decisions when appropriate Providing follow-up support and case management when needed Delivering excellent patient service and documenting encounters accurately You'll also support proactive care initiatives by: Reviewing claims data and assisting with analysis Supporting reporting and outreach efforts that help identify care opportunities Compensation $35-$40 per hour, based on experience 0.4 FTE (16 hours per week) Benefits Even as a part-time member of the HealthBar team, you'll still have access to several employee benefits, including: Direct access to a clinical provider for you, your spouse, and dependents Discounted care through HealthBar's healthcare network Biannual profi",https://app.nursefern.com,Triage,NurseFern,2026-03-11T09:44:11.906095
VENDOR MANAGEMENT LEAD (REGISTERED NURSE),Humana,2026-03-10,Remote,Remote,Full-time,Days,Must Be Licensed In: Compact,"$94,900 - $130,500 Salary","The Vendor Management Lead (RN) oversees vendor management operations from a market perspective, ensuring alignment with Humana's clinical and operational standards. This role directs a team of RN professionals, fosters effective vendor and provider relationships, and drives resolution of clinical and operational issues to support quality care and compliance. The Vendor Management Lead (RN) is responsible for overseeing the vendor management functions from a market perspective, ensuring alignment between Humana's business and clinical operations, vendor partners, and providers. This role provides strategic direction, leadership, and support to a team of Senior Vendor Management Professionals (RN), facilitating effective issue resolution, gap identification, and process optimization to advance quality care and operational excellence. This leader will build positive strategic partnerships with Contracting to align on Institutional Special Needs Plan providers and have oversight of SNF provider network and optimization from the clinical perspective. This role will also work with Provider Engagement to monitor outcomes for Value Based and Delegated Services Providers. Key Responsibilities Provide strategic leadership and guidance to the Senior Vendor Management Professional (RN) team, ensuring effective execution of vendor management initiatives in accordance with Humana's policies and regulatory requirements. Oversee and optimize vendor relationships, including performance monitoring, compliance management, and the resolution of complex operational and clinical issues. Facilitate collaboration between Humana, vendor partners, and providers, ensuring clear communication channels and the successful implementation of market-based strategies. Support the review of clinical authorizations and ensure consistency with established guidelines for various levels of care, leveraging clinical expertise and best practices. Identify systemic gaps and process improvement opportu",https://app.nursefern.com,,NurseFern,2026-03-11T09:44:14.021382
"LPN- ADVERSE DRUG EVENTS, ACCREDO- WORK FROM HOME",Cigna,2026-03-10,Remote,Remote,Full-time,Days,Must Be Licensed In: State Of Residency,$25 - $38 Hourly,"Under the direction /supervision of an RN: The Adverse Drug Event Nurse LPN is responsible for completing and submitting adverse drug event reports to the pharmaceutical companies or FDA, following the internal protocols within the nurse scope of practice. Schedule: M-F 10:30-7:00pm EST (09:30-6p CST) Essential Functions: 1. Review clinical adverse event ""work in progress"" (WIP). Use internal protocols to determine if the event should be submitted per manufacturer /FDA requirements. Responsible for accurate documentation of the event to ensure all contractual /FDA requirements are met. 2. Respond to manufacturer and/or internal requests when an adverse clarification is required. Responsible for tracking of these requests as well as other errors identified and notifying the leadership team accordingly. 3. Ensure all applicable manufacturer trainings are completed on time and remain compliant. 4. Attend manufacturer audits as required by the leadership team. 5 % 5. Responsible for good housekeeping techniques, adhering to quality and production standards while complying with all applicable company, state and federal safety and environmental programs and procedures. Required Qualifications: Formal Education and/or Training: Practical nursing degree Years of Experience: Minimum of 2 years experience in a clinical setting Licensures/Certifications: Clear, active, unrestricted LPN Nursing license in your home state. Obtain additional state LPN Nurse Licensure as required. Computer or Other Skills: General PC knowledge including Microsoft Office, Internet and email Knowledge and Abilities: Knowledge of pharmacy, pharmaceuticals, or healthcare business required; Works effectively across organization and fosters teamwork; Demonstrates the ability to manage production efficiently while building strong credible working relationships with clients, patients and internal partners; Excellent communication skills both verbal and written; Demonstrated knowledge o",https://app.nursefern.com,"Case Management (CM), Triage",NurseFern,2026-03-11T09:44:16.128030
CLINICAL SOLUTIONS MANAGER - WEST,BD,2026-03-10,Remote,Remote,Full-time,,Must Be Licensed In: State Of Residency,"$99,600 - $164,300 Salary","The Clinical Solutions Manager (CSM) role will bridge the gap between the clinical and business aspects of UCC. They are responsible for ensuring that BD solutions are introduced and understood by key stakeholders throughout a health system by communicating end-to-end connected solutions, enhanced compliance, standardization, workflow efficiency, clinical effectiveness, expanded data insights and economic efficiencies in the high acuity population ranging from neonate to adults. The CSM will be an integral team member and change agent to deliver the clinical value wedge for the holistic UCC product portfolio. The CSM will serve as a clinical leader across UCC to support the development, growth, and achievement of clinical support roles while meeting business objectives. Job Description We are the makers of possible BD is one of the largest global medical technology companies in the world. Advancing the world of health is our Purpose, and it's no small feat. It takes the imagination and passion of all of us-from design and engineering to the manufacturing and marketing of our billions of MedTech products per year-to look at the impossible and find transformative solutions that turn dreams into possibilities. We believe that the human element, across our global teams, is what allows us to continually evolve. Join us and discover an environment in which you'll be supported to learn, grow and become your best self. Become a maker of possible with us. RESPONSIBILITIES Foster a continually evolving partnership between multiple hospital departments, C-Suite, UCC National Accounts, and Regional Sales leaders from Acute Care and TTM businesses. Maintain knowledge andexpertiseas a TTM and Acute Care solution expert, i.e., products (ArticSun, Arctic Gel Pads,Sensica, BBS,SureStepproducts, Foley Alternatives, etc.) and BD clinical value wedge (Analytics Portal, EMR interoperability, BD Acute Academy, Clinical Connect Program, Virtual Reality, etc.) Leverage TTM So",https://app.nursefern.com,"Education, Sales",NurseFern,2026-03-11T09:44:20.348848
CASE MANAGER - BEHAVIORAL HEALTH - COMMERCIAL,Blue Cross and Blue Shield of Minnesota,2026-03-10,Remote,Remote,Full-time,Days,Must Be Licensed In: Minnesota,"$68,900 - $113,700 Salary","At Blue Cross and Blue Shield of Minnesota, we are committed to paving the way for everyone to achieve their healthiest life. We are looking for dedicated and motivated individuals who share our vision of transforming healthcare. As a Blue Cross associate, you are joining a culture that is built on values of succeeding together, finding a better way, and doing the right thing. If you are ready to make a difference, join us. The Impact You Will Have The Case Manager is a critical component of Blue Cross and Blue Shield of Minnesota Care Management team as the primary clinician providing condition and case management services to members. The position exists to support member needs across the continuum of care by leveraging member partnership, case and disease management processes, skill sets and tools. Your Responsibilities Receives referral and/or reaches-out to member and leverages clinical knowledge, motivational interviewing and behavioral modification techniques. Conducts comprehensive clinical assessments; gathers, analyzes, synthesizes and prioritizes member needs and opportunities. Collaborates and communicates with member, family, or designated representative on a plan of care that produces positive clinical results and promotes high-quality effective outcomes. Identifies relevant BCBSMN and community resources and facilitates warm program and network referrals. Monitors and evaluates plan of care over time. Ensures member data is documented according to BCBSMN application protocol and regulatory standards. Maintains outstanding level of service at all points of customer contact. Understands broad-based goals of assigned market segment(s) including clinical and service availability. Collaborates and coordinates with team members to facilitate day to day functions and enhance the overall operation of the department. Engage providers telephonically in reviewing and understanding treatment plans, including alignment with benefits and medical reimbursement poli",https://app.nursefern.com,Case Management (CM),NurseFern,2026-03-11T09:44:22.454595
NURSE CARE MANAGER - PACIFIC TIME ZONE,Evergreen Nephrology,2026-03-10,Remote,Remote,Full-time,Days,Must Be Licensed In: State Of Residency,"$90,000 - $103,000 Salary","As a Nurse Care Manager with Evergreen Nephrology, you are responsible for managing an assigned patient panel and addressing each patient's specialized needs based on their individual conditions, healthcare needs, goals, and wishes. You will collaborate with a team of physicians, Advanced Practice Providers (APPs), and Interdisciplinary Team (IDT) members. Nurse Care Managers at Evergreen often focus on patients targeted for specific programs such as Chronic Complex Care Management, Compassionate Care Management, Post Acute Care, Transitions of Care, and CKD Management. While our Nurse Care Manager positions are fully remote, this specific position will support patients in the Pacific Time Zone and must be able to work 8:30a - 5p PT. Role Responsibilities Some responsibilities may vary based on specific patient programs, but this role's primary duties include the following: Managing the overall care management of patient panel by leveraging experience, expertise, and knowledge in both the nursing field and value-based care operations. Establishing trusting and empathetic relationships with patients and families to provide clinical and emotional support and foster collaboration throughout their care journey. Serving as an advocate and community liaison for patients to ensure proper and timely resources and support while navigating the health care system and maintaining compliance with the primary care team's/nephrologist's treatment plan. Performing assessments and identifying the needs, including social determinants of health, of panel patients and caregivers based on values, care goals, and individual preferences, and translating these into patient-centric actionable care plans through comprehensive evaluations. Coordinating the interdisciplinary approach to achieving continuity of care and reducing fragmentation, focusing on kidney disease progression management, utilization management, and provider coordination through active care plan management.",https://app.nursefern.com,Case Management (CM),NurseFern,2026-03-11T09:44:24.561259
AFTERHOURS TRIAGE REGISTERED NURSE HOSPICE (PART-TIME),Amedisys,2026-03-10,Remote,Remote,Part-time,,Must Be Licensed In: Compact,$34 - $36 Hourly,"PT Benefitted 30-32 hours a weekly Hourly Position/Remote Position Most Holidays required annually Every weekend required-Day Time Hours Hours may be variable depending on licensure (No Overnights shifts available) Compact Licensure with ability to pick up additional licensure including CA, MA, and OR Bilingual Needed, Not Required Hospice Experience 1-2 years strongly preferred Compact Licensure Required, and fall under NCL guidance Are you looking for a rewarding career in homecare? If so, we invite you to join our team at Amedisys, one of the largest and most trusted home health and hospice companies in the U.S. $ 34.00-$36.00 per hour What's in it for you A full benefits package with choice of affordable PPO or HSA medical plans. Paid time off. Up to $1,000 in free healthcare services paid by Amedisys yearly, when enrolled in an Amedisys HSA medical plan. Up to $500 in wellness rewards for completing activities during the year. Use these rewards to support your wellbeing with spa services, gym memberships, sports, hobbies, pets and more.* Mental health support, including up to five free counseling sessions per year through the Amedisys Employee Assistance program. 401(k) with a company match. Family support with infertility treatment coverage*, adoption reimbursement, paid parental and family caregiver leave. Fleet vehicle program (restrictions apply) and mileage reimbursement. And more. Please note: Benefit eligibility can vary by position depending on shift status. *To participate, you must be enrolled in an Amedisys medical plan. Responsibilities Assesses physical, environmental, and emotional factors telephonically to determine hospice needs. Utilizes EHR, including the patient's plan of care to develop recommendations. Provides recommendations, patient/caregiver education/instructions and hospice support telephonically based on the situation and the plan of care. Collaborates with pharmacies, DME vendors and other agencies for effective patient man",https://app.nursefern.com,Triage,NurseFern,2026-03-11T09:44:26.655887
REGISTERED NURSE II- KIDNEY TRANSPLANT (REMOTE),Medical University of South Carolina (MUSC),2026-03-10,Remote,Remote,Full-time,Days,Must Be Licensed In: South Carolina,$0 - $0 Salary,"This is a fully remote position; however, the individual must reside in the Charleston, SC area and attend monthly meetings on the MUSC campus downtown. All initial training will take place on the MUSC campus prior to transitioning to the fully remote schedule. Entity Medical University Hospital Authority (MUHA) Worker Type Employee Worker Sub-Type Regular Cost Center CC000728 CHS - Transplant - Kidney Adult (Main) Pay Rate Type Hourly Pay Grade Health-28 Scheduled Weekly Hours 40 Work Shift Day (United States of America) Job Description Scheduled Work Hours/Shift: Monday-Friday, 8:00 a.m.-5:00 p.m. No nights, weekends, or holidays. Under general supervision, the Registered Nurse II - Kidney Transplant In-Basket Nurse provides individualized, goal-directed care to transplant patients and families utilizing the principles and practices of the nursing process. This role delivers safe, effective, and efficient care while serving as a key member of the multidisciplinary transplant care team. The RN collaborates closely with providers, coordinators, and support staff to ensure timely response to patient communications, laboratory results, medication inquiries, and other clinical needs managed through the electronic in-basket. Primary Responsibilities: Triage and respond to patient messages and clinical inquiries received through the electronic health record (EHR) in-basket. Review and communicate lab and diagnostic results to patients as directed by providers. Support medication reconciliation, refill requests, and coordination of transplant-related treatments. Escalate complex or urgent concerns to the appropriate provider or transplant coordinator. Document all patient interactions and follow-up actions accurately in the EHR. Participate in ongoing quality improvement and patient safety initiatives within the transplant program. Collaborate with the multidisciplinary team to ensure continuity of care and adherence to regulatory and institutional stan",https://app.nursefern.com,"Case Management (CM), Triage",NurseFern,2026-03-11T09:44:28.787643
CARE COORDINATOR - RETROSPECTIVE RN,Premera Blue Cross,2026-03-10,Remote,Remote,Full-time,Days,Must Be Licensed In: Washington,"$80,200 - $143,100 Salary","The Care Coordinator - Retrospective performs prospective review (benefit advisory/ prior authorization) admission, concurrent, and retrospective reviews according to established criteria and protocols to determine the medical appropriateness of the clinical requests from providers. The incumbent partners with Medical Directors and other Premera Departments such as FEP, National Account Liaisons, Health Care Services and Claims to ensure appropriate cost-effective care by applying their clinical knowledge and critical thinking skills to assess the medical necessity of inpatient admissions, outpatient services and procedures, benefit application and provider out of network requests. This work is done for all lines of business and all geographic regions. What you will do: Performs medical necessity review that includes inpatient review, concurrent review, benefit advisory/prior authorization, retrospective, out of network, and appropriateness of treatment setting reviews to ensure compliance with applicable criteria, medical policy, member eligibility, benefits, and contracts. Consults with Medical Directors when care does not meet applicable criteria or medical policies. Documents clinical information completely, accurately, and in a timely manner. Meets or exceeds production and quality metrics. Maintains a thorough understanding of the Plan's provider contracts, member contracts, authorization requirements and clinical criteria including Milliman Care Guidelines and medical policy. Identifies Clinical Program opportunities and refers members to the appropriate healthcare program (e.g., case management, engagement team, and disease management). Collaborates, educates, and consults with Customer Service/Claims Operations, Sales and Marketing and Health Care Services to ensure consistent work processes and procedural application of clinical criteria. Maintains a thorough understanding of accreditation and regulatory requirements, and ensures these requirements are",https://app.nursefern.com,Utilization Review & Management (UR/UM),NurseFern,2026-03-11T09:44:32.997725
