job_title,company,date_posted,location,remote_status,employment_type,schedule,license_requirements,salary_range,job_description,apply_link,specialties,source_site,scraped_at
HEDIS MEDICAL RECORD REVIEW PROJECT NURSE,Eleanor Health,2026-07-15,Remote,Remote,Full-time,Days,Must Be Licensed In: Florida,$0 - $0 Salary,"Location: Virtual: Must live in FL This role enables associates to work virtually full-time, except for required in-person training sessions, providing maximum flexibility and autonomy. This approach promotes productivity, supports work-life integration, and ensures essential face-to-face onboarding and skill development. Alternate locations may be considered if candidates reside within a commuting distance from an office. Please note that per our policy on hybrid/virtual work, candidates not within a reasonable commuting distance from the posting location(s) will not be considered for employment, unless accommodation is granted as required by law. The HEDIS Medical Record Review Project Nurse will be responsible for HEDIS medical record identification and abstraction throughout the year. How you will make an impact: Serves as a resource and subject matter expert on HEDIS quality reviewer processes Conducts over-reads on HEDIS records for compliance against HEDIS Technical Specifications Educates providers on HEDIS specifications and medical record documentation via various mediums such as HEDIS Encounter Portal Submission Tool, Hybrid Review Tool, HEDIS reference material development, and any other educational pieces for Provider relations, etc Provides feedback to providers via the HEDIS Encounter Submission Tool for medical records reviewed throughout the year Reviews HEDIS Encounter Portal submissions for Star Metrics throughout the calendar year with given set deadlines Works on projects as assigned Develops expertise in the requirements and parameters of mandated HEDIS performance measures on an annual basis Minimum Requirements: Requires a BS in nursing and minimum of 2 years of clinical experience; or any combination of education and experience, which would provide an equivalent background. Preferred Skills, Capabilities, and Experiences: Current, unrestricted clinical license appropriate to field of specialty (LPN/RN) as required Active state licen",https://app.nursefern.com,HEDIS,NurseFern,2026-07-16T11:01:25.281194
RN UTILIZATION MANAGEMENT NURSE (INPATIENT) - CALIFORNIA COMMERCIAL,Elevance Health,2026-07-15,Remote,Remote,Full-time,Days,Must Be Licensed In: California,$41.38 - $69.02 Hourly,"Virtual: This role enables associates to work virtually full-time, with the exception of required in-person training sessions, providing maximum flexibility and autonomy. This approach promotes productivity, supports work-life integration, and ensures essential face-to-face onboarding and skill development. Alternate locations may be considered if candidates reside within a commuting distance from an office. Please note that per our policy on hybrid/virtual work, candidates not within a reasonable commuting distance from the posting location(s) will not be considered for employment, unless an accommodation is granted as required by law. Please Note: Associates in this job working from a California location are eligible for overtime pay based on California employment law. Work Hours: 8 hour shift between 7:30am - 6pm PST. Rotating Weekends and holidays. The Medical Management Nurse for California HMO is responsible for review of the most complex or challenging cases that require nursing judgment, critical thinking, and holistic assessment of member's clinical presentation to determine whether to approve requested service(s) as medically necessary. Works with healthcare providers to understand and assess a member's clinical picture. Utilizes nursing judgment to determine whether treatment is medically necessary and provides consultation to Medical Director on cases that are unclear or do not satisfy relevant clinical criteria. Acts as a resource for Clinicians. May work on special projects and helps to craft, implement, and improve organizational policies. Primary duties may include but are not limited to: Utilizes nursing judgment and reasoning to analyze members' clinical information, interface with healthcare providers, make assessments based on clinical presentation, and apply clinical guidelines and/or policies to evaluate medical necessity. Works with healthcare providers to promote quality member outcomes, optimize member benefits, and promote effective u",https://app.nursefern.com,Utilization Review & Management (UR/UM),NurseFern,2026-07-16T11:01:27.391883
REMOTE TRIAGE - RN,Elevance Health,2026-07-15,Remote,Remote,Full-time,10hr shifts,"Must Be Licensed In: Compact, New Mexico, Tennessee, Texas",$0 - $0 Salary,"Anticipated End Date: 2026-07-22 Position Title: Remote Triage - RN Job Description: *Candidates with a compact license strongly preferred* Shift: Rotating schedule, 4 10-hour shifts per week, 7:30am - 6:00pm CST Location: Candidates in Texas, Tennessee, and New Mexico preferred; PST, MST, CST time zones preferred; Alternate locations may be considered Virtual: This role enables associates to work virtually full-time, with the exception of required in-person training sessions, providing maximum flexibility and autonomy. This approach promotes productivity, supports work-life integration, and ensures essential face-to-face onboarding and skill development. Please note that per our policy on hybrid/virtual work, candidates not within a reasonable commuting distance from the posting location(s) will not be considered for employment, unless an accommodation is granted as required by law The Remote Triage - RN is responsible for serving as a Registered Nurse in the Remote triage call center. Monitors members using established disease specific protocols. Provides clinical support for members on program via telephonic outreach and inbound calls. How you will make an impact: Provides information about the RPM Program to members with chronic conditions and explains the benefit of having chronic conditions managed, assessed and treated. Communicates with program members and their care givers via outbound and inbound calls with respect to RPM clinical interventions. Responds to member or provider written or inbound telephonic communications or inquires with respect to clinical interventions. Monitors biometric data using established disease specific protocols. Reviews members current labs and medications for appropriateness. Minimum requirements: Requires BA/BS in a related field and minimum of 3 years of Registered Nurse experience; or any combination of education and experience, which would provide an equivalent background. Current, unrestricted RN licen",https://app.nursefern.com,Triage,NurseFern,2026-07-16T11:01:29.502831
REGISTERED NURSE - OUTPATIENT - TRIAGE - PEDIATRIC CARDIOLOGY - DOWNTOWN INDIANAPOLIS,Indiana University Health,2026-07-15,Remote,Hybrid,Full-time,Days,Must Be Licensed In: Indiana,$0 - $0 Salary,"Part and Full-time roles are eligible for a $30,000 sign-on bonus - apply today to learn more! We are seeking an individual with a minimum of one year of RN experience for this role. Are you an upcoming nurse graduate or recent nurse graduate? Please apply through our pipeline requisition here: https://iuhealth.org/applyrn. This pipeline requisition allows the IU Health Talent Acquisition team to pair upcoming & recent nurse graduates with the best opportunities available to them based on their unique skillset and interests. Thanks for your interest in joining the team! IU Health is seeking expert RN's who will have the opportunity to collaborate with the brightest minds in medicine. At IU Health, you will learn and develop in significant ways, advancing healthcare for all! Being an IU Health nurse means building a professional nursing career designed with competitive benefits, a culture that accepts your outstanding strengths, and supports your personal and professional goals. If you are seeking an organization where you can engage expertly, develop clinical expertise, embrace learning, cultivate new relationships, and fuel your spirit of inquiry, apply today! The Ambulatory Clinical Nurse provides specialized nursing support and care coordination for pediatric cardiology patients in an outpatient setting. This position is responsible for managing patient care through telephone triage, clinical communications, medication management, and coordination of services with providers, patients, and families. The role offers a collaborative work environment with opportunities for remote work following successful completion of training. Schedule: Monday - Friday, 8:00 AM - 4:30 PM No weekends! No holidays! Requires an Associates of Nursing (ASN); Bachelors of Nursing (BSN) preferred. Requires an active Registered Nurse (RN) license in the state of Indiana or an active Nurse Licensure Compact (NLC) RN license. Requires that the RN has graduated from a nationally acc",https://app.nursefern.com,Triage,NurseFern,2026-07-16T11:01:31.613761
REGISTERED NURSE (RN) - CLINICAL DOCUMENTATION SPECIALIST (PART TIME) REMOTE,UVA Health,2026-07-15,Remote,Hybrid,Part-time,Days,Must Be Licensed In: Virginia,$32.62 - $65.25 Hourly,"The Clinical Documentation Specialist is responsible for the evaluation of physician documentation utilizing their clinical expertise to ensure the patients' severity of illness is accurately portrayed in the medical record for specificity of coding and increased coding accuracy. They provide guidance to the physicians nursing and ancillary staff on clinical documentation best practices. They must be self motivated and be adaptive to change. Responsible for the day to day evaluation of inpatient documentation in accordance with the Clinical Documentation Program requirements. Ensures the accuracy and completeness of clinical information which is used for measuring and reporting physician and hospital outcomes. Communicate with members of the medical staff on an ongoing basis to assure the documentation in the medical record adequately reflects the diagnoses being treated and the procedure performed. In addition to the above job responsibilities, other duties may be assigned. MINIMUM REQUIREMENTS Education: RN, graduate of accredited nursing program and Bachelor of Science in Nursing required within 5 years of hire. Experience: A minimum of three years of experience as a Clinical Documentation Specialist is required. Clinical experience in multiple areas, particularly in the ICU, is preferred. Licensure: Licensed to Practice as a Registered Nurse in the Commonwealth of Virginia. Reference Check Process- Reference Checks will be completed by UVA's third-party partner, SkillSurvey, during the final phase of the interview process. Five references will be requested, with at least three responses required PHYSICAL DEMANDS This is primarily a sedentary job involving extensive use of desktop computers. The job does occasionally require traveling some distance to attend meetings, and programs. The pay range for this role is $32.62 - $65.25 hourly. Individual compensation will be determined by the selected candidate's qualifications, previous work experience, a",https://app.nursefern.com,Clinical Documentation Integrity (CDI),NurseFern,2026-07-16T11:01:33.722508
RN - REGISTERED NURSE - CLINICAL ACCESS SPECIALIST,Geisinger,2026-07-15,Remote,Hybrid,Full-time,Days,Must Be Licensed In: Pennsylvania,$0 - $0 Salary,"Location Work from Home Job Category RN - Registered Nurse, Nursing and Nursing Support Schedule Days Work Type Full time Department Utilization Management Team Date posted 07/15/2026 Job ID R-98902 Job Summary As one of the Top 8 Most Innovative Healthcare Systems in Becker's Hospital Review, we're working to create a national model for improving health. Today, we're focused on bringing our region services that improve every facet of life to drive total health, inside and out. Through professional growth, quality improvement, and interdisciplinary collaboration, we've built an innovative culture that allows for growth of your skillsets and the opportunity to leverage your years of experience to build a rewarding, lasting career with impact. Job Duties The Clinical Access Specialist RN performs utilization review, medical necessity assessments, and authorization activities to promote quality outcomes, timely reimbursement, and effective care transitions. Responsibilities include reviewing clinical documentation, verifying coverage and certification requirements, collaborating with physicians and care teams, and serving as a resource on payer guidelines and discharge planning. The Clinical Access Specialist maintains accurate utilization review records, supports documentation integrity, and helps ensure compliance with state, federal, and third-party payer standards. At least three (3) years of RN work experience is required. Previous experience in an acute care setting is highly preferred. Previous Utilization Management experience is highly preferred. BSN is preferred. A typical schedule is 7:30 am to 4 pm with some evening, weekend and holiday rotation. Position Details Performs and ensures adherence to state, federal and third party payer certification requirements for initial, concurrent and retrospective medical record review for medical necessity and level of care determination. Identifies and notifies appropriate staff regarding discrepancy issues with",https://app.nursefern.com,Utilization Review & Management (UR/UM),NurseFern,2026-07-16T11:01:35.828164
ONCOLOGY RN CASE MANAGER - REMOTE,UnitedHealth Group,2026-07-15,Remote,Hybrid,Full-time,Days,Must Be Licensed In: State Of Residency,"$60,200 - $107,400 Salary","Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find a culture guided by inclusion, talented peers, comprehensive benefits and career development opportunities. Come make an impact on the communities we serve as you help us advance health optimization on a global scale. Join us to start Caring. Connecting. Growing together. We're making a solid connection between exceptional patient care and outstanding career opportunities. The result is a culture of performance that's driving the health care industry forward. As a Telephonic Oncology Case Manager RN, you'll support our Oncology member population with education, advocacy, and connections to the resources they need to feel better and get well. Instead of seeing a handful of patients each day, your work may affect millions for years to come. Ready for a new path? Apply today. This position will require active and unrestricted Nursing licensure in multiple US States. Selected candidate must be willing and able to obtain and maintain multiple state licensure (Application fees and filing costs paid for by UHG). Core hours are 8:00am - 4:30pm Monday-Friday in your time zone. One late night per week to be worked until 7:00pm in your time zone. You'll enjoy the flexibility to work remotely* from anywhere within the U.S. as you take on some tough challenges. Primary Responsibilities: Making outbound calls to assess patient's current health status Identifying gaps or barriers in treatment plans Interacting with Medical Directors on challenging cases Providing patient education to assist with self-management Coordinating care for members Encouraging members to make healthy lifestyle changes Documenting and tracking findings Educating members on disease proce",https://app.nursefern.com,Case Management (CM),NurseFern,2026-07-16T11:01:40.045622
HOME HEALTH CLINICAL TRIAGE - REGISTERED NURSE (PER DIEM),UnitedHealth Group,2026-07-15,Remote,Hybrid,PRN/Per Diem,,"Must Be Licensed In: Compact, State Of Residency, United States",$33 - $49.5 Hourly,"Explore opportunities with Home Office, a part of LHC Group, a leading post-acute care partner for hospitals, physicians and families nationwide. As members of the Optum family of businesses, we are dedicated to helping people feel their best, including our team members who create meaningful connections with patients, their families, each other and the communities we serve. Find a home for your career here. Join us and embrace a culture of Caring. Connecting. Growing together. As a Per Diem Home Health Clinical Triage Specialist, you'll be an integral part of the interdisciplinary team and as such is responsible for the excellent delivery of care through triage calls after hours and on holidays. Must be available to work weekends. Primary Responsibilities: Receive calls from patients and/or family members and respond appropriately and assess problems focusing on the delivery of high quality, patient-focused, compassionate care Assess patient status and intervene as indicated by the patient's condition and established protocols Responsible for timely and accurate documentation of calls received within the electronic medical records system including the processing of workflow associated with the clinical record Knowledge of basic triage protocols and best practices to guide and address the needs of patients in a crisis situation Responsible for coordinating with the agency on-call nurses to deliver high quality nursing care and schedule nursing assessments as required in a timely manner to meet the needs of the patients and families Ensure appropriate education regarding all updates/processes in the electronic medical record, relative state and federal regulations, documentation processes and needs, etc. by attending mandatory educational offerings and in-services Facilitates orientation of new personnel as assigned Exhibits exemplary and timely communication skills when assessing or educating patients/caregivers, performing telephone triage, or collaborating with",https://app.nursefern.com,Triage,NurseFern,2026-07-16T11:01:42.149632
QUALITY-PATIENT SAFETY NURSE COORDINATOR,,2026-07-15,Remote,Hybrid,Full-time,Days,Must Be Licensed In: Tennessee,$0 - $0 Salary,"Last year our HCA Healthcare colleagues invested over 156,000 hours volunteering in our communities. As a Quality & Patient Safety Nurse Coordinator with TriStar Centennial Medical Center you can be a part of an organization that is devoted to giving back! Job Summary and Qualifications The RN Quality & Patient Safety Coordinator is responsible for assisting Risk Management and Patient Safety teams with the objective of enhancing/promoting patient safety and quality care. What you will do in this role: Gather and analyze data and prepare reports to management and outside agencies as required. Participate on committees directed towards promoting patient safety issues. Assist in Serious Event Analysis with complete action plans and follow-up monitoring, including participation and presentation at the facility's Serious Preventable Adverse Event Committee. Assist with investigation and analysis of known and potential patient safety issues. Assist with Proactive Risk Assessments and FMEAs as requested. Work closely with the QRM Leadership to ensure compliance with statutory mandates, regulatory requirements, and accreditation standards of professional organizations. Respond timely to patient grievances in writing following the required timeframes. Respond to patient complaints and provide education to leaders and staff regarding the grievance and complaint process. Maintain accurate records of grievances (electronically) along with response letters and relevant support documentation. Report aggregate patient safety data and grievance data to facility quality committees on a routine basis. Facilitate case analysis on Hospital Acquired conditions, including action plans and follow-up monitoring. Provide ongoing education on patient safety and/or quality improvement to hospital and medical staff. What qualifications you will need: Current licensure as a Registered Nurse (RN) in the state of Tennessee or compact state required. Bachelor of Science required. 4 years of c",https://app.nursefern.com,Quality,NurseFern,2026-07-16T11:01:46.363114
RN REVENUE INTEGRITY NURSE AUDITOR - REVENUE INTEGRITY,UNC Health,2026-07-15,Remote,Hybrid,Full-time,Days,Must Be Licensed In: North Carolina,$28.87 - $41.5 Hourly,"Our department of HIM-Revenue Integrity is seeking a Revenue Integrity Nurse Auditor to facilitate charge code auditing system-wide. This role works with a team of 2 other RN charge code auditors to provide coverage 6a-6p 5 days per week; fully remote. Your passion belongs at UNC Health. Join more than 56,000 teammates working together to improve the health and well-being of the communities we serve across North Carolina Job Summary: Collaborates with Revenue Integrity leadership and hospital departments to ensure compliance with clinical documentation and revenue cycle billing practices. Description of Job Responsibilities: 1. Conducts audits of hospital charges and documentation using clinical expertise and billing regulations to ensure compliance with quality of care, medical necessity, and appropriate reimbursement. 2. Develops full understanding of application systems and their appropriate use in the clinical documentation for charging, billing, order entry, and financial processes of UNC Health System. 3. Audits accuracy of charges based on third party audit requests and document findings in internal audit system. 4. Utilizes clinical practices to adhere to payer regulations and reimbursement policies. 5. Identifies and troubleshoots charge issues and opportunities for charge/process enhancements. 6. Educates and trains operational areas on clinical documentation and charge-related improvements. 7. Works alongside of Revenue Integrity leaders and Chargemaster to ensure all charges are appropriately built and charged. 8. Collaborates with appropriate hospital departments to perform requested charge audits and identify charge opportunities. Education Requirements: Graduate of an accredited school of nursing. At least two (2) years previous nursing experience. Licensure/Certification Requirements: RN NC LIC Professional Experience Requirements: At least two (2) years previous nursing experience. High level of interpersonal skills and organizat",https://app.nursefern.com,Quality,NurseFern,2026-07-16T11:01:48.468364
