job_title,company,date_posted,location,remote_status,employment_type,schedule,license_requirements,salary_range,job_description,apply_link,specialties,source_site,scraped_at
MEDICAL REVIEW NURSE- MEDICAID,Peraton,2026-09-08,Remote,Remote,Full-time,Days,Must Be Licensed In: State Of Residency,"$66,000 - $106,000 Salary","Performs data analysis, investigation, and medical review to detect, prevent, deter, reduce, and make referrals to recover fraud, waste, and abuse in Medicare and Medicaid programs. About The Role SafeGuard Services (SGS), a subsidiary of Peraton, performs data analysis, investigation, and medical review to detect, prevent, deter, reduce, and make referrals to recover fraud, waste, and abuse. We are looking to add a Nurse Reviewer to our SGS team of talented professionals. What you'll do: The position requires the individual to conduct medical record reviews and to apply sound clinical judgment to claim payment decisions. Responsibilities may include additional research on medical claims data and other sources of information to identify problems, review sophisticated data model output, and utilize a variety of tools to detect situations of potential fraud and to support the ongoing fraud investigations and requests for information. The incumbent will use a variety of tools to identify and develop cases for future administrative action, including referral to law enforcement, education, and overpayment recovery. Will work with external agencies to develop cases and corrective actions as well as respond to requests for data and support. Ability to present issues of concern, citing regulatory violations, alleging schemes or scams to defraud the Government Research regulations and cite violations. Conduct self-directed research to uncover problems in Medicaid payments made to institutional and non-institutional providers. Make claim payment decisions based on clinical knowledge Telework available Essential Functions: This position may require the incumbent to appear in court to testify about work findings. Ability to compose correspondence, reports, and referral summary letters. Ability to communicate effectively, internally and externally. Ability to handle confidential material. Ability to report work activity on a timely basis. Ability to work in",https://app.nursefern.com,"Utilization Review & Management (UR/UM), Quality",NurseFern,2026-09-09T13:29:32.757651
CLINICAL TESTING MANAGER,OutcomesAI,2026-09-08,Remote,Remote,Full-time,Days,Must Be Licensed In: State Of Residency,$0 - $0 Salary,"OutcomesAI is a healthcare technology company building an AI-enabled nursing platform designed to augment clinical teams, automate routine workflows, and safely scale nursing capacity. Our solution combines AI voice agents and licensed nurses to handle patient communication, symptom triage, remote monitoring, and post-acute care - reducing administrative burden and enabling clinicians to focus on direct patient care. Our core product suite includes: Glia Voice Agents - multimodal conversational agents capable of answering patient calls, triaging symptoms using evidence-based protocols (e.g., Schmitt-Thompson), scheduling visits, and delivering education and follow-ups Glia Productivity Agents - AI copilots for nurses that automate charting, scribing, and clinical decision support by integrating directly into EHR systems such as Epic and Athena AI-Enabled Nursing Services - a hybrid care delivery model where AI and licensed nurses work together to deliver virtual triage, remote patient monitoring, and specialty patient support programs (e.g., oncology, dementia, dialysis) Our AI infrastructure leverages multimodal foundation models - incorporating speech recognition (ASR), natural language understanding, and text-to-speech (TTS) - fine-tuned for healthcare environments to ensure safety, empathy, and clinical accuracy. All models operate within a HIPAA-compliant and SOC 2-certified framework. OutcomesAI partners with leading health systems and virtual care organizations to deploy and validate these capabilities at scale. Our goal is to create the world's first AI + nurse hybrid workforce, improving access, safety, and efficiency across the continuum of care. About The Role The Clinical Testing Manager will lead the clinical testing and validation of our AI-enabled healthcare solutions. This role brings frontline nursing expertise into the product development process, helping ensure our solutions adhere to real-world nursing workflows, and high standards of cli",https://app.nursefern.com,Nurse Consultant,NurseFern,2026-09-09T13:29:34.873769
"CARE ALLY, SW/LPN/RN CASE MANAGER - REMOTE - PST HOURS",Curana,2026-09-08,Remote,Remote,Full-time,Days,Must Be Licensed In: State Of Residency,$0 - $0 Salary,"At Curana Health, we know that care is more than clinical checklists-it is about truly seeing and supporting the whole person. As a Care Ally Case Manager, you will be the trusted connection point between our members, their families, care teams, and our internal partners. You will guide, advocate, and coordinate care so that every member feels heard, cared for, and supported in living their healthiest life. Essential Duties & Responsibilities Responsibilities Be the bridge: Serve as the go-to liaison between members, families/POAs, providers, and the Align Senior Care team. Assess & plan holistically: Conduct comprehensive health assessments, create personalized care plans, and participate in interdisciplinary team meetings to ensure members' needs are met. Coach & educate: Act as a health coach-empowering members and families with knowledge about conditions, treatment plans, benefits, and community resources. Support daily needs: Help members navigate appointments, medications, supplemental benefits, and transitions between care settings. Stay connected: Check in regularly (in person or by phone) to track progress, provide encouragement, and address new needs as they arise. Advocate & resolve: Work across departments to resolve billing issues, grievances, or utilization management needs-always keeping the member experience front and center. Coordinate care: Facilitate communication with physicians, APPs, and facility teams to ensure seamless, patient-centered care. Contribute strategically: Support leadership initiatives and partner with account managers to identify preferred providers and strengthen community partnerships. Complete Model of Care responsibilities: Support required Model of Care activities, including member outreach, health risk assessments, individualized care plan development, interdisciplinary care team participation, documentation, member education, and follow-up on identified care gaps, barriers, and transitions of care. What Makes This",https://app.nursefern.com,Case Management (CM),NurseFern,2026-09-09T13:29:41.162368
CLINICAL TRIALS NURSE NAVIGATOR,,2026-09-08,Remote,Remote,Full-time,Days,Must Be Licensed In: Wisconsin,"$75,000 - $75,000 Salary","The Clinical Trials Nurse Navigator position will be responsible for clinical trials navigation and education for the University of Wisconsin Carbone Cancer Center (UWCCC) Clinical Trials Patient Navigation team. The primary responsibility is finding cancer clinical trial options for patients and helping patients to understand clinical trials. The navigator may be the first point of contact a patient has with UWCCC and will help coordinate their initial care at UWCCC for a clinical trial. In doing so, the incumbent will work directly with patients and their families & caregivers, UW Health (UWH) and referring providers, clinic staff, UWH Cancer Connect, and UWCCC clinical trials staff. Strong coordination, communication, organizational, and customer service skills are required to work effectively in the role. The incumbent will become familiar with and maintain knowledge of operations, procedures and policies related to UWCCC clinical trials, UWCCC/UWH Oncology clinics, and related services. Work experience should demonstrate strong attention to detail, excellent teamwork, dependability, flexibility, and maturity. Candidates must be effective at building interpersonal relationships with compassionate and constructive interactions, be clear and effective communicators, and must promote and create collegial environments that value accountability. It is anticipated that this position will be remote and requires work be performed at an offsite, non-campus work location. Some in person training required at the beginning. This position has been identified as a position of trust with access to vulnerable populations. The selected candidate will be required to pass an initial caregiver check to be eligible for employment under the Wisconsin Caregiver Law and every four years. This position is full or part-time, 80% - 100% (Less that full-time requires 5 days per week) Why join us? Be part of an NCI-Designated Comprehensive Cancer Center, working with leaders in oncolo",https://app.nursefern.com,Research Nurse,NurseFern,2026-09-09T13:29:43.260331
"NURSE PRACTITIONER (PART-TIME, 1099), BLUEBERRY BALANCE",,2026-09-08,Remote,Remote,Contract,,Must Be Licensed In: State Of Residency,$55 - $65 Hourly,"The Nurse Practitioner is a frontline clinician on the Balance care team, practicing under the oversight of a supervising physician. You will carry your own panel of Balance families - running intake, reviewing labs, designing care plans with families, prescribing GLP-1 therapy where appropriate, and managing that care over time - all within the protocols and multidisciplinary model the program is built on, and within the scope of your state license and collaborative/supervisory arrangement with the overseeing MD. This is a part-time, flexible engagement designed to grow with the program: it starts at a modest monthly commitment and scales up as the panel does. It's a strong fit for a nurse practitioner who wants meaningful clinical work in adolescent metabolic health without a leadership mandate, and who is interested in building obesity-medicine expertise on the job. You don't need to have run a program or hold an obesity-medicine certification to do this role well - you need sound clinical judgment, genuine interest in this population, and the willingness to work inside a coordinated, distributed care team under physician oversight. What You'll Own Patient intake and evaluation Complete comprehensive patient intake for adolescents entering the program, including history, risk factors, and eligibility review Order appropriate labs and review results, escalating findings that fall outside program guardrails Care planning and treatment Meet with patients and their families to design an appropriate, individualized care plan grounded in each teen's goals and clinical picture Prescribe and manage GLP-1 therapy where clinically appropriate and within your prescriptive authority, always within a holistic plan that includes nutrition and behavioral support - and know when medication is not the right answer Manage ongoing care for patients and families over time: monitoring visits, dose management, side-effect and safety management, and adherence support Care-team",https://app.nursefern.com,Telehealth,NurseFern,2026-09-09T13:29:45.357160
TRIAGE CLINICAL GUIDE (REGISTERED NURSE) - CARE ONDEMAND,Devoted Health,2026-09-08,Remote,Remote,Full-time,Nights,"Must Be Licensed In: Compact, State Of Residency","$85,000 - $110,000 Salary","We want to help members navigate the healthcare system in a better and safer way. This means getting the right care at the right place, at the right time. As a Triage Clinical Guide (Registered Nurse), you'll be responsible for providing telephonic advice and clinical triage when Devoted Health members call us for support. You'll serve as a fierce advocate, helping them achieve better health outcomes and connecting them with the necessary resources. Our ideal Triage Clinical Guide is caring, compassionate, solution-oriented, and enthusiastic about providing an outstanding member experience. You possess excellent clinical judgment, are ready to innovate, and are excited about changing the way healthcare is delivered. You will be joining a team of adaptable, scrappy, and resilient professionals who are proud to be part of the Devoted family, creating a revolution in care delivery. Schedule Details: This is a full-time, night shift role. You will work five (5) scheduled clinical shifts per week on a rotating basis, including weekends and holidays. Shift days are scheduled based on business needs but will primarily be: 6:00 PM - 2:30 AM ET Shift assignments are subject to change based on operational needs. Your Responsibilities & Impact: Clinical Triage: Engage with members via telephone and the patient portal to provide clinical advice, educational materials, answer questions, and direct patients to the appropriate level of care. Care Coordination: Connect members with the exact care they need, whether routing them to providers within Devoted Medical, primary care, urgent care, or emergency services. Telehealth Support: Deliver exceptional support to patients with urgent complaints across multiple geographies, leveraging video telehealth visits to keep them safely at home whenever possible. Portal Chat Monitoring: Monitor clinical chat queues and respond directly to inbound patient portal messages within established response goals. Escalate to acute clinical",https://app.nursefern.com,Triage,NurseFern,2026-09-09T13:29:51.633278
"GRIEVANCE & APPEALS NURSE, RN (REMOTE)",,2026-09-08,Remote,Remote,Full-time,Days,Must Be Licensed In: California,"$91,249.6 - $120,910.4 Salary","What you can expect! Find joy in serving others with IEHP! We welcome you to join us in ""healing and inspiring the human spirit"" and to pivot from a ""job"" opportunity to an authentic experience! Reporting to the Supervisor, Grievance & Appeals, the Grievance & Appeals Nurse, RN (G&A Nurse, RN) is responsible for working directly with the IPAs, Hospitals, internal IEHP departments, and the Grievance team to ensure Grievance and Appeal cases are processed per the Grievance Policy & Procedures and Department of Managed Health Care (DMHC)/ Department of Health Care Services (DHCS)/ Center for Medicare and Medicaid Services (CMS) regulations and NCQA. This position coordinates care, within the scope of their licensure, of members in conjunction with the member's PCP and IPA and/ or IEHP Team Members to provide continuous Quality-Of-Care and assist in the development of quality initiatives. The incumbent serves as a resource person to IEHP personnel, as well as external practitioners and providers. When designated, the G&A Nurse, RN will also be responsible for triaging and assigning Grievance and Appeals cases to ensure timeliness and regulatory requirements are met. The G&A Nurse, RN will support appropriate Grievance case categorization inclusive of Quality of Care, identification of member harm, in addition to the completion of required reporting to internal departments (e.g. Critical Incidents and Potential Quality Incidents) and external mandatory reporting (e.g. CPS and APS). Commitment to Quality: The IEHP Team is committed to incorporate IEHP's Quality Program goals including, but not limited to, HEDIS, CAHPS, and NCQA Accreditation. Perks IEHP is not only committed to healing and inspiring the human spirit of our Members, but we also aim to match our team members with the same energy by providing prime benefits and more. Competitive salary CalPERS retirement State of the art fitness center on-site Medical Insurance with Dental and Vision Life, short-te",https://app.nursefern.com,Utilization Review & Management (UR/UM),NurseFern,2026-09-09T13:29:53.727493
"RN, QUALITY IMPROVEMENT SPECIALIST",Chesapeake Regional Healthcare,2026-09-08,Remote,Remote,Full-time,Days,"Must Be Licensed In: Compact, Virginia",$0 - $0 Salary,"The RN, Quality Improvement Specialist is responsible for ongoing assessment related to quality of care and clinical documentation across the Home & Supportive Care service line to include home health, hospice, palliative care, supportive care, remote patient monitoring, mobile health and other current or future programs and clinical areas as assigned. The RN, Quality Improvement Specialist will advise administrative and clinical leaders on opportunities to drive improved outcomes and measures of success. ESSENTIAL DUTIES The duties and responsibilities described below represent the essential functions of the job. Other duties or responsibilities may be assigned at the discretion of the immediate supervisor and/or leadership within the individual's hierarchy. Quality Management and Performance Improvement Develop and maintain annual metric dashboards focused on industry standard Star Ratings. Complete regular updating and review of dashboard data, in addition to CMS reported data such as CASPER, QIES, and HCAHPS. Use the above referenced data to develop and implement a clinically focused and patient care directed annual QAPI plan and quarterly performance improvement initiatives, ensuring oversight and coordination of each PI initiative. Oversee the agency's response to ADRs from all payers. Manage and coordinate the clinical review and timely submission of all HIS and OASIS files electronically as required by CMS. Create follow-up plans for staff that need remediation in accurate HIS or OASIS completion. Serve as the agency liaison with vendor responsible for Clinical Document Integrity (OASIS Scrubbing), including monitoring the data from the vendor and utilizing in performance improvement or educational initiatives for clinical staff. Address any documentation gaps required for accurate diagnosis coding, securing appropriate supporting documentation or physician input as needed. Develop the annual Home Health and Hospice Infection Control and Preventi",https://app.nursefern.com,Quality,NurseFern,2026-09-09T13:29:57.904222
NURSE PRACTITIONER - 12:00 PM - 8:00 PM - VIRTUAL HEALTH ASSESSMENT,Oscar Medical Group,2026-09-08,Remote,Remote,Full-time,Days,"Must Be Licensed In: Florida, New Jersey, Ohio, Texas","$116,000 - $145,000 Salary","Oscar Medical Group runs a Virtual Health Assessment (VHA) program that outreaches and virtually engages Oscar Health Insurance members in an evaluation and management visit. You will also help to support teams across Oscar Medical Group, including Virtual Primary Care and Virtual Urgent Care when needed. You will report into the Director, Virtual Health Assessment. Clinic Hours: 12:00 PM - 8:00 PM Shift 1 Saturday shift required per quarter Work Location: This is a remote position, open to candidates who reside in: Arizona; Arkansas; California; Colorado; District of Columbia; Florida; Georgia; Illinois; Massachusetts; Michigan; Nevada; New Hampshire; New Jersey; New York; North Carolina; Ohio; Pennsylvania; Texas; or Virginia.. While your daily work will be completed from your home office, occasional travel may be required for team meetings and company events. #LI-Remote Pay Transparency: The base pay for this role is: $116,000 - $145,000 per year. You are also eligible for employee benefits, annual vacation grant of up to 18 days per year, and annual performance bonuses. Responsibilities: Perform preventative care screenings, complete medication reconciliation, diagnose medical conditions and provide health coaching, referrals and treatment when clinically appropriate. Outreach members who are more chronically ill based on historical and suspected health information. Engage members who have a lower probability of seeing their PCP. Identify areas in the member's medical journey that can be improved by increasing their access to care with a licensed provider. Cross-train into urgent care and/or virtual primary care service line Interact with members virtually, including virtual assessment, diagnosis and treatment. Compliance with all applicable laws and regulations Other duties as assigned Requirements: PA or DNP, FNP, ENP from accredited program Board Certification (AANP, ANCC, or NCCPA) Compact RN (NP only) Experience with Clinical Documentation Improvem",https://app.nursefern.com,Telehealth,NurseFern,2026-09-09T13:29:59.987411
NURSE PRACTITIONER - VIRTUAL HEALTH ASSESSMENT,Oscar Medical Group,2026-09-08,Remote,Remote,Full-time,Days,"Must Be Licensed In: Florida, New Jersey, Ohio, Texas","$116,400 - $152,775 Salary","Oscar Medical Group runs a Virtual Health Assessment (VHA) program that outreaches and virtually engages Oscar Health Insurance members in an evaluation and management visit. You will also help to support teams across Oscar Medical Group, including Virtual Primary Care and Virtual Urgent Care when needed. You will report into the Director, Virtual Health Assessment. This a remote role. Hours: 8a-8p EST Monday - Thursday 8a-6p EST Friday & Saturday 8 hour shifts (scheduled for 9 hours minus one hour lunch) 1 late day (shift ending at 8p EST) is required per week 2 Saturday shifts required per quarter Work Location: This is a remote position, open to candidates who reside in: Arizona; Arkansas; California; Colorado; District of Columbia; Florida; Georgia; Illinois; Massachusetts; Michigan; Nevada; New Hampshire; New Jersey; New York; North Carolina; Ohio; Pennsylvania; Texas; or Virginia.. While your daily work will be completed from your home office, occasional travel may be required for team meetings and company events. #LI-Remote Pay Transparency: The base pay for this role is: $116,400 - $152,775 per year. You are also eligible for employee benefits, annual vacation grant of up to 18 days per year, and annual performance bonuses. Responsibilities: Perform preventative care screenings, complete medication reconciliation, diagnose medical conditions and provide health coaching, referrals and treatment when clinically appropriate. Outreach members who are more chronically ill based on historical and suspected health information. Engage members who have a lower probability of seeing their PCP. Identify areas in the member's medical journey that can be improved by increasing their access to care with a licensed provider. Cross-train into urgent care and/or virtual primary care service line Interact with members virtually, including virtual assessment, diagnosis and treatment. Compliance with all applicable laws and regulations Other duties as assigned Require",https://app.nursefern.com,Telehealth,NurseFern,2026-09-09T13:30:02.064886
