job_title,company,date_posted,location,remote_status,employment_type,schedule,license_requirements,salary_range,job_description,apply_link,specialties,source_site,scraped_at
REMOTE INBOX CLINICIAN,PeaceHealth,2026-07-28,Remote,Remote,Full-time,8hr shifts,"Must Be Licensed In: Oregon, Washington","$143,748 - $169,041 Salary","PeaceHealth has an opening for an experienced Nurse Practitioner or Physician Assistant/Associate to work as a remote inbox clinician. *To be considered, the candidate must reside in Oregon, Washington, or Alaska and have a minimum of 5 years' experience in a Primary Care setting. Must be licensed in Oregon or Washington and be willing to obtain licensure in both states upon starting. Responsibilities include: Manage prescriptions, order and interpret diagnostic tests, and monitor ongoing treatment plans. Respond promptly to patient messages, prescription requests, and test results via the electronic medical record. Collaborate with physicians and interdisciplinary teams to coordinate high-quality, patient-centered care. Educate patients and families on preventive care, treatment plans, and medication use. Maintain accurate, timely, and confidential documentation in accordance with clinical standards. Compensation & Benefits: Salary range $143,748 - $169,041 (based on years of experience) Employment Bonus CME: up to $3,300 per calendar year for CME and/or professional dues/fees (based on 1.0 FTE; prorated for lower FTE) Comprehensive Benefit package including Medical / Dental / Vision / Disability / Life / Wellness / Retirement PeaceHealth, based in Vancouver, Wash., is a nonprofit Catholic health system offering care to communities in Washington, Oregon and Alaska. PeaceHealth has approximately 16,000 caregivers, more than 160 multi-specialty clinics with more than 3,400 clinicians and providers, and 9 medical centers serving both urban and rural communities throughout the Northwest. In 1890, the Sisters of St. Joseph of Peace founded what has become PeaceHealth. Today, PeaceHealth is the legacy of its founding Sisters and remains dedicated to ensuring that every person receives safe, compassionate care; every time, every touch.",https://app.nursefern.com,Telehealth,NurseFern,2026-07-29T11:27:10.474922
UTILIZATION MANAGEMENT NURSE (RN),,2026-07-28,Remote,Hybrid,Full-time,Evenings,"Must Be Licensed In: Compact, Oklahoma",$0 - $0 Salary,"Hybrid Role, Monday-Friday 2:45pm-11:15pm Job Summary: Provides administrative and clinical support to the hospital and treatment teams throughout the review of patients including, but not limited to their placement in various levels of care and receipt of necessary services. The Utilization Management (UM) Registered Nurse will communicate with providers the details of reimbursement issues and participate in treatment teams, Patient Care Committee, and the Utilization Review Staff Committee by providing data and contributing to the improvement of internal processes. Minimum Education: Has completed the basic professional curricula of a school of nursing as approved and verified by a state board of nursing, and holds or is entitled to hold a diploma or degree therefrom or Master's degree in Nursing. Licensure, Registration and/or Certification: Valid multi-state or State of Oklahoma Registered Nurse License. Work Experience: Minimum 2 years of related experience in an acute care setting. Knowledge, Skills and Abilities: Ability to organize and prioritize work in an effective and efficient manner. Effective interpersonal, written, and oral communication skills. Demonstrated ability to integrate the analysis of data to discover facts or develop knowledge, concepts, or interpretations. Ability to be detail oriented as required in the examination of numerical data. Ability to synthesize clinical case data into concise summaries. Working knowledge of Microsoft Word, Excel and Access in the preparation of correspondence and reports. Essential Functions and Responsibilities: Gathers, prepares and supplies required clinical/treatment information needed to obtain authorization within the review interval(s) time requirements. Participates in treatment team and/or Patient Care Committee by providing information about eligibility, benefits, and criteria for the selected level of care. Assists in discharge planning, as needed. Identifies QI Triggers for individual patient",https://app.nursefern.com,Utilization Review & Management (UR/UM),NurseFern,2026-07-29T11:27:12.626667
UTILIZATION SPECIALIST,,2026-07-28,Remote,On-site,Full-time,Days,Must Be Licensed In: Tennessee,$0 - $0 Salary,"TrustPoint Hospital is a 217-bed, state-of-the-art treatment center providing comprehensive medical and psychiatric services on both inpatient and outpatient bases. We deliver exceptional care to patients needing acute physical medicine and rehabilitation, adult, adolescent, geriatric psychiatry, and medical psychiatry. TrustPoint Hospital offers an extensive array of benefits to our valued team members. Current offerings encompass: Medical, Dental, and Vision Insurance coverage Health Savings Account (HSA) and Flexible Spending Account (FSA) options Company-paid Basic Life & AD&D insurance Disability benefits 401(k) Retirement Plan with a company match Employee Assistance Program (EAP) and Employee Discount Program Paid Holidays for work-life balance Paid Time Off (PTO) Tuition Reimbursement opportunities for career advancement  PURPOSE STATEMENT: Proactively monitor utilization of services for patients to optimize reimbursement for the facility. Responsibilities ESSENTIAL FUNCTIONS: Act as liaison between managed care organizations and the facility professional clinical staff. Conduct reviews, in accordance with certification requirements, of insurance plans or other managed care organizations (MCOs) and coordinate the flow of communication concerning reimbursement requirements. Monitor patient length of stay and extensions and inform clinical and medical staff on issues that may impact length of stay. Gather and develop statistical and narrative information to report on utilization, non-certified days (including identified causes and appeal information), discharges and quality of services, as required by the facility leadership or corporate office. Conduct quality reviews for medical necessity and services provided. Facilitate peer review calls between facility and external organizations. Initiate and complete the formal appeal process for denied admissions or continued stay. Assist the admissions department with pre-certifi",https://app.nursefern.com,Utilization Review & Management (UR/UM),NurseFern,2026-07-29T11:27:14.749196
INPATIENT CARE MANAGEMENT NURSE - REMOTE,UnitedHealth Group,2026-07-28,Remote,Remote,Full-time,Days,Must Be Licensed In: Missouri,"$60,200 - $107,400 Salary","As an Inpatient Care Management Nurse, you will be responsible for ensuring proper utilization of our health services. This means you will be tasked with assessing and interpreting member needs and identifying solutions that will help our members live healthier lives. This is an inspiring job at a truly inspired organization. What makes your nursing career greater with UnitedHealth Group? You can improve the health of others and help heal the health care system. You will work within an incredible team culture; a clinical and business collaboration that is learning and evolving every day. And, when you contribute, you'll open doors for yourself that simply do not exist in any other organization, anywhere. Schedule will vary to include some weekend requirements based off the business needs. If you are located in Missouri, you will have the flexibility to work remotely* as you take on some tough challenges. Primary Responsibilities: Perform initial and concurrent review of inpatient cases applying evidenced-based criteria (InterQual criteria) Discuss cases with facility healthcare professionals to obtain plans-of-care Collaborate with Optum Enterprise Clinical Services Medical Directors on performing utilization management Participation in discussions with the Clinical Services team to improve the progression of care to the most appropriate level Consult with the Medical Director, as needed, for complex cases and make appropriate referrals to downstream partners Apply clinical expertise when discussing case with internal and external Case Managers and Physicians Identify delays in care or services and manage with MD Follow all Standard Operating Procedures in end-to-end management of cases Obtain clinical information to assess and expedite alternate levels of care Facilitate timely and appropriate care and effective discharge planning Participate in team meetings, education, discussions, and related activities Maintain compliance with Federal, State and accred",https://app.nursefern.com,Case Management (CM),NurseFern,2026-07-29T11:27:16.931922
RN CLINICAL DOCUMENTATION IMPROVEMENT SPECIALIST- REMOTE,,2026-07-28,Remote,Remote,Full-time,Days,"Must Be Licensed In: Compact, Louisiana",$0 - $0 Salary,"At Ochsner, whether you work with patients every day or support those who do, you are making a difference and that matters. Come make a difference at Ochsner Health and discover your future today! This job facilitates the improved integrity of medical record documentation. Presents opportunities and educates providers on quality clinical documentation, and serves as a resource for providers to link coding guidelines and medical terminology to improve the accuracy and quality of code assignment in accordance with Operational Guidelines. Performs daily evaluation of medical record documentation to include provider notes, lab results, diagnostic information and treatment plans, and communicates with providers face to face or via query forms to clarify or obtain missing, unclear or conflicting documentation. Demonstrates and understanding of complications, co-morbidities, severity of illness, risk or mortality, case mix index, secondary diagnoses, and the impact of procedures on the final Diagnosis Related Group (DRG) and demonstrates the ability to impart this knowledge to providers, to gather and analyze information pertinent to documentation findings and outcomes. To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable qualified individuals with disabilities to perform the essential duties.This job description is a summary of the primary duties and responsibilities of the job and position. It is not intended to be a comprehensive or all-inclusive listing of duties and responsibilities. Contents are subject to change at the company's discretion. Education Required - Graduate of an accredited school of nursing. Work Experience Required - 3 years of clinical experience working with minimal supervision. Certifications Required - Current registered nurse license in th",https://app.nursefern.com,Clinical Documentation Integrity (CDI),NurseFern,2026-07-29T11:27:21.189003
MEDICAL POLICY WRITER,,2026-07-28,Remote,Remote,Full-time,Days,Must Be Licensed In: United States,"$80,000 - $100,000 Salary","This is a fantastic opportunity for an outstanding individual to join a rapidly growing digital health company as a Medical Policy Writer. You will work closely with scientific literature researchers, clinical leadership, subject matter experts, and stakeholders to ensure the smooth flow of information, facilitate policy development, and maintain up-to-date medical guidelines. Your role will be crucial in drafting, refining, and finalizing medical policies based on comprehensive scientific evidence. What you'll do: Draft, refine, and finalize medical policy documents based on current scientific evidence and clinical best practices Keep policies up to date and compliant with CMS guidelines (NCDs, LCDs) Partner with medical directors, clinical leadership, and policy writers to align on standards and communicate updates Run quality checks and manage a review process to ensure accuracy before publication Train and mentor policy writers on best practices Maintain documentation and manage the policy repository (e.g., in Confluence) Track project progress and report on policy status to senior management What you'll need: 3+ years of experience in medical writing, policy development, or scientific literature research Familiarity with CMS policies (NCDs, LCDs) Strong organizational, project management, and communication skills Comfortable managing multiple projects and stakeholders simultaneously Able to work independently in a remote environment Proficient with Confluence and project management tools Bachelor's in nursing or advanced degree (MSN, MPAS, MPH, Health Science, Healthcare Administration, etc.) a plus Utilization review experience a plus Pay & Perks:  Fully remote opportunity with about 5% travel  Medical, dental, vision, life, disability insurance, and Employee Assistance Program  401K retirement plan with company match; flexible spending and health savings account  Flex Time Off + company holidays  Up to 14 weeks of paid parental leave",https://app.nursefern.com,Nurse Writer,NurseFern,2026-07-29T11:27:23.342171
CLINICAL QUALITY NURSE CONSULTANT,Blue Cross and Blue Shield of Kansas City,2026-07-28,Remote,Hybrid,Full-time,Days,Must Be Licensed In: Kansas,"$73,920 - $92,400 Salary","The Clinical Quality Nurse Consultant serves as a clinical liaison between Blue Cross Blue Shield of Kansas (BCBSKS), providers, and members to support quality improvement, care coordination, and value-based care initiatives across all lines of business. This role partners with providers and internal teams to implement data-informed clinical processes, improve quality outcomes, and support regulatory and accreditation requirements. The Nurse Consultant provides clinical expertise in quality measurement, HEDIS performance, and care coordination while advancing organizational goals related to quality, affordability, and member experience. This position reports to the Manager, Clinical Quality & Accreditation. ""This position is eligible to work remotely, hybrid or onsite in accordance with our Telecommuting Policy. Applicants must reside in Kansas or Missouri or be willing to relocate as a condition of employment."" What you'll do Support clinical quality improvement and value-based care initiatives by partnering with providers and internal teams to improve quality outcomes across assigned populations and lines of business. Provide clinical expertise related to quality measurement, including HEDIS metrics, care coordination strategies, and performance improvement activities. Collaborate with provider offices to implement workflows, tools, and processes that support population health management, care coordination, and quality gap closure. Participate in quality oversight activities, including medical record reviews and peer review processes, serving as a clinical resource for committees such as the Administrative Quality Committee (AQC) as assigned. Prepare and contribute to quality reports, summaries, and presentations supporting departmental, divisional, and corporate quality objectives. Collaborate with cross-functional teams to identify trends, opportunities, and educational needs related to quality measurement and clinical performance. Support compliance w",https://app.nursefern.com,Case Management (CM),NurseFern,2026-07-29T11:27:29.718081
RN MATERNITY CASE MGR,WebTPA,2026-07-28,Remote,Hybrid,Full-time,Days,Must Be Licensed In: Compact,$0 - $0 Salary,"The RN Maternity Case Manager will be a member of our Case Management department and will work within the Maternity Management program, which assists in managing healthcare costs for expectant mothers. The RN Maternity Manager (MM) focuses on wellness/wellbeing and education of expectant mothers, as well as traditional case management practices as it relates to mothers-to-be with high-risk pregnancies. What Will You Be Doing: Maternity Case Management process includes assessing the member's health status and care coordination needs. Can include inpatient discharge planning, as well as possible outpatient management. Contact with patient, family, physicians, additional health care providers, and community resources. Contact with provider business offices and with the employer/client may also be required. Identification of alternative treatment plans, which would have to be approved by all parties. These alternative care plans will be based on quality care within cost containment guidelines, allowing available claims dollars to be used in the most judicious manner possible. Monitor the health status and the impact of the treatment plan for each member. The Maternity Manager will be responsible for altering the care plan as deemed appropriate by the dynamic, ever-changing member needs. Identification of services, resources, providers, and facilities that could best serve members in a timely and cost-effective manner, to promote optimum value for the member and reimbursement source. Development and implementation of Case Management goals, both short and long term, with documented care plans. Utilize technology/resources to evaluate the cost-effectiveness of the elected treatment plan, pre-implementation and post-implementation. This outcome measurement will be used in determining the effective results and in establishing future patient-centered care plans. Accurate and timely reporting as deemed appropriate by each client. Interpreting individual health p",https://app.nursefern.com,Case Management (CM),NurseFern,2026-07-29T11:27:31.826044
TELEHEALTH NURSE (PART TIME),Catholic Health,2026-07-28,Remote,Hybrid,Part-time,Days,Must Be Licensed In: New York,"$90,000 - $110,000 Salary","Position requires occasional shifts on site in Farmingdale, NY. Job Details Our Telehealth RNs coordinate the Telehealth program for Catholic Home Care to insure the optimal utilization of the technology to enhance patient care and clinical excellence. Adhering to Catholic Home Care department policies and procedures and TJC/regulatory agency requirements. Demonstrates and promotes service excellence at all times. Experience and Skills: Strong clinical skills and 2-3 years recent hospital/home care experience Strong communication and interpersonal skills Computer Skills Acute care telemetry or triage experience is preferred Licensure: Current New York State RN license Current BLS Certification Salary Range USD $90,000.00 - USD $110,000.00 /Yr. This range serves as a good faith estimate and actual pay will encompass a number of factors, including a candidate's qualifications, skills, competencies and experience. The salary range or rate listed does not include any bonuses/incentive, differential pay or other forms of compensation that may be applicable to this job, and it does not include the value of benefits. At Catholic Health, we believe in a people-first approach. In addition to the estimated base pay provided, Catholic Health offers generous benefits packages, generous tuition assistance, a defined benefit pension plan, and a culture that supports professional and educational growth.",https://app.nursefern.com,Telehealth,NurseFern,2026-07-29T11:27:33.938946
CARDIOLOGY NURSE NAVIGATOR - MICHIGAN,Karoo,2026-07-28,Remote,Hybrid,Full-time,Days,"Must Be Licensed In: Compact, Michigan",$0 - $0 Salary,"This is a rare opportunity to join a mission-driven founding team at a pivotal stage and help define the future of healthcare, with the power to improve the lives of patients with cardiovascular disease, the number one cause of death in America today. Location: Remote, U.S.-based Type: Full-time clinical practicing role Requirements: Must have active Michigan RN license, surrounding states a plus The Role As a Karoo Health Cardiology Nurse Navigator, you'll be a vital clinical resource for our members and their care network, offering triage, support, and education during their cardiology journey via phone, email, and video communication. Under the guidance of our Nurse Team Lead or NP, you'll conduct comprehensive clinical assessments, oversee member health, and facilitate care discussions. Your main objective will involve actively engaging with members, addressing clinical issues, and efficiently managing any escalations that arise. Responsibilities Member Engagement & Communication Actively engage, mostly virtually, with members, address clinical issues, and efficiently manage any escalations that arise. Establish trusting relationships with members and their care network, prioritizing empathy and active listening in every interaction. Identify and address member needs promptly, offering assistance with care coordination, symptom management, nutritional support, discharge planning, and provider referrals. Clinical Assessments & Oversight Under the guidance of our Nurse Team Lead or NP, conduct comprehensive clinical assessments, oversee member health, and facilitate care discussions, with the goal of improving quality, outcomes and cost of care. Support members throughout the cardiology care continuum, coordinating care, and providing clinical support as needed. Be available for urgent clinical escalations and provide clinical consult support as required. Workflow & Technology Familiarize yourself with Karoo Health systems, tools, technology,",https://app.nursefern.com,Case Management (CM),NurseFern,2026-07-29T11:27:36.056673
