job_title,company,date_posted,location,remote_status,employment_type,schedule,license_requirements,salary_range,job_description,apply_link,specialties,source_site,scraped_at
CARE MANAGER (REMOTE),CareFirst BlueCross BlueShield,2026-04-15,Remote,Remote,Full-time,Days,"Must Be Licensed In: District of Columbia, Maryland, Virginia","$72,216 - $143,429 Salary","***Must reside in MD/DC/VA area. Applicants outside of this area will not be considered*** PURPOSE: This position will support the Medicare Advantage line of business. Under minimal supervision, the Care Manager researches and analyzes a member's medical and behavioral health needs and healthcare cost drivers. The Care Manager works closely with members and the interdisciplinary care team to ensure members have an effective plan of care and positive member experience that leads to optimal health and cost-effective outcomes. We are looking for an experienced Registered Nurse to work remotely within the greater Baltimore/Washington metropolitan area. While this position is remote, the incumbent will be expected to come into a CareFirst location periodically for meetings, trainings and/or other business-related activities. ESSENTIAL FUNCTIONS: Identifies members with acute/complex medical and/or behavioral health conditions. Engages onsite and/or telephonically with members, family and providers to develop a comprehensive plan of care to address the members needs at various stages along the care continuum. Identifies relevant CareFirst and community resources and facilitates program, network, and community referrals. Collaborates with members and the interdisciplinary care team to develop a comprehensive plan of care to identify key strategic interventions to address members medical, behavioral and/or social determinant of health needs. Engage members and providers to review and clarify treatment plans ensuring alignment with medical benefits and policies to facilitate care between settings. Monitors, evaluates, and updates plan of care over time focused on member's stabilization and ability to self-manage. Ensures member data is documented according to CareFirst application protocol and regulatory standards. QUALIFICATIONS: Education Level: High School Diploma or GED. Licenses/Certifications Upon Hire Required: RN - Registered Nurse - State Licensure And/or Co",https://app.nursefern.com,Case Management (CM),NurseFern,2026-04-16T10:17:03.679877
UTILIZATION MANAGEMENT RN,,2026-04-15,Remote,Remote,Full-time,Days,Must Be Licensed In: California,$47.74 - $63.02 Salary,"At WelbeHealth, we are transforming the reality of senior care by providing an all-inclusive healthcare option to the most vulnerable senior population, functioning as both a care provider and care plan to those individuals we serve. Our Health Plan Services team plays a critical role in our participant's journey and our Utilization Management team ensures we can provide timely, quality, compliant, and cost-effective care to our participants. By guiding this team, the Utilization Management RN Supervisor drives the continuous improvement of our care delivery processes. Essential Job Duties: Direct oversight of day-to-day operations within the designated UM team Assist the team in reviewing prior-authorization requests for medical necessity and appropriateness Identify, develop, and provide orientation and competency development for staff processing and/or reviewing authorizations Collaborate with providers (internal and external), clinical staff, and others to timely resolve any utilization management issues Job Requirements: Minimum of three (3) years of relevant clinical nursing experience Strong preference for prior PACE experience Two (2) years of supervisory experience with demonstrated aptitude to mentor and develop team members Inpatient care experience PREFERRED Benefits of Working at WelbeHealth: Apply your clinical expertise in meaningful ways as we rapidly expand. You will have the opportunity to design the way we work in the context of an encouraging and loving environment where every person feels uniquely cared for. Medical insurance coverage (Medical, Dental, Vision) starting day one of employment Work/life balance - we mean it! 17 days of personal time off (PTO), 12 holidays observed annually, and 6 sick days Advancement opportunities - We've got a track record of hiring and promoting from within, meaning you can create your own path! And additional benefits Compensation consists of base salary plus bonus. WelbeHealth offers a competitive total",https://app.nursefern.com,Utilization Review & Management (UR/UM),NurseFern,2026-04-16T10:17:10.027790
RN - OUTPATIENT CLINICAL DOCUMENTATION SPECIALIST,UW Health,2026-04-15,Remote,Remote,Full-time,Days,"Must Be Licensed In: Compact, Wisconsin","$77,608 - $116,412 Salary","100% FTE. This is a salaried paid position. Monday through Friday. Hours are based off the operational needs of the department. This is a remote position. Be part of something remarkable! Join the #1 hospital in Wisconsin! We are seeking a Registered Nurse (RN) to: Advise clinicians regarding complete and accurate Outpatient /Clinic documentation including accurate HCC capture. Function as a liaison between clinicians and coders. Work as an expert source for information regarding the impact of documentation on patient care, quality outcomes measures, HCC risk adjustment, and to ensure correct reimbursement. Conduct pre and post visit reviews of outpatient/clinic medical records-seeking clarification of documentation. At UW Health, you will have: An excellent benefits package, including health and dental insurance, paid time off and retirement plans. Acuity based staffing ratios for optimal safety. A strong shared governance structure which assures every nurse has a voice. Options for a variety of schedules and shifts that offer flexibility and allow for work-life balance. Access to UW Health's Wellness Options at Work that support employee/family well-being. A place where nursing excellence is recognized and celebrated in our inpatient and outpatient settings through several award programs. Tuition reimbursement - UW Health invests in your professional growth as a nurse by helping pay for coursework associated with career advancement. Qualifications Associate's Degree in Nursing Required Bachelor's Degree in Nursing Preferred Work Experience 3 years of nursing, case management, utilization review or quality resources experience in an acute care or ambulatory setting Required 3 years of Clinical Documentation Integrity experience highly desirable Preferred 5 years of nursing, case management, utilization review, or quality resources experience in an acute care setting Preferred Licenses & Certifications Licensed as a Registered Nurse (RN) in the State of",https://app.nursefern.com,Clinical Documentation Integrity (CDI),NurseFern,2026-04-16T10:17:12.144723
"PART-TIME TELEPHONE TRIAGE RN CASE MANAGER - LAS VEGAS, NV",UnitedHealth Group,2026-04-15,Remote,Remote,Part-time,,Must Be Licensed In: Nevada,$28.94 - $51.63 Hourly,"Requisition number: 2349598 Job category: Nursing Primary location: Las Vegas, NV Date posted: 04/14/2026 Overtime status: Non-exempt Travel: No Share this job Facebook X LinkedIn Email At UnitedHealthcare, we're simplifying the health care experience, creating healthier communities and removing barriers to quality care. The work you do here impacts the lives of millions of people for the better. Come build the health care system of tomorrow, making it more responsive, affordable and optimized. Ready to make a difference? Join us to start Caring. Connecting. Growing together. When you join us as a RN Nurseline Case Manager, you'll be making a difference in peoples' lives by offering telephonic support and assistance to members seeking health education, program referrals or general health services. You will work with patients to manage their health conditions for ultimate outcomes by taking in-bound calls and placing out-bound calls as dictated by consumer and business needs. In this role you will provide telephonic triage and nurse advice based on protocols as well as various case management activities to include discharge planning, improved transitions of care and utilization management of health plan members. Ensure members receive quality medical care in the most appropriate setting. If you are located in Las Vegas, NV, you will have the flexibility to telecommute* as you take on some tough challenges. Primary Responsibilities: Perform thorough telephonic nursing assessment and clinical review to determine appropriate triage protocol to utilize for nurse care advice. Ensure members are directed to the most appropriate level of care at contracted facilities Assess, plan and implement care strategies that are individualized by patient and directed toward the most appropriate, least restrictive level of care Utilize both company and community based resources to establish a safe and effective case management plan for hospitalized members Collaborate with member,",https://app.nursefern.com,Triage,NurseFern,2026-04-16T10:17:14.245920
"BILINGUAL TELEPHONIC RN CASE MANAGER, MATERNAL HEALTH",UnitedHealth Group,2026-04-15,Remote,Remote,Full-time,Days,"Must Be Licensed In: Compact, Washington",$28.94 - $54 Hourly,"Requisition number: 2357345 Job category: Medical & Clinical Operations Primary location: Seattle, WA Additional locations: Las Vegas, Nevada | Albuquerque, New Mexico | Phoenix, Arizona Date posted: 04/15/2026 Overtime status: Non-exempt Travel: No Share this job Facebook X LinkedIn Email At UnitedHealthcare, we're simplifying the health care experience, creating healthier communities and removing barriers to quality care. The work you do here impacts the lives of millions of people for the better. Come build the health care system of tomorrow, making it more responsive, affordable and optimized. Ready to make a difference? Join us to start Caring. Connecting. Growing together As a Telephonic Maternal Health Registered Nurse Case Manager who is Bilingual Spanish/English, you will work with our Medicaid members primarily focusing on our Spanish speaking population, wearing many hats. you will act in a liaison role with Medicaid members who are pregnant or were recently pregnant to ensure appropriate care is accessed as well as to provide home and social assessments and member and family education. The Maternal Health RN Case Manager will coordinate care that focuses on supporting members' medical, behavioral, and socioeconomic needs to promote appropriate utilization of services and improve quality of care. Interest in learning to work with maternity population is important for this role. You'll need to be flexible, adaptable and, above all, patient in all types of situations. You will have the ability to work remotely as you take on some tough challenges. You'll enjoy the flexibility to work remotely * from anywhere within the U.S. as you take on some tough challenges. Will adhere to PST work schedule. Primary Responsibilities: Engage members telephonically to complete comprehensive, ongoing needs assessments to identify medical, behavioral, functional, cultural, and socioeconomic needs Develop and implement person-centered care plans to address needs inclu",https://app.nursefern.com,Case Management (CM),NurseFern,2026-04-16T10:17:16.341180
Manager of Utilization Management,LSMA Management,2026-04-10,,Remote,Regular | Perm Employee,Regular | Perm Employee,Remote,,"DescriptionJOB SUMMARYThe Manager of Utilization Management (UM) is responsible for overseeing and directing the organization's utilization management program to ensure appropriate use of healthcare services, regulatory compliance, and high-quality patient care outcomes.Under the direction of senior leadership, the UM Manager supervises daily UM operations, including prospective, concurrent, and retrospective review activities, while ensuring adherence to CMS, DMHC, and health plan requirements. This role provides leadership to UM staff, supports clinical decision-making processes, ensures timely authorization determinations, and promotes efficient healthcare resource utilization through effective team management, process improvement, and cross-functional collaboration.RequirementsMINIMUM & PREFERRED QUALIFICATIONSEducation/TrainingMinimum: Associate's degree or completion of Vocational Nursing Program.Preferred: Bachelor's Degree in Nursing, Healthcare Administration, or related field.ExperienceMinimum: At least five years of experience in utilization management, case management, or managed care and at least one year of leadership or supervisory experience.Preferred: Clinical nursing experience. Experience in a health plan, MSO, IPA, or managed care environment. Experience with Medicare Advantage and Medi-Cal populations. Experience with InterQual, MCG, or similar criteria. Familiarity with EZ-Cap, EZ-Net, DocStar, or similar systems. Knowledge of ICD-10, CPT, and HCPCS coding.Any combination of educational and work experience that would be equivalent to the stated minimum requirements would qualify for consideration of this position.Certification(s)Current California Licensed Vocational Nurse (LVN) license in good standing and Basic Life Support (BLS) certification preferredSkills, Knowledge & Abilities Strong knowledge of utilization management principles and medical necessity criteria In-depth understanding of CMS, DMHC, and health plan regulations Leadership, coaching, and team development skills Strong analytical, problem-solving, and decision-making abilities Ability to manage multiple priorities in a fast-paced environment Excellent written and verbal communication skills Proficiency with EMR systems and UM platforms Strong organizational and time management skillsPHYSICAL, MENTAL & ENVIRONMENTAL REQUIREMENTSThe physical demands described here are represented of those that must be met by an employee to successfully perform the essential functions of this job. Work is primarily performed in an office or remote environment and involves prolonged sitting while reviewing medical records and documentation. The position requires frequent use of a computer, telephone, and electronic medical record systems. Occasional standing, walking, and light lifting of materials up to approximately 20 pounds may be required. The role requires the ability to review detailed clinical information, maintain concentration for extended periods, manage multiple priorities in a fast-paced environment, and communicate effectively with providers, staff, and external partners.",https://recruiting.paylocity.com/Recruiting/Jobs/Details/4075446,"Licensed Practical Nurse | LPN | LVN, Management | Leadership, Registered Nurse | RN, Utilization Management | Utilization Review",Remote Nurse Connection,2026-04-16T10:16:24.140990
Clinical Doc Specialist Special Project,Johns Hopkins Medicine,2026-04-10,,Remote,Regular | Perm Employee,Regular | Perm Employee,Remote,,"Requisition #:666113 Location:Johns Hopkins Health System, Baltimore, MD 21201 Category:Nursing Schedule:Day Shift Employment Type:Full TimeClinical Documentation Specialist | Special Projects | RemoteThis role focuses on leading and supporting strategic Clinical Documentation Improvement (CDI) initiatives to enhance the accuracy, quality, and compliance of clinical documentation. The position involves collaborating with physicians, nurses, coders, IT, and leadership to identify documentation gaps, implement solutions, and optimize electronic health record (EHR) use.Key responsibilities include conducting detailed chart reviews, performing clinical validation, supporting documentation improvement efforts, and tracking/reporting data to measure project success. The role also provides education to staff and providers, assists with policy development, and offers coverage during high-demand periods.Position DetailsShift: Full-Time, Day Shift (40 hours/week) - Monday - FridayLocation: Fully RemoteEducationRequires successful completion of:Baccalaureate degree, or associates degree, or diploma in nursing from an accredited school of Nursing ORSuccessful completion of an AMA approved Physician Assistant program, ORSuccessful completion of the academic requirements of Health Information Technician (RHIT) or Registered Health Information Administrator (RHIA) certification accredited by the Commission on Accreditation for Health Informatics and Information Management Education (CAHIIM)Require Licensure Certification, Etc.RN/APRN: Must possess a current RN compact (multi-state) license in the state in which you reside. If your state or the Johns Hopkins Health System location in which you are assigned does not participate in the Nurse Licensure compact, an RN license for that state in which you are assigned will be required.PA: Must possess current licensure to practice as a Physician Assistant (PA) in the state in which you reside and be board-certified by the National Commission on Certification of Physician Assistants (NCCPA). If your state of the Johns Hopkins Health System location in which you are assigned does not participate in the PA Licensure Compact, a license for the state in which you are assigned will be required.RHIT.RHIA: Requires successful completion of the academic requirements for the Registered Health Information Technician (RHIT) certification or Registered Health Information Administrator (RHIA) certification accredited by the Commission on Accreditation for Health Informatics and Information Management Education (CAHIIM) and be a Certified Coding Specialist (CCS).Work ExperienceRegistered Nurse (RN):Requires a minimum of 3 years Registered Nurse clinical experience in similarly complex acute care setting. Minimum of 5 years as a Clinical Documentation Specialist preferred. In lieu of complex acute care experience, at least 6 years of CDI experience and/or other relevant clinical experience may be considered.Physician Assistant (PA)Requires a minimum of 3 years Physician Assistant experience in a similarly complex acute care setting. Minimum of 5 years as a Clinical Documentation Specialist preferred. In lieu of complex acute care experience, at least 6 years of CDI experience and/or other relevant clinical experience may be considered.Rhit/RhiaRequires minimum of 3 years with acute inpatient coding experience. Minimum of 5 years as a Clinical Documentation Specialist preferred. In lieu of acute inpatient coding, at least 6 years of CDI experience and/or relevant clinical experience may be considered.What awaits you!Medical, Dental, Vision Insurance403B Savings Plan w/employer contributionPaid Time off & Paid holidaysEmployee and Dependent Tuition assistance benefitsFree ParkingRefer a friend to Johns Hopkins, opportunity to earn $$$Health & Wellness programs and more!For additional inquiries regarding this position, email:[email protected]Salary Range:Minimum 36.47/hour - Maximum 60.21/hour. Compensation will be commensurate with equity and experience for roles of similar scope and responsibility. In cases where the range is displayed as a $0 amount, salary discussions will occur during candidate screening calls, before any subsequent compensation discussion is held between the candidate and any hiring authority.We are committed to creating a welcoming and inclusive environment, where we embrace and celebrate our differences, where all employees feel valued, contribute to our mission of serving the community, and engage in equitable healthcare delivery and workforce practices.Johns Hopkins Health System and its affiliates are drug-free workplace employers.Johns Hopkins Health System and its affiliates are an Equal Opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity and expression, age, national origin, mental or physical disability, genetic information, veteran status, or any o...",https://jobs.hopkinsmedicine.org/job/97137/clinical-doc-specialist-special-project-nursing-us-md-baltimore-johns-hopkins-health-system,"Advanced Practice Nurse, CDI | Clinical Documentation Integrity Specialist, Coding, Entry Level, Featured, Registered Nurse | RN",Remote Nurse Connection,2026-04-16T10:16:24.249617
Surgical Clinical Reviewer,Children's Hospital of The King's Daughters,2026-04-10,"Norfolk, VA",On-site,Regular | Perm Employee,Regular | Perm Employee,ON-SITE,,"SummaryGENERAL SUMMARYThe Surgical Clinical Reviewer reports to department leadership and in conjunction with the surgeon champion, is responsible for providing administrative, clinical screening and data compilation, and reporting coordination in support of the pediatric surgical services NSQIP program.ESSENTIAL DUTIES AND RESPONSIBILITIESWorks collaboratively with department leadership to promote improvements in the quality of surgical clinical practice and services provided and/or resolutions of clinical issues.Accurately and timely enters program data ensuring submission is complete.Serves as an educational resource on the NSQIP program for internal and external audiences.Develops and presents educational material on NSQIP program, quality measurements and improvements.Performs chart abstraction and quality improvement projects for NSQIP.Ensures and maintains professional standards for clinical practices in conducting and completing clinical case reviews.Maintains an in-depth knowledge of NSQIP regulations and guidance documents required for full participation, and ensures compliance with protocols and regulatory requirements by collecting, recording and maintaining data and source documents.Performs other duties as assigned.LICENSES AND/OR CERTIFICATIONSCurrent Virginia state license as a Registered Nurse or Registered Nurse holding a valid Compact State license requiredMINIMUM EDUCATION AND EXPERIENCE REQUIREMENTSBachelor's degree in Nursing required.Three to five years of recent clinical experience and progressive experience in performing clinical case audits necessary.Previous clinical experience with data collection and identification of areas for quality improvement preferred.Must possess excellent computer skills to include Microsoft Excel, Access, and other clinical software systems.Ability to analyze and problem solve independently and disseminate data to relevant groups across the health system.Exceptional interpersonal skills that display effective and professional customer service skills and interactions.Ability to travel to various locations as required for performance of job role.WORKING CONDITIONSExpected to work in a patient care environment with minimal exposure to environmental hazards such as, but not limited to, excessive noise, dust, or extremes in temperatures. Exposure to communicable diseases and moderately adverse working conditions due to the need to perform certain patient care activities can be expected.PHYSICAL REQUIREMENTSClick here to view physical requirements.",https://preview-site-65f2e3.hctsportals.com/jobs/2168904-surgical-clinical-reviewer,"Data Abstraction, Entry Level, PeriOp | Operating Room | Surgical, Quality, Registered Nurse | RN",Remote Nurse Connection,2026-04-16T10:16:24.350329
Global Market Intelligence Manager - Clinical Insights,SOLVENTUM,2026-04-10,,Remote,Regular | Perm Employee,Regular | Perm Employee,Remote with Travel,"$143,200 - $196,900,","Thank you for your interest in joining Solventum. Solventum is a new healthcare company with a long legacy of solving big challenges that improve lives and help healthcare professionals perform at their best. At Solventum, people are at the heart of every innovation we pursue. Guided by empathy, insight, and clinical intelligence, we collaborate with the best minds in healthcare to address our customers' toughest challenges. While we continue updating the Solventum Careers Page and applicant materials, some documents may still reflect legacy branding. Please note that all listed roles are Solventum positions, and our Privacy Policy:applies to any personal information you submit. As it was with 3M, at Solventum all qualified applicants will receive consideration for employment without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.Job Description:Global Market Intelligence Manager, Clinical Insights3M Health Care is now SolventumAt Solventum, we enable better, smarter, safer healthcare to improve lives. As a new company with a long legacy of creating breakthrough solutions for our customers' toughest challenges, we pioneer game-changing innovations at the intersection of health, material and data science that change patients' lives for the better while enabling healthcare professionals to perform at their best. Because people, and their wellbeing, are at the heart of every scientific advancement we pursue.We partner closely with the brightest minds in healthcare to ensure that every solution we create melds the latest technology with compassion and empathy. Because at Solventum, we never stop solving for you.The Impact You'll Make in this RoleAs aMarket Intelligence Manager, Clinical Insights, you will have the opportunity to tap into your clinical expertise and collaborate with some of the most innovative and diverse people around the world. Here, you will make an impact by:Conducting in-depth ethnography within sites of care to identify unmet needs, translate jobs to be done, and identify emerging opportunities for innovation.Partnering with Medical Affairs to ensure insights are captured across a diverse mix of care settings to avoid bias towards a single segment.Evaluating clinical practices, workflows, and evidence to uncover pain points and unmet needs in patient care and healthcare delivery across the patient journey.Analyzing and synthesizing published clinical literature, guidelines, and evidence to inform strategic priorities and product concepts.Partnering with Upstream Marketing Directors to translate clinical findings into market-relevant insights that guide product development and portfolio strategy.Providing structured feedback on new concepts, ensuring alignment with real-world clinical requirements, safety considerations, and patient outcomes.How you will make an impactBringing a clinical perspective into upstream strategy and portfolio planning.Acting as the voice of the healthcare professional by immersing yourself into care environments and relaying nuanced insights.Enabling cross-functional teams to make evidence-based decisions on unmet needs and product opportunities.Supporting diligence for new product concepts with clinical evidence and frontline insights.Your Skills and ExpertiseDeep understanding of the clinical environment, patient care workflows, and healthcare system challenges, gained through direct experience in a hospital or care setting.Passion for identifying unmet needs and improving patient outcomes through innovative solutions and medical technologies.Interest in building skills in ethnographic (observational research techniques), clinical analysis, evidence evaluation, and translating frontline observations into actionable insights.Strong communication and interpersonal skills for engaging with healthcare professionals and collaborating across cross-functional teams.Curiosity, adaptability, and a willingness to learn new approaches that bridge clinical practice and medical device innovation.To set you up for success in this role from day one, Solventum requires (at a minimum) the following qualifications:Bachelor's degree or higher in Nursing, Allied Health, or a related clinical field AND 5 years of direct clinical experience in hospital or health system environments.Background in clinical-setting infection preventionAdditional qualifications that could help you succeed even further in this role include:Advanced degree (e.g., MSN, MPH, or MBA with a clinical background).Experience in medical devices, clinical trials, or evidence evaluation.Familiarity with healthcare economics, outcomes research, or quality improvement initiatives.Prior exposure to strategy, innovation, or upstream product development.Bilingual language skills (in addition to English), supporting effective engagement with international clinicians, advisors, and partners. Global experience, i.e. exposure to ...",https://healthcare.wd1.myworkdayjobs.com/Search/job/Remote---Massachusetts/Global-Market-Intelligence-Manager---Clinical-Insights_R01129281,"Biotech | Health Tech | Medical Device, Clinical Consultant, Quality, Registered Nurse | RN",Remote Nurse Connection,2026-04-16T10:16:24.462565
Virginia Independent Psychiatric Mental Health Nurse Practitioner Telehealth,MySpectrum,2026-04-10,,Remote,Regular | Perm Employee,Regular | Perm Employee,Remote,,"Psychiatric Mental Health Nurse Practitioner (PMHNP) - TelehealthAUTONOMOUS PRACTICE in VIRGINIA LICENSE REQUIREDMySpectrum Counseling & Coaching is looking for a Psychiatric Mental Health Nurse Practitioner to join our team through the provision of Telehealth. The ideal candidate will have experience working in an outpatient mental health practice, as well as experience providing Telehealth, to a variety of clients with a variety of mental health needs. This person is responsible for assessing patient need for medication, prescribing medication, medication management and monitoring, recording client progress, and educating patient and families as needed. Duties are performed using a HIPAA compliant web-based platform.Requirements:* Current, Virginia Board of Nursing and the Virginia Board of Medicine and Nursing to practiceIndependentlyas a Psychiatric Mental Health Nurse Practitioner with Prescriptive Authority.* Current, DEA registration.* Examine, evaluate, diagnose and treat psychiatric and mental illnesses.* Experience working with other professionals to ensure best practice.* Skilled in the use of technology, software, and resources to assist and aid in the course of daily medical responsibilities.* Experience in documenting in the medical record and articulating and interacting with patients and others regarding clinical / administrative concerns or issues.Duties:Complete intake assessments for new clients referredComplete progress notes for every session in EHRSend prescriptions electronically to pharmacyMonitor psychiatric stabilityRequest labs when neededMonitor medical needs of clients and / or make appropriate referrals so that in person assessment can be conductedCollaborate with Therapists as appropriateCommunicate with administrative team to ensure smooth and timely client careBenefits and Perks:You can create your own hoursWork from home or from your own officeYou can live anywhere in the state of VirginiaCompetitive compensation based on a 60/40 split (bi-weekly pay based on appointments completed, not on what we have collected from insurance; you receive 60% of what we bill insurance regardless of if we get paid)Health insurance available if you average 30 or more billable sessions per week: medical, dental, vision (with employer and employee contribution)Retirement planning with up to 3% company matchCasual environment that promotes fun and creativityPlease visit our website to learn more about who we are and what we do:[www.myspectrumcc.com](http://www.myspectrumcc.com). If you would like more information about us, send an email with any questions to:[email protected]. We will be happy to provide you with any information you may be seeking while considering to apply to work with us.Visit our social media pages to get a sense of who we are: Facebook, Twitter, Instagram, and LinkedIn!",https://myspectrum.applytojob.com/apply/uTyZQBUe7U/Virginia-Independent-Psychiatric-Mental-Health-Nurse-Practitioner-Telehealth,"Advanced Practice Nurse, Psych | Behavioral Health | Mental Health",Remote Nurse Connection,2026-04-16T10:16:24.569929
