job_title,company,date_posted,location,remote_status,employment_type,schedule,license_requirements,salary_range,job_description,apply_link,specialties,source_site,scraped_at
ONCOLOGY NURSE NAVIGATOR 2 - GYNECOLOGICAL ONCOLOGY - PART-TIME (JOB ID: 25101),Rush,2026-03-25,Remote,On-site,Part-time,"10hr shifts, Weekends",Must Be Licensed In: Illinois,$40.75 - $72.94 Hourly,"Location: 1520 W Harrison St; 5th Floor, Chicago, Illinois 60607 Business Unit: RUSH MD Anderson Cancer Center Department: Gynecologic Oncology Work Type: Part-Time - 20 Hours per week (0. 5 FTE) Shift: 7:00 AM to 5:30 PM Work Schedule: 10-Hour Shifts - Weekdays Only Rush offers exceptional rewards and benefits learn more at our Rush benefits page (https://www. rush.edu/rush-careers/employee-benefits). Pay Range: $40.75 - $72.94 per hour Rush salaries are determined by many factors including, but not limited to, education, job-related experience and skills, as well as internal equity and industry specific market data. The pay range for each role reflects Rush's anticipated wage or salary reasonably expected to be offered for the position. Offers may vary depending on the circumstances of each case. Summary: The Oncology Nurse Navigator 2 is a registered nurse (RN) who works with physician practices and multi-disciplinary teams to promote the effective utilization of services and coordination of care for patients within the Cancer Center service line. The Oncology Nurse Navigator 2 contributes to the assessment of patients' psychosocial, financial and clinical needs throughout the continuum of care ensuring high quality care while supporting quality metrics of the Cancer Center and Rush University Medical Center The Oncology Nurse Navigator 2 functions as a liaison between patients, physician practices, the hospital, and the community performing functions that meet the core competencies of oncology navigation; Care Coordination, Communication, Education, and Professional Role/Care as well as the domains of the Profession Practice Model; Relationships and Caring, Evidence Based Practice, Technical Expertise, Critical Thinking and Leadership. The Oncology Nurse Navigator 2 care may be focused in medical oncology, hematology, stem cell transplant, gyne-oncology, surgery, radiation oncology, cancer screening or supporting multi-disciplinary clinics. This RN exem",https://app.nursefern.com,Case Management (CM),NurseFern,2026-03-26T10:02:46.179699
"RN SPECIALIST, CLINICAL DOCUMENTATION",Denver Health,2026-03-25,Remote,Remote,Full-time,Days,Must Be Licensed In: Colorado,"$77,300 - $119,800 Salary","We are recruiting for a motivated RN Specialist, Clinical Documentation to join our team! We are here for life's journey. Where is your life journey taking you? Being the heartbeat of Denver means our heart reflects something bigger than ourselves, something that connects us all: Humanity in action, Triumph in hardship, Transformation in health. Department REVENUE INTEGRITY Job Summary Under general supervision performs concurrent and retrospective reviews as requested by the Clinical Documentation Integrity Manager or Director. Responsible for selected assignments based on internal or external department requests. Responsible for educating providers regarding documentation specificity, accuracy, compliance and are permitted to query physicians as deemed necessary. Collaborates with Coding, Health Information Management (HIM), Patient Safety and Quality, Enterprise Compliance Services and other departments to promote the common goal of obtaining accurate documentation in the patient's record. Must participate in continuous education on ICD-10, clinical medicine, Center of Medicare and Medicaid (CMS) and other billing carriers, as well as coding guidelines and policies. Essential Functions: Concurrent and/or retrospective review of designated inpatient, outpatient, and ambulatory patient records to assess for accuracy, specificity, and compliance of provider documentation. (20%) Tracking audits performed and audit results obtained in order to provide meaningful data to key stakeholders. (20%) Educating providers regarding documentation accuracy, specificity, and compliance with rules and regulations. (20%) Providing pertinent feedback to providers on audit results as necessary. (20%) Working collaboratively with Coding, Health Information Management (HIM), Patient Safety and Quality, Enterprise Compliance Services, and other departments to promote the common goal of obtaining accurate documentation in the patient record. (20%) Education: Associate's Degree R",https://app.nursefern.com,Clinical Documentation Integrity (CDI),NurseFern,2026-03-26T10:02:48.307940
CLINICAL OVERNIGHT TRIAGE SPECIALIST,PaceMate,2026-03-25,Remote,Remote,Full-time,,"Must Be Licensed In: State Of Residency, Any State",$41.34 - $51.52 Hourly,"Position Title: Clinical Overnight Triage Specialist Location: 100% Remote (U.S. - candidates must reside in the contiguous United States) About The Role As a Triage Specialist at PaceMate, you'll join a team of experienced professionals dedicated to improving outcomes for patients with cardiac implantable electronic devices (CIEDs). Working remotely, you'll use your expertise in cardiac electrophysiology and device management to analyze remote transmission data and diagnostics, interpret complex arrhythmias, and provide the accurate clinical documentation that providers rely on to guide patient care. This role requires deep technical knowledge-you'll assess device function across multiple manufacturers, recognize abnormalities and arrhythmias, and recommend strategies to address issues. This is an overnight role with regularly scheduled shifts Sunday through Thursday, typically lasting 8-10 hours between 5:00 pm and 6:00 am EST. What You'll Do Remotely monitor patients with CIEDs using PaceMate's proprietary software Triage high priority alert transmissions by analyzing ECG/EGM data and device diagnostics, identifying abnormal device function and complex arrhythmias per 'customer preferred alert preferences Downgrade alert flags for transmissions deemed to be false positive or low priority Document findings on transmissions accurately and professionally, communicating with providers as needed according to PaceMate's best practice standards and SOPs Serve as the primary point of contact for after-hours alert notification calls Serve as a subject-matter expert and primary resource for team members, providing guidance and support for urgent and emergent reporting needs Maintain advanced knowledge of PaceMate products and services (i.e. expertise in manufacturer and PaceMate LIVE alerts) Work independently to manage your daily workflow while collaborating closely with teammates and clinical leadership to ensure efficient, accurate, and ti",https://app.nursefern.com,Triage,NurseFern,2026-03-26T10:02:50.415140
MANAGER/DIRECTOR OF CLINICAL SERVICES,Grapefruit Health,2026-03-25,Remote,Remote,Full-time,Days,"Must Be Licensed In: State Of Residency, Any State, United States","$120,000 - $160,000 Salary","The Manager/Director of Clinical Services is a multifaceted leadership role that provides clinical oversight and guidance to our Care Gap Closure programs to ensure the successful execution and quality of the programs. You are one of the most critical parts of the leadership team and will be expected to perform at the highest level. You own the recruitment, screening, hiring, onboarding, educating, and management of 300-1,000 clinical students, as well as program design, data and security management, quality assurance, and management of the scope of practice. This is a great fit for someone who thrives in a fast-paced startup environment, loves variety, can handle long hours and stress, and loves to scale massive, national clinical services businesses. You are both a leader and a doer. There are no ""zones"" for this role - you will be asked to roll up your sleeves, and take on whatever is needed. What You'll Do - And Much More People Leadership Manage direct reports and maintain the hiring process for any internal (non-student) team members Scale processes for reviewing clinical student applicants for potential employment Hire clinical students based on the needs of current and future outreach programs. This can be hundreds at a time. Guide students through the onboarding process, which entails multiple platforms. Find ways to automate this Management of the clinical education Learning Management System (LMS), which includes building, maintaining, selecting, scaling, and recording educational materials Scale and maintain communication with students for any updates and changes to the programs they are performing within Perform all compensation functions for all students including audits and payroll Solution/Product Ensure our proprietary technologies are clinically relevant and safe For our new Clinical Communication Training application, design new modules and join meetings with academic leadership from clinical programs Be our thought leader on how this",https://app.nursefern.com,,NurseFern,2026-03-26T10:02:52.583118
SENIOR MEDICAL REVIEWER (BEHAVIORAL/MENTAL HEALTH FOCUS),BlueCross BlueShield of South Carolina,2026-03-25,Remote,Remote,Full-time,Days,Must Be Licensed In: South Carolina,$0 - $0 Salary,"We are currently hiring for a Senior Medical Reviewer to join BlueCross BlueShield of South Carolina. In this role as a Senior Medical Reviewer, you will act as Team Lead for specialty programs, medical review, utilization management, and case management areas by providing assistance and support to unit supervisor/manager by giving direction/guidance/training to staff and ensure appropriate levels of healthcare services are provided. Description Location: This position is full-time (40 hours/week) Monday-Friday from 8:00am-5:00pm and will be fully remote. Our ideal candidate must reside in South Carolina and may be required to conduct occasional member-facing patient visits within SC. What You'll Do: Functions as team leader/senior-level Medical Reviewer. Provides leadership/guidance/direction/training to staff. Maintains working knowledge of unit functions and ability to interpret to new hires, department interworkings and workflow. Acts as resource for staff/external entities troubleshooting as well as resolving issues. Keeps manager informed of any problems/issues that need resolving. Assists management with monitoring workflow and workloads (including reassignment of work to meet timelines, redirecting work intake source to balance workloads), reporting, and addressing aging issues. Participates in departmental quality reviews. Follows process to ensure quality plan is adhered to and communicated to all parties. Gives/receives feedback regarding medical review decision making and technical claims processing issues. Ensures that quality work instructions/forms/documents are developed/revised as needed. Provides quality service and communicates effectively with external/internal customers in response to inquiries. Obtains information from internal departments, providers, government, and/or private agencies, etc. to resolve discrepancies/problems. Participates in compliance initiatives and other directed activities. Participates/oversees special projects as",https://app.nursefern.com,Case Management (CM),NurseFern,2026-03-26T10:02:54.685787
PROGRAM MANAGER - CHRONIC AND COMPLEX CARE MANAGEMENT & TRANSITIONS OF CARE,Evergreen Nephrology,2026-03-25,Remote,Remote,Full-time,Days,Must Be Licensed In: State Of Residency,"$110,000 - $115,000 Salary","As the Program Manager of Chronic and Complex Patient Management (CCPM) and Transitions of Care (TOC) with Evergreen Nephrology, you will lead a team focused on delivering longitudinal, patient-centered care for individuals with complex and chronic conditions, including kidney disease, diabetes, heart failure, and other comorbidities. In this role, you will provide collaborative, supportive leadership and oversee the day-to-day operations of the care management team, ensuring consistent execution of proactive care strategies that improve patient outcomes. You will leverage your clinical and operational expertise to guide the management of high-risk populations, ensure adherence to established care pathways, and reduce complications, avoidable hospital admissions, and overall healthcare utilization. You will be accountable for CCPM and TOC program performance, driving results against key performance indicators (KPIs) and quality metrics. Additionally, you will support ongoing team development through coaching, training, and performance management to ensure delivery of high-quality, efficient, and patient-centered care aligned with Evergreen's standards. Role Responsibilities Oversee day-to-day operations for the CCPM and TOC care management teams, ensuring efficient workflows, standardized processes, and consistent achievement of program goals. Ensure delivery of high-quality longitudinal chronic/complex care management and best-in-class transitions of care, including adherence to clinical pathways, protocols, and documentation standards. Continuously evaluate and improve the performance of CCPM and TOC programs and team members, consistent with Evergreen's performance management philosophy. Develop and implement collaborative strategies to improve program performance and patient outcomes (e.g., chronic disease control, complication prevention, and reduced readmissions) while ensuring patient and provider partner satisfaction. Support newly hired CCPM/TOC team",https://app.nursefern.com,"Case Management (CM), Quality",NurseFern,2026-03-26T10:02:56.782862
UM CLINICAL REVIEWER SENIOR ANALYST - WORK AT HOME,Cigna,2026-03-25,Remote,Remote,Full-time,Days,"Must Be Licensed In: Compact, State Of Residency",$31 - $52 Salary,"The UM Clinical Reviewer Senior Analyst promotes quality and cost-effective medical services through clinical review, applying Cigna clinical policies, national guidelines, and decision-support tools to determine authorizations. The role ensures timely completion of reviews to meet regulatory and contractual requirements while representing Cigna professionally. Core Responsibilities: Conduct utilization management reviews for medical necessity, appropriateness, and benefit coverage. Apply Cigna medical policies, MCG, ASAM, URAC standards, and clinical judgment. Identify cases requiring physician review and coordinate with Medical Directors. Initiate Case Management referrals as appropriate. Maintain compliance with HIPAA, regulatory rules, and internal quality standards. Participate in team meetings, quality audits, training, and workflow improvements. Support departmental initiatives, documentation accuracy, and performance metrics. Qualifications: Registered Nurse (RN) with multistate license in good standing. BSN preferred. Minimum 3 years RN experience in managed care, UM, or prior authorization preferred. Previous in-patient or outpatient experience preferred. Strong analytical, communication, and decision-making skills. Proficiency with Windows, Word, care management platforms, and documentation systems. Ability to manage multiple tasks, meet deadlines, and adapt to a fast-paced environment. Competencies Clinical Judgment & Decision Making Regulatory & Policy Compliance Communication & Collaboration Customer-focused Service Delivery Time & Workload Management If you will be working at home occasionally or permanently, the internet connection must be obtained through a cable broadband or fiber optic internet service provider with speeds of at least 10Mbps download/5Mbps upload. For this position, we anticipate offering an hourly rate of 31 - 52 USD / hourly, depending on relevant factors, including experience and geographic location. Thi",https://app.nursefern.com,Utilization Review & Management (UR/UM),NurseFern,2026-03-26T10:03:00.973334
"CARE MANAGER, TELEPHONIC NURSE PART-TIME",Centerwell,2026-03-25,Remote,Remote,Part-time,,Must Be Licensed In: Compact,"$71,100 - $97,800 Salary","Shift/Availability Requirements: This is a part time position, scheduled 20 hours per week. Days/Shift: - Option #1: 7am-12pm EST every Monday, Tuesday, Wednesday and Saturday. - Option #2: 7am-12pm EST every Wednesday, Thursday, Friday and Saturday. Required to work every other holiday. This is a work-from-home telephonic Registered Nurse position. As a Care Manager, Telephonic Nurse, you will report directly to the Manager, Care Management. You will help to ensure optimal continuity of care for patients transitioning into and out of our services. You will be responsible to be knowledgeable regarding post-acute levels of care, and an expert regarding CenterWell Home Health services including home health, hospice, and palliative care. You will communicate with the CenterWell Home Health clinical team and help facilitate patient follow-up for patients in need of (additional) services. Essential Functions: Be a CenterWell Home Health representative in supporting patients who have been discharged from service or for those who may need post-acute services. Navigate healthcare options; care services post-acute offerings, Medicare coverage, billing issues, and accessing healthcare resources. Use a variety of tools and methods to quickly provide patient options and education including but not limited to sites of service, specialty offerings, post-acute care, and other related questions. Handle a variety of customer issues including location lookup, directions, and complaints. Make clinical level of care determination based on discussion, medical records, and any other important clinical data. Match these needs to a service site location or, if not available, look up and provide alternative services. Be a customer advocate throughout the referral process to ensure timely response and to maximize referral to admission conversion rate. Follow-up and track referral and admission outcomes. Maintain awareness and orientation to department performance objectives, meet",https://app.nursefern.com,Case Management (CM),NurseFern,2026-03-26T10:03:03.077675
NURSE AUDITOR,Humana,2026-03-25,Remote,Remote,Full-time,Days,Must Be Licensed In: State Of Residency,"$78,400 - $107,800 Salary","The Nurse Auditor 2 performs clinical audit/validation processes to ensure that medical record documentation and diagnosis coding for services rendered is complete, compliant and accurate to support optimal reimbursement. The Nurse Auditor 2 work assignments are varied and frequently require interpretation and independent determination of the appropriate courses of action. The Nurse Auditor 2 validates and interprets medical documentation to ensure capture of all relevant coding. Identifies members with high risk CMS Hierarchical Condition Categories (HCC) and refers cases for annual follow-up care by disease management, case management, and primary care providers as appropriate for assessment/intervention. Identifies the root cause analysis of audit findings and submits recommendations for appropriate change management. Applies clinical and coding experience to conduct reviews of provider codes and billing. Understands department, segment, and organizational strategy and operating objectives, including their linkages to related areas. Makes decisions regarding own work methods, occasionally in ambiguous situations, and requires minimal direction and receives guidance where needed. Follows established guidelines/procedures. Use your skills to make an impact WORK STYLE: Remote/Work at Home. While this is a remote position, occasional travel to Humana's offices for training or meetings may be required. WORK HOURS: Typical business hours are Monday-Friday, 8 hours/day, 5 days/week. Associates are expected to start each day between 6AM and 9AM in their home time zone. Required Qualifications Active Registered Nurse (RN) license in the state they reside. Minimum of 2 consecutive years acute inpatient hospital care experience in critical, intensive care setting within the last 5 years (Not pediatrics or neonatal). For example: ICU, CCU, PCU, med-surg/adult units or a minimum of 2 years DRG Inpatient auditing. NOTE: Inpatient experience does not refer to any other l",https://app.nursefern.com,Quality,NurseFern,2026-03-26T10:03:05.173917
RN CARE MANAGER - OCCASIONAL - DAYS,Mohawk Valley Health System,2026-03-25,Remote,Hybrid,PRN/Per Diem,Days,Must Be Licensed In: New York,$31 - $45 Hourly,"Job Summary The Care Manager is responsible for completing a comprehensive assessment to determine the correct services and benefits based on medical necessity for an enrollee. Provides plan education, transition of enrollees to clinical services based on Department of Health (DOH) guidelines. Care management providing advocacy, coordination and oversight of all healthcare services for an enrollee striving to deliver the best care at the right time and in the most-cost effective while meeting quality outcome standards for the enrollee case load assigned. Complies with all state and federal regulations including Health Insurance Portability and Accountability Act (HIPAA). Core Job Responsibilities Identifies and coordinates enrollee services as provided by the plan and services that are not a benefit of the plan (Medicare Services). Completes comprehensive assessment using the DOH approved tool to determine eligibility of medically necessary services. Educates and completes with enrollee all necessary consents and documentation. Initiates and carries out continuous assessment of physical, emotional, social, cultural, economic, and environmental needs of the enrollee and coordinates services for needs as determined. Observes the enrollee for changes in condition and follows up with appropriate services or providers to attempt to prevent disease exacerbations. Develops, monitors and revises a Plan of Care with the enrollee or enrollee's designee that has problem, enrollee centered goals and interventions. Implements orders for Durable Medical Equipment items and treatments as prescribed by the physician, submitting and maintaining appropriate medical orders and documentation. Completes documentation per company standards/policy utilizing an Electronic Medical Record (EMR) system. Participates in Marketing Activities as requested by Executive Director or Designee. Accepts assignments and performs duties within their nursing scope of practice, seeking and obtaining suf",https://app.nursefern.com,Case Management (CM),NurseFern,2026-03-26T10:03:07.282540
