job_title,company,date_posted,location,remote_status,employment_type,schedule,license_requirements,salary_range,job_description,apply_link,specialties,source_site,scraped_at
RN Clinic Triage Nurse Full time,SSM Health,2026-03-07,"Fond du Lac, WI",On-site,Regular | Perm Employee,Regular | Perm Employee,ON-SITE,,"It's more than a career, it's a calling.WI-Fond du Lac Regional Clinic MainWorker Type:RegularJob Summary:Provides direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.Job Responsibilities and Requirements:PRIMARY RESPONSIBILITIESImplements and monitors patient care plans. Monitors, records and communicates patient condition as appropriate.Serves as a primary coordinator of all disciplines for well-coordinated patient care.Notes and carries out physician and nursing orders.Assesses and coordinates patient's discharge planning needs with members of the healthcare team.May round with physician in an inpatient setting.Applies the existing body of evidence-based practice and scientific knowledge in health care to nursing practice, ensuring that nursing care is delivered based on patient's age-specific needs and clinical needs as described in the department's Scope of Service.As an SSM Health nurse, I will demonstrate the professional nursing standards defined in the professional practice model. Uses the ANA Code of Ethics for Nurses to guide his/her response to the current and evolving health and nursing needs of our patients and our patient populations.Works in a constant state of alertness and safe manner.Performs other duties as assigned.EDUCATIONGraduate of accredited school of nursing or education equivalency for licensingEXPERIENCENo experience requiredPHYSICAL REQUIREMENTSConstant use of speech to share information through oral communication.Constant standing and walking.Frequent lifting/carrying and pushing/pulling objects weighing 0-25 lbs.Frequent sitting, reaching and keyboard use/data entry.Frequent use of vision and depth perception for distances near (20 inches or less) and far (20 feet or more) and to identify and distinguish colors.Frequent use of smell to detect/recognize odors.Frequent use of hearing to receive oral communication, distinguish body sounds and/or hear alarms, malfunctioning machinery, etc.Occasional lifting/carrying and pushing/pulling objects weighing 25-50 lbs.Occasional lifting/moving of patients.Occasional bending, stooping, kneeling, squatting, twisting, gripping and repetitive foot/leg and hand/arm movements.Occasional driving.Rare crawling and running.REQUIRED PROFESSIONAL LICENSE AND/OR CERTIFICATIONSState of Work Location: IllinoisBasic Life Support HealthCare Provider (BLS HCP) - American Heart Association (AHA)AndRegistered Professional Nurse (RN) - Illinois Department of Financial and Professional Regulation (IDFPR)State of Work Location: MissouriBasic Life Support HealthCare Provider (BLS HCP) - American Heart Association (AHA)AndRegistered Nurse (RN) - Missouri Division of Professional RegistrationOrRegistered Nurse (RN) Issued by Compact StateState of Work Location: OklahomaBasic Life Support HealthCare Provider (BLS HCP) - American Heart Association (AHA)AndRegistered Nurse (RN) Issued by Compact StateOrRegistered Nurse (RN) - Oklahoma Board of Nursing (OBN)State of Work Location: WisconsinBasic Life Support HealthCare Provider (BLS HCP) - American Heart Association (AHA)AndRegistered Nurse (RN) Issued by Compact StateOrRegistered Nurse (RN) - Wisconsin Department of Safety and Professional ServicesWork Shift:Day Shift (United States of America)Job Type:EmployeeDepartment:7062070038 Internal Medicine PedsScheduled Weekly Hours:40Benefits:SSM Health values our exceptional employees by offering a comprehensive benefits package to fit their needs.Paid Parental Leave:we offer eligible team members one week of paid parental leave for newborns or newly adopted children (pro-rated based on FTE).Flexible Payment Options:our voluntary benefit offered through DailyPay offers eligible hourly team members instant access to their earned, unpaid base pay (fees may apply) before payday.Upfront Tuition Coverage:we provide upfront tuition coverage through FlexPath Funded for eligible team members.Explore All BenefitsSSM Health is an equal opportunity employer. SSM Health does not discriminate on the basis of race, color, religion, national origin, age, disability, sex, sexual orientation, gender identity,pregnancy, veteran status,or any other characteristic protected by applicable law.Click here to learn more.",https://click.appcast.io/t/RrsYJSlG0-Uhpv_npxIy_Fbi-rOCmPgC-3JNc3WxyeCZO0F-qOQwVLm0QYoX3bWf,"Registered Nurse | RN, Entry Level, Pediatrics, Sponsored, Triage | Telehealth",Remote Nurse Connection,2026-03-09T09:53:28.508642
RN-Case Manager (H),SSM Health,2026-03-07,"Oklahoma City, OK",On-site,Regular | Perm Employee,Regular | Perm Employee,ON-SITE,,"It's more than a career, it's a calling.OK-SSM Health St. Anthony Hospital - Oklahoma CityWorker Type:RegularJob Summary:Assesses, develops, plans, implements, and evaluates patients discharge planning needs to next level of care in collaboration with interdisciplinary team.Job Responsibilities and Requirements:PRIMARY RESPONSIBILITIESEnsures compliance with Condition of Participation (CoP) discharge planning.Identifies and escalates gaps/barriers related to inpatient and observation length of stay.Assesses patients at high risk for readmission. Identifies root cause for readmission. Develops plan and collaborates with multidisciplinary team regarding discharge planning to next level of care.Participates with other members of team regarding opportunities for improvement in standard work.May also be responsible for: utilization management process, ED case management process, admission process, and act as a case manager liaison with post acute providers (skilled nursing facilities, rehab, home health, etc.).Applies the existing body of evidence-based practice and scientific knowledge in health care to nursing practice, ensuring that nursing care is delivered based on patient's age-specific needs and clinical needs as described in the department's Scope of Service.As an SSM Health nurse, I will demonstrate the professional nursing standards defined in the professional practice model. Uses the ANA Code of Ethics for Nurses to guide his/her response to the current and evolving health and nursing needs of our patients and our patient populations.Works in a constant state of alertness and safe manner.Performs other duties as assigned.EDUCATIONGraduate of accredited school of nursing or education equivalency for licensingEXPERIENCEThree years' acute care experiencePHYSICAL REQUIREMENTSFrequent lifting/carrying and pushing/pulling objects weighing 0-25 lbs.Frequent sitting, standing, walking, reaching and repetitive foot/leg and hand/arm movements.Frequent use of vision and depth perception for distances near (20 inches or less) and far (20 feet or more) and to identify and distinguish colors.Frequent use of hearing and speech to share information through oral communication. Ability to hear alarms, malfunctioning machinery, etc.Frequent keyboard use/data entry.Occasional bending, stooping, kneeling, squatting, twisting and gripping.Occasional lifting/carrying and pushing/pulling objects weighing 25-50 lbs.Rare climbing.REQUIRED PROFESSIONAL LICENSE AND/OR CERTIFICATIONSState of Work Location: IllinoisRegistered Professional Nurse (RN) - Illinois Department of Financial and Professional Regulation (IDFPR)State of Work Location: MissouriRegistered Nurse (RN) Issued by Compact StateOrRegistered Nurse (RN) - Missouri Division of Professional RegistrationState of Work Location: OklahomaRegistered Nurse (RN) Issued by Compact StateOrRegistered Nurse (RN) - Oklahoma Board of Nursing (OBN)State of Work Location: WisconsinRegistered Nurse (RN) Issued by Compact StateOrRegistered Nurse (RN) - Wisconsin Department of Safety and Professional ServicesWork Shift:Day Shift (United States of America)Job Type:EmployeeDepartment:8570000040 Case ManagementScheduled Weekly Hours:40Benefits:SSM Health values our exceptional employees by offering a comprehensive benefits package to fit their needs.Paid Parental Leave:we offer eligible team members one week of paid parental leave for newborns or newly adopted children (pro-rated based on FTE).Flexible Payment Options:our voluntary benefit offered through DailyPay offers eligible hourly team members instant access to their earned, unpaid base pay (fees may apply) before payday.Upfront Tuition Coverage:we provide upfront tuition coverage through FlexPath Funded for eligible team members.Explore All BenefitsSSM Health is an equal opportunity employer. SSM Health does not discriminate on the basis of race, color, religion, national origin, age, disability, sex, sexual orientation, gender identity,pregnancy, veteran status,or any other characteristic protected by applicable law.Click here to learn more.",https://click.appcast.io/t/cR0oWip8Ej8TLCXK2BxLp8G_gRKxzKUSC71aAuUw2OC_npUz1EJb0TTwbmkqfu9z,"Case Management | Care Management, Entry Level, Registered Nurse | RN, Sponsored",Remote Nurse Connection,2026-03-09T09:53:28.622854
RN Inpatient Case Manager - Part Time - Care Coordination,Presbyterian Healthcare Services,2026-03-07,"Albuquerque, NM",On-site,Regular | Perm Employee,Regular | Perm Employee,ON-SITE,,"remote typeIn-OfficelocationsPresbyterian Hospitaltime typePart timeposted onPosted 19 Days Agojob requisition idR-566Location Address:1100 Central AvenueSEAlbuquerque,NM 87106-4930Compensation Pay Range:Minimum Offer$34.68MaximumOffer $52.95Summary:Make a meaningful impact at Presbyterian Hospital. We're seeking an experienced RN Case Manager to join our team and support high quality, patient centered care. In this role, you'll provide clinically based case management that integrates utilization management, care coordination, and transition planning.As an RN Case Manager, you'll take ownership of a designated caseload, ensuring patients receive the right care at the right time. You'll work to manage length of stay, optimize resource utilization, and support smooth transitions throughout the continuum of care. Collaborating closely with an interdisciplinary team, you'll facilitate care with the goal of improving patient outcomes, enhancing satisfaction, and ensuring timely, accurate communication with payers.How you grow, learn and thrive matters here.* Educational and career development options, including tuition and certification reimbursement, scholarship opportunities* Staff Safety (a wearable badge that allows nurses to quickly and discreetly call for help when safety is a concern)* Differentials for night/weekend shifts, higher education, certifications and various lead roles (for eligible positions)* Malpractice liability insurance* Loan forgiveness through theNew Mexico Higher Education Department* EPIC electronic charting systemType of Opportunity: Part timeFTE: 0.50Job Exempt: NoWork Shift: Days (United States of America)Responsibilities:*Interviews and assesses each patient, family or other designated person(s) within 48 hours of admission in order to obtain financial, emotional, physical, social, functional and health care needs in order to define and recommend potential discharge plans, manage patient and family expectations, identify readmission risk and target interventions to reduce risk for readmission, and identify, adjust and manage barriers to discharge.*Applies approved clinical criteria to monitor appropriateness of admissions and continued stays to ensure a clear status determination. Refers cases and issues to Case Management Medical Director based on departmental standards.*Demonstrates skill in communicating with physicians the necessary documentation required to demonstrate medical necessity. Elevates to Supervisor and/or Medical Director all patients not meeting criteria after discussion with physician.*Demonstrates skill in educating patient, family and interdisciplinary team regarding post-acute care options, status determination, and other care coordination services.*Develops implements, coordinates, monitors and evaluates preliminary and final discharge plans with the interdisciplinary team, patient and family. Arranges and/or facilitates identified discharge needs and services of patients and ensures timely intervention to prevent delays in service and transition of care. Ensures all elements of the plan of care have been communicated to the patient/family and members of the healthcare team to assure continuity of care.*Participates and facilitates care progression in daily multidisciplinary rounds and addresses target length of stay with health care providers to achieve complete delivery of services within prescribed timeframe. Monitors length of stay and takes action to mitigate overutilization and elevates to medical director as needed.*Presents and actively participates in complex rounds, discharge planning huddles, process improvement teams, department specific initiatives and department meetings.*Identifies patients and families with complex psychosocial issues and refers them to the Social Worker as appropriate. Demonstrates skill and success in collaboration with Social Work partner.*Facilitates and leads patient/family and provider care conferences as needed.*Documents results of assessments, status assignment, and interventions and discharge planning in the medical record according to departmental policies and procedures.*Ensures safe care to patients adhering to policies, procedures, and standards within budgetary specifications, including time management, supply management, productivity and accuracy of practice._Promotes individual and departmental professional growth and development by meeting requirements for and facilitating continuing education, skills competency. Supports departmental based goals which contribute to the success of the organization. Serves as a mentor, preceptor, mentor and resource to less experienced staff.Qualifications:RN IMM Case Management IAssociates Degree in nursing required._BSN within 5 years of hire date.Current State of New Mexico Registered Nurse licensure required.2 years clinical nursing experience in relevant clinical practice area with utilization review or case management experience desirable.National Case Management certif...",https://click.appcast.io/t/9rHihvlDdKX_IOH1aAkga_ynGOCCpr5Sla3e0sUdrQHJ6pj1zCb18d-jy5n17ve3,"Case Management | Care Management, Clinical Coordinator | Navigator, Entry Level, Registered Nurse | RN, Sponsored",Remote Nurse Connection,2026-03-09T09:53:28.761127
RN Care Manager - Case Coordination,Hartford Healthcare,2026-03-07,,On-site,Regular | Perm Employee,Regular | Perm Employee,ON-SITE,,"Location Detail:Charlotte Hungerford Hospital (10115)Shift Detail:Per Diem for 8 hour shifts during the week and weekendsWork whereevery momentmatters.Every day, more than 40,000 Hartford HealthCare colleagues come to work with one thing in common: Pride in what we do, knowing every moment matters here. We invite you to become part of Connecticut's most comprehensive healthcare network.Charlotte Hungerford Hospital is a 122-bed, general acute care community hospital located in Torrington, Connecticut, that serves as a regional health care resource for the 100,000 residents of Litchfield County and Northwest Connecticut.CHH offers personalized attention from an expert team of caregivers and physicians that utilize advanced technology and clinical partnerships in a convenient, safe and comfortable patient environment.POSITION SUMMARY/PURPOSECare Management is a collaborative practice model including patients, nurses, social workers, physicians, healthcare team members,, caregivers and the community. The Case Management process encompasses communication and facilitates care along a continuum through effective resource coordination. The goals of the Care Management Team include the achievement of optimal health, access to care and appropriate utilization of resources balanced with the patient's right to self-determination.Incumbents of this position are professional Registered Nurses that utilize the nursing process (assessment, planning, intervention, documentation, and evaluation) to determine and facilitate the most appropriate level of care and identification of discharge needs. Collaborates with physician to ascertain medical treatment plan and with nursing, other health care team members and health plans to fulfill the treatment plan in the highest quality, cost effective manner. Responsible for ensuring customer satisfaction (patient, family, physician, others), maintaining patient confidentiality and being sensitive to the age and cultural specific patient needs for comfort, privacy and generalized care. .ESSENTIAL FUNCTIONSDisplays and upholds CHH core values of dignity, compassion, service excellence, community and integrity. Consistently demonstrates caring for patients, for one another, and for the organization they are part of, and contributes to building trust, pride and camaraderie and collaboration with the Health Care Team.Incumbents of this position will strive to gain the respect and maintain the dignity of patients / family members, visitors and all Charlotte Hungerford Hospital Personnel. Demonstrates a diplomatic and supportive attitude and presents the hospital in a positive manner to all persons above. Promotes and contributes, in a positive manner, to inter- and intra-departmental relationships to ensure all needs of the patient are met. Maintains confidentiality of all appropriate information and documentation.Responsible for complete and thorough patient and family assessments for initial and on-going care and discharge planning, addressing physical, psychosocial, religious, cultural and educational aspects. Identifies and communicates appropriate information gathered from patient, family, chart, community agencies and colleagues to other members of the multidisciplinary health care team. Actively coordinates patient care including the sequencing and scheduling of tests, procedures, and consultations. Works closely with physicians to coordinate hospital services from pre-hospital through post discharge recovery.Ensures patient and family understand the diagnosis and planned course of treatment and determines and communicates discharge needs. Identifies gaps / barriers to care and facilitates interdepartmental communications to expedite appropriate changes. Additionally, incumbents are responsible for assessing any financial needs of the patient / family, including assisting in the clarification of benefit plans.Assists Social Worker Care Managers with highly clinical complex patient needs.Responds expeditiously to emergency needs of patient and families in crisis by providing appropriate interventions necessary to support and stabilize.In conjunction with patient, family, payers and other members of the health care team: formulates and implements a discharge plan to address assessed needs and patient/family concerns,; evaluates the effectiveness of the plan in meeting the established care goals; and revises the plan as needed to achieve desired outcomes.Refers patients to a variety of resources including, but not limited to, Visiting Nurse Agency, Skilled Nursing facility, Long Term Care Hospital, Rehab Facility, Hospice Care, Durable Medical and Respiratory Care providers.Assures Follow-up care with Providers has been arranged with confirmation of the patient's ability to access the scheduled appointment.Telephone Contact to patient's who are at a high risk for readmission within 48 hours of discharge to verify the follow-up services has occurred as planned; Patient and Family unders...",https://click.appcast.io/t/eOrIIPI3Wakq2vNJ9hamB5A1ozFlSc8zAAy_ep42jWPhxpjFtn6nSi_cpEGqGjkWTsKata0mfSrR3LTtMaLUug==,"Case Management | Care Management, Clinical Coordinator | Navigator, Entry Level, Registered Nurse | RN, Sponsored",Remote Nurse Connection,2026-03-09T09:53:28.883473
Nurse Case Manager,The Hartford,2026-03-03,,Remote,Regular | Perm Employee,Regular | Perm Employee,Remote,"$69,600 - $104,400","Medical Case Manager - CT08GEWe're determined to make a difference and are proud to be an insurance company that goes well beyond coverages and policies. Working here means having every opportunity to achieve your goals - and to help others accomplish theirs, too. Join our team as we help shape the future.As Nurse Case Manager, we seek to improve on our patients' abilities! This position is part of a dynamic, fast-paced team of experienced Nurse Case Manager located remotely across the United States. The ideal candidate for the Nurse Case Manager role will oversee Workers' Compensation claims with complex medical conditions referred for medical assessment, clarification of limitations/restrictions or case management. On average, a Nurse Case Manager shall handle 50-60 cases with a moderate degree of complexity and acuity of medical condition. This individual will have the opportunity to collaborate with claims staff, the injured worker, an employer, and other healthcare professionals to promote quality medical care with a focus on returning our patients back to work. Our goal is to achieve optimum, cost-effective medical and vocational outcomes.Responsibilities include but are not limited to:Through the use of clinical tools, telephonic interviews, and clinical information/data, completes assessments that will take into account information from various sources to address all conditions including biopsychosocial, co-morbid and multiple diagnoses that impact recovery and return to work.Leverages critical thinking, extensive clinical knowledge, experience, and skills in a collaborative process to develop a comprehensive strategy for the injured worker to become medically stable and/or return to work.Independently identifies complex situations where communication with internal and/or external partners is needed to reach a full understanding of the factors involved with the assessment of the mechanism of injury, causality, and ability to return to work.Application, Interpretation and Compliance with clinical criteria and guidelines, applicable policies and procedures, regulatory standards, and jurisdictional guidelines to determine eligibility and integration with available internal/external resources and programs.Using holistic approach to focus on medical and ability management activities resulting in accurate and timely treatment and return to work.Consults with supervisor and others to address and problem solve barriers to meeting goals and objectives, participate in roundtables and claim meetings with claim partners to focus and benefit overall claim management.Qualifications:RN with current unrestricted state licensure required.Associate degree in Nursing required.3 years clinical practice experience required.Bachelor's degree in nursing preferred, but not required.Certification as a CCM (CDMS, CRC, CVE and/or current CRRN), or willingness to pursue.Workers Compensation case management experience preferred.Key Competencies:Basic Computer proficiency (Microsoft Office Products including Word, Outlook, Excel, Power Point); which includes navigating multiple systems.Ability to effectively communicate telephonically and in written form.Sedentary work involving periods of sitting, talking, listening. Work requires sitting for extended periods, talking on the telephone, and typing on the computer.Work requires the ability to perform close inspection of handwritten and computer-generated documents as well as a PC monitor.Ability to synthesize large volumes of medical records & facilitate multi-point care coordination.Must meet productivity & quality expectations.Ability to organize and prioritize daily work independently and effectively.Additional Competencies:Strategic thinkingCustomer focusBusiness knowledgeProblem solvingCollaboration - partnershipDecision making skillsCommunication skillsAdditional Information:Start Date: April 27, 2026This role can have a Hybrid or Remote work schedule. Candidates who live near one of our office locations will have the expectation of working in an office 3 days a week (Tuesday through Thursday). Candidates who do not live near an office will have a remote work schedule, with the expectation of coming into an office as business needs arise.Preference for someone currently residing in one of the following time zones: Pacific, Mountain, or Central Time zones.CompensationThe listed annualized base pay range is primarily based on analysis of similar positions in the external market. Actual base pay could vary and may be above or below the listed range based on factors including but not limited to performance, proficiency and demonstration of competencies required for the role. The base pay is just one component of The Hartford's total compensation package for employees. Other rewards may include short-term or annual bonuses, long-term incentives, and on-the-spot recognition. The annualized base pay range for this role is:$69,600 - $104,400Equal Opportunity Employer/Sex/Race/Color...",https://www.jointhehartford.com/job/3211/nurse-case-manager-claim-us-fl-lake-mary/,"Case Management | Care Management, Entry Level, Registered Nurse | RN, Workers Compensation",Remote Nurse Connection,2026-03-09T09:53:28.990319
Provider (NP or MD/DO),Joyous,2026-03-03,,Remote,Regular | Perm Employee,Regular | Perm Employee,Remote,,"Join Joyous in our mission to revolutionize mental health care. As pioneers, we leverage very low dose (VLD) ketamine, AI-powered treatments, and advanced technologies to make mental health care effective, accessible, and affordable. With a team of nearly 120 professionals, we've transformed over 60,000 lives, leading a mental wellness revolution for a future where everyone can thrive. Working with us offers more than a job; it's a chance to be part of a life-saving mission that promotes health and compassion worldwide. You'll push mental health care boundaries with AI innovations, contributing to meaningful change and experiencing significant professional growth. At Joyous, we're creating lasting impacts, one life at a time.Help Us Redefine What's Possible in Mental HealthJoyous is looking for compassionate and mission-driven Nurse Practitioners (NPs) and Physicians (MDs/DOs) to join our virtual clinical team. In this role, you'll lead life-changing treatment journeys for patients seeking relief from depression, anxiety, PTSD, and more-often after years of trying everything else.You'll use your clinical expertise to determine eligibility for VLD ketamine treatment and help patients feel heard, safe, and hopeful again. All through a fully-remote, tech-enabled platform designed to make your work seamless, supported, and scalable.If you're passionate about expanding access to cutting-edge mental health care-and want to work at the front lines of innovation-we'd love to meet you.Location:This role will be remote anywhere in the US.Key Responsibilities:Conduct 1:1 video consultations to assess clinical fit for microdose ketamine treatmentReview patient histories, ask thoughtful questions, and determine next steps with care and clarityPrescribe ketamine treatment where appropriate, following Joyous protocolsCommunicate clearly with patients about how treatment works and what to expectAccurately document all encounters in our intuitive digital systemCollaborate with nurses, therapists, and care team members to ensure a smooth and supportive experiencePractice in full alignment with HIPAA, medical board standards, and best practicesQualifications:Licensed NP (APRN), MD, or DO, with a strong clinical foundation10-15+ active state licenses (multi-state coverage is a must)Full-time availability and a desire to make a big impact fastActive DEA license(s) aligned with your states of practice2+ years of experience in clinical practice (telehealth or mental health a plus)Confident, tech-savvy, and excellent at patient communicationDeeply empathetic, with a strong commitment to evidence-based carePMHNP certification or psychiatric care experience is highly valuedExperience with ketamine, integrative medicine, or psychedelic therapy is a bonus-but not requiredCurrently Prioritizing Providers Licensed In:AZ, CO, CT, DE, ID, IL, KS, ME, MI, MT, NJ, NY, OH, OR, RI, SD, UT, VT, WA, WIJoyous is an equal opportunity employer and we value diversity at our company. We are committed to providing equal employment opportunities for all candidates regardless of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, disability status or any other characteristic protected by applicable law.AGENCY AND THIRD PARTY RECRUITER NOTICE:Joyous does not accept unsolicited resumes from individual recruiters or third-party recruiting agencies in response to job postings. No fee will be paid to third parties who submit unsolicited candidates directly to our hiring managers or Recruiting Team. All candidates must be submitted via our Applicant Tracking System by approved Joyous vendors who have been expressly requested to make a submission by our Recruiting Team for a specific job opening. No placement fees will be paid to any firm unless such a request has been made by the Joyous Recruiting Team and such a candidate was submitted to the Joyous Recruiting Team via our Applicant Tracking System.",https://www.joyous.team/careers?domain_source=www.joyous.team&gh_jid=4785484007,"Advanced Practice Nurse, Entry Level, Psych | Behavioral Health | Mental Health",Remote Nurse Connection,2026-03-09T09:53:29.094463
Medical Management Clinician,Elevance Health,2026-03-03,,Remote,Regular | Perm Employee,Regular | Perm Employee,"In Person Meetings, Remote, Training On-Site",$28.44 - $42,"Anticipated End Date:2026-03-13Position Title:Medical Management ClinicianJob Description:TheMedical Management Clinicianis responsible for ensuring appropriate, consistent administration of plan benefits by reviewing clinical information and assessing medical necessity under relevant guidelines and/or medical policies.Location:Virtual -This role enables associates to work virtually full-time, with the exception of required in-person training sessions (when indicated), providing maximum flexibility and autonomy. This approach promotes productivity, supports work-life integration, and ensures essential face-to-face onboarding and skill development.Please note that per our policy on hybrid/virtual work, candidates not within a reasonable commuting distance from the posting location(s) will not be considered for employment, unless accommodation is granted as required by law.How you will make an impact:Responsible for moderately complex cases that may require evaluation of multiple variables against guidelines when procedures are not clear.Work may be facilitated, in part, by algorithmic or automated processes.Handles moderately complex benefit plans and/or contracts.Works on reviews that may require guidance by more senior colleagues and/or management.May serve as a resource to less experienced staff.Conducts and may approve precertification, concurrent, retrospective, out-of-network, and/or appropriateness of treatment setting reviews by assessing clinical information against appropriate medical policies, clinical guidelines, and the relevant benefit plan/contract.May process a medical necessity denial determination made by a Medical Director.May work directly with healthcare providers to obtain and understand clinical information.Refers complex or unclear reviews to higher level nurses and/or Medical Directors.May educate members about plan benefits and physicians. Does not issue medical necessity non-certifications.Minimum Requirements:Requires H.S. diploma or equivalent.Requires a minimum of 4 years of clinical experience and/or utilization review experience.Current active, valid and unrestricted LPN/LVN or RN license and/or certification to practice as a health professional within the scope of licensure in applicable state(s) or territory of the United States required. Multi-state licensure is required if this individual is providing services in multiple states.For candidates working in person or virtually in the below locations, the salary* range for this specific position is $28.44 - $42.67Locations: New YorkIn addition to your salary, Elevance Health offers benefits such as, a comprehensive benefits package, incentive and recognition programs, equity stock purchase and 401k contribution (all benefits are subject to eligibility requirements). The salary offered for this specific position is based on a number of legitimate, non-discriminatory factors set by the company. The company is fully committed to ensuring equal pay opportunities for equal work regardless of gender, race, or any other category protected by federal, state, and local pay equity laws.* The salary range is the range Elevance Health in good faith believes is the range of possible compensation for this role at the time of this posting. This range may be modified in the future and actual compensation may vary from posting based on geographic location, work experience, education and/or skill level. Even within the range, the actual compensation will vary depending on the above factors as well as market/business considerations. No amount is considered to be wages or compensation until such amount is earned, vested, and determinable under the terms and conditions of the applicable policies and plans. The amount and availability of any bonus, commission, benefits, or any other form of compensation and benefits that are allocable to a particular employee remains in the Company's sole discretion unless and until paid and may be modified at the Company's sole discretion, consistent with the law.Job Level:Non-Management Non-ExemptWorkshift:Job Family:MED > Licensed NursePlease be advised that Elevance Health only accepts resumes for compensation from agencies that have a signed agreement with Elevance Health. Any unsolicited resumes, including those submitted to hiring managers, are deemed to be the property of Elevance Health.Who We AreElevance Health is a health company dedicated to improving lives and communities - and making healthcare simpler. We are a Fortune 25 company with a longstanding history in the healthcare industry, looking for leaders at all levels of the organization who are passionate about making an impact on our members and the communities we serve.How We WorkAt Elevance Health, we are creating a culture that is designed to advance our strategy but will also lead to personal and professional growth for our associates. Our values and behaviors are the root of our culture. They are how we achieve our strategy, power our business...",https://elevancehealth.wd1.myworkdayjobs.com/ant/job/NY-LATHAM-15-PLAZA-DR/Medical-Management-Clinician_JR184389-1,"Entry Level, Licensed Practical Nurse | LPN | LVN, Utilization Management | Utilization Review",Remote Nurse Connection,2026-03-09T09:53:30.948877
RN-Women's Health-Martha's Vineyard Hospital,Mass General Brigham,2026-03-03,,Remote,Regular | Perm Employee,Regular | Perm Employee,Remote,$35.71 - $84,"Site: Martha's Vineyard Hospital, Inc.Mass General Brigham relies on a wide range of professionals, including doctors, nurses, business people, tech experts, researchers, and systems analysts to advance our mission. As a not-for-profit, we support patient care, research, teaching, and community service, striving to provide exceptional care. We believe that high-performing teams drive groundbreaking medical discoveries and invite all applicants to join us and experience what it means to be part of Mass General Brigham.Per Diem M-F Shifts available as needed in Women's Health Clinic for Remote Triage RN.Job SummaryThe primary purpose of your job is to be responsible for the delivery of patient care in accordance with current applicable Federal, State, and local standards, guidelines and regulations and established policies and procedures as may be directed by the Administrator, to assure that the highest degree of quality care and safety can be maintained.QualificationsEDUCATION REQUIREMENTS: - Graduate of an accredited School of Nursing. - Registered Nurse currently licensed in the State of Massachusetts. - Basic Life Support Certification required. EXPERIENCE: - A minimum of one year experience as an RN required. - Physician office experience / OBGYN Triage required.Additional Job Details (if applicable)Physical RequirementsStanding N/A = (0%)Walking N/A = (0%)Sitting N/A = (0%)Lifting N/A = (0%)Carrying N/A = (0%)Pushing N/A = (0%)Pulling N/A = (0%)Climbing N/A = (0%)Balancing N/A = (0%)Stooping N/A = (0%)Kneeling N/A = (0%)Crouching N/A = (0%)Crawling N/A = (0%)Reaching N/A = (0%)Gross Manipulation (Handling) N/A = (0%)Fine Manipulation (Fingering) N/A = (0%)Feeling N/A = (0%)Foot Use N/A = (0%)Vision - Far N/A = (0%)Vision - Near N/A = (0%)Talking N/A = (0%)Hearing N/A = (0%)Remote TypeRemoteWork LocationOne Hospital RoadScheduled Weekly Hours0Employee TypePer DiemWork ShiftDay (United States of America)Pay Range$35.71 - $84.28/HourlyGradeRN6620At Mass General Brigham, we believe in recognizing and rewarding the unique value each team member brings to our organization. Our approach to determining base pay is comprehensive, and any offer extended will take into account your skills, relevant experience if applicable, education, certifications and other essential factors. The base pay information provided offers an estimate based on the minimum job qualifications; however, it does not encompass all elements contributing to your total compensation package. In addition to competitive base pay, we offer comprehensive benefits, career advancement opportunities, differentials, premiums and bonuses as applicable and recognition programs designed to celebrate your contributions and support your professional growth. We invite you to apply, and our Talent Acquisition team will provide an overview of your potential compensation and benefits package.EEO Statement:1550 Martha's Vineyard Hospital, Inc. is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religious creed, national origin, sex, age, gender identity, disability, sexual orientation, military service, genetic information, and/or other status protected under law. We will ensure that all individuals with a disability are provided a reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. To ensure reasonable accommodation for individuals protected by Section 503 of the Rehabilitation Act of 1973, the Vietnam Veteran's Readjustment Act of 1974, and Title I of the Americans with Disabilities Act of 1990, applicants who require accommodation in the job application process may contact Human Resources at (857)-282-7642.Mass General Brigham Competency FrameworkAt Mass General Brigham, our competency framework defines what effective leadership ""looks like"" by specifying which behaviors are most critical for successful performance at each job level. The framework is comprised of ten competencies (half People-Focused, half Performance-Focused) and are defined by observable and measurable skills and behaviors that contribute to workplace effectiveness and career success. These competencies are used to evaluate performance, make hiring decisions, identify development needs, mobilize employees across our system, and establish a strong talent pipeline.",https://massgeneralbrigham.wd1.myworkdayjobs.com/MGBExternal/job/Oak-Bluffs-MA/RN-Women-s-Health-Martha-s-Vineyard-Hospital_RQ4052203-1,"Entry Level, Featured, Registered Nurse | RN, Triage | Telehealth, Women's Health",Remote Nurse Connection,2026-03-09T09:53:31.059111
