job_title,company,date_posted,location,remote_status,employment_type,schedule,license_requirements,salary_range,job_description,apply_link,specialties,source_site,scraped_at
College Summer Intern Health Services TN Only - Remote,UnitedHealthcare,2026-03-02,,Remote,Internship,Internship,Remote,,"Internships at UnitedHealth Group. If you want an intern experience that will dramatically shape your career, consider a company that's dramatically shaping our entire health care system. UnitedHealth Group internship opportunities will provide a hands-on view of a rapidly evolving, incredibly challenging marketplace of ideas, products and services. You'll work side by side with some of the smartest people in the business on assignments that matter. So here we are. You have a lot to learn. We have a lot to do. It's the perfect storm. Join us to startCaring. Connecting. Growing together.At United Healthcare, you will join a community-based, multi-specialty organization where you will work with talented peers on a common purpose: improving the quality, cost, and experience of health care. Here, we focus on delivering the best patient care, rather than volume. Through innovation and superior care management, we support patients and your well-being as a team member. Join a team at the forefront of value-based care and discover the meaning behind.The Health Services Internship Program is Remote, full-time, 40 hours per week for 10 weeks starting June 2026.Nashville Area or State of Tennessee Only.The Intern - Long-Term Support Services (LTSS) position is designed for individuals pursuing experience in clinical services operations, care coordination and advocacy. This role is classified under the Long-Term Support Services (LTSS) job family and is primarily responsible for supporting and participating in the day-to-day operations, acting as an individual contributor in a remote position. Candidates with disabilities are encouraged to apply.You'll enjoy the flexibility to work remotely _ from anywhere within the U.S. as you take on some tough challenges.Primary Responsibilities:Supporting day-to-day operations of the LTSS team in a variety of roles based on area of emphasisEffectively communicate with internal teams to achieve departmental goalsAssisting with projects that may include data processing, independent research, member outreach and communications, data analysis and presenting resultsUtilizing multiple systems (including Smartsheet, medical records systems, and Microsoft Office) to complete assigned tasksParticipate directly in supporting care coordination teams with administrative duties and member supportFollow established procedures for routine tasks and rely on others for guidance with non-standard requestsWork is typically reviewed by others to ensure quality and complianceContribute to a team environment, assisting others and communicating effectivelyOther duties and responsibilities may be assigned by management in alignment with the incumbent's skills and abilitiesLimited work experience required; work on simple tasks using established proceduresApplies basic knowledge and skills to repeated activitiesResponds to standard requests and seeks assistance for non-standard issuesSolves routine problems by following established protocolsPrioritization and deadlines are set by othersWorks collaboratively as part of a teamYou'll be rewarded and recognized for your performance in an environment that will challenge you and give you clear direction on what it takes to succeed in your role as well as provide development for other roles you may be interested in.Required Qualifications:Currently enrolled in, or graduated from, an accredited bachelor's degree program, with graduation expected within 12 months of the internship start date (before or after)Currently pursuing, or have completed, a degree in Psychology, Social Work, Counseling, or NursingExperience with MS Office, including Word, Excel, and OutlookAbility to work full-time, 40 hours per week during the duration of the summer internship program (approx. June 2 - August 7)Must be eligible to work in the U.S. without company sponsorship, now or in the future. Candidates having required any sponsored visas will not be considered.Preferred Qualifications:3.0 or higher cumulative GPA1+ years of clinical experienceProven knowledge of clinical terminologyDemonstrated oral and written communication skills_All employees working remotely will be required to adhere to UnitedHealth Group's Telecommuter PolicyPay is based on several factors including but not limited to local labor markets, education, work experience, certifications, etc. In addition to your salary, we offer benefits such as, a comprehensive benefits package, incentive and recognition programs, equity stock purchase and 401k contribution (all benefits are subject to eligibility requirements). No matter where or when you begin a career with us, you'll find a far-reaching choice of benefits and incentives. The hourly pay for this role will range from $16.00 to $21.00 per hour based on full-time employment. We comply with all minimum wage laws as applicable.Application Deadline: This will be posted for a minimum of 2 business days or until a sufficient candidate pool has been collected. Job posting ...",https://careers.unitedhealthgroup.com/job/23078434/college-summer-intern-health-services-tn-only-remote-brentwood-tn/,"Case Management | Care Management, Entry Level",Remote Nurse Connection,2026-03-08T09:31:08.233188
"Family Nurse Practitioner - Remote (TX, LA, OK Licensed)",Sprinter Health,2026-03-01,,Remote,Regular | Perm Employee,Regular | Perm Employee,Remote,,"About UsSprinter Health is an on-demand mobile health service that sends medical professionals to patients' homes to perform blood draws, diagnostic and low acuity services, and wellness visits. We are building the clinical and technological infrastructure to realize a future of healthcare untethered. We have a rapidly growing team of visionary leaders who are passionate about increasing access to care, lowering healthcare costs, and improving outcomes for patients.About The RoleAre you ready to join the pioneering healthcare team at Sprinter Health? We're looking for dynamic Nurse Practitioners who are ready to revolutionize healthcare delivery by conducting virtual wellness visits directly to patients in the comfort of their homes. As a Nurse Practitioner with Sprinter Health, you'll leverage your medical expertise to offer a wide range of healthcare services that could include but not limited to virtual adult and/or pediatric wellness visits, health assessments, and more!Successful candidates will have prior experience performing wellness visits, along with key traits such as dependability, professionalism, and problem-solving abilities. A commitment to delivering exceptional customer service is essential, as is the ability to work autonomously while maintaining high-quality standards.Above all, we're seeking individuals who are friendly, compassionate, empathetic, and deeply invested in providing personalized care to every patient they serve. If you're ready to make a difference in patients' lives and shape the future of healthcare, we invite you to join us at Sprinter Health.A day in the life Commencing the daybegin your day by reviewing your case load and preparing your technology, ensuring you have all of the right tools available to service your patientsNavigating with easeusing easy and modern technology, you will navigate through your schedule for the day and partner with our clinical in-home team members (Sprinters) that will visit each patient's homeCreating meaningful bondsyou will have the opportunity to make a warm and welcoming connection with a diverse range of patients as you prepare to collect relevant information and perform various servicesPatient-centric, wellness examengage in proactive care by conducting thorough health risk assessments, medication reviews, cognitive screenings and empowering patients' with educational information regarding their health and well-beingCollaborative Patient Care work directly with Sprinters to evaluate vital signs, arrange blood draws, and carry out necessary tasks to address the specific needs of the patientComprehensive Care Coordination and Managementprovide comprehensive care coordination and management, including preventive care interventions, medication management, referrals to specialists, community resources, and documentation of findingsSkills and RequirementsBoard Certified as a Family Nurse Practitioner in TX, LA, and/or OK LicensedActive Family Nurse Practitioner License in CaliforniaConsistently exhibits the highest levels of professionalism, integrity, accountability, confidentiality, care and compassion to provide high quality health servicesWillingness to work in a revolutionary environment that sometimes necessitates last minute problem solving and out of the box thinkingTechnologically savvy and comfortable using tools such as laptops or mobile devices for charting and HIPAA secure messaging apps for care coordinationStrong written and verbal communication skillsAbility to work independently or in a team environmentPass national background check and valid clinical license searchSprinter Health is an equal opportunity employer. We value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, disability status or other protected classes.If you're looking for a career that offers opportunities for growth, continual development, professional challenge and the chance to make a real difference in the lives of people, apply today!Beware of recruitment fraud and scams that involve fictitious job descriptions followed by false job offers.If you are applying for a job, you can confirm the legitimacy of a job posting by viewing current open rolesCompany Job Link:https://jobs.ashbyhq.com/sprinter-health/f80e44d8-dc5c-47f1-b4dd-c86c5fa40ca1",https://jobs.ashbyhq.com/sprinter-health/f80e44d8-dc5c-47f1-b4dd-c86c5fa40ca1,"Advanced Practice Nurse, Triage | Telehealth",Remote Nurse Connection,2026-03-08T09:31:08.340435
Family Nurse Practitioner - Remote (California Licensed),Sprinter Health,2026-03-01,,Remote,Regular | Perm Employee,Regular | Perm Employee,Remote,,"About UsSprinter Health is an on-demand mobile health service that sends medical professionals to patients' homes to perform blood draws, diagnostic and low acuity services, and wellness visits. We are building the clinical and technological infrastructure to realize a future of healthcare untethered. We have a rapidly growing team of visionary leaders who are passionate about increasing access to care, lowering healthcare costs, and improving outcomes for patients.About The RoleAre you ready to join the pioneering healthcare team at Sprinter Health? We're looking for dynamic Nurse Practitioners who are ready to revolutionize healthcare delivery by conducting virtual wellness visits directly to patients in the comfort of their homes. As a Nurse Practitioner with Sprinter Health, you'll leverage your medical expertise to offer a wide range of healthcare services that could include but not limited to virtual adult and/or pediatric wellness visits, health assessments, and more!Successful candidates will have prior experience performing wellness visits, along with key traits such as dependability, professionalism, and problem-solving abilities. A commitment to delivering exceptional customer service is essential, as is the ability to work autonomously while maintaining high-quality standards.Above all, we're seeking individuals who are friendly, compassionate, empathetic, and deeply invested in providing personalized care to every patient they serve. If you're ready to make a difference in patients' lives and shape the future of healthcare, we invite you to join us at Sprinter Health.A day in the life Commencing the daybegin your day by reviewing your case load and preparing your technology, ensuring you have all of the right tools available to service your patientsNavigating with easeusing easy and modern technology, you will navigate through your schedule for the day and partner with our clinical in-home team members (Sprinters) that will visit each patient's homeCreating meaningful bondsyou will have the opportunity to make a warm and welcoming connection with a diverse range of patients as you prepare to collect relevant information and perform various servicesPatient-centric, wellness examengage in proactive care by conducting thorough health risk assessments, medication reviews, cognitive screenings and empowering patients' with educational information regarding their health and well-beingCollaborative Patient Care work directly with Sprinters to evaluate vital signs, arrange blood draws, and carry out necessary tasks to address the specific needs of the patientComprehensive Care Coordination and Managementprovide comprehensive care coordination and management, including preventive care interventions, medication management, referrals to specialists, community resources, and documentation of findingsSkills and RequirementsBoard Certified as a Family Nurse Practitioner in CaliforniaActive Family Nurse Practitioner License in CaliforniaConsistently exhibits the highest levels of professionalism, integrity, accountability, confidentiality, care and compassion to provide high quality health servicesWillingness to work in a revolutionary environment that sometimes necessitates last minute problem solving and out of the box thinkingTechnologically savvy and comfortable using tools such as laptops or mobile devices for charting and HIPAA secure messaging apps for care coordinationStrong written and verbal communication skillsAbility to work independently or in a team environmentPass national background check and valid clinical license searchSprinter Health is an equal opportunity employer. We value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, disability status or other protected classes.If you're looking for a career that offers opportunities for growth, continual development, professional challenge and the chance to make a real difference in the lives of people, apply today!Beware of recruitment fraud and scams that involve fictitious job descriptions followed by false job offers.If you are applying for a job, you can confirm the legitimacy of a job posting by viewing current open rolesCompany Job Link:https://jobs.ashbyhq.com/sprinter-health/a52f4ded-8381-48a0-bbbb-b95555dc766b",https://jobs.ashbyhq.com/sprinter-health/a52f4ded-8381-48a0-bbbb-b95555dc766b,"Advanced Practice Nurse, Triage | Telehealth",Remote Nurse Connection,2026-03-08T09:31:08.447567
