job_title,company,date_posted,location,remote_status,employment_type,schedule,license_requirements,salary_range,job_description,apply_link,specialties,source_site,scraped_at
RN - CLINICAL DOCUMENTATION AND COMPLIANCE SPECIALIST,Presbyterian,2026-09-07,Remote,Remote,Full-time,Days,Must Be Licensed In: New Mexico,"$65,520 - $111,612.8 Salary","Location Address: Remote Office Santa Fe, NM 87501 Compensation Pay Range: Minimum Offer $65,520.00 Maximum Offer $111,612.80 Now Hiring: RN - Clinical Documentation and Compliance Specialist Summary: Build your Career. Make a Difference. Presbyterian is hiring a skilled Clinical Documentation and Compliance Specialist. This position is expected to assist medical staff providers with documentation in the medical record. Will be responsible to review physician documentation daily; keep track of patient diagnosis and procedures to reflect the level of service provided. Will work independently and must be able to develop, schedule and prioritize the workload to ensure all work is completed. Must be flexible to assist with coverage issues and a team player in consultation with other reviewers and HIM coders. Excellent communication skills are essential for daily interaction and collaboration with physicians and staff to ensure that clinical information in the medical record is present and accurate to support that the appropriate clinical severity is captured for the level of service rendered. This position may encounter resistance due to the perception that information is already adequately documented in the medical record. It requires experience and confidence to address all types of clinical documentation issues and regulatory requirements. The individual must be assertive and tactful to obtain medical staff cooperation. Type of Opportunity: Full time Job Exempt: Yes Job is based: Remote Workers New Mexico Work Shift: Weekday Schedule Monday-Friday (United States of America) Responsibilities: Performs concurrent reviews of the medical record for inpatient admissions to include assignments of DRG, identifying complication and co-morbid conditions and specific co-existing conditions and documents findings. Works collaboratively with the Medical Staff, Nursing Staff and other patient care givers to improve the quality of chart documentation to accurately refl",https://app.nursefern.com,Clinical Documentation Integrity (CDI),NurseFern,2026-09-08T13:22:18.933713
RN QUALITY COORDINATOR PART TIME,,2026-09-07,Remote,On-site,Part-time,Days,Must Be Licensed In: Utah,$0 - $0 Salary,"Strong staffing Support when it matters most. Technology and tools that streamline patient monitoring and communication to help you work more efficiently. Robust supply chains to keep you fully equipped. Ongoing clinical education to improve your skills. As a Registered Nurse at St. Mark's Hospital, you'll have all the staffing support, technology and resources you need to deliver safe, high-quality care-so you can focus on what you do best. Job Summary and Qualifications As an RN Quality Specialist you will participate in the data collection, compliance facilitation, analysis and presentation of quality data. You will have an impact on our patients' lives and the opportunity to truly make a difference. Your experience will be put to important use as you join us in our efforts to better our community! In this role you will: You will be sepsis coordinator for the hospital and work with interdisciplinary teams throughout the hospital Be responsible for all data collection as it relates to Performance Improvement for the hospital and will assist with various QA/PI projects throughout the facility. Assist with data collection, data entry, analysis of data, and compilation of reports in various computer systems and databases. Assist with Core Measure review and analysis to establish trends. Design, maintain and administer accurate and accessible computer database(s) for tracking, trending and reporting. Create and provide customized reports as needed for various hospital and medical staff meetings. Perform HCA Clinical Excellence initiative data collection, analysis and reporting for quality indicators including sepsis, VTE, stroke, mortality, core measures. Prepare cases for review by searching through medical record reports, incident reports, referred cases, and defined indicators. Coordinate HIM medical record audits in collaboration with HIM staff to ensure quality, accuracy, and completeness of documentation as indicated by policy and regulation. Identify and co",https://app.nursefern.com,"Data Abstraction, Quality",NurseFern,2026-09-08T13:22:23.156426
REGISTERED NURSE (RN) - NEUROSURGERY (HYBRID),Hartford HealthCare,2026-09-07,Remote,Hybrid,Full-time,Days,Must Be Licensed In: Connecticut,$0 - $0 Salary,"Location Detail: 85 Seymour Street - HHMOB (10117) Shift Detail: Monday -Friday Hybrid Schedule - 3 days in office, 2 days at home. Work where every moment matters. Every day, more than 40,000 Hartford HealthCare colleagues come to work with one thing in common: Pride in what we do, knowing every moment matters here. We invite you to become part of Connecticut's most comprehensive healthcare network. Hartford HealthCare Medical Group is one of the largest medical practices in New England with multiple locations throughout Connecticut and Rhode Island. We consist of a team of professionals ranging from Medical Assistants to Physician Assistants and everything in between. Our physician led medical group enjoys an excellent reputation with patients and the medical community, offering primary care, urgent care and more than 30 different specialties. At Hartford HealthCare Medical group we offer: Supportive environment to promote professional and interpersonal development and growth Tuition Reimbursement up to $5,250.00 after six months of employment and up to 40% tuition discounts with partnering institutions for colleague AND dependents Employee assistance and wellness programs including a strong focus on promoting mental health Paid time off and health insurance packages Job Description Under provider direction, the RN provides skilled nursing care to patients in a variety of clinical settings. Scope of responsibility is characterized by use of nursing process to assess, plan, intervene and evaluate human responses to actual or potential health problems utilizing appropriate practices, standards, protocols and guidelines. This position reports to a Practice Manager.  Provides office-based nursing care in collaboration with provider  Assesses physical and psychosocial needs and environmental factors affecting patients and their families, formulates nursing plan of care and ensures continuity of patient care through appropriate nursing evalua",https://app.nursefern.com,"Case Management (CM), Triage, Nurse Consultant",NurseFern,2026-09-08T13:22:27.360979
UTILIZATION REVIEW NURSE III,Kaiser Permanente,2026-09-07,Remote,Remote,Full-time,Days,"Must Be Licensed In: Compact, Washington",$65.86 - $76.15 Hourly,"** UTILIZATION REVIEW NURSE III - WASHINGTON STATE - PRE-SERVICE CLINICAL UR/UM ** ** PRIOR UTILIZATION REVIEW/UTILIZATION MANAGEMENT RN WORK EXPERIENCE HIGHLY PREFERRED! ** ** MUST LIVE IN WASHINGTON OR IDAHO, COMMUTABLE DISTANCE TO KAISER PERMANENTE WASHINGTON MEDICAL CENTER ** Job Summary: In addition to the responsibilities listed below, this position is also responsible for applying advanced clinical and regulatory knowledge of evidence-based guidelines, insurance policies, and clinical criteria to consult on the medical necessity, level of care, and duration of treatment required for moderately complex reviews, and collaborating with the health care team, members, and caregivers to assist in discharge planning, cost of care options, and/or coordinating and/or adjudicating referrals to appropriate services based on medical necessity. Essential Responsibilities: Pursues effective relationships with others by proactively providing resources, information, advice, and expertise with coworkers and members. Listens to, seeks, and addresses performance feedback; provides mentoring to team members. Pursues self-development; creates plans and takes action to capitalize on strengths and develop weaknesses; influences others through technical explanations and examples. Adapts to and learns from change, challenges, and feedback; demonstrates flexibility in approaches to work; helps others adapt to new tasks and processes. Supports and responds to the needs of others to support a business outcome. Completes work assignments autonomously by applying up-to-date expertise in subject area to generate creative solutions; ensures all procedures and policies are followed; leverages an understanding of data and resources to support projects or initiatives. Collaborates cross-functionally to solve business problems; escalates issues or risks as appropriate; communicates progress and information. Supports, identifies, and monitors priorities, deadlines, and expectations. Ide",https://app.nursefern.com,Utilization Review & Management (UR/UM),NurseFern,2026-09-08T13:22:29.454666
HEAD OF CLINICAL DEVELOPMENT - PULSE,Sword Health,2026-09-07,Remote,Remote,Full-time,Days,"Must Be Licensed In: State Of Residency, Any State, United States","$108,920 - $171,160 Salary","We are seeking a Head of Clinical Development to drive clinical outcomes in Pulse, Sword's AI cardiometabolic care solution spanning hypertension, pre-diabetes, and GLP-1 support. This is a strategic and tactical role working closely with Product, Go-to-Market, Clinical Ops and, Clinical Affairs & Research team, reporting directly to the General Manager and working closely with the Chief Medical Ocer and SVP for Clinical & Regulatory Affairs. You will partner crossfunctionally to make sure clinical requirements are reflected accurately in product features, AI behavior, operational workflows, member experiences, and external communications. The role covers real breadth: clinical program architecture, external clinical credibility and thought leadership for go-to-market, clinical input into product development, clinical governance of Pulse's AI-driven three-way chat experience, and clinical quality standards for Clinical Operations. AI Proficiency at Sword Health AI fluency is a core expectation at Sword Health. Every candidate is assessed against our three-level framework - be ready to share real examples of how AI is already part of how you work. Explorer (Level 1) - Uses AI daily to boost personal productivity Builder (Level 2) - Creates workflows and tools that elevate the whole team Integrator (Level 3) - Embeds AI into products and processes at scale Every hire must demonstrate at least Level 1. The expected level will vary depending on the seniority of the role. What you'll be doing Product Development Set clinical validation standards for new features, workflows, interventions, and AI-supported experiences before and after launch. Bring the clinical lens to feature assessment alongside Product, calibrating the level of clinical rigor to the actual risk of each feature so the team can move quickly with confidence. Provide clinical expertise in the scoping and refinement of PRDs. Review and clinically interpret member and clinician feedback, maintain",https://app.nursefern.com,,NurseFern,2026-09-08T13:22:31.906004
UTILIZATION MANAGEMENT REVIEWER - BEHAVIORAL HEALTH,Blue Cross Blue Shield of Massachusetts,2026-09-07,Remote,Remote,Full-time,Days,Must Be Licensed In: Massachusetts,$38.82 - $47.44 Hourly,"The Clinical Utilization Reviewer is responsible for facilitating care for members who may have complex healthcare needs, authorizing medically necessary services at the right level of care to promote optimal health. This position is self-directed and works independently and collaboratively to facilitate care using clinical skills, principles of managed care, nationally recognized medical necessity criteria, and company medical policies to conduct reviews that promote efficient and medically appropriate use of the member's benefit to provide the best quality care. The Team The Clinical Utilization Reviewer is part of a highly dedicated and motivated team of professionals, including medical and behavioral health care managers, dieticians, pharmacist, clinicians, medical directors and more, who collaborate to facilitate care. Key Responsibilities: Conduct pre-certification and concurrent and retrospective clinical review of in-state and out-of-state inpatient cases at acute residential treatment programs and partial hospitalization through the application of evidence-based medical necessity criteria and BCBSMA policies and procedures Focus on efficient utilization management with emphasis on discharge planning Understand and appropriately manages member's benefits to maximize health care quality Collaborate with physician reviewers, case managers, project leaders and associates within BCBSMA to optimize member care and ensure a constructive provider experience Facilitate review process by communication with members/families, providers, medical staff and/or others to obtain and/or share information relating to benefits and the BCBSMA utilization management process Collaborate with members/families, providers, medical staff and/or other members of the treatment team to coordinate and support health action plans developed by providers that include treatment goals, interventions, and expected clinical outcomes and that support quality and medical management goals and",https://app.nursefern.com,Utilization Review & Management (UR/UM),NurseFern,2026-09-08T13:22:35.020185
SUPPLEMENTAL TRAUMA REGISTRAR (REMOTE),Memorial Hermann,2026-09-07,Remote,Remote,Part-time,"Days, 8hr shifts",Must Be Licensed In: Texas,$0 - $0 Salary,"**MUST RESIDE IN TEXAS** SUPPLEMENTAL POSITION - 8 HR SHIFTS PREFERRED: Trauma Registry Experience Entry level position responsible for maintaining data for Trauma Registry, including data abstraction and ICD-10 and Abbreviated Injury Scale (AIS) coding. Job Description Minimum Qualifications Education: (None) Licenses/Certifications: (None) Experience / Knowledge / Skills: Knowledge of anatomy and medical terminology required; ICD -10 and (AIS) coding experience preferred; relevant healthcare or coding work will also be considered Basic knowledge in the use of computer applications including Microsoft Office suite (Outlook, Excel, Word and PowerPoint) Principal Accountabilities Analyzes and reviews patient medical records, abstracts data from data source; codes and enters data into trauma registry ensuring accuracy of data; maintains quality control of registry program. Assists with collection of registry data for performance improvement and registry projects. Ensures timely abstraction of data and adheres to deadlines as set forth by the Trauma Service Line. Attends educational opportunities to enhance skill set as assigned. Adheres to all Memorial Hermann policies, procedures, & standards, within budgetary specifications, including time management, supply management, productivity, & accuracy of practice. Ensures safe care to patients, staff and visitors; adheres to all Memorial Hermann policies, procedures, and standards within budgetary specifications including time management, supply management, productivity and quality of service. Promotes individual professional growth and development by meeting requirements for mandatory/continuing education and skills competency; supports department-based goals which contribute to the success of the organization; serves as preceptor, mentor and resource to less experienced staff. Demonstrates commitment to caring for every member of our community by creating compassionate and personalized experiences. Models",https://app.nursefern.com,Data Abstraction,NurseFern,2026-09-08T13:22:39.195261
"NURSE PRACTITIONER (REMOTE, SC LICENSE REQUIRED)",Galileo,2026-09-07,Remote,Remote,Contract,Days,Must Be Licensed In: South Carolina,$75 - $85 Hourly,"Are you a Nurse Practitioner who thrives on connecting with patients and making a real difference in their health outcomes? Do you want to leave behind rigid, cookie-cutter systems and join a dynamic, patient-centered organization that values your creativity and clinical expertise? If you're passionate about improving outcomes at scale and energized by meaningful patient engagement, we want you on our team. At Galileo, we're transforming healthcare by delivering personalized, comprehensive care to those who need it most - underserved patients and those with complex medical needs. We use technology, data, and operational rigor to drive outcomes, and we believe the clinicians doing this work are central to that mission. We're a digital-first medical group, and we're proud of the culture we've built: inclusive, collaborative, and deeply committed to health equity. Galileo is looking for a culturally-competent Nurse Practitioner to join our Population Health team. In this role, you will use phone and video-based care to provide high-quality, comprehensive follow-up care to patients who are post-hospital discharge. Here's what you'll do: Cover our care needs for our Transitions of Care program. Day to day work includes telephonic outreach (""cold calls"") and scheduled video/phone visits for patients who have recently been hospitalized and discharged. Visits focus on: Medication reconciliation, symptom screening, and ordering of any needed follow-up labs, medications or supplies. You will also navigate conversations with patients to build trust, explain Galileo's care model and connect them to services. Coordinate care across settings - hospital and ED transitions, pharmacies, and community providers - to keep patients connected and moving forward. Collaborate with our nursing team Be accountable to individual performance targets while contributing to team-level population health goals How We Work Galileo is a 24/7 medical group that provides high-quality, comprehen",https://app.nursefern.com,Telehealth,NurseFern,2026-09-08T13:22:41.291431
Field RN Case Manager Women's Health - Relocation Offered!,MedStar Health,2026-09-03,"Washington, D.C., United States",Hybrid,Regular | Perm Employee,Regular | Perm Employee,"Field Nurse, Hybrid, Local or Regional Travel",,"About this Job:General Summary of PositionThis position will be responsible for the annual and periodically required Comprehensive Clinical Assessment as cited in section C.3.27.2 of the Department of Health Care Finance awarded contract. The Maternal Health Field RN Case Manager is a specialty case management role that will be responsible for the District of Columbia Region. This position requires up to 85% travel to our Maternal MedStar Family Choice D.C. Enrollees.A women's health nursing background is strongly desired, along with strong case management experience.The Maternal Health Field RN Case Manager conducts activities and functions required for this role under the Women's Health Guidelines. The Maternal Health Field RN Case Manager will be responsible for the referral of MedStar Family Choice Enrollees to other MedStar Family Choice programs as needed, i.e., Behavioral Health, Food Insecurity relief, and Non-Medical Transportation. They are also responsible for the reporting of Enrollees requiring assistance with Medicare and/or Medicaid beneficiary support, Medicaid for Nursing Home Placement, Crime Victims Vocational Rehabilitation, and any/all other third-party coverage, including other available local, state, and federal programs.Primary Duties and ResponsibilitiesIntegrates physical health behavioral health social environmental into a single person-centered seamless system of care.Promotes person-centered approach to service and care planning that honors each Member's priorities goals needs and preferences.Encourages Enrollee engagement in the person-centered service planning process and the use of person-centered planning teams with expertise in community integration behavioral health and health and wellness.Leverages providers community partners and local community resources to ensure comprehensive coordinated and culturally appropriate care for each member.Provides service and support to maintain members in the least restrictive and most appropriate setting as possible.Leverages the use of evidence-based practice guidelines clinical pathways technology solutions and clinical decision support tools.Provides Case Management for designated member population to include support for self-direction nursing home transition transition of care and Utilization Management (UM) activities. Completes field-based member assessments and identifies activities and interventions based on the member needs of this continuum aligning the level of engagement and interventions with identified member needs.Oversees daily weekly and monthly functions of Field Case Manager coordinating member assessments and establishing priorities as needed. This includes the duties clinical analysis documentation and follow up for member clinical reviews and other similar duties to effectively manage the MedStar Family Choice D.C. case managed member population.Prepares and provides reports to manager(s) on work in progress and address any backlogs for resolution.Responsible for informing members about annual required assessments in-person centered service planning processes service alternatives service delivery options e.g. opportunities for self -direction roles rights including MedStar Family Choice D.C Fair Hearing rights risks and responsibilities. Assists with fair hearing requests when needed and requested and to protect the members' health welfare and quality on an ongoing basis.Collects the necessary information including at a minimum: member preferences strengths and goals to inform the development of the person-centered needs and the reevaluation of level of care annually or more frequently as needed.Assists member with person-centered care plans.Works with members to complete activities necessary to maintain MedStar Family Choice D.C. eligibility.Explores coverage of services to address identified member needs through other sources including services provided under medical assistance Medicare or private insurance and other community resources.Actively coordinates with other individuals and entities in the care delivery of member services for physical behavioral and support service needs.MedStar Family Choice DC policies procedures training quality oversight and monitoring for staff and contracted field case managers will ensure consistency in the execution and delivery of our MFC Model of Care.Minimal QualificationsEducationBachelor's degree in Nursing requiredExperience1-2 years At least 1 year working in social service or health care related setting required and1-2 years Experience working with people with Developmental Disabilities HIV Behavioral Health and/or other related vulnerable populations requiredLicenses and CertificationsRN - Registered Nurse - State Licensure and/or Compact State Licensure RN - Registered Nurse - State Licensure and/or Compact State Licensure Upon Hire requiredKnowledge Skills and AbilitiesKnowledge of the home and community-based service system and how to access and arrange for servicesA...",https://click.appcast.io/t/-lLR0T9gbfb1vYibj96bkIZ7eggEpiimdX2ou3gTLJtHHiocwea3Z4a0V04qkzAlFuzCykjJsQuEPLUJbieSNw==,"Case Management | Care Management, Entry Level, Registered Nurse | RN, Sponsored, Women's Health",Remote Nurse Connection,2026-09-08T13:21:32.716918
RN Case Manager - Behavioral Health (Remote),Guidehealth,2026-09-02,"Illinois, United States",Remote,Regular | Perm Employee,Regular | Perm Employee,Remote,,"Company DescriptionWHO IS GUIDEHEALTH?Guidehealth is a data-powered, performance-driven healthcare company dedicated to operational excellence. Our goal is to make great healthcare affordable, improve the health of patients, and restore the fulfillment of practicing medicine for providers. Driven by empathy and powered by AI and predictive analytics, Guidehealth leverages remotely-embedded Healthguides and a centralized Managed Service Organization to build stronger connections with patients and providers. Physician-led, Guidehealth empowers our partners to deliver high-quality healthcare focused on outcomes and value inside and outside the exam room for all patients.Join us as we put healthcare on a better path!!Job DescriptionAs a registered nurse with an Illinois nursing license, you will work remotely to enhance the quality of member management, maximize both satisfaction and cost effectiveness, and assist in navigating the health care system as a collaborative health partner in their health care team. As an RN Case Manager, the RN will work closely with client and members alike to promote wellness, problem-solve, and assist members in realization of their personal health-care related goals.This role includes telephonic member and provider outreach, data collection and analyzation, reporting, clinical review, medical and behavioral health assessments, and documentation in compliance with Federal/State regulation, NCAQ standard, and company policies and procedures. This position is part of the Value Based Care Services team.WHAT YOU'LL BE DOINGPulling, sorting, and analyzing data to determine member eligibility for the Population Health management Program.Coordinating and providing care that is timely, effective, equitable, safe, and member-centric while following HMO processes.Managing case assignments which includes outreach, documentation, monitoring for case progression, and case closure.Meeting reporting and documentation standards while engaging in collaborative meetings with department staff and clients.Assisting members in reaching wellness and health-autonomy by addressing barriers, social determinants, member motivators, and psychosocial issues.Helping members make informed decisions by educating them on navigation through the HMO and healthcare spectrum while promoting quality and cost-effective interventions and outcomes.Supporting operational aspects of the division to meet the organization's customer requirements and satisfaction.Maintaining confidentiality related to all computer programs, medical records, and data.Participation in QM/UM Committee Meetings including material preparation, minutes, data collection, and analysis, reporting, and follow-up tasks which may require in-person attendance.Rotation in off-hour/weekend calls if applicable.Responsible for continued professional growth and education that reflects knowledge and understanding of current nursing care practice as outlined in the Illinois Practice Act.Other responsibilities as assigned and per any changes in annual program requirements.QualificationsWHAT YOU'LL NEED TO HAVECurrent IL Registered Nurse License (State of Illinois requires Nursing Professional Staff to complete 20 hours of CE per 2-year license renewal cycle).Minimum of five years of experience in a variety of health care settings.Highly experienced in Case Management and Chronic Condition Management.Knowledge of utilization review, quality improvement, managed care, and/or community health.Previous remote and/or telephonic work experience.Basic knowledge of case management principles, healthcare management, and reimbursement components, with experience in motivational interviewing.Excellent clinical judgment, as well as highly skilled in verbal and written communication.Strong organizational. problem solving, and time management skills necessary.Ability to ensure timely completion of projects and assignments.Ability to prioritize and react based on rapidly changing business needs.Must have ability to work independently and remotely with multi-tasking skills for fast paced workflows.Must possess software knowledge including word processing and spreadsheets, computer skills including MS Word, Excel, Access, PDF, Outlook, etc.Experience navigating multiple EMR's.A high speed/secured home internet connection, a private HIPAA compliant home office with a door that locks for security and privacy purposes, and back-up connection service options for internet outages.WHAT WE'D LOVE FOR YOU TO HAVECertification in Case Management preferred but not requiredAdditional InformationThe salary range for this role is $90,000.00ALIVE with Purpose: How We Thrive at GuidehealthAt Guidehealth, our values come to life in everything we do.We are Driven byAccountability - grounded in transparency, reliability, and integrity as we navigate challenges and opportunities alike.Always Growing, AlwaysLearning - staying curious and continuously improving inspires us to shape a better future...",https://jobs.smartrecruiters.com/Guidehealth/3743990014994626-rn-case-manager-behavioral-health-remote-?utm_source=remotenurseconnection&utm_medium=jobboard,"Case Management | Care Management, Psych | Behavioral Health | Mental Health, Registered Nurse | RN",Remote Nurse Connection,2026-09-08T13:21:33.174636
