job_title,company,date_posted,location,remote_status,employment_type,schedule,license_requirements,salary_range,job_description,apply_link,specialties,source_site,scraped_at
LPN / EVENINGS / TELEHEALTH NURSING,Emory,2026-03-05,Remote,On-site,Full-time,Evenings,"Must Be Licensed In: Compact, Georgia",,"Division Emory Healthcare Inc. Campus Location Atlanta, GA, 30345 Campus Location US-GA-Atlanta Department Health Connection Job Type Regular Full-Time Job Number 161161 Job Category Nursing Schedule Other Standard Hours 40 Hours Hourly Minimum USD $25.33/Hr. Hourly Midpoint USD $30.11/Hr. Overview Be inspired. Be rewarded. Belong. At Emory Healthcare. At Emory Healthcare we fuel your professional journey with better benefits, valuable resources, ongoing mentorship and leadership programs for all types of jobs, and a supportive environment that enables you to reach new heights in your career and be what you want to be. We provide: Comprehensive health benefits that start day 1 Student Loan Repayment Assistance & Reimbursement Programs Family-focused benefits Wellness incentives Ongoing mentorship, development, and leadership programs And more Department Description: Nurses in the Telehealth Nursing department demonstrate strong competency in using various telecommunication technologies to provide direct virtual nursing care. Telehealth Nursing RNs triage, prioritize patient needs, collaborate with patients to develop care plans, direct them to the appropriate level of care, and provide referrals to Emory services and other resources to ensure a comprehensive care experience. Telehealth Nursing LPNs assist patients with prescription management across specialties. Department Requirements: Please note a Compact / multi-state license is required for this role. Emory Healthcare's Telehealth Nursing team is unable to guarantee you will have the same weekday off. Description Job Summary: The LPN Ambulatory Virtual/Telehealth Nurse will provide patient care using virtual platforms, demonstrating proficiency in telehealth technologies and clinical protocols. They will assess and manage patient needs, collaborate with providers, manage prescriptions, and complete prior authori",https://app.nursefern.com,"Telehealth, Virtual Care",NurseFern,2026-03-06T09:41:32.314304
PHONE TRIAGE RN,InnovAge,2026-03-05,Remote,On-site,PRN/Per Diem,,"Must Be Licensed In: Compact, California",$41.73 - $54.28 Hourly,"The Phone Triage Registered Nurse provides skilled nursing telephone triage for participants experiencing medical concerns during nights, holiday and weekends in accordance with InnovAge policies and protocols. The Phone Triage RN works in collaboration with the PACE center staff. This role provides nursing support to the participants, caregivers and staff after hours via phone and communicates with the provider on call. Provides clinical guidance and education to the participant, family and caregivers as needed. Responsible for facility transition planning when on call in cooperation with the clinic team. Collaborates with Clinic Team to deliver exceptional patient care which is participant-focused, proactive, compassionate and effective. Triages participant, caregiver and facility phone calls to assess, determine priority of care and routes accordingly. Routes emergent and urgent condition calls appropriately. Accurately completes all required clinical documentation consistently per InnovAge standards in electronic medical record which includes completing and signing or routing participants emr notes and verbal orders to physician Provides health teaching on medical conditions to participants and their families on an individual basis. Communicates with center staff to ensure appropriate hand off when changing shifts and/or rotations of call. The handoff includes transferring of phones as necessary as well as reporting current condition and needs of high risk participants for after-hours care. Demonstrates assessment ability by applying standards of practice as it relates to the patient population served. Demonstrates the ability to develop a comprehensive assessment of the patient's needs Ability to make an appropriate analysis of calls and initiate appropriate intervention/triage when necessary. Demonstrates ability to handle on-call assessments and triage clients appropriately. Recognizes and reports variances (which includes quality measures less than",https://app.nursefern.com,Triage,NurseFern,2026-03-06T09:41:34.441274
"TRANSITIONAL CARE MANAGER (LPN, RN, OT, PT, OR MSW)",BAYADA,2026-03-05,Remote,On-site,Full-time,Days,Must Be Licensed In: Pennsylvania,$0 - $0 Salary,"Are you looking for an exciting opportunity in one of the fastest growing areas of healthcare that will allow you to make a difference in people's lives while you grow your career? We're BAYADA Home Health Care, a leading home health care company-and we believe that our clients and their families deserve home health care delivered with compassion, excellence, and reliability. In this dynamic environment, you will have the chance to apply your entrepreneurial and relationship-building skills and lead a caring, professional team that is instrumental in providing the highest quality care to our clients. This is a hybrid position. Position Summary: Build and strengthen relationships between referral sources and the company. Focus on relationships with hospital and facility contacts to educate their leaders about company services and the benefits of home health care. Use clinical knowledge to educate patients about home health service eligibility and expectations. Manage referral intake and coordinate the initial transition to home care. Qualifications for a TCM: Holds a current license in good standing as a RN, LPN, MSW, PT or OT in the state of practice. Demonstrated record of strong interpersonal skills. Demonstrated knowledge of the Medicare COPs and other program requirements, as applicable. At least one (1) year experience in health care, preferably home health care. Previous discharge planning experience preferred. The TCM will: Develop relationships, in accordance with The BAYADA Way, with referral sources, physicians and other health care professionals. Market and sell BAYADA services by clearly articulating the features benefits of BAYADA. Demonstrate mastery of clinical and regulatory home care eligibility criteria. Review all medical documentation and work with physicians to make clinical judgments about clients' eligibility for home care services and if BAYADA has the resources to provide the ordered services. Coordinate with the service office to set",https://app.nursefern.com,Case Management (CM),NurseFern,2026-03-06T09:41:36.554032
"REGISTERED NURSE, CLINICAL WASTE & ABUSE REVIEWER - CIGNA HEALTHCARE - REMOTE",Cigna,2026-03-05,Remote,On-site,Full-time,Days,Must Be Licensed In: State Of Residency,"$66,200 - $110,400 Salary","We are looking for a clinically experienced and forward-thinking Registered Nurse who is energized by improving healthcare quality and affordability. In this role, you will use your clinical judgment, analytical skills, and collaborative mindset to help reduce waste and abuse while protecting members and providers alike. You will be part of a team of ambitious and compassionate experts who believe better decisions today lead to better healthcare outcomes tomorrow. Responsibilities * Apply clinical expertise to evaluate medical records, claims, and documentation to determine medical necessity, coding accuracy, and alignment with coverage policies. * Identify potential waste and abuse trends and translate insights into meaningful payment integrity opportunities. * Partner closely with Medical Directors, the Complex Claim Unit, and matrix partners to support sound, defensible clinical decisions. * Conduct both targeted and exploratory reviews across multiple products and benefit plans to improve pre-payment accuracy. * Serve as a trusted clinical resource, helping internal teams understand clinical editing programs and review outcomes. * Analyze complex clinical information and escalate high-risk or sensitive cases efficiently and professionally. * Refer appropriate cases for potential fraud investigation, supporting a strong and ethical integrity framework. * Communicate clearly and respectfully with providers, internal partners, and leadership to support shared goals. * Contribute to continuous improvement initiatives, special projects, and evolving review strategies. * Balance independent decision-making with strong teamwork, accountability, and quality standards. Qualifications Required Qualifications * Current, unrestricted Registered Nurse (RN) license. * Minimum of 2 years of clinical experience in an acute care setting. * Associate degree in Nursing or Nursing Diploma. * Strong clinical judgment, analytical thinking, and ability to apply polici",https://app.nursefern.com,Utilization Review & Management (UR/UM),NurseFern,2026-03-06T09:41:38.658784
REMOTE CALL CENTER REGISTERED NURSE OR RESPIRATORY THERAPIST,Inizio Engage,2026-03-05,Remote,On-site,Full-time,,"Must Be Licensed In: State Of Residency, Any State, United States",$0 - $0 Salary,"Inizio Engage has a long-standing partnership with a leading Biotechnology company, across Commercial, Patient Solutions and Medical Affairs businesses. To deliver telephonic educational support to identified patients within in the field of a designated disease state to meet all relevant standards as set by the company and Clinical Manager. This is your opportunity to join Inizio Engage and represent a top biotechnology company! What's in it for you? Competitive compensation Excellent Benefits - accrued time off, medical, dental, vision, 401k, disability & life insurance, paid maternity and paternity leave benefits, employee discounts/promotions Employee discounts & exclusive promotions Recognition programs, contests, and company-wide awards Exceptional, collaborative culture Best Places to Work in BioPharma (2022, 2023, & 2024) Certified Great Place to Work (2022, 2023, 2025) What will you be doing? To provide inbound or outbound non-promotional disease state related education and/or support to identified customers as directed by the client company To provide therapy education and support To collect, confirm and enter demographic data into the designated Client Relationship Management system (CRM) for program enrollment and program documentation, as required Maintaining excellent quality and provide superior customer service while adhering to program call guides, talking points, FAQs. To use only approved materials provided by Inizio or by the client, without changing, copying, or distributing the information To attend and successfully complete all trainings, courses and related competency assessments per the program requirements within an appropriate standard and specified timeframe Complete all required administrative responsibilities within the deadlines required for the program, and Inizio Engage. e.g. computer updates, emails, and time reporting Attend local and national program meetings and/or conferences, as required an",https://app.nursefern.com,"Triage, Biotech",NurseFern,2026-03-06T09:41:40.752155
SRS - CASE MANAGER-POPULATION HEALTH - RN -FULL TIME-VIRTUAL,Sharp,2026-03-05,Remote,On-site,Full-time,Days,Must Be Licensed In: California,$62.23 - $89.93 Hourly,"Hours: Shift Start Time: 8 AM Shift End Time: 4:30 PM AWS Hours Requirement: 8/40 - 8 Hour Shift Additional Shift Information: Weekend Requirements: No Weekends On-Call Required: No Hourly Pay Range (Minimum - Midpoint - Maximum): $62.230 - $80.300 - $89.930 The stated pay scale reflects the range that Sharp reasonably expects to pay for this position. The actual pay rate and pay grade for this position will be dependent on a variety of factors, including an applicant's years of experience, unique skills and abilities, education, alignment with similar internal candidates, marketplace factors, other requirements for the position, and employer business practices. What You Will Do Timely and appropriate coordination of quality healthcare services to meet an individual's specific health needs in a cost-effective manner to promote positive outcomes. Involves a collaborative process of assessment, planning, facilitation and advocacy for options and services to meet an individual's healthcare needs through communication and available resources. Addresses care that is client centered, with mutual goals, allowing stewardship of resources for the client and healthcare system. Required Qualifications 5 Years Acute care or clinical experience in area of specialty. 2 Years Utilization/Case Management experience, preferably in a Managed Care setting. California Registered Nurse (RN) - CA Board of Registered Nursing -REQUIRED AHA Basic Life Support for Healthcare Professional (AHA BLS Healthcare) - American Heart Association -REQUIRED Preferred Qualifications Bachelor's Degree in Nursing or in health related field. Certified Case Manager (CCM) - Commission for Case Manager Certification -PREFERRED Essential Functions Data collection Performs a thorough, systematic, and objective evaluation utilizing standardized tools when appropriate and client involvement in the assessment process and encouraging the client opportunities to communicate and collaborate with",https://app.nursefern.com,Case Management (CM),NurseFern,2026-03-06T09:41:42.855572
HOME HEALTH STUDENT NURSE INTERNSHIP - NORTH REGION,Centerwell,2026-03-05,Remote,On-site,Full-time,,Must Be Licensed In:,"$37,440 - $43,800 Salary","The Home Health Student Nurse Internship is a summer opportunity designed to provide nursing students with hands-on experience in a community-based home care setting. As an intern, you will have the opportunity to gain direct clinical experience in the home environment by assisting with essential patient care tasks such as measuring vital signs, performing physical assessments, supporting wound management, and providing Foley catheter care -all under the guidance of experienced registered nurses. This internship aims to enhance clinical assessment skills, foster compassionate communication, and offer exposure to the continuum of care outside traditional hospital settings. We are seeking interns for internship opportunities at our various branch locations across the North Region in the following locations: Flint, MI; Muncie, IN; Ontario, OH. When submitting your application, please specify the branch or branches where you are interested and available to work. This will help us best match your skills and availability with our current openings. Responsibilities: Assist Registered Nurses in providing direct patient care in home settings Conduct patient assessments and document findings accurately Participate in care planning and implementation under RN supervision Practice effective, empathetic communication with patients and families Adhere to all clinical protocols, safety guidelines, and regulatory requirements Maintain patient confidentiality and professional conduct at all times Engage in educational activities and team meetings within the branch and the Chief Nursing Office Use your skills to make an impact Required Qualifications: Enrolled in an accredited Licensed Practical Nurse (LPN), Associate Degree in Nursing (ADN), or Bachelor of Science in Nursing (BSN) program, with expected graduation date between December 2026 and Summer 2027 Must be available to work full-time, 40 hours per week, Monday - Friday for 8 weeks from June 1 - J",https://app.nursefern.com,Case Management (CM),NurseFern,2026-03-06T09:41:44.956825
HOSPICE TRIAGE NURSE (RN),By The Bay Health,2026-03-05,Remote,On-site,Full-time,Days,Must Be Licensed In: California,$51.4 - $64.3 Hourly,"The Hospice Triage RN will receive phone calls from Hospice patients and families. They will assess the needs of the patient and family, and coordinate the needed care and/or scheduling of home visits as needed. The triage nurse will collaborate with the transdisciplinary team members and facilitate communication among the transdisciplinary team, Hospice, and the patient's Attending Physician. Schedule: 4 days; Tuesday - Friday & Saturday; 8:30am - 5:00pm Location: Onsite; Larkspur, CA By the Bay Health follows all CDPH vaccine requirements for healthcare personnel. Essential Duties & Responsibilities include (but are not limited to): Receives phone calls from hospice patients and families Assesses the needs of the patients and families to coordinate needed care over the phone and scheduling visits as needed Managing patients' pain and symptoms pursuant to physicians' orders; obtaining changes in orders as need and updating the patient's plan of care and medication list accordingly Assessing the patient and family's needs for home visits, contacting the appropriate clinicians to schedule the visit, and notifying the patient and family of expected visit times Education/Experience: Bachelor's degree in nursing from an accredited nursing program Minimum of three (3) years of experience as a professional nurse within the last five (5) years At least one (1) year of hospice or palliative care experience Experience working effectively with an interdisciplinary group Certificates, Licenses, Registrations: California RN license CHPN certification Pay Range: $51.40 - $64.30 hourly By the Bay Health is proud to serve our community as an equal employment opportunity employer. Everyone is valued and welcome at BTBH. Our organization is committed to diversity, equity and continues to build a culture of inclusion by recruiting, screening, hiring and retaining any qualified individual without regard to age, race, color, ethnicity, religion, gender, gender identity or",https://app.nursefern.com,Triage,NurseFern,2026-03-06T09:41:47.053216
CLINICAL OPERATIONS NURSE,Trovo Health,2026-03-05,Remote,Hybrid,Full-time,,"Must Be Licensed In: State Of Residency, New York","$100,000 - $150,000 Salary","We are looking for a passionate, versatile nurse to join Trovo as a foundational member of our clinical operations team. This is a broad-scope ""utility player"" role for a clinician who is equally comfortable performing hands-on care management work, collaborating with product and engineering teams to refine automated technology workflows, and coaching staff on quality and clinical standards. You will work across Trovo's full portfolio of care team agents, supporting everything from chronic condition management and care gap outreach to complex prior authorizations and clinical documentation improvement. In this role, you will serve as an expert-in-the-loop: the clinical voice that ensures we deliver safe, high-quality care at scale. Responsibilities: Deliver high-impact clinical work: Perform care management outreach, chronic condition follow-ups, care gap closure, and other clinical activities powered by Trovo's AI platform. Support complex clinical operations workflows: Review prior authorizations, appeals, and other clinical-administrative tasks that require human clinical judgment. Partner with product and engineering: Serve as a clinical subject matter expert, participating in workflow design sessions, testing new agent capabilities, identifying edge cases, and providing feedback. Provide quality oversight: Conduct quality audits of clinical operations activities, identify trends in errors or gaps, and develop remediation plans. Maintain and evolve quality scorecards and clinical rubrics. Develop clinical content and coach staff: Build the clinical protocols, scripts, and decision-support content that power Trovo's AI agents, and onboard and train clinical team members on Trovo's platform, workflows, and quality standards. We expect you to have: Active clinical licensure: Current RN, NP, or equivalent clinical license in good standing. Multi-state or Compact licensure is a plus. Strong clinical experience: 5+ years spanning direct patient care and virtual or",https://app.nursefern.com,"Case Management (CM), Nurse Consultant",NurseFern,2026-03-06T09:41:49.151380
"PRINCIPAL CARE RN (1099, REMOTE)",Cortex,2026-03-05,Remote,Hybrid,Full-time,,Must Be Licensed In: Compact,$0 - $0 Salary,"Job Type: Part-Time Location: Remote Compensation: $27.00 per hour equivalent ($13.50 per completed PCM case) Overview We are seeking a Remote Registered Nurse (RN) to provide Principal Care Management (PCM) services for patients with chronic conditions. This 1099 contractor role involves managing a monthly caseload and delivering structured telephonic care while ensuring accurate and timely documentation. Responsibilities Manage assigned monthly patient caseload Conduct scheduled PCM calls and document encounters Follow established workflows and compliance guidelines Maintain professional, patient-focused communication Qualifications Active Compact (multi-state) RN license (Required) Experience in PCM, CCM, or care coordination preferred Spanish-speaking ability a plus Strong computer skills and comfort with healthcare technology Excellent communication skills Requirements Self-Employed Professional Liability Insurance (Required) Dedicated quiet workspace Reliable high-speed internet Updated computer/laptop with headset Pay Structure $13.50 per completed PCM case (approx. 30 minutes per case) Equivalent to $27.00 per hour based on case completion Pay: $27.00 per hour Work Location: Remote",https://app.nursefern.com,Case Management (CM),NurseFern,2026-03-06T09:41:55.465912
